Z A E0 ThetaDeg nu cross error dataSet
 20  40  0.1200  90.000  0.0075  2.163e+05  1.443e+04 Meziani:1984is 
 20  40  0.1200  90.000  0.0125  9.209e+04  8.187e+03 Meziani:1984is 
 20  40  0.1200  90.000  0.0175  1.384e+05  1.041e+04 Meziani:1984is 
 20  40  0.1200  90.000  0.0225  1.236e+05  1.038e+04 Meziani:1984is 
 20  40  0.1200  90.000  0.0275  9.229e+04  9.483e+03 Meziani:1984is 
 20  40  0.1200  90.000  0.0325  8.213e+04  1.003e+04 Meziani:1984is 
 20  40  0.1200  90.000  0.0375  6.329e+04  1.034e+04 Meziani:1984is 
 20  40  0.1200  90.000  0.0425  3.697e+04  2.142e+04 Meziani:1984is 
 20  40  0.1200 140.000  0.0075  1.378e+04  6.755e+02 Meziani:1984is 
 20  40  0.1200 140.000  0.0125  1.039e+04  5.318e+02 Meziani:1984is 
 20  40  0.1200 140.000  0.0175  1.487e+04  7.678e+02 Meziani:1984is 
 20  40  0.1200 140.000  0.0225  1.747e+04  9.456e+02 Meziani:1984is 
 20  40  0.1200 140.000  0.0275  1.769e+04  1.006e+03 Meziani:1984is 
 20  40  0.1200 140.000  0.0325  1.932e+04  1.165e+03 Meziani:1984is 
 20  40  0.1200 140.000  0.0375  1.990e+04  1.284e+03 Meziani:1984is 
 20  40  0.1200 140.000  0.0425  1.820e+04  2.607e+03 Meziani:1984is 
 20  40  0.1200 140.000  0.0475  1.652e+04  1.324e+03 Meziani:1984is 
 20  40  0.1200 140.000  0.0525  1.428e+04  1.336e+03 Meziani:1984is 
 20  40  0.1300 140.000  0.0010  1.088e+04  1.054e+02 Williamson:1997 
 20  40  0.1300 140.000  0.0032  4.059e+03  6.464e+01 Williamson:1997 
 20  40  0.1300 140.000  0.0063  8.611e+03  7.721e+01 Williamson:1997 
 20  40  0.1300 140.000  0.0108  7.087e+03  9.832e+01 Williamson:1997 
 20  40  0.1300 140.000  0.0120  7.698e+03  8.433e+01 Williamson:1997 
 20  40  0.1300 140.000  0.0215  1.358e+04  1.579e+02 Williamson:1997 
 20  40  0.1300 140.000  0.0252  1.392e+04  1.354e+02 Williamson:1997 
 20  40  0.1300 140.000  0.0278  1.461e+04  1.431e+02 Williamson:1997 
 20  40  0.1300 140.000  0.0322  1.534e+04  1.812e+02 Williamson:1997 
 20  40  0.1300 140.000  0.0385  1.849e+04  1.686e+02 Williamson:1997 
 20  40  0.1300 140.000  0.0490  1.928e+04  2.035e+02 Williamson:1997 
 20  40  0.1300 140.000  0.0543  1.748e+04  2.092e+02 Williamson:1997 
 20  40  0.1300 140.000  0.0596  1.505e+04  2.036e+02 Williamson:1997 
 20  40  0.1300 140.000  0.0649  1.204e+04  1.824e+02 Williamson:1997 
 20  40  0.1300 140.000  0.0755  7.684e+03  2.111e+02 Williamson:1997 
 20  40  0.1500  90.000  0.0014  4.392e+04  4.575e+02 Williamson:1997 
 20  40  0.1500  90.000  0.0050  1.823e+05  1.302e+03 Williamson:1997 
 20  40  0.1500  90.000  0.0115  5.322e+04  6.891e+02 Williamson:1997 
 20  40  0.1500  90.000  0.0176  7.465e+04  9.307e+02 Williamson:1997 
 20  40  0.1500  90.000  0.0238  6.381e+04  8.122e+02 Williamson:1997 
 20  40  0.1500  90.000  0.0300  6.466e+04  8.603e+02 Williamson:1997 
 20  40  0.1500  90.000  0.0362  6.642e+04  9.072e+02 Williamson:1997 
 20  40  0.1500  90.000  0.0423  6.222e+04  8.889e+02 Williamson:1997 
 20  40  0.1500  90.000  0.0485  5.433e+04  8.523e+02 Williamson:1997 
 20  40  0.1600  60.000  0.0075  9.292e+05  5.517e+04 Meziani:1984is 
 20  40  0.1600  60.000  0.0125  4.606e+05  3.182e+04 Meziani:1984is 
 20  40  0.1600  60.000  0.0175  5.831e+05  3.489e+04 Meziani:1984is 
 20  40  0.1600  60.000  0.0225  4.873e+05  3.173e+04 Meziani:1984is 
 20  40  0.1600  60.000  0.0275  3.519e+05  2.731e+04 Meziani:1984is 
 20  40  0.1600  60.000  0.0325  3.346e+05  2.776e+04 Meziani:1984is 
 20  40  0.1600  60.000  0.0375  3.115e+05  2.811e+04 Meziani:1984is 
 20  40  0.1600  60.000  0.0425  2.308e+05  2.672e+04 Meziani:1984is 
 20  40  0.1600  60.000  0.0475  1.786e+05  2.636e+04 Meziani:1984is 
 20  40  0.1600  60.000  0.0525  1.432e+05  2.698e+04 Meziani:1984is 
 20  40  0.1600  60.000  0.0575  1.030e+05  2.770e+04 Meziani:1984is 
 20  40  0.1600  60.000  0.0625  6.909e+04  2.669e+04 Meziani:1984is 
 20  40  0.1600  90.000  0.0075  1.132e+05  4.305e+03 Meziani:1984is 
 20  40  0.1600  90.000  0.0125  5.249e+04  2.077e+03 Meziani:1984is 
 20  40  0.1600  90.000  0.0175  6.697e+04  2.818e+03 Meziani:1984is 
 20  40  0.1600  90.000  0.0225  6.688e+04  2.989e+03 Meziani:1984is 
 20  40  0.1600  90.000  0.0275  5.932e+04  2.833e+03 Meziani:1984is 
 20  40  0.1600  90.000  0.0325  6.164e+04  3.077e+03 Meziani:1984is 
 20  40  0.1600  90.000  0.0375  6.547e+04  3.393e+03 Meziani:1984is 
 20  40  0.1600  90.000  0.0425  6.207e+04  3.257e+03 Meziani:1984is 
 20  40  0.1600  90.000  0.0475  5.863e+04  3.324e+03 Meziani:1984is 
 20  40  0.1600  90.000  0.0525  5.200e+04  3.280e+03 Meziani:1984is 
 20  40  0.1600  90.000  0.0575  4.548e+04  3.275e+03 Meziani:1984is 
 20  40  0.1600  90.000  0.0625  3.844e+04  3.289e+03 Meziani:1984is 
 20  40  0.1600  90.000  0.0675  2.791e+04  3.174e+03 Meziani:1984is 
 20  40  0.1600  90.000  0.0725  1.912e+04  3.360e+03 Meziani:1984is 
 20  40  0.1600  90.000  0.0775  1.260e+04  3.706e+03 Meziani:1984is 
 20  40  0.1600 140.000  0.0075  2.275e+03  9.860e+01 Meziani:1984is 
 20  40  0.1600 140.000  0.0125  3.935e+03  1.577e+02 Meziani:1984is 
 20  40  0.1600 140.000  0.0175  6.483e+03  2.766e+02 Meziani:1984is 
 20  40  0.1600 140.000  0.0225  7.853e+03  3.396e+02 Meziani:1984is 
 20  40  0.1600 140.000  0.0275  9.399e+03  4.149e+02 Meziani:1984is 
 20  40  0.1600 140.000  0.0325  1.098e+04  4.967e+02 Meziani:1984is 
 20  40  0.1600 140.000  0.0375  1.316e+04  6.090e+02 Meziani:1984is 
 20  40  0.1600 140.000  0.0425  1.287e+04  6.146e+02 Meziani:1984is 
 20  40  0.1600 140.000  0.0475  1.411e+04  6.972e+02 Meziani:1984is 
 20  40  0.1600 140.000  0.0525  1.470e+04  7.549e+02 Meziani:1984is 
 20  40  0.1600 140.000  0.0575  1.565e+04  8.336e+02 Meziani:1984is 
 20  40  0.1600 140.000  0.0625  1.516e+04  8.475e+02 Meziani:1984is 
 20  40  0.1600 140.000  0.0675  1.349e+04  8.111e+02 Meziani:1984is 
 20  40  0.1600 140.000  0.0725  1.219e+04  7.835e+02 Meziani:1984is 
 20  40  0.1600 140.000  0.0775  1.046e+04  7.306e+02 Meziani:1984is 
 20  40  0.1600 140.000  0.0033  1.994e+03  2.796e+01 Williamson:1997 
 20  40  0.1600 140.000  0.0083  2.615e+03  2.780e+01 Williamson:1997 
 20  40  0.1600 140.000  0.0207  6.954e+03  1.195e+02 Williamson:1997 
 20  40  0.1600 140.000  0.0258  7.892e+03  1.507e+02 Williamson:1997 
 20  40  0.1600 140.000  0.0308  9.471e+03  1.833e+02 Williamson:1997 
 20  40  0.1600 140.000  0.0359  1.092e+04  2.190e+02 Williamson:1997 
 20  40  0.1600 140.000  0.0410  1.178e+04  2.425e+02 Williamson:1997 
 20  40  0.1600 140.000  0.0464  1.293e+04  2.181e+02 Williamson:1997 
 20  40  0.1600 140.000  0.0521  1.429e+04  1.516e+02 Williamson:1997 
 20  40  0.1600 140.000  0.0621  1.428e+04  2.425e+02 Williamson:1997 
 20  40  0.1600 140.000  0.0725  1.219e+04  2.151e+02 Williamson:1997 
 20  40  0.1600 140.000  0.0787  1.033e+04  1.395e+02 Williamson:1997 
 20  40  0.1600 140.000  0.0841  8.653e+03  1.343e+02 Williamson:1997 
 20  40  0.1600 140.000  0.0894  7.076e+03  1.288e+02 Williamson:1997 
 20  40  0.1890 140.000  0.0033  4.224e+01  6.966e+00 Williamson:1997 
 20  40  0.1890 140.000  0.0063  1.081e+03  3.806e+01 Williamson:1997 
 20  40  0.1890 140.000  0.0086  1.018e+03  2.171e+01 Williamson:1997 
 20  40  0.1890 140.000  0.0128  2.093e+03  3.966e+01 Williamson:1997 
 20  40  0.1890 140.000  0.0183  3.924e+03  5.766e+01 Williamson:1997 
 20  40  0.1890 140.000  0.0288  5.498e+03  7.435e+01 Williamson:1997 
 20  40  0.1890 140.000  0.0394  7.990e+03  9.787e+01 Williamson:1997 
 20  40  0.1890 140.000  0.0500  1.003e+04  1.178e+02 Williamson:1997 
 20  40  0.1890 140.000  0.0606  1.084e+04  1.287e+02 Williamson:1997 
 20  40  0.1890 140.000  0.0712  1.166e+04  1.397e+02 Williamson:1997 
 20  40  0.1890 140.000  0.0819  1.093e+04  1.150e+02 Williamson:1997 
 20  40  0.1890 140.000  0.0925  9.377e+03  1.339e+02 Williamson:1997 
 20  40  0.1890 140.000  0.1031  6.725e+03  1.198e+02 Williamson:1997 
