Data:Z,A,E0,ThetaDeg,nu,cross,error,dataSet,Fit:ep,theta,nu,Ex,w2,q2,sigtot,sigqe,sigie,sigmec,nuccstot,signonuc,sigtot_shifted,qe_shifted,ns_shifted,ratio
26,56,0.1503,90.0,0.03703,95254.0,1639.1,Altemus:1973,0.1133,90.0000,0.0370,0.0356,0.9158,0.0340,80310.46399999999,63122.27999999999,0.0,3799.015999999999,13389.168,66921.296,55791.398,22539.088,29453.293999999998,1.7073241290709367
26,56,0.1503,90.0,0.04315,93147.0,1712.0,Altemus:1973,0.1071,90.0000,0.0432,0.0417,0.9291,0.0322,77375.16799999998,67787.98,0.0,3794.8559999999993,5792.331999999999,71582.83599999998,62571.31399999997,47464.45599999999,11312.001999999999,1.4886534107306753
26,56,0.1503,90.0,0.04927,89152.0,1801.0,Altemus:1973,0.1010,90.0000,0.0493,0.0478,0.9424,0.0304,69797.364,63952.09599999999,0.0,3448.536,2396.784,67400.63199999998,72650.16200000001,61894.03999999999,7307.637999999999,1.2271411039661548
26,56,0.1503,90.0,0.05542,74843.0,1864.0,Altemus:1973,0.0949,90.0000,0.0554,0.0540,0.9558,0.0285,58323.876,54655.95199999998,0.0,2910.1279999999997,757.7439999999998,57566.079999999994,73839.948,67717.51999999999,3212.248,1.013584137410281
26,56,0.1503,90.0,0.06156,61899.0,2017.3,Altemus:1973,0.0887,90.0000,0.0616,0.0601,0.9692,0.0267,45929.831999999995,43464.14799999999,0.0,2317.484,148.2,45781.63199999999,68400.436,64746.344,1336.6079999999997,0.9049503719537694
26,56,0.1503,90.0,0.06772,50044.0,2318.0,Altemus:1973,0.0826,90.0000,0.0677,0.0663,0.9826,0.0248,34474.232,32692.45199999999,2.964,1761.916,16.951999999999998,34457.28,58075.914000000026,55869.32000000001,441.76599999999996,0.8616997401022389
26,56,0.1503,90.0,0.078,38559.0,3360.6,Altemus:1973,0.0723,90.0000,0.0780,0.0765,1.0050,0.0217,19375.824,18312.684,22.099999999999998,1040.936,0.156,19375.719999999998,38384.502,37297.936,23.582,1.0045460535087833
26,56,0.1503,90.0,0.08825,29398.0,5352.4,Altemus:1973,0.0620,90.0000,0.0882,0.0868,1.0273,0.0187,9491.144,8815.352,85.95599999999999,589.8359999999999,0.0,9491.144,22337.509999999995,21661.431999999997,0.286,1.3160822311887048
26,56,0.2004,90.0,0.04019,46439.136,1435.94855,Altemus:1973,0.1602,90.0000,0.0402,0.0376,0.8916,0.0642,48314.968,36365.471999999994,0.0,5537.74,6411.703999999999,41903.263999999996,28376.868000000006,16955.951999999997,5883.124,1.6365137970828911
26,56,0.2004,90.0,0.05111,50533.146,1614.037431,Altemus:1973,0.1493,90.0000,0.0511,0.0486,0.9164,0.0598,52206.7,43868.448000000004,0.0,6131.008,2207.296,49999.404,43796.66199999998,33998.84799999999,3666.8579999999993,1.1538127266411313
26,56,0.2004,90.0,0.06146,52509.528,1681.870592,Altemus:1973,0.1389,90.0000,0.0615,0.0589,0.9400,0.0557,48762.376,42959.176,8.059999999999999,5542.472,252.66799999999998,48509.759999999995,49959.935999999994,42860.219999999994,1549.1839999999997,1.0510327315071022
26,56,0.2004,90.0,0.07202,48038.508,1560.399618,Altemus:1973,0.1284,90.0000,0.0720,0.0695,0.9640,0.0515,40552.876,36173.904,27.924000000000003,4344.964,6.032,40546.844,48423.647999999994,43810.727999999996,239.98,0.9920464480495151
26,56,0.2004,90.0,0.08262,38085.444,1281.63414,Altemus:1973,0.1178,90.0000,0.0826,0.0801,0.9882,0.0472,30402.735999999997,27239.576,68.692,3094.4159999999997,0.052,30402.735999999997,41208.04999999999,38036.85599999999,8.086,0.9242233980981874
26,56,0.2004,90.0,0.09322,29724.318,1064.445116,Altemus:1973,0.1072,90.0000,0.0932,0.0907,1.0123,0.0430,21231.756,18967.676,147.21200000000002,2116.868,0.0,21231.756,31537.791999999994,29273.659999999993,0.052,0.942498384160819
26,56,0.2004,90.0,0.10382,20261.898,879.0214602,Altemus:1973,0.0966,90.0000,0.1038,0.1013,1.0365,0.0387,14163.915999999997,12402.052,289.38,1472.4839999999997,0.0,14163.915999999997,22468.107999999993,20706.243999999995,0.0,0.9018070413405529
26,56,0.2004,90.0,0.11443,14484.618,993.6068924,Altemus:1973,0.0860,90.0000,0.1144,0.1119,1.0606,0.0345,9232.548,7582.952,576.8879999999999,1072.76,0.0,9232.548,15372.344000000001,13722.748,0.0,0.9422517476840226
26,56,0.2004,90.0,0.12503,13995.036,1582.953356,Altemus:1973,0.0754,90.0000,0.1250,0.1225,1.0848,0.0302,6082.544000000001,4240.599999999999,1037.3999999999999,804.5439999999999,0.0,6082.544000000001,10374.364000000001,8532.42,0.0,1.349001827967478
26,56,0.2004,90.0,0.13513,13088.088,2737.185126,Altemus:1973,0.0653,90.0000,0.1351,0.1326,1.1078,0.0262,4426.916,2137.9279999999994,1687.3479999999997,601.64,0.0,4426.916,7316.244000000001,5027.255999999999,0.0,1.7889080790635192
26,56,0.2497,90.0,0.04366,26790.4525,826.5740453,Altemus:1973,0.2060,90.0000,0.0437,0.0397,0.8594,0.1029,27249.612000000005,19190.34,0.0,5107.439999999999,2951.832,24297.78,16684.018000000004,10549.655999999999,1026.922,1.605755430136793
26,56,0.2497,90.0,0.05391,32057.6165,984.5534516,Altemus:1973,0.1958,90.0000,0.0539,0.0500,0.8837,0.0978,31938.14,24225.032,6.343999999999999,6424.963999999999,1281.7999999999997,30656.339999999993,25487.228,17544.852,1511.068,1.2577914122320404
26,56,0.2497,90.0,0.06417,33907.916,1041.996154,Altemus:1973,0.1855,90.0000,0.0642,0.0602,0.9081,0.0927,34174.81599999999,27152.579999999994,19.708,6864.727999999998,137.852,34036.964,30859.607999999997,23064.079999999998,911.1439999999999,1.0987798678453726
26,56,0.2497,90.0,0.07442,36256.668,1114.140793,Altemus:1973,0.1753,90.0000,0.0744,0.0705,0.9325,0.0875,34008.832,27519.179999999997,32.864,6453.356,3.432,34005.4,33235.852,26605.071999999996,144.55999999999997,1.0908902831797422
26,56,0.2497,90.0,0.08469,36179.983,1115.095255,Altemus:1973,0.1650,90.0000,0.0847,0.0808,0.9569,0.0824,30920.24,25391.859999999997,65.15599999999999,5463.223999999999,0.0,30920.24,33215.52,27681.836,5.303999999999999,1.0892493328419968
26,56,0.2497,90.0,0.09492,34420.61,1143.242503,Altemus:1973,0.1548,90.0000,0.0949,0.0910,0.9812,0.0773,26000.987999999998,21610.939999999995,118.19599999999997,4271.904,0.0,26000.987999999998,30565.652000000002,26175.552,0.052,1.1261205879069747
26,56,0.2497,90.0,0.10521,26609.695,871.4339958,Altemus:1973,0.1445,90.0000,0.1052,0.1013,1.0056,0.0722,20625.644000000004,17241.432,201.916,3182.296,0.0,20625.644000000004,26094.535999999996,22710.323999999993,0.0,1.0197420256869103
26,56,0.2497,90.0,0.12109,18848.0775,715.4592538,Altemus:1973,0.1286,90.0000,0.1211,0.1172,1.0434,0.0642,13633.1,11125.192,458.11999999999995,2049.8399999999997,0.0,13633.1,18546.788,16038.879999999997,0.0,1.0162448344155333
26,56,0.2497,90.0,0.13085,15502.4205,571.7102787,Altemus:1973,0.1189,90.0000,0.1308,0.1269,1.0665,0.0594,10553.556,8140.287999999999,746.7719999999999,1666.4959999999999,0.0,10553.556,14668.420000000002,12255.152,0.0,1.0568568734737618
26,56,0.2497,90.0,0.14158,13132.854,575.1999293,Altemus:1973,0.1081,90.0000,0.1416,0.1377,1.0920,0.0540,8119.331999999999,5556.615999999999,1154.14,1408.524,0.0,8119.331999999999,11341.2,8778.484,0.0,1.1579774627023594
26,56,0.2497,90.0,0.15142,11066.741,530.7072202,Altemus:1973,0.0983,90.0000,0.1514,0.1475,1.1154,0.0491,6604.364,3751.1759999999995,1615.2239999999997,1237.9639999999997,0.0,6604.364,9099.48,6246.292,0.0,1.2161948814657542
26,56,0.2497,90.0,0.15759,10102.15325,586.5695,Altemus:1973,0.0921,90.0000,0.1576,0.1537,1.1301,0.0460,5995.08,2855.06,2001.116,1138.904,0.0,5995.08,8091.304,4951.284,0.0,1.248519799775166
26,56,0.2497,90.0,0.16376,8876.50785,704.310096,Altemus:1973,0.0859,90.0000,0.1638,0.1598,1.1447,0.0429,5596.967999999999,2116.9719999999998,2442.336,1037.712,0.0,5596.967999999999,7337.199999999999,3857.2039999999997,0.0,1.2097949967289976
26,56,0.2497,90.0,0.1699,9387.3395,939.5549805,Altemus:1973,0.0798,90.0000,0.1699,0.1660,1.1593,0.0399,5442.423999999999,1521.4679999999998,2988.7,932.2560000000001,0.0,5442.423999999999,6868.003999999999,2947.048,0.0,1.3668220781467224
26,56,0.2497,90.0,0.17617,10512.08935,1310.81281,Altemus:1973,0.0735,90.0000,0.1762,0.1722,1.1742,0.0367,5404.723999999999,1039.376,3545.6719999999996,819.6759999999999,0.0,5404.723999999999,6546.591999999999,2181.2439999999997,0.0,1.6057346097022698
26,56,0.2497,90.0,0.18233,10798.23395,1852.834057,Altemus:1973,0.0674,90.0000,0.1823,0.1784,1.1889,0.0336,5532.331999999999,674.3879999999999,4152.2519999999995,705.692,0.0,5532.331999999999,6429.279999999999,1571.3359999999998,0.0,1.6795401584625342
26,56,0.2497,90.0,0.1885,14382.8195,2696.594383,Altemus:1973,0.0612,90.0000,0.1885,0.1846,1.2035,0.0306,5808.971999999999,402.32399999999996,4815.772,590.876,0.0,5808.971999999999,6491.94,1085.2920000000001,0.0,2.2154886674861443
26,56,0.2988,90.0,0.04324,11334.2677,224.0923804,Altemus:1973,0.2556,90.0000,0.0432,0.0377,0.8088,0.1527,12016.056,8036.495999999999,0.0,2817.7239999999993,1161.784,10854.272,6409.286000000002,3403.868,187.64200000000002,1.7684134707048487
26,56,0.2988,90.0,0.05377,14083.879,271.1078261,Altemus:1973,0.2450,90.0000,0.0538,0.0482,0.8348,0.1464,16191.291999999998,11200.435999999998,5.616,4213.143999999999,772.096,15419.195999999998,11992.344,7257.535999999998,516.0480000000001,1.1744058542683566
26,56,0.2988,90.0,0.06431,16941.9868,323.2094032,Altemus:1973,0.2345,90.0000,0.0643,0.0588,0.8609,0.1401,19459.232,13952.328,12.739999999999998,5382.78,111.43599999999998,19347.847999999998,16372.642,10491.104,486.07,1.034774155570005
26,56,0.2988,90.0,0.07486,19047.8522,359.7617868,Altemus:1973,0.2239,90.0000,0.0749,0.0693,0.8870,0.1338,22180.756,16072.160000000002,23.348,6081.867999999999,3.432,22177.324,19565.467999999997,13360.047999999997,100.25599999999999,0.9735444201999157
26,56,0.2988,90.0,0.08544,20086.3187,381.2090857,Altemus:1973,0.2134,90.0000,0.0854,0.0799,0.9132,0.1275,23495.523999999998,17261.971999999998,49.867999999999995,6183.683999999999,0.0,23495.523999999998,21894.339999999993,15656.419999999996,4.367999999999999,0.9174206073350467
26,56,0.2988,90.0,0.0945,21333.5118,402.6713879,Altemus:1973,0.2043,90.0000,0.0945,0.0890,0.9356,0.1221,23223.407999999996,17328.791999999998,79.14399999999999,5815.524,0.0,23223.407999999996,22843.469999999998,16948.775999999998,0.078,0.9338997884296913
26,56,0.2988,90.0,0.10661,21280.8135,408.6884848,Altemus:1973,0.1922,90.0000,0.1066,0.1011,0.9656,0.1149,21042.372,16040.44,136.812,4865.12,0.0,21042.372,22365.407999999996,17363.476,0.0,0.951505713644929
26,56,0.2988,90.0,0.11531,20332.2441,390.0784125,Altemus:1973,0.1835,90.0000,0.1153,0.1098,0.9871,0.1097,18640.44,14394.068000000001,200.30399999999997,4046.0679999999998,0.0,18640.44,20905.559999999998,16659.188000000002,0.0,0.972575912819365
26,56,0.2988,90.0,0.12778,17752.094,362.3949029,Altemus:1973,0.1710,90.0000,0.1278,0.1222,1.0179,0.1022,14869.035999999998,11588.98,321.04799999999994,2958.9559999999997,0.0,14869.035999999998,17785.612,14505.556000000002,0.0,0.998115442977166
26,56,0.2988,90.0,0.13382,16024.4164,401.2640803,Altemus:1973,0.1650,90.0000,0.1338,0.1283,1.0329,0.0986,13201.136,10222.212,444.1839999999999,2534.6879999999996,0.0,13201.136,16162.016,13183.091999999999,0.0,0.9914862353805367
26,56,0.2988,90.0,0.13838,15039.6815,323.9253849,Altemus:1973,0.1604,90.0000,0.1384,0.1328,1.0442,0.0959,11997.128,9231.508,496.288,2269.332,0.0,11997.128,14906.164,12140.544,0.0,1.0089572005245615
26,56,0.2988,90.0,0.14901,12519.4628,288.2743732,Altemus:1973,0.1498,90.0000,0.1490,0.1435,1.0705,0.0895,9748.855999999998,7129.407999999999,791.232,1828.216,0.0,9748.855999999998,12360.295999999997,9740.847999999998,0.0,1.0128772644279718
26,56,0.2988,90.0,0.15962,10806.2514,266.5339272,Altemus:1973,0.1392,90.0000,0.1596,0.1541,1.0967,0.0832,8073.207999999999,5365.516,1122.576,1585.1159999999998,0.0,8073.207999999999,10281.491999999998,7573.8,0.0,1.0510392266025204
26,56,0.2988,90.0,0.17024,9197.4033,249.079136,Altemus:1973,0.1286,90.0000,0.1702,0.1647,1.1230,0.0768,6950.2159999999985,3929.8479999999995,1564.3159999999998,1456.0,0.0,6950.2159999999985,8752.016,5731.648,0.0,1.050889680731845
26,56,0.2988,90.0,0.18085,8676.20678,252.0304462,Altemus:1973,0.1179,90.0000,0.1809,0.1753,1.1492,0.0705,6343.219999999999,2790.5280000000002,2184.52,1368.1719999999998,0.0,6343.219999999999,7778.419999999999,4225.728,0.0,1.1154201984464713
26,56,0.2988,90.0,0.19146,8136.10087,273.903528,Altemus:1973,0.1073,90.0000,0.1915,0.1859,1.1755,0.0641,6091.28,1904.6039999999998,2911.2199999999993,1275.456,0.0,6091.28,7210.267999999999,3023.5919999999996,0.0,1.1284047791288758
