Z,A,E0,ThetaDeg,nu,cross,error,dataSet,,,,,,,,,,,,,,,
26,56,0.1503,90,0.00323,3.588,0.07176,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.1503,90,0.00523,127.66,2.5532,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.1503,90,0.00723,259081.264,5181.62528,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.1503,90,0.00923,32121.7,642.434,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.1503,90,0.01123,55409.64,1108.1928,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.1503,90,0.01323,62901.644,1258.03288,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.1503,90,0.01523,27375.14,547.5028,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.1503,90,0.01723,87816.664,1756.33328,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.1503,90,0.01923,72087.808,1441.75616,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.1503,90,0.02123,120505.632,2410.11264,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.1503,90,0.02323,78966.992,1579.33984,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.1503,90,0.02523,72776.652,1455.53304,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.1503,90,0.02723,69822.74,1396.4548,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.1503,90,0.02923,70444.764,1408.89528,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.1503,90,0.03123,74385.428,1487.70856,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.1503,90,0.03323,78027.456,1560.54912,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.1503,90,0.03523,80259.556,1605.19112,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.1503,90,0.03723,81264.352,1625.28704,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.1503,90,0.03923,81460.392,1629.20784,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.1503,90,0.04123,81112.044,1622.24088,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.1503,90,0.04323,80285.764,1605.71528,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.1503,90,0.04523,78937.612,1578.75224,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.1503,90,0.04723,77016.628,1540.33256,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.1503,90,0.04923,74525.568,1490.51136,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.1503,90,0.05123,71529.068,1430.58136,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.1503,90,0.05323,68131.544,1362.63088,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.1503,90,0.05523,64448.644,1288.97288,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.1503,90,0.05723,60587.28,1211.7456,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.1503,90,0.05923,56636.996,1132.73992,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.1503,90,0.06123,52669.292,1053.38584,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.1503,90,0.06323,48740.744,974.81488,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.1503,90,0.06523,44899.244,897.98488,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.1503,90,0.06723,41175.992,823.51984,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.1503,90,0.06923,37600.16,752.0032,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.1503,90,0.07123,34192.34,683.8468,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.1503,90,0.07323,30967.092,619.34184,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.1503,90,0.07523,27933.204,558.66408,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.1503,90,0.07723,25094.94,501.8988,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.1503,90,0.07923,22459.164,449.18328,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.1503,90,0.08123,20011.16,400.2232,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.1503,90,0.08323,17751.708,355.03416,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.1503,90,0.08523,15674.308,313.48616,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.1503,90,0.08723,13784.836,275.69672,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2004,90,0.00366,0.624,0.01248,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2004,90,0.00566,2.132,0.04264,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2004,90,0.00766,76563.656,1531.27312,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2004,90,0.00966,143.728,2.87456,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2004,90,0.01166,37561.68,751.2336,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2004,90,0.01366,169529.516,3390.59032,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2004,90,0.01566,3480.152,69.60304,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2004,90,0.01766,15038.244,300.76488,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2004,90,0.01966,64239.76,1284.7952,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2004,90,0.02166,26859.976,537.19952,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2004,90,0.02366,65904.748,1318.09496,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2004,90,0.02566,26614.432,532.28864,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2004,90,0.02766,29966.092,599.32184,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2004,90,0.02966,33083.96,661.6792,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2004,90,0.03166,36240.516,724.81032,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2004,90,0.03366,39516.516,790.33032,Altemus:1973,,,,,,,,,,,,,,,
