Z,A,E0,ThetaDeg,nu,cross,error,dataSet
26,56,0.100727628,60,0.00145,0,0,FakeQ2001
26,56,0.101182494,60,0.00245,0,0,FakeQ2001
26,56,0.101689872,60,0.00345,0,0,FakeQ2001
26,56,0.102149725,60,0.00445,0,0,FakeQ2001
26,56,0.102612064,60,0.00545,0,0,FakeQ2001
26,56,0.103076893,60,0.00645,0,0,FakeQ2001
26,56,0.103494112,60,0.00745,0,0,FakeQ2001
26,56,0.103963912,60,0.00845,0,0,FakeQ2001
26,56,0.104386054,60,0.00945,0,0,FakeQ2001
26,56,0.104810645,60,0.01045,0,0,FakeQ2001
26,56,0.105237691,60,0.01145,0,0,FakeQ2001
26,56,0.105667197,60,0.01245,0,0,FakeQ2001
26,56,0.106048842,60,0.01345,0,0,FakeQ2001
26,56,0.106432866,60,0.01445,0,0,FakeQ2001
26,56,0.106819276,60,0.01545,0,0,FakeQ2001
26,56,0.107208083,60,0.01645,0,0,FakeQ2001
26,56,0.107599292,60,0.01745,4371.952,87.43904,FakeQ2001
26,56,0.107942276,60,0.01845,16263.78,325.2756,FakeQ2001
26,56,0.108287547,60,0.01945,31466.396,629.32792,FakeQ2001
26,56,0.108635114,60,0.02045,48819.94,976.3988,FakeQ2001
26,56,0.10898499,60,0.02145,67522.416,1350.44832,FakeQ2001
26,56,0.109337184,60,0.02245,86955.596,1739.11192,FakeQ2001
26,56,0.109640656,60,0.02345,106564.588,2131.29176,FakeQ2001
26,56,0.109946291,60,0.02445,125947.744,2518.95488,FakeQ2001
26,56,0.110254101,60,0.02545,144739.712,2894.79424,FakeQ2001
26,56,0.110564101,60,0.02645,154198.512,3083.97024,FakeQ2001
26,56,0.110876303,60,0.02745,161655.988,3233.11976,FakeQ2001
26,56,0.11113914,60,0.02845,167372.816,3347.45632,FakeQ2001
26,56,0.111403982,60,0.02945,171446.444,3428.92888,FakeQ2001
26,56,0.111670843,60,0.03045,173872.712,3477.45424,FakeQ2001
26,56,0.111939737,60,0.03145,174666.44,3493.3288,FakeQ2001
26,56,0.112210679,60,0.03245,173872.556,3477.45112,FakeQ2001
26,56,0.112431456,60,0.03345,171349.048,3426.98096,FakeQ2001
26,56,0.112654034,60,0.03445,167416.704,3348.33408,FakeQ2001
26,56,0.112878432,60,0.03545,162241.924,3244.83848,FakeQ2001
26,56,0.113104664,60,0.03645,156020.332,3120.40664,FakeQ2001
26,56,0.113332746,60,0.03745,148963.776,2979.27552,FakeQ2001
26,56,0.113509679,60,0.03845,141005.384,2820.10768,FakeQ2001
26,56,0.113688161,60,0.03945,132620.644,2652.41288,FakeQ2001
26,56,0.113868209,60,0.04045,124001.748,2480.03496,FakeQ2001
26,56,0.114049839,60,0.04145,115315.46,2306.3092,FakeQ2001
26,56,0.114233068,60,0.04245,106700.88,2134.0176,FakeQ2001
26,56,0.114363953,60,0.04345,97981.884,1959.63768,FakeQ2001
26,56,0.114496071,60,0.04445,89539.216,1790.78432,FakeQ2001
26,56,0.114629437,60,0.04545,81439.384,1628.78768,FakeQ2001
26,56,0.114764066,60,0.04645,73728.408,1474.56816,FakeQ2001
26,56,0.114899973,60,0.04745,66435.772,1328.71544,FakeQ2001
26,56,0.114982097,60,0.04845,59317.96,1186.3592,FakeQ2001
26,56,0.115065055,60,0.04945,52655.2,1053.104,FakeQ2001
26,56,0.115204446,60,0.05045,46689.604,933.79208,FakeQ2001
26,56,0.115233523,60,0.05145,40682.2,813.644,FakeQ2001
26,56,0.115319055,60,0.05245,36124.764,722.49528,FakeQ2001
26,56,0.115349069,60,0.05345,32245.668,644.91336,FakeQ2001
26,56,0.115436114,60,0.05445,28837.224,576.74448,FakeQ2001
26,56,0.115467097,60,0.05545,25551.656,511.03312,FakeQ2001
26,56,0.115441114,60,0.05645,22396.296,447.92592,FakeQ2001
26,56,0.115472482,60,0.05745,19656.624,393.13248,FakeQ2001
26,56,0.115446231,60,0.05845,17029.74,340.5948,FakeQ2001
26,56,0.115477992,60,0.05945,14771.38,295.4276,FakeQ2001
26,56,0.115451467,60,0.06045,12608.648,252.17296,FakeQ2001
26,56,0.115365567,60,0.06145,10547.004,210.94008,FakeQ2001
26,56,0.115338023,60,0.06245,8800.792,176.01584,FakeQ2001
26,56,0.115250299,60,0.06345,7139.548,142.79096,FakeQ2001
26,56,0.11522169,60,0.06445,5752.24,115.0448,FakeQ2001
26,56,0.115132073,60,0.06545,4435.496,88.70992,FakeQ2001
26,56,0.114980126,60,0.06645,3194.672,63.89344,FakeQ2001
26,56,0.114887649,60,0.06745,2183.064,43.66128,FakeQ2001
26,56,0.114731836,60,0.06845,1234.532,24.69064,FakeQ2001
26,56,0.114636361,60,0.06945,480.792,9.61584,FakeQ2001
26,56,0.114476502,60,0.07045,235.664,4.71328,FakeQ2001
26,56,0.114314284,60,0.07145,212.732,4.25464,FakeQ2001
26,56,0.114085456,60,0.07245,190.892,3.81784,FakeQ2001
26,56,0.113917782,60,0.07345,171.548,3.43096,FakeQ2001
26,56,0.113682182,60,0.07445,153.192,3.06384,FakeQ2001
26,56,0.113442737,60,0.07545,136.448,2.72896,FakeQ2001
26,56,0.113199333,60,0.07645,121.16,2.4232,FakeQ2001
26,56,0.32054459,60,0.27403,26276.224,525.52448,FakeQ2001
26,56,0.319916686,60,0.27503,26430.924,528.61848,FakeQ2001
26,56,0.319283145,60,0.27603,26581.048,531.62096,FakeQ2001
