Data:Z,A,E0,ThetaDeg,nu,cross,error,dataSet,Fit:ep,theta,nu_fit,Ex,W2,q2,sigtot,sigqe,sigie,sigmec,nuccstot,signonuc,sigtot_shifted,qe_shifted,ratio
26,56,0.1503,90.0,0.00362,119440.0,1139.8,Altemus:1973,0.1467,90.0000,0.0036,0.0022,0.8431,0.0441,4.628,0.0,0.0,0.0,4.628,0.0,4.628,0.0,25808.124459809853
26,56,0.1503,90.0,0.00742,95248.0,1775.1,Altemus:1973,0.1429,90.0000,0.0074,0.006,0.8513,0.0429,88955.87999999999,0.0,0.0,0.0,88955.87999999999,0.0,88955.87999999999,0.0,1.0707330420428645
26,56,0.1503,90.0,0.00961,88073.0,1193.1,Altemus:1973,0.1407,90.0000,0.0096,0.0082,0.8561,0.0423,148124.34,0.0,0.0,0.0,148124.34,0.0,148124.34,0.0,0.5945883033132839
26,56,0.1503,90.0,0.01869,95613.0,1465.7,Altemus:1973,0.1316,90.0000,0.0187,0.0172,0.8759,0.0396,160409.28799999997,1149.7199999999998,0.0,211.12,159048.44799999997,1360.8399999999997,186613.28399999996,27564.836,0.5123590237016569
26,56,0.1503,90.0,0.02479,90954.0,1483.4,Altemus:1973,0.1255,90.0000,0.0248,0.0233,0.8891,0.0377,74181.536,25769.952,0.0,2338.0240000000003,46073.56,28107.976,99028.59199999998,52955.03199999999,0.9184620134758659
26,56,0.1503,90.0,0.03092,97369.0,1583.7,Altemus:1973,0.1194,90.0000,0.0309,0.0295,0.9025,0.0359,73735.16799999998,49535.668,0.0,3812.7439999999997,20386.756,53348.412,88419.75999999998,68033.004,1.1012131224966006
26,56,0.1503,90.0,0.03703,95254.0,1639.1,Altemus:1973,0.1133,90.0000,0.0370,0.0356,0.9158,0.0340,81206.52799999999,63816.792,0.0,4412.824,12976.859999999999,68229.616,87418.344,74441.432,1.089634001760546
26,56,0.1503,90.0,0.04315,93147.0,1712.0,Altemus:1973,0.1071,90.0000,0.0432,0.0417,0.9291,0.0322,80328.404,69986.072,0.0,4488.744,5853.588,74474.81599999999,77946.85599999997,72093.26799999998,1.1950065054580268
26,56,0.1503,90.0,0.04927,89152.0,1801.0,Altemus:1973,0.1010,90.0000,0.0493,0.0478,0.9424,0.0304,74470.29199999999,67816.32,0.0,4157.66,2496.26,71974.03199999999,66036.46399999998,63540.152,1.3500420010374878
26,56,0.1503,90.0,0.05542,74843.0,1864.0,Altemus:1973,0.0949,90.0000,0.0554,0.054,0.9558,0.0285,64087.92,59703.07199999999,0.0,3579.2119999999995,805.6880000000001,63282.23199999999,52931.528000000006,52125.892,1.4139588035319892
26,56,0.1503,90.0,0.06156,61899.0,2017.3,Altemus:1973,0.0887,90.0000,0.0616,0.0601,0.9692,0.0267,52017.056000000004,48947.079999999994,0.0,2909.2439999999992,160.73199999999997,51856.324,40710.22800000001,40549.496,1.520477851413654
26,56,0.1503,90.0,0.06772,50044.0,2318.0,Altemus:1973,0.0826,90.0000,0.0677,0.0663,0.9826,0.0248,40284.81599999999,38001.808,5.356,2258.8799999999997,18.772,40266.044,30213.14399999999,30189.015999999996,1.6563651899319056
26,56,0.1503,90.0,0.078,38559.0,3360.6,Altemus:1973,0.0723,90.0000,0.0780,0.0765,1.0050,0.0217,24058.112,22643.920000000002,29.639999999999997,1384.396,0.156,24057.955999999995,16902.183999999994,16872.387999999995,2.281302818617997
26,56,0.1503,90.0,0.08825,29398.0,5352.4,Altemus:1973,0.0620,90.0000,0.0882,0.0868,1.0273,0.0187,12872.652,11962.443999999998,92.612,817.6479999999999,0.0,12872.652,8306.324000000002,8213.764000000001,3.53923107261407
26,56,0.2004,90.0,0.00662,23245.056,751.6475328,Altemus:1973,0.1938,90.0000,0.0066,0.0041,0.8151,0.0777,6.292,0.0,0.0,0.0,6.292,0.0,6.292,0.0,3694.38270820089
26,56,0.2004,90.0,0.01907,35637.534,1148.090287,Altemus:1973,0.1813,90.0000,0.0191,0.0165,0.8435,0.0727,24402.663999999997,0.0,0.0,0.0,24402.663999999997,0.0,37326.484,12923.819999999998,0.9547519664589893
26,56,0.2004,90.0,0.02962,40890.186,1311.421837,Altemus:1973,0.1708,90.0000,0.0296,0.0271,0.8675,0.0684,33028.268,21261.656,0.0,3769.9479999999994,7996.664,25031.604,42993.028,34996.364,0.9510887672298868
26,56,0.2004,90.0,0.04019,46439.136,1435.94855,Altemus:1973,0.1602,90.0000,0.0402,0.0376,0.8916,0.0642,47256.56,35405.5,0.0,5884.164,5966.896,41289.66399999999,53311.544,47344.648,0.8710896836902716
26,56,0.2004,90.0,0.05111,50533.146,1614.037431,Altemus:1973,0.1493,90.0000,0.0511,0.0486,0.9164,0.0598,52405.85999999999,43503.304,0.0,6696.664,2205.892,50199.968,53250.34,51044.448,0.9489732084339744
26,56,0.2004,90.0,0.06146,52509.528,1681.870592,Altemus:1973,0.1389,90.0000,0.0615,0.0589,0.9400,0.0557,50246.195999999996,43758.10399999999,8.527999999999999,6217.951999999999,261.664,49984.583999999995,46884.552,46614.412,1.1199750399662558
26,56,0.2004,90.0,0.07202,48038.508,1560.399618,Altemus:1973,0.1284,90.0000,0.0720,0.0695,0.9640,0.0515,43045.132,38006.28,29.639999999999997,5002.7119999999995,6.4479999999999995,43038.684,37555.49199999999,37519.35199999999,1.2791340345108517
26,56,0.2004,90.0,0.08262,38085.444,1281.63414,Altemus:1973,0.1178,90.0000,0.0826,0.0801,0.9882,0.0472,33202.780000000006,29489.095999999994,72.696,3640.8839999999996,0.052,33202.727999999996,27657.916000000012,27585.115999999998,1.3770178490671527
26,56,0.2004,90.0,0.09322,29724.318,1064.445116,Altemus:1973,0.1072,90.0000,0.0932,0.0907,1.0123,0.0430,23809.656,21128.899999999998,154.80399999999997,2525.9519999999998,0.0,23809.656,19231.992,19077.188,1.5455662627147517
26,56,0.2004,90.0,0.10382,20261.898,879.0214602,Altemus:1973,0.0966,90.0000,0.1038,0.1013,1.0365,0.0387,16316.092,14244.931999999997,301.3399999999999,1769.8200000000002,0.0,16316.092,12886.172,12584.831999999997,1.5723752562048683
26,56,0.2004,90.0,0.11443,14484.618,993.6068924,Altemus:1973,0.0860,90.0000,0.1144,0.1119,1.0606,0.0345,10945.064,9049.3,595.3480000000001,1300.416,0.0,10945.064,8497.736,7902.387999999999,1.7045267115852973
26,56,0.2004,90.0,0.12503,13995.036,1582.953356,Altemus:1973,0.0754,90.0000,0.1250,0.1225,1.0848,0.0302,7334.132,5342.9479999999985,996.372,994.8119999999999,0.0,7334.132,5644.756,4648.383999999999,2.4792986623336772
