Data:Z,A,E0,ThetaDeg,nu,cross,error,dataSet,Fit:ep,theta,nu_fit,Ex,W2,q2,sigtot_shifted,qe_shifted
26,56,0.1503,90,0.00362,119440,1139.8,Altemus:1973,0.1467,90,0.0036,0.0022,0.8431,0.0441,7.689612342,0
26,56,0.1503,90,0.00742,95248,1775.1,Altemus:1973,0.1429,90,0.0074,0.006,0.8513,0.0429,40985.63378,0
26,56,0.1503,90,0.00961,88073,1193.1,Altemus:1973,0.1407,90,0.0096,0.0082,0.8561,0.0423,308340.6147,0
26,56,0.1503,90,0.01869,95613,1465.7,Altemus:1973,0.1316,90,0.0187,0.0172,0.8759,0.0396,219517.3947,38933.66798
26,56,0.1503,90,0.02479,90954,1483.4,Altemus:1973,0.1255,90,0.0248,0.0233,0.8891,0.0377,144456.0418,73413.67209
26,56,0.1503,90,0.03092,97369,1583.7,Altemus:1973,0.1194,90,0.0309,0.0295,0.9025,0.0359,123473.3386,93118.30372
26,56,0.1503,90,0.03703,95254,1639.1,Altemus:1973,0.1133,90,0.037,0.0356,0.9158,0.034,118542.9188,99864.12496
26,56,0.1503,90,0.04315,93147,1712,Altemus:1973,0.1071,90,0.0432,0.0417,0.9291,0.0322,102316.4584,94235.76399
26,56,0.1503,90,0.04927,89152,1801,Altemus:1973,0.101,90,0.0493,0.0478,0.9424,0.0304,84037.81461,80694.21157
26,56,0.1503,90,0.05542,74843,1864,Altemus:1973,0.0949,90,0.0554,0.054,0.9558,0.0285,72291.596,71533.8
26,56,0.1503,90,0.06156,61899,2017.3,Altemus:1973,0.0887,90,0.0616,0.0601,0.9692,0.0267,68395.808,68247.608
26,56,0.1503,90,0.06772,50044,2318,Altemus:1973,0.0826,90,0.0677,0.0663,0.9826,0.0248,58865.612,58845.748
26,56,0.1503,90,0.078,38559,3360.6,Altemus:1973,0.0723,90,0.078,0.0765,1.005,0.0217,39318.396,39296.192
26,56,0.1503,90,0.08825,29398,5352.4,Altemus:1973,0.062,90,0.0882,0.0868,1.0273,0.0187,22953.008,22867.052
26,56,0.2004,90,0.00662,23245.056,751.6475328,Altemus:1973,0.1938,90,0.0066,0.0041,0.8151,0.0777,73.03116371,0
26,56,0.2004,90,0.01907,35637.534,1148.090287,Altemus:1973,0.1813,90,0.0191,0.0165,0.8435,0.0727,59502.93445,17217.22915
26,56,0.2004,90,0.02962,40890.186,1311.421837,Altemus:1973,0.1708,90,0.0296,0.0271,0.8675,0.0684,57316.23323,45403.75231
26,56,0.2004,90,0.04019,46439.136,1435.94855,Altemus:1973,0.1602,90,0.0402,0.0376,0.8916,0.0642,68731.18934,60574.52124
26,56,0.2004,90,0.05111,50533.146,1614.037431,Altemus:1973,0.1493,90,0.0511,0.0486,0.9164,0.0598,66564.33354,63756.40437
26,56,0.2004,90,0.06146,52509.528,1681.870592,Altemus:1973,0.1389,90,0.0615,0.0589,0.94,0.0557,56921.50773,56589.82452
26,56,0.2004,90,0.07202,48038.508,1560.399618,Altemus:1973,0.1284,90,0.072,0.0695,0.964,0.0515,49600.564,49566.556
26,56,0.2004,90,0.08262,38085.444,1281.63414,Altemus:1973,0.1178,90,0.0826,0.0801,0.9882,0.0472,42744.208,42675.464
26,56,0.2004,90,0.09322,29724.318,1064.445116,Altemus:1973,0.1072,90,0.0932,0.0907,1.0123,0.043,32781.424,32634.212
26,56,0.2004,90,0.10382,20261.898,879.0214602,Altemus:1973,0.0966,90,0.1038,0.1013,1.0365,0.0387,23303.436,23014.056
26,56,0.2004,90,0.11443,14484.618,993.6068924,Altemus:1973,0.086,90,0.1144,0.1119,1.0606,0.0345,15891.668,15314.832
26,56,0.2004,90,0.12503,13995.036,1582.953356,Altemus:1973,0.0754,90,0.125,0.1225,1.0848,0.0302,10717.772,9680.372
26,56,0.2004,90,0.13513,13088.088,2737.185126,Altemus:1973,0.0653,90,0.1351,0.1326,1.1078,0.0262,7584.72,5897.372
26,56,0.2497,90,0.00557,5664.50185,175.412735,Altemus:1973,0.2441,90,0.0056,0.0016,0.7689,0.1219,0.234245538,0
26,56,0.2497,90,0.00846,8305.75235,259.5993176,Altemus:1973,0.2412,90,0.0085,0.0045,0.7758,0.1205,4.626349375,0
26,56,0.2497,90,0.01298,11250.785,359.9238624,Altemus:1973,0.2367,90,0.013,0.0091,0.7865,0.1182,3059.246726,0
26,56,0.2497,90,0.0232,16698.7065,523.6934162,Altemus:1973,0.2265,90,0.0232,0.0193,0.8108,0.1131,16707.27019,12660.32715
26,56,0.2497,90,0.03343,21914.382,680.1717062,Altemus:1973,0.2163,90,0.0334,0.0295,0.8351,0.108,26202.70588,23626.29776
26,56,0.2497,90,0.04366,26790.4525,826.5740453,Altemus:1973,0.206,90,0.0437,0.0397,0.8594,0.1029,35239.84017,31915.54462
26,56,0.2497,90,0.05391,32057.6165,984.5534516,Altemus:1973,0.1958,90,0.0539,0.05,0.8837,0.0978,38638.91861,37188.23599
26,56,0.2497,90,0.06417,33907.916,1041.996154,Altemus:1973,0.1855,90,0.0642,0.0602,0.9081,0.0927,38923.29269,38745.91026
26,56,0.2497,90,0.07442,36256.668,1114.140793,Altemus:1973,0.1753,90,0.0744,0.0705,0.9325,0.0875,36599.28415,36558.4083
26,56,0.2497,90,0.08469,36179.983,1115.095255,Altemus:1973,0.165,90,0.0847,0.0808,0.9569,0.0824,34380.632,34315.476
26,56,0.2497,90,0.09492,34420.61,1143.242503,Altemus:1973,0.1548,90,0.0949,0.091,0.9812,0.0773,32059.872,31941.728
26,56,0.2497,90,0.10521,26609.695,871.4339958,Altemus:1973,0.1445,90,0.1052,0.1013,1.0056,0.0722,27499.836,27297.92
26,56,0.2497,90,0.12109,18848.0775,715.4592538,Altemus:1973,0.1286,90,0.1211,0.1172,1.0434,0.0642,19420.492,18962.424
26,56,0.2497,90,0.13085,15502.4205,571.7102787,Altemus:1973,0.1189,90,0.1308,0.1269,1.0665,0.0594,15225.912,14479.14
26,56,0.2497,90,0.14158,13132.854,575.1999293,Altemus:1973,0.1081,90,0.1416,0.1377,1.092,0.054,11672.232,10518.04
26,56,0.2497,90,0.15142,11066.741,530.7072202,Altemus:1973,0.0983,90,0.1514,0.1475,1.1154,0.0491,9334.52,7719.296
26,56,0.2497,90,0.15759,10102.15325,586.5695,Altemus:1973,0.0921,90,0.1576,0.1537,1.1301,0.046,8305.18,6304.064
26,56,0.2497,90,0.16376,8876.50785,704.310096,Altemus:1973,0.0859,90,0.1638,0.1598,1.1447,0.0429,7548.164,5105.88
26,56,0.2497,90,0.1699,9387.3395,939.5549805,Altemus:1973,0.0798,90,0.1699,0.166,1.1593,0.0399,7085.728,4097.028
26,56,0.2497,90,0.17617,10512.08935,1310.81281,Altemus:1973,0.0735,90,0.1762,0.1722,1.1742,0.0367,6774.456,3228.784
26,56,0.2497,90,0.18233,10798.23395,1852.834057,Altemus:1973,0.0674,90,0.1823,0.1784,1.1889,0.0336,6665.88,2513.628
26,56,0.2497,90,0.1885,14382.8195,2696.594383,Altemus:1973,0.0612,90,0.1885,0.1846,1.2035,0.0306,6732.96,1917.188
26,56,0.2988,90,0.01174,3118.29274,107.9901404,Altemus:1973,0.2871,90,0.0117,0.0062,0.7308,0.1715,3490.296831,0
26,56,0.2988,90,0.02222,5824.09212,166.2302655,Altemus:1973,0.2766,90,0.0222,0.0167,0.7568,0.1653,6725.528116,3455.127463
26,56,0.2988,90,0.03271,8743.16462,186.2949594,Altemus:1973,0.2661,90,0.0327,0.0272,0.7827,0.159,10410.95067,9912.6206
26,56,0.2988,90,0.04324,11334.2677,224.0923804,Altemus:1973,0.2556,90,0.0432,0.0377,0.8088,0.1527,16474.92079,15169.62315
26,56,0.2988,90,0.05377,14083.879,271.1078261,Altemus:1973,0.245,90,0.0538,0.0482,0.8348,0.1464,20821.02503,19947.28241
26,56,0.2988,90,0.06431,16941.9868,323.2094032,Altemus:1973,0.2345,90,0.0643,0.0588,0.8609,0.1401,23848.04432,23708.59369
26,56,0.2988,90,0.07486,19047.8522,359.7617868,Altemus:1973,0.2239,90,0.0749,0.0693,0.887,0.1338,25979.52999,25949.50166
26,56,0.2988,90,0.08544,20086.3187,381.2090857,Altemus:1973,0.2134,90,0.0854,0.0799,0.9132,0.1275,26336.0726,26280.04697
26,56,0.2988,90,0.0945,21333.5118,402.6713879,Altemus:1973,0.2043,90,0.0945,0.089,0.9356,0.1221,25099.65317,25010.79502
26,56,0.2988,90,0.10661,21280.8135,408.6884848,Altemus:1973,0.1922,90,0.1066,0.1011,0.9656,0.1149,23367.916,23231.104
