Z,A,E0,ThetaDeg,nu,cross,error,ratio,ratio_error,dataSet,Veff,Eeff,Ep,Ep_eff,normalization,normError,system_err,normCross,normCrossError,ThetaRad,sin2(T/2),cos2(T/2),tan2(T/2),nuel,Ex,R,F2foc,Q2,Q2eff,qv2,qv,W2,epsilon,gamma,Sig_R,D_sig_R,Sig_mott,Sig_mott_eff,H,Hcc,Hstar_Sig(nb),Hstar_error(nb),Hstar_Sig(GeV),Hstar_error(GeV),Hcc_Sig(nb),Hcc_error(nb),Hcc_Sig(GeV),Hcc_error(GeV),qvbin,qvcenter,Q2bin,Q2center,ExA,nuA,Q2effA,qv2A,epsilonA
26,56,0.1003,140.0,0.0045,22173.0,443.46,1.49109,0.025606368,Altemus:1973,0.0089,0.1092,0.0958,0.1047,1.0,0.0,0.0,22173.0,443.46,2.443460952792061,0.8830222215594888,0.11697777844051105,7.548632170413027,0.00033944010472139463,0.004160559895278605,4.433234524286382,1.1853412842231033,0.033938923764750085,0.04038321993769124,0.04040346993769124,0.20100614402970682,0.8484174595913088,0.062093154775435866,-0.000173457733267285,-127829411.70938236,-2556588.234187647,0.00019863561156775264,0.0001824464454234944,370.90737239453824,312.9118822834543,8224129.168104096,164482.58336208193,21.121139080760464,0.4224227816152093,6938195.1658710325,138763.90331742063,17.81861423531172,0.3563722847062344,"[0.186,0.223]",0.205,"[0.035,0.045]",0.04,0.04,0.040339440104721395,0.026559800719041047,0.028187071147003452,0.058746653806463524
26,56,0.1003,140.0,0.0091,22173.0,443.46,1.14432,0.020129437,Altemus:1973,0.0089,0.1092,0.0912,0.10010000000000001,1.0,0.0,0.0,22173.0,443.46,2.443460952792061,0.8830222215594888,0.11697777844051105,7.548632170413027,0.00033944010472139463,0.008760559895278606,4.433234524286382,1.1853412842231033,0.032309288594417625,0.038608981048356195,0.0386917910483562,0.1967022903993652,0.8588238100806438,0.06199764269810461,-0.00011692948627192083,-189627105.24902537,-3792542.1049805074,0.0001986356115677526,0.00018244644542349437,371.5544465729138,313.45777922215717,8238476.743861217,164769.53487722433,21.157986403661614,0.42315972807323227,6950299.338692891,139005.98677385782,17.849700069738976,0.3569940013947795,"[0.186,0.223]",0.205,"[0.035,0.045]",0.04,0.04,0.0403394401047214,0.02655980071904104,0.028187071147003445,0.058746653806463524
26,56,0.1003,140.0,0.0146,28834.0,576.68,1.13203,0.019788791,Altemus:1973,0.0089,0.1092,0.0857,0.0946,1.0,0.0,0.0,28834.0,576.68,2.443460952792061,0.8830222215594888,0.11697777844051105,7.548632170413027,0.00033944010472139463,0.014260559895278605,4.433234524286382,1.1853412842231033,0.030360811760324454,0.036487608463281675,0.03670076846328167,0.1915744462690201,0.8712661856657183,0.06178383916477857,-4.935123399755124e-05,-584260973.1183362,-11685219.462366723,0.0001986356115677526,0.00018244644542349437,373.0102001023953,314.6859095073819,10755376.109752465,215107.5221950493,27.62186610115447,0.5524373220230894,9073653.51473585,181473.07029471698,23.302880333960868,0.4660576066792173,"[0.186,0.223]",0.205,"[0.035,0.045]",0.04,0.04,0.040339440104721395,0.026559800719041047,0.028187071147003452,0.058746653806463524
26,56,0.1003,140.0,0.0199,31451.0,629.02,1.09596,0.019946584,Altemus:1973,0.0089,0.1092,0.0804,0.0893,1.0,0.0,0.0,31451.0,629.02,2.443460952792061,0.8830222215594888,0.11697777844051105,7.548632170413027,0.00033944010472139463,0.019560559895278606,4.433234524286382,1.1853412842231033,0.028483188629289218,0.0344433766994826,0.034839386699482604,0.18665311864387,0.8832561112295174,0.06145962701478533,1.573851135832164e-05,1998346557.9398956,39966931.15879791,0.00019863561156775261,0.00018244644542349437,375.23710673061925,316.5646145334061,11801582.243784705,236031.64487569412,30.30872385987492,0.6061744771974985,9956273.691690154,199125.4738338031,25.569618019117485,0.5113923603823497,"[0.186,0.223]",0.205,"[0.025,0.035]",0.026,0.04,0.040339440104721395,0.026559800719041047,0.028187071147003452,0.058746653806463524
26,56,0.1003,140.0,0.0252,31688.0,633.76,1.24934,0.022693764,Altemus:1973,0.0089,0.1092,0.0751,0.084,1.0,0.0,0.0,31688.0,633.76,2.443460952792061,0.8830222215594888,0.11697777844051105,7.548632170413027,0.00033944010472139463,0.024860559895278606,4.433234524286382,1.1853412842231033,0.026605565498253984,0.03239914493568352,0.033034184935683525,0.18175308782984548,0.8952460367933165,0.06100098270071345,8.07717372833328e-05,392315444.3099839,7846308.886199677,0.00019863561156775261,0.00018244644542349437,378.42796688097593,319.2565482345494,11991625.414524365,239832.5082904873,30.79679112614652,0.6159358225229303,10116601.500456402,202332.03000912804,25.98137054370072,0.5196274108740144,"[0.158,0.186]",0.167,"[0.025,0.035]",0.026,0.04,0.0403394401047214,0.02655980071904104,0.028187071147003445,0.058746653806463524
26,56,0.1003,140.0,0.0305,29976.0,599.52,1.41924,0.027033961,Altemus:1973,0.0089,0.1092,0.0698,0.0787,1.0,0.0,0.0,29976.0,599.52,2.443460952792061,0.8830222215594888,0.11697777844051105,7.548632170413027,0.00033944010472139463,0.030160559895278605,4.433234524286382,1.1853412842231033,0.02472794236721875,0.03035491317188444,0.03128516317188444,0.17687612380387704,0.9072359623571156,0.06038672217182825,0.00014571732730854237,205713353.06287023,4114267.0612574047,0.0001986356115677526,0.00018244644542349437,382.77768746167925,322.9261416576404,11474143.959351297,229482.87918702594,29.467799622849846,0.5893559924569969,9680034.02232943,193600.68044658858,24.860181632974708,0.4972036326594942,"[0.158,0.186]",0.167,"[0.025,0.035]",0.026,0.04,0.0403394401047214,0.02655980071904104,0.028187071147003445,0.058746653806463524
26,56,0.1003,140.0,0.0358,26903.0,538.06,1.68951,0.034804297,Altemus:1973,0.0089,0.1092,0.0645,0.0734,1.0,0.0,0.0,26903.0,538.06,2.443460952792061,0.8830222215594888,0.11697777844051105,7.548632170413027,0.00033944010472139463,0.035460559895278604,4.433234524286382,1.1853412842231033,0.022850319236183518,0.028310681408085365,0.029592321408085365,0.1720241884389674,0.9192258879209146,0.0595921782891793,0.00021053768864095812,127782347.0641364,2555646.9412827278,0.00019863561156775256,0.00018244644542349435,388.53753901898114,327.7853764062867,10452825.41222765,209056.50824455297,26.84485795466449,0.5368971590932898,8818409.98145833,176368.1996291666,22.64736604720484,0.4529473209440968,"[0.158,0.186]",0.167,"[0.025,0.035]",0.026,0.04,0.0403394401047214,0.02655980071904104,0.028187071147003445,0.058746653806463524
26,56,0.1003,140.0,0.0411,23100.0,462.0,1.97121,0.046614719,Altemus:1973,0.0089,0.1092,0.0592,0.06810000000000001,1.0,0.0,0.0,23100.0,462.0,2.443460952792061,0.8830222215594888,0.11697777844051105,7.548632170413027,0.00033944010472139463,0.0407605598952786,4.433234524286382,1.1853412842231033,0.02097269610514828,0.026266449644286285,0.027955659644286285,0.16719946065788097,0.9312158134847138,0.05858856234080229,0.0002751874817042471,83942771.8766158,1678855.437532316,0.00019863561156775261,0.00018244644542349437,396.0371074934356,334.112303996065,9148457.183098363,182969.14366196725,23.494990483368937,0.4698998096673787,7717994.222309101,154359.88444618203,19.821287587032813,0.3964257517406563,"[0.158,0.186]",0.167,"[0.025,0.035]",0.026,0.0407605598952786,0.0411,0.026266449644286285,0.027955659644286285,0.05858856234080229
26,56,0.1009,160.0,0.0102,15350.0,307.0,0.63667,0.021387622,Altemus:1973,0.0089,0.10980000000000001,0.0907,0.09960000000000001,1.0,0.0,0.0,15350.0,307.0,2.792526803190927,0.9698463103929541,0.03015368960704583,32.16343747752632,0.00037715577253343013,0.00982284422746657,4.433234524286382,1.1841926133578762,0.03550269835832589,0.04242526735264872,0.04252930735264872,0.20622634980198024,0.8570717243763513,0.01527076022979497,-0.00010841368583378364,-141587290.22029677,-2831745.804405935,4.194219605911473e-05,3.854250985760179e-05,433.27066303791275,365.8785388040362,6650704.677631961,133014.0935526392,17.080283591133263,0.3416056718226652,5616235.570641956,112324.71141283913,14.423568766149204,0.28847137532298406,"[0.186,0.223]",0.205,"[0.035,0.045]",0.04,0.04,0.04037715577253343,0.029571111714172243,0.03120142642245167,0.014519405230760778
26,56,0.1009,160.0,0.0154,20539.0,410.78,0.69682,0.019934758,Altemus:1973,0.0089,0.10980000000000001,0.0855,0.09440000000000001,1.0,0.0,0.0,20539.0,410.78,2.792526803190927,0.9698463103929541,0.03015368960704583,32.16343747752632,0.00037715577253343013,0.01502284422746657,4.433234524286382,1.1841926133578762,0.03346726250977799,0.040210293555120874,0.040447453555120874,0.20111552290939871,0.8690447373738792,0.01521924671058088,-5.26640360270521e-05,-390000492.7356815,-7800009.854713629,4.194219605911472e-05,3.8542509857601774e-05,434.7826663188341,367.15536088843845,8930001.183522534,178600.02367045067,22.933953630012788,0.45867907260025575,7541003.9572876375,150820.07914575274,19.36674268300126,0.3873348536600251,"[0.186,0.223]",0.205,"[0.035,0.045]",0.04,0.04,0.04037715577253344,0.029571111714172236,0.031201426422451665,0.014519405230760778
