Data:Z,A,E0,ThetaDeg,nu,cross,error,dataSet,Fit:ep,theta,nu_fit,Ex,W2,q2,sigtot,sigqe,sigie,sigmec,nuccstot,signonuc,ratio
6.0,12.0,0.1196,90.0,0.0071,1.0,0.0,-1.0,0.1125,90.0000,0.0071,0.0062,0.8668,0.0269,149.12400000000002,0.0,0.0,0.0,149.12400000000002,0.0,0.0067058287063115245
6.0,12.0,0.1196,90.0,0.0073,1.0,0.0,-1.0,0.1123,90.0000,0.0073,0.0064,0.8672,0.0269,14.915999999999999,0.0,0.0,0.0,14.915999999999999,0.0,0.06704210244033254
6.0,12.0,0.1196,90.0,0.0075,1.0,0.0,-1.0,0.1121,90.0000,0.0075,0.0066,0.8676,0.0268,9.239999999999998,0.0,0.0,0.0,9.239999999999998,0.0,0.10822510822510824
6.0,12.0,0.1196,90.0,0.0077,1.0,0.0,-1.0,0.1119,90.0000,0.0077,0.0068,0.8680,0.0268,69.42,0.0,0.0,0.0,69.42,0.0,0.014405070584845865
6.0,12.0,0.1196,90.0,0.0079,1.0,0.0,-1.0,0.1117,90.0000,0.0079,0.007,0.8685,0.0267,520.284,0.0,0.0,0.0,520.284,0.0,0.001922027200528942
6.0,12.0,0.1196,90.0,0.0081,1.0,0.0,-1.0,0.1115,90.0000,0.0081,0.0072,0.8689,0.0267,2840.388,0.0,0.0,0.0,2840.388,0.0,0.0003520645770929887
6.0,12.0,0.1196,90.0,0.0083,1.0,0.0,-1.0,0.1113,90.0000,0.0083,0.0074,0.8693,0.0266,11007.048,0.0,0.0,0.0,11007.048,0.0,9.085088027234913e-05
6.0,12.0,0.1196,90.0,0.0085,1.0,0.0,-1.0,0.1111,90.0000,0.0085,0.0076,0.8697,0.0266,30179.928,0.0,0.0,0.0,30179.928,0.0,3.313460522503566e-05
6.0,12.0,0.1196,90.0,0.0087,1.0,0.0,-1.0,0.1109,90.0000,0.0087,0.0078,0.8702,0.0265,58518.54,0.0,0.0,0.0,58518.54,0.0,1.7088601321905843e-05
6.0,12.0,0.1196,90.0,0.0089,1.0,0.0,-1.0,0.1107,90.0000,0.0089,0.008,0.8706,0.0265,80232.73199999999,0.0,0.0,0.0,80232.73199999999,0.0,1.2463741107556953e-05
6.0,12.0,0.1196,90.0,0.0091,1.0,0.0,-1.0,0.1105,90.0000,0.0091,0.0082,0.8710,0.0264,77782.848,0.0,0.0,0.0,77782.848,0.0,1.2856304773000855e-05
6.0,12.0,0.1196,90.0,0.0093,1.0,0.0,-1.0,0.1103,90.0000,0.0093,0.0084,0.8714,0.0264,53321.316000000006,0.0,0.0,0.0,53321.316000000006,0.0,1.8754225795927464e-05
6.0,12.0,0.1196,90.0,0.0095,1.0,0.0,-1.0,0.1101,90.0000,0.0095,0.0086,0.8718,0.0263,25854.660000000003,0.0,0.0,0.0,25854.660000000003,0.0,3.86777470676466e-05
6.0,12.0,0.1196,90.0,0.0097,1.0,0.0,-1.0,0.1099,90.0000,0.0097,0.0088,0.8723,0.0263,8932.32,0.0,0.0,0.0,8932.32,0.0,0.00011195299765346517
6.0,12.0,0.1196,90.0,0.0099,1.0,0.0,-1.0,0.1097,90.0000,0.0099,0.009,0.8727,0.0262,2667.42,0.0,0.0,0.0,2667.42,0.0,0.0003748940924188917
6.0,12.0,0.1196,90.0,0.0101,1.0,0.0,-1.0,0.1095,90.0000,0.0101,0.0092,0.8731,0.0262,3129.924,0.0,0.0,0.0,3129.924,0.0,0.00031949657563570236
6.0,12.0,0.1196,90.0,0.0103,1.0,0.0,-1.0,0.1093,90.0000,0.0103,0.0094,0.8735,0.0261,10537.464,0.0,0.0,0.0,10537.464,0.0,9.489949384405964e-05
6.0,12.0,0.1196,90.0,0.0105,1.0,0.0,-1.0,0.1091,90.0000,0.0105,0.0096,0.8740,0.0261,28259.856000000003,0.0,0.0,0.0,28259.856000000003,0.0,3.53858844857525e-05
6.0,12.0,0.1196,90.0,0.0107,1.0,0.0,-1.0,0.1089,90.0000,0.0107,0.0098,0.8744,0.0260,53834.28,0.0,0.0,0.0,53834.28,0.0,1.8575524739998382e-05
6.0,12.0,0.1196,90.0,0.0109,1.0,0.0,-1.0,0.1087,90.0000,0.0109,0.01,0.8748,0.0260,72545.016,0.0,0.0,0.0,72545.016,0.0,1.3784544482008246e-05
6.0,12.0,0.1196,90.0,0.0111,1.0,0.0,-1.0,0.1085,90.0000,0.0111,0.0102,0.8752,0.0260,69203.508,0.0,0.0,0.0,69203.508,0.0,1.445013452208232e-05
6.0,12.0,0.1196,90.0,0.0113,1.0,0.0,-1.0,0.1083,90.0000,0.0113,0.0104,0.8757,0.0259,47075.724,0.0,0.0,0.0,47075.724,0.0,2.124237112104744e-05
