Z,A,E0,ThetaDeg,nu,cross,error,dataSet,Veff,Eeff,Ep,Ep_eff,normalization,normError,system_err,normCross,normCrossError,ThetaRad,sin2(T/2),cos2(T/2),tan2(T/2),nuel,Ex,R,F2foc,Q2,Q2eff,qv2,qv,W2_O,W2,epsilon,gamma,Sig_R,D_sig_R,Sig_mott,Sig_mott_eff,H,Hcc,Hstar_Sig(nb),Hstar_error(nb),Hstar_Sig(GeV),Hstar_error(GeV),Hcc_Sig(nb),Hcc_error(nb),Hcc_Sig(GeV),Hcc_error(GeV),qvbin,qvcenter,Q2bin,Q2center
6,12,0.1196,90.0,0.0071,86760.0,9860.0,1,0.0031,0.1227,0.1125,0.11560000000000001,0.95971,0.0062926,0.0,83264.4396,9478.476495281242,1.5707963267948966,0.5000000000000001,0.5000000000000001,0.9999999999999998,0.0012661318476041988,0.005833868152395802,2.894010933453939,1.0525112974127808,0.026910000000000007,0.02836824000000001,0.02841865000000001,0.1685783200770491,0.866769699129,0.865311459129,0.33293891453536945,-0.00015142741037841158,-549863722.7693797,-65113706.79429979,0.001862372330793519,0.001815319729119029,188.82822748499112,179.40731652872248,15722676.542199103,1789803.9158621076,40.37884512533157,4.5965593026948905,14938249.670903893,1700508.0327989778,38.36428665857401,4.367230369872393,"[0.158,0.186]",0.167,"[0.025,0.035]",0.026
6,12,0.1196,90.0,0.0121,26350.0,5890.0,1,0.0031,0.1227,0.1075,0.1106,0.95971,0.0062926,0.0,25288.3585,5655.123223745157,1.5707963267948966,0.5000000000000001,0.5000000000000001,0.9999999999999998,0.0012661318476041988,0.0108338681523958,2.894010933453939,1.0525112974127808,0.025714000000000008,0.027141240000000007,0.027287650000000007,0.16518973939079876,0.877348429129,0.8759211891290001,0.3321388791057478,-4.458568791236691e-05,-567185562.992865,-132105172.66385537,0.0018623723307935188,0.0018153197291190287,189.73736827668756,180.2710989830593,4798146.589827402,1072988.1977537833,12.322559553984178,2.7556392286086377,4558760.178272588,1019455.2784291605,11.707769393330736,2.618156437258567,"[0.158,0.186]",0.167,"[0.025,0.035]",0.026
6,12,0.1196,90.0,0.0171,25810.0,4670.0,1,0.0031,0.1227,0.1025,0.1056,0.95971,0.0062926,0.0,24770.1151,4484.787457427769,1.5707963267948966,0.5000000000000001,0.5000000000000001,0.9999999999999998,0.0012661318476041988,0.015833868152395802,2.894010933453939,1.0525112974127808,0.024518000000000005,0.02591424000000001,0.02620665000000001,0.16188468117768282,0.887927159129,0.8865309191290001,0.3308445535248522,6.195456966615437e-05,399810945.8830097,75377813.53602411,0.001862372330793519,0.001815319729119029,191.21867692989377,181.67850302408715,4736508.636823183,857575.1239211203,12.16426148358123,2.202417191450064,4500197.431102336,814789.4716466791,11.557369040581966,2.0925354405828345,"[0.158,0.186]",0.167,"[0.025,0.035]",0.026
6,12,0.1196,90.0,0.0221,40060.0,4770.0,1,0.0031,0.1227,0.0975,0.10060000000000001,0.95971,0.0062926,0.0,38445.982599999996,4584.751994347597,1.5707963267948966,0.5000000000000001,0.5000000000000001,0.9999999999999998,0.0012661318476041988,0.020833868152395803,2.894010933453939,1.0525112974127808,0.023322000000000002,0.02468724000000001,0.02517565000000001,0.15866836483685087,0.8985058891290001,0.897140649129,0.3289941408774745,0.00016794417131412798,228921208.15606895,28402295.612141516,0.0018623723307935197,0.0018153197291190296,193.3591486734333,183.71218356395508,7433882.465449629,886503.7425058769,19.091634172251702,2.276711425411344,7062995.412707822,842274.7999807949,18.13912517536068,2.1631230287103023,"[0.158,0.186]",0.167,"[0.015,0.025]",0.02
6,12,0.1196,145.0,0.0021,17100.0,700.0,1,0.0031,0.1227,0.1175,0.1206,0.95971,0.0062926,0.0,16411.040999999997,680.3599883980329,2.5307274153917776,0.9095760221444957,0.0904239778555042,10.059013590377335,0.0022834842822268275,-0.00018348428222682766,2.894010933453939,1.0525112974127808,0.051129087356786396,0.053838241347223335,0.05384265134722334,0.2320401933873167,0.8331678817722137,0.8304587277817767,0.047349213270093275,-0.00019331286209036896,-84893683.85807791,-3621073.0751726567,0.00010177523574015853,9.92038972658758e-05,489.7433656654492,465.30936710067294,8037198.453413677,333201.7905821586,20.641065197831352,0.8557260248462961,7636211.101173193,316577.8756021099,19.611252865950192,0.8130326267753987,"[0.223,0.270]",0.24,"[0.045,0.070]",0.056
6,12,0.1196,145.0,0.0071,4800.0,340.0,1,0.0031,0.1227,0.1125,0.11560000000000001,0.95971,0.0062926,0.0,4606.608,327.69637510053474,2.5307274153917776,0.9095760221444957,0.0904239778555042,10.059013590377335,0.0022834842822268275,0.004816515717773173,2.894010933453939,1.0525112974127808,0.04895338151181676,0.05160614178888075,0.05165655178888075,0.22728077742933023,0.8447263176171833,0.8420735573401192,0.04730888402737229,-0.00014830841377706246,-31061002.42515346,-2292519.967957373,0.00010177523574015855,9.920389726587581e-05,490.20235705307556,465.7454587500022,2258170.0996195544,160637.5354720309,5.799413380696506,0.41254796209353656,2145506.75624143,152623.09855191133,5.510072333619859,0.3919653528733011,"[0.223,0.270]",0.24,"[0.045,0.070]",0.056
6,12,0.1196,145.0,0.0121,2390.0,210.0,1,0.0031,0.1227,0.1075,0.1106,0.95971,0.0062926,0.0,2293.7068999999997,202.09945520560063,2.5307274153917776,0.9095760221444957,0.0904239778555042,10.059013590377335,0.0022834842822268275,0.009816515717773172,2.894010933453939,1.0525112974127808,0.04677767566684713,0.04937404223053815,0.04952045223053815,0.22253191283620008,0.8562847534621529,0.8536883868984619,0.04721951735467406,-0.00010330245853707103,-22203797.78451141,-2032865.4610348851,0.00010177523574015852,9.920389726587578e-05,491.2222485064765,466.7144663567689,1126719.8608328197,99275.74880802906,2.8936324319904996,0.2549591397534433,1070506.1918123385,94322.73938727562,2.7492649619091507,0.24223886278481604,"[0.186,0.223]",0.205,"[0.045,0.070]",0.056
6,12,0.1196,145.0,0.0171,3280.0,260.0,1,0.0031,0.1227,0.1025,0.1056,0.95971,0.0062926,0.0,3147.8487999999998,250.3767648506426,2.5307274153917776,0.9095760221444957,0.0904239778555042,10.059013590377335,0.0022834842822268275,0.014816515717773173,2.894010933453939,1.0525112974127808,0.04460196982187749,0.047141942672195555,0.047434352672195555,0.21779428980621957,0.8678431893071226,0.8653032164568045,0.04707474164103794,-5.830155501709991e-05,-53992535.86077991,-4459572.303410118,0.00010177523574015855,9.920389726587581e-05,492.8827285062415,468.29210262903194,1551520.305469098,123406.38301415034,3.9846013466725743,0.3169312307501532,1474112.733310275,117249.46166136212,3.7858038735235233,0.301119077324124,"[0.186,0.223]",0.205,"[0.045,0.070]",0.056
6,12,0.1196,145.0,0.0221,7220.0,410.0,1,0.0031,0.1227,0.0975,0.10060000000000001,0.95971,0.0062926,0.0,6929.106199999999,396.095310065324,2.5307274153917776,0.9095760221444957,0.0904239778555042,10.059013590377335,0.0022834842822268275,0.019816515717773174,2.894010933453939,1.0525112974127808,0.04242626397690786,0.04490984311385297,0.04539825311385297,0.2130686582157333,0.8794016251520922,0.8769180460151471,0.04686734528065708,-1.3313448436131427e-05,-520459160.76822495,-30795928.039748076,0.00010177523574015855,9.920389726587581e-05,495.2793390766888,470.5691428625558,3431843.1391281863,196177.8233805298,8.813630569665506,0.5038222293797253,3260623.5653376207,186390.23054931778,8.373905906122467,0.4786858161220601,"[0.186,0.223]",0.205,"[0.035,0.045]",0.04
6,12,0.1597,90.0,0.0022,122300.0,5450.0,1,0.0031,0.1628,0.1575,0.1606,0.95971,0.0062926,0.0,117372.533,5286.733319113217,1.5707963267948966,0.5000000000000001,0.5000000000000001,0.9999999999999998,0.002249508450974047,-4.9508450974046925e-05,2.894010933453939,1.0391995950453436,0.05030550000000002,0.05229136000000001,0.05229620000000001,0.22868362424974817,0.834179123729,0.832193263729,0.3333127660887271,-0.0002737739895096017,-428720541.3861405,-19906931.29673248,0.001044525478040715,0.0010246358651296204,331.67464289806543,319.1635605704729,38929492.9688164,1753475.3857141803,99.9783951019105,4.503260678345724,37461035.54545533,1687332.6299147282,96.20711514764218,4.333393411444923,"[0.223,0.270]",0.24,"[0.045,0.070]",0.056
