Z,A,E0,ThetaDeg,nu,cross,error,dataSet
26,56,0.1503,90,0.078,38559,3360.6,Altemus:1973
26,56,0.1503,90,0.08825,29398,5352.4,Altemus:1973
26,56,0.19,140,0.11472,8104.0377,318.790339,Altemus:1973
26,56,0.19,140,0.12532,7382.811,338.4237848,Altemus:1973
26,56,0.2004,90,0.12503,13995.036,1582.953356,Altemus:1973
26,56,0.2004,90,0.13513,13088.088,2737.185126,Altemus:1973
26,56,0.2203,140,0.12717,8595.63208,319.1236866,Altemus:1973
26,56,0.2203,140,0.13745,7029.01192,285.4133713,Altemus:1973
26,56,0.2203,140,0.14772,5710.72376,266.7262468,Altemus:1973
26,56,0.2203,140,0.15808,4919.81168,288.5328965,Altemus:1973
26,56,0.2497,90,0.14158,13132.854,575.1999293,Altemus:1973
26,56,0.2497,90,0.15142,11066.741,530.7072202,Altemus:1973
26,56,0.2497,90,0.15759,10102.15325,586.5695,Altemus:1973
26,56,0.2497,90,0.16376,8876.50785,704.310096,Altemus:1973
26,56,0.2497,90,0.1699,9387.3395,939.5549805,Altemus:1973
26,56,0.2497,90,0.17617,10512.08935,1310.81281,Altemus:1973
26,56,0.2497,90,0.18233,10798.23395,1852.834057,Altemus:1973
26,56,0.2497,90,0.1885,14382.8195,2696.594383,Altemus:1973
26,56,0.2503,160,0.17768,3781.22976,127.2,Altemus:1973
26,56,0.2503,160,0.18789,3889.7343,154.31,Altemus:1973
26,56,0.291,140,0.19454,4108.89908,133.8018673,Altemus:1973
26,56,0.291,140,0.20515,4200.44944,142.4736708,Altemus:1973
26,56,0.291,140,0.21574,4553.4258,160.6107937,Altemus:1973
26,56,0.291,140,0.22637,5031.78412,191.3992114,Altemus:1973
26,56,0.2994,160,0.21474,3315.70737,156.14,Altemus:1973
26,56,0.2994,160,0.22182,3649.97718,185.14,Altemus:1973
26,56,0.2994,160,0.23009,4032.81225,193.11,Altemus:1973
26,56,0.2994,160,0.23726,4317.52383,226.52,Altemus:1973
26,56,0.3299,140,0.22643,3641.00336,145.6426528,Altemus:1973
26,56,0.3299,140,0.23683,3758.09608,156.0523725,Altemus:1973
26,56,0.3299,140,0.2471,4291.90952,176.6815636,Altemus:1973
26,56,0.3299,140,0.25737,4932.9232,206.4135249,Altemus:1973
26,56,0.3299,140,0.2677,6087.77512,267.0538108,Altemus:1973
26,56,0.3686,160,0.286,3453.63993,156.9541159,Altemus:1973
26,56,0.3686,160,0.30133,4640.32935,203.3178745,Altemus:1973
26,56,0.9,85,0.3253,8.34E+01,1.91E+00,Chen:1990kq
26,56,0.9,85,0.3593,2.07E+02,3.34E+00,Chen:1990kq
26,56,0.9,85,0.3903,3.64E+02,4.68E+00,Chen:1990kq
26,56,0.9,85,0.4203,5.44E+02,6.92E+00,Chen:1990kq
26,56,0.9,85,0.4483,6.79E+02,8.64E+00,Chen:1990kq
26,56,0.9,85,0.4753,7.86E+02,9.93E+00,Chen:1990kq
26,56,0.9,85,0.5003,8.87E+02,1.13E+01,Chen:1990kq
26,56,0.9,85,0.5233,1.01E+03,1.54E+01,Chen:1990kq
26,56,0.9,85,0.5453,1.09E+03,1.93E+01,Chen:1990kq
26,56,0.9,85,0.5663,1.23E+03,2.26E+01,Chen:1990kq
26,56,0.9,85,0.5863,1.29E+03,2.66E+01,Chen:1990kq
26,56,0.9,85,0.6043,1.43E+03,3.45E+01,Chen:1990kq
26,56,0.9,85,0.6333,1.69E+03,3.36E+01,Chen:1990kq
26,56,0.9,85,0.6633,2.02E+03,4.13E+01,Chen:1990kq
26,56,0.9,85,0.6933,2.44E+03,5.49E+01,Chen:1990kq
26,56,1.1,85,0.5008,6.37E+01,1.32E+00,Chen:1990kq
26,56,1.1,85,0.5358,1.24E+02,1.60E+00,Chen:1990kq
26,56,1.1,85,0.5688,1.87E+02,2.42E+00,Chen:1990kq
26,56,1.1,85,0.5998,2.46E+02,3.41E+00,Chen:1990kq
26,56,1.1,85,0.6288,3.01E+02,4.52E+00,Chen:1990kq
26,56,1.1,85,0.6568,3.62E+02,5.33E+00,Chen:1990kq
26,56,1.1,85,0.6828,4.11E+02,6.90E+00,Chen:1990kq
26,56,1.1,85,0.7068,4.75E+02,8.17E+00,Chen:1990kq
26,56,1.1,85,0.7298,5.68E+02,1.14E+01,Chen:1990kq
26,56,1.1,85,0.7518,6.32E+02,1.35E+01,Chen:1990kq
26,56,1.1,85,0.7718,7.28E+02,1.60E+01,Chen:1990kq
26,56,1.1,85,0.7918,8.03E+02,1.77E+01,Chen:1990kq
26,56,1.25,85,0.8331,3.04E+02,5.40E+00,Chen:1990kq
26,56,1.25,85,0.8414,3.24E+02,5.83E+00,Chen:1990kq
26,56,1.25,85,0.8498,3.42E+02,6.41E+00,Chen:1990kq
26,56,1.25,85,0.8581,3.61E+02,7.00E+00,Chen:1990kq
26,56,2.7,15,0.1285,1.76E+04,6.76E+02,Chen:1990kq
26,56,2.7,15,0.141,2.36E+04,7.69E+02,Chen:1990kq
26,56,2.7,15,0.1536,3.11E+04,8.70E+02,Chen:1990kq
26,56,2.7,15,0.1661,3.67E+04,9.28E+02,Chen:1990kq
26,56,2.7,15,0.1786,4.58E+04,1.02E+03,Chen:1990kq
