Z,A,E0,ThetaDeg,nu,cross,error,dataSet,stat_err,system_err_abs,normalization,normError
26,56,3.748,28.725,2.664,1045.52,77.99897435,E140_1,72.8,28,1,0.026
26,56,4.006,24.907,2.664,1464.4,57.65552879,E140_1,50.4,28,1,0.026
26,56,4.251,22.205,2.665,1834.56,72.8,E140_1,67.2,28,1,0.026
26,56,5.507,14.519,2.664,4978.96,56,E140_1,44.8,33.6,1,0.026
26,56,6.251,12.124,2.665,7593.6,516.2944896,E140_1,392,336,1,0.026
26,56,5.507,24.521,3.997,663.6,62.60990337,E140_1,56,28,1,0.026
26,56,6.25,18.784,3.997,1182.72,43.73739819,E140_1,33.6,28,1,0.026
26,56,7.002,15.344,3.997,1883.28,43.73739819,E140_1,33.6,28,1,0.026
26,56,7.498,13.727,3.996,2418.08,51.62944896,E140_1,39.2,33.6,1,0.026
26,56,8.251,11.866,3.997,3394.16,47.5175757,E140_1,33.6,33.6,1,0.026
26,56,8.251,25.223,6.662,206.92,9.569284195,E140_1,8.96,3.36,1,0.026
26,56,10.243,14.999,6.661,669.76,43.73739819,E140_1,33.6,28,1,0.026
26,56,11.744,11.746,6.661,1163.12,51.62944896,E140_1,39.2,33.6,1,0.026
26,56,3.748,30.309,2.284,632.24,62.60990337,E140_1,56,28,1,0.026
26,56,4.007,26.954,2.284,833.84,52.83029434,E140_1,44.8,28,1,0.026
26,56,4.25,24.462,2.284,1020.88,52.83029434,E140_1,44.8,28,1,0.026
26,56,5.507,16.716,2.284,2516.64,56,E140_1,44.8,33.6,1,0.026
26,56,7.002,12.232,2.284,5106.64,75.13188404,E140_1,67.2,33.6,1,0.026
26,56,5.501,30.01,3.806,205.408,6.766505745,E140_1,6.16,2.8,1,0.026
26,56,6.25,23.345,3.807,367.248,5.765552879,E140_1,5.04,2.8,1,0.026
26,56,7.081,18.901,3.807,593.04,48.1730215,E140_1,39.2,28,1,0.026
26,56,7.498,17.284,3.806,733.04,48.1730215,E140_1,39.2,28,1,0.026
26,56,9.71,11.987,3.806,1670.48,51.62944896,E140_1,39.2,33.6,1,0.026
26,56,10.243,24.879,7.613,68.32,7.28,E140_1,6.72,2.8,1,0.026
26,56,11.753,18.446,7.613,132.776,5.283029434,E140_1,4.48,2.8,1,0.026
26,56,13.32,14.735,7.613,220.136,4.81730215,E140_1,3.92,2.8,1,0.026
26,56,15.004,12.189,7.613,338.968,4.373739819,E140_1,3.36,2.8,1,0.026
26,56,3.749,46.178,2.665,79.072,7.016779888,E140_1,6.16,3.36,1,0.026
26,56,4.251,35.441,2.664,136.864,6.260990337,E140_1,5.6,2.8,1,0.026
26,56,5.502,23.082,2.664,364.224,6.766505745,E140_1,6.16,2.8,1,0.026
26,56,7.082,16.25,2.664,796.88,48.1730215,E140_1,39.2,28,1,0.026
26,56,9.248,11.63,2.664,1680.56,48.1730215,E140_1,39.2,28,1,0.026
26,56,7.084,36.974,5.329,25.0936,1.276996476,E140_1,1.232,0.336,1,0.026
26,56,8.25,26.33,5.329,52.0632,0.676650575,E140_1,0.616,0.28,1,0.026
26,56,9.71,19.741,5.329,98.112,5.765552879,E140_1,5.04,2.8,1,0.026
26,56,13.316,12.448,5.329,276.584,5.283029434,E140_1,4.48,2.8,1,0.026
26,56,3.748,28.725,2.664,1030.4,83.24998498,E140_2,78.4,28,0.982318271,0.026
26,56,4.006,24.907,2.664,1408.4,52.83029434,E140_2,44.8,28,0.982318271,0.026
26,56,4.251,22.205,2.665,1839.6,52.83029434,E140_2,44.8,28,0.982318271,0.026
26,56,5.507,14.519,2.664,4914,56,E140_2,44.8,33.6,0.982318271,0.026
26,56,6.251,12.124,2.665,7504,516.2944896,E140_2,392,336,0.982318271,0.026
26,56,3.749,46.178,2.665,77.336,5.162944896,E140_2,3.92,3.36,0.982318271,0.026
26,56,9.248,11.63,2.664,1654.24,104.6166335,E140_2,100.8,28,0.982318271,0.026
26,56,15.1,11.818,11.975,6.67E+02,19.37937047,E139,1.34E+01,1.40E+01,1,0.026
26,56,12.095,11.824,8.198,1.10E+03,27.59746365,E139,1.51E+01,2.31E+01,1,0.026
26,56,24.508,11.076,19.032,2.10E+02,6.445005818,E139,4.70E+00,4.41E+00,1,0.026
26,56,9.693,11.841,4.844,2.01E+03,50.97842681,E139,2.86E+01,4.22E+01,1,0.026
26,56,17.307,13.542,12.111,2.04E+02,5.031997615,E139,2.63E+00,4.29E+00,1,0.026
26,56,8.009,13.595,3.553,1.84E+03,47.13066942,E139,2.69E+01,3.87E+01,1,0.026
26,56,12.097,20.655,8.882,9.42E+01,2.596690201,E139,1.68E+00,1.98E+00,1,0.026
26,56,15.092,13.262,8.882,2.63E+02,6.653638103,E139,3.70E+00,5.53E+00,1,0.026
26,56,24.507,14.13,17.763,4.79E+01,1.471393897,E139,1.07E+00,1.01E+00,1,0.026
26,56,8.013,12.402,2.664,2.52E+03,63.59638354,E139,3.53E+01,5.29E+01,1,0.026
26,56,12.093,15.859,6.661,1.81E+02,4.364974227,E139,2.13E+00,3.81E+00,1,0.026
26,56,21.2,14.056,13.322,4.81E+01,1.225453385,E139,6.94E-01,1.01E+00,1,0.026
26,56,7.989,11.865,2.132,2.63E+03,64.31205175,E139,3.30E+01,5.52E+01,1,0.026
26,56,9.695,19.789,5.329,9.23E+01,2.329742475,E139,1.29E+00,1.94E+00,1,0.026
26,56,12.084,14.216,5.329,1.98E+02,4.832928719,E139,2.46E+00,4.16E+00,1,0.026
26,56,17.315,16.938,10.658,2.54E+01,0.678593398,E139,4.20E-01,5.33E-01,1,0.026
26,56,12.104,13.333,4.441,1.70E+02,4.157138439,E139,2.13E+00,3.57E+00,1,0.026
26,56,17.297,15.06,8.882,2.27E+01,0.586122854,E139,3.42E-01,4.76E-01,1,0.026
26,56,21.197,17.241,13.322,6.33E+00,0.167002994,E139,1.01E-01,1.33E-01,1,0.026
26,56,8.011,22.212,3.806,3.53E+01,0.977816445,E139,6.38E-01,7.41E-01,1,0.026
26,56,12.072,12.853,3.806,1.23E+02,3.174728335,E139,1.85E+00,2.58E+00,1,0.026
26,56,15.102,17.1,7.613,1.01E+01,0.277461709,E139,1.79E-01,2.12E-01,1,0.026
26,56,15.09,16.119,6.661,6.1096,0.174043272,E139,0.1176,0.1283016,1,0.026
