Data:Z,A,E0,ThetaDeg,nu,cross,error,dataSet,Fit:ep,theta,nu_fit,Ex,W2,q2,sigtot,sigqe,sigie,sigmec,nuccstot,signonuc,ratio
26,56,0.1003,140.0,0.00189,19163.6313,6070.066355,Altemus:1973,0.0984,140.0000,0.0019,0.0007,0.8490,0.0349,283.91999999999996,0.0,0.0,0.0,283.91999999999996,0.0,67.49658812341507
26,56,0.1003,140.0,0.00448,20891.8778,6622.125976,Altemus:1973,0.0958,140.0000,0.0045,0.0033,0.8548,0.0339,15867.748,0.0,0.0,0.0,15867.748,0.0,1.3166252577240323
26,56,0.1003,140.0,0.00913,16033.1987,5082.431448,Altemus:1973,0.0912,140.0000,0.0091,0.008,0.8652,0.0323,15844.555999999997,0.0,0.0,0.0,15844.555999999997,0.0,1.0119058369322564
26,56,0.1003,140.0,0.01463,20625.8479,6538.14926,Altemus:1973,0.0857,140.0000,0.0146,0.0135,0.8775,0.0304,6859.267999999999,0.0,0.0,0.0,6859.267999999999,0.0,3.0070042313552996
26,56,0.1003,140.0,0.01992,21780.9611,6905.188209,Altemus:1973,0.0804,140.0000,0.0199,0.0188,0.8893,0.0285,36411.64799999999,4054.544,0.0,362.0759999999999,31995.028,4416.672,0.5981866324754103
26,56,0.1003,140.0,0.02519,25016.2891,7930.8289,Altemus:1973,0.0751,140.0000,0.0252,0.024,0.9010,0.0266,46711.652,19774.612,0.0,1416.6879999999999,25520.3,21191.352,0.535547085767808
26,56,0.1003,140.0,0.03047,26882.9217,8523.995103,Altemus:1973,0.0698,140.0000,0.0305,0.0293,0.9128,0.0247,42826.263999999996,31516.159999999993,0.0,2138.812,9171.24,33655.024,0.6277204497688615
26,56,0.1003,140.0,0.03576,28721.7507,9109.834553,Altemus:1973,0.0645,140.0000,0.0358,0.0346,0.9246,0.0229,42236.636,36875.384000000005,0.0,2443.0640000000003,2918.1879999999996,39318.448000000004,0.6800198458040078
26,56,0.1003,140.0,0.04105,28773.5665,9132.3838,Altemus:1973,0.0592,140.0000,0.0411,0.0399,0.9364,0.0210,40734.2,36592.4,0.0,2448.1079999999997,1693.6920000000002,39040.507999999994,0.7063736737188898
26,56,0.1009,160.0,0.0022,3244.84542,232.78,Altemus:1973,0.0987,160.0000,0.0022,0.0009,0.8458,0.0386,78.104,0.0,0.0,0.0,78.104,0.0,41.545188722728675
26,56,0.1009,160.0,0.00506,5863.9392,260.24,Altemus:1973,0.0958,160.0000,0.0051,0.0038,0.8523,0.0375,4684.732,0.0,0.0,0.0,4684.732,0.0,1.251712840777231
26,56,0.1009,160.0,0.01017,8821.99683,328.3,Altemus:1973,0.0907,160.0000,0.0102,0.0089,0.8639,0.0355,3394.715999999999,0.0,0.0,0.0,3394.715999999999,0.0,2.598743703449715
26,56,0.1009,160.0,0.01537,12919.4424,409.44,Altemus:1973,0.0855,160.0000,0.0154,0.0141,0.8757,0.0335,4573.295999999999,0.0,0.0,0.0,4573.295999999999,0.0,2.8249740231115594
26,56,0.1009,160.0,0.02061,15226.7436,468.41,Altemus:1973,0.0803,160.0000,0.0206,0.0193,0.8876,0.0314,30636.423999999995,4105.348,0.0,466.17999999999995,26064.947999999997,4571.476000000001,0.49701439045235835
26,56,0.1009,160.0,0.02623,19069.5375,552.69,Altemus:1973,0.0747,160.0000,0.0262,0.0249,0.9003,0.0292,33352.07199999999,17342.0,0.0,1652.3519999999999,14357.72,18994.352,0.5717647017552614
26,56,0.1009,160.0,0.03136,21414.7521,617.14,Altemus:1973,0.0695,160.0000,0.0314,0.0301,0.9120,0.0272,30411.732,24825.32,0.0,2253.992,3332.42,27079.311999999998,0.7041608843587074
