Data:Z,A,E0,ThetaDeg,nu,cross,error,dataSet,Fit:ep,theta,nu_fit,Ex,W2,q2,sigtot,sigqe,sigie,sigmec,nuccstot,signonuc,ratio
26,56,3.748,28.725,2.664,1045.52,72.8,E140_1,1.0840,28.7250,2.6640,2.6062,4.8795,1.0000,959.5039999999998,0.052,959.4519999999999,0.0,0.0,959.5039999999998,1.08964631726392
26,56,4.006,24.907,2.664,1464.4,50.4,E140_1,1.3420,24.9070,2.6640,2.6157,4.8794,1.0000,1328.1839999999997,0.052,1328.08,0.0,0.0,1328.1839999999997,1.1025580793022656
26,56,4.251,22.205,2.665,1834.56,67.2,E140_1,1.5860,22.2050,2.6650,2.623,4.8813,1.0000,1729.936,0.104,1729.8839999999996,0.0,0.0,1729.936,1.0604785379343513
26,56,5.507,14.519,2.664,4978.96,44.8,E140_1,2.8430,14.5190,2.6640,2.6378,4.8795,1.0000,4657.38,0.25999999999999995,4657.172,0.0,0.0,4657.38,1.0690474043346259
26,56,6.251,12.124,2.665,7593.6,392.0,E140_1,3.5860,12.1240,2.6650,2.6432,4.8814,1.0000,7079.851999999999,0.364,7079.539999999998,0.0,0.0,7079.851999999999,1.0725647937273266
26,56,5.507,24.521,3.997,663.6,56.0,E140_1,1.5100,24.5210,3.9970,3.9229,6.8809,1.5000,588.5879999999999,0.0,588.5879999999999,0.0,0.0,588.5879999999999,1.127443984586842
26,56,6.25,18.784,3.997,1182.72,33.6,E140_1,2.2530,18.7840,3.9970,3.9448,6.8809,1.5000,1080.196,0.0,1080.196,0.0,0.0,1080.196,1.0949124047857983
26,56,7.002,15.344,3.997,1883.28,33.6,E140_1,3.0050,15.3440,3.9970,3.9563,6.8809,1.5000,1725.516,0.0,1725.516,0.0,0.0,1725.516,1.091430041796193
26,56,7.498,13.727,3.996,2418.08,39.2,E140_1,3.5020,13.7270,3.9960,3.9602,6.8790,1.5000,2236.78,0.0,2236.78,0.0,0.0,2236.78,1.0810540151467734
26,56,8.251,11.866,3.997,3394.16,33.6,E140_1,4.2540,11.8660,3.9970,3.9666,6.8808,1.5001,3139.1359999999995,0.0,3139.1359999999995,0.0,0.0,3139.1359999999995,1.0812401883830456
26,56,8.251,25.223,6.662,206.92,8.96,E140_1,1.5890,25.2230,6.6620,6.5265,10.8818,2.5001,191.61999999999998,0.0,191.61999999999998,0.0,0.0,191.61999999999998,1.0798455276067218
26,56,10.243,14.999,6.661,669.76,33.6,E140_1,3.5820,14.9990,6.6610,6.597,10.8800,2.5001,611.572,0.0,611.572,0.0,0.0,611.572,1.0951449706657597
26,56,11.744,11.746,6.661,1163.12,39.2,E140_1,5.0830,11.7460,6.6610,6.6143,10.8800,2.5001,1074.632,0.0,1074.632,0.0,0.0,1074.632,1.0823426065853239
26,56,3.748,30.309,2.284,632.24,56.0,E140_1,1.4640,30.3090,2.2840,2.2198,3.6664,1.5000,598.0,1.56,596.4399999999999,0.0,0.0,598.0,1.057257525083612
26,56,4.007,26.954,2.284,833.84,44.8,E140_1,1.7230,26.9540,2.2840,2.2276,3.6664,1.5000,783.1199999999999,2.0279999999999996,781.0919999999999,0.0,0.0,783.1199999999999,1.0647665747267343
26,56,4.25,24.462,2.284,1020.88,44.8,E140_1,1.9660,24.4620,2.2840,2.2332,3.6663,1.5000,979.7840000000001,2.496,977.2359999999999,0.0,0.0,979.7840000000001,1.041943938664032
26,56,5.507,16.716,2.284,2516.64,44.8,E140_1,3.2230,16.7160,2.2840,2.2493,3.6663,1.5001,2363.9719999999993,5.8759999999999994,2358.044,0.0,0.0,2363.9719999999993,1.0645811371708298
26,56,7.002,12.232,2.284,5106.64,67.2,E140_1,4.7180,12.2320,2.2840,2.2581,3.6664,1.5000,4829.343999999999,11.803999999999998,4817.540000000001,0.0,0.0,4829.343999999999,1.0574189786438906
26,56,5.501,30.01,3.806,205.408,6.16,E140_1,1.6950,30.0100,3.8060,3.6961,5.5224,2.5000,195.31199999999995,0.104,195.208,0.0,0.0,195.31199999999995,1.0516916523306301
26,56,6.25,23.345,3.807,367.248,5.04,E140_1,2.4430,23.3450,3.8070,3.7268,5.5244,2.4999,344.448,0.156,344.292,0.0,0.0,344.448,1.0661928651059087
26,56,7.081,18.901,3.807,593.04,39.2,E140_1,3.2740,18.9010,3.8070,3.7444,5.5243,2.5001,559.312,0.208,559.0519999999999,0.0,0.0,559.312,1.060302657550705
26,56,7.498,17.284,3.806,733.04,39.2,E140_1,3.6920,17.2840,3.8060,3.7494,5.5224,2.5001,687.5439999999999,0.25999999999999995,687.232,0.0,0.0,687.5439999999999,1.0661717650070397
26,56,9.71,11.987,3.806,1670.48,39.2,E140_1,5.9040,11.9870,3.8060,3.7677,5.5224,2.5001,1596.9719999999998,0.624,1596.2959999999998,0.0,0.0,1596.9719999999998,1.0460296110388914
26,56,10.243,24.879,7.613,68.32,6.72,E140_1,2.6300,24.8790,7.6130,7.4387,10.1665,5.0000,65.364,0.0,65.364,0.0,0.0,65.364,1.0452236705219997
26,56,11.753,18.446,7.613,132.776,4.48,E140_1,4.1400,18.4460,7.6130,7.4984,10.1667,4.9998,127.036,0.0,127.036,0.0,0.0,127.036,1.0451840423187129
26,56,13.32,14.735,7.613,220.136,3.92,E140_1,5.7070,14.7350,7.6130,7.5274,10.1665,5.0000,211.63999999999993,0.0,211.63999999999993,0.0,0.0,211.63999999999993,1.0401436401436406
26,56,15.004,12.189,7.613,338.968,3.36,E140_1,7.3910,12.1890,7.6130,7.5453,10.1666,4.9999,327.0799999999999,0.0,327.0799999999999,0.0,0.0,327.0799999999999,1.0363458481105543
26,56,3.749,46.178,2.665,79.072,6.16,E140_1,1.0840,46.1780,2.6650,2.5204,3.3814,2.5000,73.78799999999998,0.468,73.32,0.0,0.0,73.78799999999998,1.0716105599826533
26,56,4.251,35.441,2.664,136.864,5.6,E140_1,1.5870,35.4410,2.6640,2.559,3.3795,2.5000,132.33999999999997,0.78,131.56,0.0,0.0,132.33999999999997,1.0341846758349709
26,56,5.502,23.082,2.664,364.224,6.16,E140_1,2.8380,23.0820,2.6640,2.5983,3.3794,2.5001,351.78000000000003,1.9759999999999998,349.804,0.0,0.0,351.78000000000003,1.035374381715845
26,56,7.082,16.25,2.664,796.88,39.2,E140_1,4.4180,16.2500,2.6640,2.6176,3.3795,2.4999,786.5519999999999,4.316,782.1320000000001,0.052,0.0,786.5519999999999,1.0131307275297756
