Z,A,E0,ThetaDeg,dataSet,normalization,normError,system_err
26,56,0.1003,140,Altemus:1973,1.0573,0.019638366,0.037-0.053
26,56,0.1009,160,Altemus:1973,1.009,0.046264449,0.037-0.053
26,56,0.1305,140,Altemus:1973,0.9839,0.019638366,0.037-0.053
26,56,0.1503,90,Altemus:1973,0.8628,0.049317889,0.037-0.053
26,56,0.1507,160,Altemus:1973,1.1519,0.046264449,0.037-0.053
26,56,0.1603,140,Altemus:1973,0.9999,0.019638366,0.037-0.053
26,56,0.1754,160,Altemus:1973,1.10195,0.046264449,0.037-0.053
26,56,0.19,140,Altemus:1973,1.0186,0.019638366,0.037-0.053
26,56,0.2004,90,Altemus:1973,1.0131,0.049317889,0.037-0.053
26,56,0.2008,160,Altemus:1973,1.1386,0.046264449,0.037-0.053
26,56,0.2203,140,Altemus:1973,1.0024,0.019638366,0.037-0.053
26,56,0.2251,160,Altemus:1973,1.0914,0.046264449,0.037-0.053
26,56,0.2497,90,Altemus:1973,0.962,0.049317889,0.037-0.053
26,56,0.2498,140,Altemus:1973,0.9997,0.019638366,0.037-0.053
26,56,0.2503,160,Altemus:1973,1.105,0.046264449,0.037-0.053
26,56,0.291,140,Altemus:1973,1.0089,0.019638366,0.037-0.053
26,56,0.2988,90,Altemus:1973,1.0108,0.049317889,0.037-0.053
26,56,0.2994,160,Altemus:1973,1.11885,0.046264449,0.037-0.053
26,56,0.3208,90,Altemus:1973,0.9941,0.049317889,0.037-0.053
26,56,0.3299,140,Altemus:1973,1.0103,0.019638366,0.037-0.053
26,56,0.3488,90,Altemus:1973,0.99165,0.049317889,0.037-0.053
26,56,0.3686,140,Altemus:1973,0.9947,0.019638366,0.037-0.053
26,56,0.3686,160,Altemus:1973,1.172,0.046264449,0.037-0.053
26,56,0.3726,90,Altemus:1973,1.0054,0.049317889,0.037-0.053
26,56,2.015,35.51,Arrington:1995hs,0.9614,0,0.035
26,56,3.188,47.68,Arrington:1995hs,0.9614,0,0.035
26,56,4.212,53.39,Arrington:1995hs,0.9614,0,0.035
26,56,5.12,56.64,Arrington:1995hs,0.9614,0,0.035
26,56,4.045,15,Arrington:1998ps,0.9772,0,0.035
26,56,4.045,23,Arrington:1998ps,0.9772,0,0.035
26,56,4.045,30,Arrington:1998ps,0.9772,0,0.035
26,56,4.045,37,Arrington:1998ps,0.9772,0,0.035
26,56,4.045,45,Arrington:1998ps,0.9772,0,0.035
26,56,4.045,55,Arrington:1998ps,0.9772,0,0.035
26,56,4.045,74,Arrington:1998ps,0.9772,0,0.035
26,56,1.5,11.939,Baran:1988tw,0.975093311,0,0.035
26,56,1.5,13.539,Baran:1988tw,0.975093311,0,0.035
26,56,1.65,11.939,Baran:1988tw,0.975093311,0,0.035
26,56,1.65,13.539,Baran:1988tw,0.975093311,0,0.035
26,56,2.02,15.022,Day:1993md,1.01436413,0,0.035
26,56,2.02,20.016,Day:1993md,1.01436413,0,0.035
26,56,3.595,16.02,Day:1993md,1.01436413,0,0.035
26,56,3.595,20.016,Day:1993md,1.01436413,0,0.035
26,56,3.595,25.012,Day:1993md,1.01436413,0,0.035
26,56,3.595,30.01,Day:1993md,1.01436413,0,0.035
26,56,3.595,39.007,Day:1993md,1.01436413,0,0.035
26,56,3.605,16.02,Day:1993md,1.01436413,0,0.035
26,56,3.995,30.05,Day:1993md,1.01436413,0,0.035
26,56,,,E04001,1,0,0.03
26,56,0.1546,180,Hotta:1984,1.0801,0.057387925,0.05
26,56,0.1737,180,Hotta:1984,1.01855,0.057387925,0.05
26,56,0.1922,180,Hotta:1984,0.9939,0.057387925,0.05
26,56,0.2065,180,Hotta:1984,0.9901,0.057387925,0.05
26,56,0.2211,180,Hotta:1984,1.0311,0.057387925,0.05
26,56,0.2356,180,Hotta:1984,0.9912,0.057387925,0.05
26,56,0.2519,180,Hotta:1984,1.01,0.057387925,0.05
26,56,0.2712,180,Hotta:1984,0.9786,0.057387925,0.05
26,56,0.2928,180,Hotta:1984,0.9135,0.057387925,0.05
26,56,0.3122,180,Hotta:1984,0.96,0.057387925,0.05
26,56,0.3331,180,Hotta:1984,0.8463,0.057387925,0.05
26,56,0.5553,180,Hotta:1984,0.9428,0.057387925,0.05
26,56,,,Meziani:1984is,1,0,0.037-0.053
26,56,0.961,37.5,Sealock:1989nx,1.009363057,0.0098,0.035
26,56,0.961,37.5,Sealock:1989nx,0.995801266,0.0098,0.035
26,56,1.108,37.5,Sealock:1989nx,0.9902,0.0098,0.035
26,56,1.299,37.5,Sealock:1989nx,0.9826,0.0098,0.035
