Z,A,E0,ThetaDeg,nu,cross,error,dataSet
1,1,5.540287167,12.85652416,1.1988,4.84E+04,1.86E+03,1
1,1,5.552101342,12.82792971,1.2223,4.86E+04,1.91E+03,1
1,1,5.562460658,12.79698277,1.2452,4.94E+04,1.97E+03,1
1,1,5.575140604,12.76063819,1.2686,5.28E+04,2.14E+03,1
1,1,5.547260239,12.83731422,1.2921,6.05E+04,2.50E+03,1
1,1,5.560797157,12.79753624,1.315,7.22E+04,2.99E+03,1
1,1,5.575920341,12.75899436,1.3379,7.93E+04,3.65E+03,1
1,1,5.553686552,12.82114502,1.3614,8.40E+04,3.08E+03,1
1,1,5.568410844,12.77701497,1.3837,7.44E+04,2.73E+03,1
1,1,5.550482877,12.8233243,1.4077,6.37E+04,2.34E+03,1
1,1,5.570464812,12.77191045,1.4312,5.72E+04,2.09E+03,1
1,1,5.551631581,12.81841994,1.4535,5.46E+04,2.00E+03,1
1,1,5.573005708,12.76292284,1.477,5.32E+04,1.97E+03,1
1,1,5.560627758,12.79934068,1.5004,5.51E+04,2.06E+03,1
1,1,5.549350185,12.82739789,1.5239,5.60E+04,2.13E+03,1
1,1,5.570560201,12.76514688,1.5468,5.88E+04,2.30E+03,1
1,1,5.562407675,12.79028925,1.5703,6.52E+04,2.59E+03,1
1,1,5.552388348,12.8132989,1.5926,7.02E+04,2.79E+03,1
1,1,5.547216737,12.83062346,1.6161,7.72E+04,2.33E+03,1
1,1,5.542037401,12.84726426,1.639,7.61E+04,2.20E+03,1
1,1,5.56860052,12.77055484,1.663,7.06E+04,2.02E+03,1
1,1,5.564491775,12.7779587,1.6859,6.64E+04,1.90E+03,1
1,1,5.563394956,12.7852563,1.7211,6.01E+04,1.78E+03,1
1,1,5.563569081,12.78347376,1.7674,5.74E+04,1.72E+03,1
1,1,5.566133791,12.77389655,1.8133,5.77E+04,1.31E+03,1
1,1,5.551044146,12.81704833,1.8601,5.81E+04,1.33E+03,1
1,1,5.5606906,12.78684372,1.906,5.77E+04,1.33E+03,1
1,1,5.552645125,12.80911516,1.9523,5.89E+04,1.34E+03,1
1,1,5.54978644,12.81734427,1.9992,5.94E+04,1.34E+03,1
1,1,5.547998647,12.82054503,2.0451,5.92E+04,1.33E+03,1
1,1,5.549349604,12.8142926,2.0909,5.87E+04,1.31E+03,1
1,1,5.570989323,15.22585974,1.3113,3.41E+04,1.29E+03,1
1,1,5.580518541,15.19350422,1.3331,3.26E+04,1.23E+03,1
1,1,5.590689776,15.1590483,1.355,3.12E+04,1.19E+03,1
1,1,5.570019443,15.22823523,1.3773,3.08E+04,1.20E+03,1
1,1,5.581807356,15.1883489,1.3992,3.30E+04,1.28E+03,1
1,1,5.594144483,15.1466637,1.421,3.24E+04,1.28E+03,1
1,1,5.575415155,15.20437064,1.4429,3.28E+04,1.31E+03,1
1,1,5.591065811,15.15745176,1.4653,3.41E+04,1.38E+03,1
1,1,5.574941154,15.20717213,1.4871,3.68E+04,1.51E+03,1
1,1,5.589912267,15.15637229,1.509,4.16E+04,1.75E+03,1
1,1,5.576156425,15.1986578,1.5308,4.82E+04,2.05E+03,1
1,1,5.594118278,15.14367853,1.5532,5.57E+04,2.51E+03,1
1,1,5.582490813,15.1791397,1.575,5.45E+04,2.01E+03,1
1,1,5.572223678,15.21051087,1.5969,5.12E+04,1.87E+03,1
1,1,5.589903152,15.14993402,1.6187,4.50E+04,1.30E+03,1
1,1,5.583280616,15.17523454,1.6411,4.04E+04,1.15E+03,1
1,1,5.575998564,15.19693848,1.663,3.78E+04,1.09E+03,1
1,1,5.569821005,15.21515083,1.6848,3.78E+04,1.11E+03,1
1,1,5.564686267,15.23001687,1.7067,3.75E+04,1.14E+03,1
1,1,5.586373113,15.16101399,1.7291,3.93E+04,1.22E+03,1
1,1,5.582620311,15.17103033,1.7509,4.06E+04,1.32E+03,1
1,1,5.579775026,15.17805753,1.7728,4.71E+04,1.55E+03,1
1,1,5.577789186,15.18221789,1.7946,5.07E+04,1.68E+03,1
1,1,5.578328066,15.18411053,1.817,5.50E+04,1.24E+03,1
1,1,5.575558791,15.18881233,1.8378,5.54E+04,1.13E+03,1
1,1,5.575890324,15.18509488,1.8596,5.18E+04,1.03E+03,1
1,1,5.578591274,15.17960894,1.882,4.98E+04,9.85E+02,1
1,1,5.582174335,15.16650809,1.915,4.54E+04,9.23E+02,1
1,1,5.568328797,15.20925611,1.9587,4.43E+04,9.30E+02,1
1,1,5.579742529,15.17172081,2.0035,4.40E+04,9.41E+02,1
1,1,5.572152856,15.19295775,2.0472,4.42E+04,9.55E+02,1
1,1,5.569187419,15.20482805,2.0914,4.47E+04,9.69E+02,1
1,1,5.567406361,15.20574414,2.1351,4.47E+04,9.64E+02,1
1,1,5.569625532,15.19909226,2.1793,4.52E+04,9.62E+02,1
1,1,5.57256994,15.1826285,2.223,4.56E+04,9.58E+02,1
1,1,5.564048107,15.21528679,2.2673,4.58E+04,9.59E+02,1
1,1,5.608091651,17.52684469,1.3619,1.77E+03,6.48E+02,1
1,1,5.614869223,17.50422169,1.3821,5.30E+03,1.01E+03,1
1,1,5.622029333,17.47322015,1.4029,1.43E+04,1.61E+03,1
1,1,5.602300608,17.5449173,1.4237,2.77E+04,2.08E+03,1
1,1,5.612485564,17.50771353,1.445,3.54E+04,2.03E+03,1
1,1,5.619790064,17.47768285,1.4647,3.64E+04,1.70E+03,1
1,1,5.60419406,17.53579614,1.4861,3.25E+04,1.35E+03,1
1,1,5.61597636,17.49233831,1.5074,2.76E+04,1.07E+03,1
1,1,5.599623728,17.54730315,1.5276,2.43E+04,9.16E+02,1
1,1,5.610788194,17.50771684,1.5479,2.18E+04,8.31E+02,1
1,1,5.599102509,17.55205193,1.5692,2.08E+04,8.03E+02,1
1,1,5.611212037,17.50140902,1.59,2.03E+04,7.94E+02,1
1,1,5.600141881,17.5424499,1.6108,2.05E+04,6.69E+02,1
1,1,5.612567427,17.49336097,1.631,2.13E+04,7.02E+02,1
1,1,5.603083708,17.52853402,1.6518,2.25E+04,7.41E+02,1
