qv,q2,ex,nu,RTTOT,RLTOT,RTQE,RLQE,RTIE,RLIE,RTE,RLE,RTNS,RLNS
0.16181,0.026,0.01325,0.0135,0.0714,0.341,0.0,0.0,0.0,0.0,0.0,0.0,1.52e-08,0.0426
0.16183,0.026,0.0135,0.01375,0.0792,0.341,0.0,0.0,0.0,0.0,0.0,0.0,1.81e-08,0.0503
0.16185,0.026,0.01375,0.014,0.0872,0.343,0.0,0.0,0.0,0.0,0.0,0.0,2.15e-08,0.0588
0.16187,0.026,0.014,0.01425,0.0953,0.345,0.0,0.0,0.0,0.0,0.0,0.0,2.57e-08,0.0681
0.1619,0.026,0.01425,0.0145,0.103,0.348,0.0,0.0,0.0,0.0,0.0,0.0,3.09e-08,0.078
0.16192,0.026,0.0145,0.01475,0.112,0.352,0.0,0.0,0.0,0.0,0.0,0.0,3.73e-08,0.0885
0.16194,0.026,0.01475,0.015,0.12,0.356,0.0,0.0,0.0,0.0,0.0,0.0,4.54e-08,0.0993
0.16196,0.026,0.015,0.01525,0.127,0.36,0.0,0.0,0.0,0.0,0.0,0.0,5.6e-08,0.11
0.16199,0.026,0.01525,0.0155,0.135,0.365,0.0,0.0,0.0,0.0,0.0,0.0,7.01e-08,0.121
0.16201,0.026,0.0155,0.01575,0.142,0.369,0.0,0.0,0.0,0.0,0.0,0.0,8.93e-08,0.132
0.16204,0.026,0.01575,0.016,0.149,0.373,0.0,0.0,0.0,0.0,0.0,0.0,1.16e-07,0.143
0.16206,0.026,0.016,0.01625,0.155,0.378,0.0,0.0,0.0,0.0,0.0,0.0,1.55e-07,0.152
0.16209,0.026,0.01625,0.0165,0.161,0.381,0.0,0.0,0.0,0.0,0.0,0.0,2.11e-07,0.161
0.16211,0.026,0.0165,0.01675,0.166,0.385,0.0,0.0,0.0,0.0,4.3e-06,0.0,2.93e-07,0.169
0.16214,0.026,0.01675,0.017,0.171,0.389,0.0,0.0,0.0,0.0,7.02e-05,0.0,4.15e-07,0.175
0.16217,0.026,0.017,0.01725,0.176,0.392,0.0,0.0,0.0,0.0,0.000105,0.0,5.97e-07,0.18
0.16219,0.026,0.01725,0.0175,0.18,0.396,0.0,0.0,0.0,0.0,0.000136,0.0,8.69e-07,0.183
0.16222,0.026,0.0175,0.01775,0.183,0.4,0.0,0.0,0.0,0.0,0.000167,0.0,1.27e-06,0.185
0.16225,0.026,0.01775,0.018,0.186,0.404,0.0,0.0,0.0,0.0,0.000198,0.0,1.87e-06,0.185
0.16227,0.026,0.018,0.01825,0.189,0.408,0.0,0.0,0.0,0.0,0.000231,0.0,2.75e-06,0.184
0.1623,0.026,0.01825,0.0185,0.191,0.413,0.0,0.0,0.0,0.0,0.000266,0.0,4.04e-06,0.181
0.16233,0.026,0.0185,0.01875,0.192,0.419,0.0,0.0,0.0,0.0,0.000303,0.0,5.91e-06,0.177
0.16236,0.026,0.01875,0.019,0.194,0.425,0.0,0.0,0.0,0.0,0.000341,0.0,8.61e-06,0.171
0.16239,0.026,0.019,0.01925,0.194,0.432,0.0,0.0,0.0,0.0,0.000382,0.0,1.25e-05,0.165
0.16242,0.026,0.01925,0.0195,0.195,0.439,0.0,0.0,0.0,0.0,0.000424,0.0,1.79e-05,0.158
0.16245,0.026,0.0195,0.01975,0.195,0.448,0.0,0.0,0.0,0.0,0.000468,0.0,2.55e-05,0.15
0.16248,0.026,0.01975,0.02,0.194,0.456,0.0,0.0,0.0,0.0,0.000514,0.0,3.61e-05,0.143
0.16251,0.026,0.02,0.02025,0.19399156,0.464986,0.0,0.0,0.0,0.0,0.000563,0.0,5.06e-05,0.135
0.16254,0.026,0.02025,0.0205,0.192667,0.47444699999999995,0.0,0.0,0.0,0.0,0.000613,0.0,7.04e-05,0.127
0.16257,0.026,0.0205,0.02075,0.191246,0.48375,0.0,0.0,0.0,0.0,0.000665,0.0,9.69e-05,0.12
0.16261,0.026,0.02075,0.021,0.18873,0.49388,0.0,0.0,0.0,0.0,0.000718,0.0,0.000132,0.113
0.16264,0.026,0.021,0.02125,0.18713,0.5028900000000001,0.0,0.0,0.0,0.0,0.000774,0.0,0.000179,0.107
0.16267,0.026,0.02125,0.0215,0.18447,0.5117700000000001,0.0,0.0,0.0,0.0,0.000831,0.0,0.00024,0.101
0.16271,0.026,0.0215,0.02175,0.18173999999999998,0.5205500000000001,0.0,0.0,0.0,0.0,0.00089,0.0,0.000318,0.096
0.16274,0.026,0.02175,0.022,0.17895,0.52823,0.0,0.0,0.0,0.0,0.000951,0.0,0.000418,0.0913
0.16277,0.026,0.022,0.02225,0.17612,0.5348200000000001,0.0,0.0,0.0,0.0,0.00101,0.0,0.000544,0.0871
