qv,q2,ex,nu,RTTOT,RLTOT,RTQE,RLQE,RTIE,RLIE,RTE,RLE,RTNS,RLNS
0.756,0.57116,0.014,0.01948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.756,0.57112,0.015,0.02048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.756,0.57107,0.016,0.02148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.756,0.57103,0.017,0.02248,3.23e-06,0.0,0.0,0.0,0.0,0.0,3.23e-06,0.0,0.0,0.0
0.756,0.57098,0.01801,0.02348,6.67e-06,0.0,0.0,0.0,0.0,0.0,6.67e-06,0.0,0.0,0.0
0.756,0.57094,0.01901,0.02448,1.01e-05,0.0,0.0,0.0,0.0,0.0,1.01e-05,0.0,0.0,0.0
0.756,0.57089,0.02001,0.02548,1.4032e-05,0.0,0.0,0.0,0.0,0.0,1.4e-05,0.0,0.0,0.0
0.756,0.57083,0.02101,0.02648,1.83e-05,0.0,0.0,0.0,0.0,0.0,1.83e-05,0.0,0.0,0.0
0.756,0.57078,0.02201,0.02748,2.3199999999999998e-05,0.0,0.0,0.0,0.0,0.0,2.31e-05,0.0,0.0,0.0
0.756,0.57072,0.02301,0.02848,2.85e-05,0.0,0.0,0.0,0.0,0.0,2.85e-05,0.0,0.0,0.0
0.756,0.57067,0.02401,0.02948,3.45e-05,0.0,0.0,0.0,0.0,0.0,3.45e-05,0.0,0.0,0.0
0.756,0.57061,0.02501,0.03048,4.11e-05,0.0,0.0,0.0,0.0,0.0,4.11e-05,0.0,0.0,0.0
0.756,0.57055,0.02601,0.03148,4.5600000000000004e-05,0.0,0.0,0.0,0.0,0.0,4.57e-05,0.0,0.0,0.0
0.756,0.57048,0.02701,0.03248,5.020000000000001e-05,0.0,0.0,0.0,0.0,0.0,5.06e-05,0.0,0.0,0.0
0.756,0.57042,0.02801,0.03348,5.5700000000000005e-05,0.0,0.0,0.0,0.0,0.0,5.57e-05,0.0,0.0,0.0
0.756,0.57035,0.02901,0.03448,6.12e-05,0.0,0.0,0.0,0.0,0.0,6.12e-05,0.0,0.0,0.0
0.756,0.57028,0.03001,0.03548,6.67e-05,0.0,0.0,0.0,0.0,0.0,6.69e-05,0.0,0.0,0.0
0.756,0.57021,0.03101,0.03648,7.300000000000001e-05,0.0,0.0,0.0,0.0,0.0,7.29e-05,0.0,0.0,0.0
0.756,0.57013,0.03201,0.03748,7.93e-05,0.0,0.0,0.0,0.0,0.0,7.91e-05,0.0,0.0,0.0
0.756,0.57006,0.03301,0.03848,8.626800000000001e-05,1.83e-07,7.68e-07,1.83e-07,0.0,0.0,8.57e-05,0.0,0.0,0.0
0.756,0.56998,0.03401,0.03948,0.0001035,2.6e-06,1.09e-05,2.6e-06,0.0,0.0,9.26e-05,0.0,0.0,0.0
0.756,0.5699,0.03502,0.04048,0.0001176,4.31e-06,1.8e-05,4.31e-06,0.0,0.0,9.97e-05,0.0,0.0,0.0
0.756,0.56982,0.03602,0.04148,0.0001328,6.06e-06,2.53e-05,6.06e-06,0.0,0.0,0.000107,0.0,0.0,0.0
0.756,0.56973,0.03702,0.04248,0.0001483,7.91e-06,3.3e-05,7.91e-06,0.0,0.0,0.000115,0.0,0.0,0.0
0.756,0.56965,0.03802,0.04348,0.0001641,9.87e-06,4.11e-05,9.87e-06,0.0,0.0,0.000123,0.0,0.0,0.0
0.756,0.56956,0.03902,0.04448,0.0001775,1.09e-05,4.55e-05,1.09e-05,0.0,0.0,0.000132,0.0,0.0,0.0
0.756,0.56947,0.04002,0.04548,0.00018979999999999998,1.2e-05,4.98e-05,1.2e-05,0.0,0.0,0.00014,0.0,0.0,0.0
0.756,0.56938,0.04102,0.04648,0.00020329999999999998,1.31e-05,5.43e-05,1.31e-05,0.0,0.0,0.000149,0.0,0.0,0.0
0.756,0.56928,0.04202,0.04748,0.0002178,1.42e-05,5.88e-05,1.42e-05,0.0,0.0,0.000159,0.0,0.0,0.0
0.756,0.56919,0.04302,0.04848,0.00023229999999999995,1.53e-05,6.33e-05,1.53e-05,0.0,0.0,0.000169,0.0,0.0,0.0
0.756,0.56909,0.04402,0.04948,0.000247,1.64e-05,6.8e-05,1.64e-05,0.0,0.0,0.000179,0.0,0.0,0.0
0.756,0.56899,0.04502,0.05048,0.0002617,1.76e-05,7.27e-05,1.76e-05,0.0,0.0,0.000189,0.0,0.0,0.0
0.756,0.56889,0.04603,0.05148,0.0002775,1.88e-05,7.75e-05,1.88e-05,0.0,0.0,0.0002,0.0,0.0,0.0
0.756,0.56878,0.04703,0.05248,0.0002934,2e-05,8.24e-05,2e-05,0.0,0.0,0.000212,0.0,0.0,0.0
0.756,0.56868,0.04803,0.05348,0.0003114,2.12e-05,8.74e-05,2.12e-05,0.0,0.0,0.000223,0.0,0.0,0.0
0.756,0.56857,0.04903,0.05448,0.0003285,2.25e-05,9.25e-05,2.25e-05,0.0,0.0,0.000235,0.0,0.0,0.0
0.756,0.56846,0.05003,0.05548,0.00034569999999999995,2.38e-05,9.77e-05,2.38e-05,0.0,0.0,0.000248,0.0,0.0,0.0
0.756,0.56835,0.05103,0.05648,0.000363,2.51e-05,0.000103,2.51e-05,0.0,0.0,0.000261,0.0,0.0,0.0
0.756,0.56823,0.05203,0.05748,0.00038199999999999996,2.65e-05,0.000108,2.65e-05,0.0,0.0,0.000274,0.0,0.0,0.0
0.756,0.56812,0.05303,0.05848,0.00040199999999999996,2.78e-05,0.000114,2.78e-05,0.0,0.0,0.000288,0.0,0.0,0.0
0.756,0.568,0.05403,0.05948,0.00042200000000000007,2.93e-05,0.00012,2.93e-05,0.0,0.0,0.000302,0.0,0.0,0.0
0.756,0.56788,0.05504,0.06048,0.00044200000000000006,3.07e-05,0.000125,3.07e-05,0.0,0.0,0.000316,0.0,0.0,0.0
0.756,0.56776,0.05604,0.06148,0.00046199999999999995,3.22e-05,0.000131,3.22e-05,0.0,0.0,0.000331,0.0,0.0,0.0
0.756,0.56763,0.05704,0.06248,0.00048399999999999995,3.37e-05,0.000137,3.37e-05,0.0,0.0,0.000347,0.0,0.0,0.0
0.756,0.56751,0.05804,0.06348,0.000507,3.53e-05,0.000144,3.53e-05,0.0,0.0,0.000363,0.0,0.0,0.0
0.756,0.56738,0.05904,0.06448,0.0005290000000000001,3.69e-05,0.00015,3.69e-05,0.0,0.0,0.000379,0.0,0.0,0.0
0.756,0.56725,0.06004,0.06548,0.000553,3.86e-05,0.000157,3.86e-05,0.0,0.0,0.000396,0.0,0.0,0.0
0.756,0.56712,0.06104,0.06648,0.000577,4.03e-05,0.000163,4.03e-05,0.0,0.0,0.000414,0.0,0.0,0.0
0.756,0.56698,0.06204,0.06748,0.000602,4.21e-05,0.00017,4.21e-05,0.0,0.0,0.000432,0.0,0.0,0.0
0.756,0.56685,0.06304,0.06848,0.000626,4.39e-05,0.000177,4.39e-05,0.0,0.0,0.00045,0.0,0.0,0.0
0.756,0.56671,0.06405,0.06948,0.000654,4.58e-05,0.000185,4.58e-05,0.0,0.0,0.000469,0.0,0.0,0.0
0.756,0.56657,0.06505,0.07048,0.000681,4.77e-05,0.000192,4.77e-05,0.0,0.0,0.000488,0.0,0.0,0.0
0.756,0.56643,0.06605,0.07148,0.000708,4.97e-05,0.0002,4.97e-05,0.0,0.0,0.000508,0.0,0.0,0.0
0.756,0.56628,0.06705,0.07248,0.0007369999999999999,5.17e-05,0.000208,5.17e-05,0.0,0.0,0.000529,0.0,0.0,0.0
0.756,0.56614,0.06805,0.07348,0.000766,5.38e-05,0.000216,5.38e-05,0.0,0.0,0.00055,0.0,0.0,0.0
0.756,0.56599,0.06905,0.07448,0.000796,5.6e-05,0.000225,5.6e-05,0.0,0.0,0.000572,0.0,0.0,0.0
0.756,0.56584,0.07005,0.07548,0.000826,5.83e-05,0.000233,5.83e-05,0.0,0.0,0.000594,0.0,0.0,0.0
0.756,0.56569,0.07106,0.07648,0.000854,6.06e-05,0.000242,6.06e-05,0.0,0.0,0.000616,0.0,0.0,0.0
0.756,0.56553,0.07206,0.07748,0.00089,6.3e-05,0.000252,6.3e-05,0.0,0.0,0.00064,0.0,0.0,0.0
0.756,0.56538,0.07306,0.07848,0.000925,6.54e-05,0.000261,6.54e-05,0.0,0.0,0.000664,0.0,0.0,0.0
