qv,q2,ex,nu,W2,RLTOT,RTTOT
2.783,7.7373,0.01407,0.08824,-6.691357358431,-160384113193.70963,13339219325.075357
2.783,7.73713,0.01508,0.08924,-6.689310812431,-160122388868.95966,13317406740.42205
2.783,7.73695,0.01608,0.09024,-6.687254266431,-159859761998.10333,13295519000.897943
2.783,7.73676,0.01708,0.09124,-6.685187720431,-159596237617.0205,13273556526.99079
2.783,7.73658,0.01808,0.09224,-6.683131174431,-159334365645.56537,13251731832.265888
2.783,7.7364,0.01908,0.09324,-6.681074628430999,-159072869513.0232,13229938525.296099
2.783,7.73621,0.02009,0.09424,-6.679008082431,-158810479968.1449,13208070825.931213
2.783,7.73602,0.02109,0.09524,-6.676941536431,-158548468990.97,13186234742.050661
2.783,7.73583,0.02209,0.09624,-6.674874990431,-158286836113.51413,13164430234.490023
2.783,7.73563,0.02309,0.09724,-6.672798444431,-158024317573.5195,13142551981.501091
2.783,7.73544,0.02409,0.09824,-6.670731898431,-157763441317.44006,13120810661.572783
2.783,7.73524,0.02509,0.09924,-6.668655352431,-157501682117.48734,13098995823.09566
2.783,7.73504,0.0261,0.10024,-6.666578806431,-157240302795.56198,13077212709.12227
2.783,7.73484,0.0271,0.10124,-6.664502260431,-156979302879.2996,13055461280.122076
2.783,7.73464,0.0281,0.10224,-6.6624257144309995,-156718681896.82465,13033741496.605543
2.783,7.73443,0.0291,0.10324,-6.660339168430999,-156457187044.58133,13011948952.008778
2.783,7.73422,0.0301,0.10424,-6.658252622431,-156196073830.89844,12990188278.610317
2.783,7.73401,0.03111,0.10524,-6.656166076430999,-155935341778.54047,12968459436.472334
2.783,7.7338,0.03211,0.10624,-6.654079530431,-155674990410.76987,12946762385.69874
2.783,7.73359,0.03311,0.10724,-6.651992984431001,-155415019251.34518,12925097086.435055
2.783,7.73337,0.03411,0.10824,-6.649896438431,-155154184617.75674,12903359893.824093
2.783,7.73316,0.03511,0.10924,-6.647809892431,-154894974264.77353,12881758129.87877
2.783,7.73294,0.03612,0.11024,-6.645713346431,-154634903124.7429,12860084696.821205
2.783,7.73272,0.03712,0.11124,-6.6436168004309994,-154375213923.32272,12838443159.434475
2.783,7.73249,0.03812,0.11224,-6.641510254431,-154114670260.1367,12816730480.991415
2.783,7.73227,0.03912,0.11324,-6.639413708430999,-153855745310.65417,12795152765.986387
2.783,7.73204,0.04013,0.11424,-6.637307162431,-153595968575.8244,12773504133.262508
2.783,7.73181,0.04113,0.11524,-6.635200616431,-153336575489.4446,12751887538.659502
2.783,7.73158,0.04213,0.11624,-6.6330940704309995,-153077565566.05017,12730302941.55185
2.783,7.73134,0.04313,0.11724,-6.6309775244310005,-152817711501.23743,12708648064.807186
2.783,7.73111,0.04413,0.11824,-6.628870978431,-152559468262.62592,12687127492.399158
2.783,7.73087,0.04514,0.11924,-6.626754432431,-152300383544.54138,12665536862.478294
2.783,7.73063,0.04614,0.12024,-6.624637886431,-152041683676.10074,12643978370.561733
2.783,7.73039,0.04714,0.12124,-6.622521340431,-151783368167.49005,12622451975.660446
2.783,7.73015,0.04814,0.12224,-6.620404794431,-151525436529.41425,12600957636.828928
2.783,7.7299,0.04915,0.12324,-6.618278248430999,-151266672349.49496,12579393986.502932
2.783,7.72965,0.05015,0.12424,-6.616151702431001,-151008294687.39505,12557862613.141926
2.783,7.7294,0.05115,0.12524,-6.6140251564309995,-150750303048.43222,12536363475.349846
2.783,7.72915,0.05215,0.12624,-6.611898610431,-150492696938.4525,12514896531.774961
2.783,7.7289,0.05316,0.12724,-6.6097720644310005,-150235475863.82834,12493461741.109648
2.783,7.72864,0.05416,0.12824,-6.6076355184310005,-149977432475.25854,12471958492.615198
2.783,7.72839,0.05516,0.12924,-6.605508972431,-149720981797.3843,12450588034.735435
2.783,7.72813,0.05616,0.13024,-6.603372426431,-149463711434.4179,12429149338.37754
2.783,7.72787,0.05717,0.13124,-6.601235880431,-149206827744.07202,12407742931.302864
2.783,7.7276,0.05817,0.13224,-6.5990893344309995,-148949130611.3879,12386268806.879457
2.783,7.72734,0.05917,0.13324,-6.596952788431,-148693020576.93488,12364927004.049656
2.783,7.72707,0.06017,0.13424,-6.594806242431,-148436099717.56876,12343517702.263586
2.783,7.7268,0.06118,0.13524,-6.592659696430999,-148179567146.9463,12322140824.363752
2.783,7.72653,0.06218,0.13624,-6.590513150431001,-147923422362.26083,12300796328.275295
2.783,7.72625,0.06318,0.13724,-6.5883566044310005,-147666474282.86942,12279384961.771635
2.783,7.72598,0.06418,0.13824,-6.586210058431,-147411105364.51318,12258105253.628944
2.783,7.7257,0.06519,0.13924,-6.584053512431,-147154935753.66757,12236758892.188862
2.783,7.72542,0.06619,0.14024,-6.581896966431,-146899155521.0447,12215445045.167418
2.783,7.72514,0.06719,0.14124,-6.5797404204309995,-146643764159.52945,12194163670.12968
2.783,7.72486,0.06819,0.14224,-6.577583874430999,-146388761162.55667,12172914724.686861
2.783,7.72457,0.0692,0.14324,-6.575417328431,-146132966264.9981,12151599859.742432
2.783,7.72428,0.0702,0.14424,-6.573250782431,-145877562318.8124,12130317640.221258
2.783,7.72399,0.0712,0.14524,-6.571084236431,-145622548812.02942,12109068023.282555
2.783,7.7237,0.0722,0.14624,-6.568917690431,-145367925233.23764,12087850966.132366
2.783,7.72341,0.07321,0.14724,-6.5667511444310005,-145113691071.5834,12066666426.023531
2.783,7.72311,0.07421,0.14824,-6.564574598431,-144858675058.91446,12045416805.124228
2.783,7.72282,0.07521,0.14924,-6.562408052431,-144605219992.72482,12024297320.637793
2.783,7.72252,0.07622,0.15024,-6.560231506431,-144350985643.1959,12003112969.58464
2.783,7.72222,0.07722,0.15124,-6.558054960431,-144097142252.48544,11981961263.94402
2.783,7.72191,0.07822,0.15224,-6.555868414431,-143842525732.52994,11960745205.427511
2.783,7.72161,0.07923,0.15324,-6.553691868431001,-143589464504.94342,11939658810.837452
2.783,7.7213,0.08023,0.15424,-6.551505322431,-143335632703.6669,11918508276.57896
