Z,A,E0,ThetaDeg,nu,cross,error,dataSet
20,40,0.13,140,0.00251519,9297.82082,464.891041,3
20,40,0.13,140,0.00323665,3438.25666,171.912833,3
20,40,0.13,140,0.00701314,7457.62712,372.881356,3
20,40,0.13,140,0.01002001,6392.25182,319.612591,3
20,40,0.13,140,0.01259821,6924.93947,346.2469735,3
20,40,0.13,140,0.02155334,12445.5206,622.27603,3
20,40,0.13,140,0.02565474,12832.9298,641.64649,3
20,40,0.13,140,0.02824529,13607.7482,680.38741,3
20,40,0.13,140,0.03135346,14527.845,726.39225,3
20,40,0.13,140,0.03967732,17675.5448,883.77724,3
20,40,0.13,140,0.04995306,19079.9031,953.995155,3
20,40,0.13,140,0.05550353,17869.2494,893.46247,3
20,40,0.13,140,0.06051169,16029.0557,801.452785,3
20,40,0.13,140,0.06548031,13414.0436,670.70218,3
20,40,0.13,140,0.07599941,9588.37772,479.418886,3
20,40,0.15,90,0.004485589,37603.9421,1880.197105,5
20,40,0.15,90,0.012887915,51412.34443,2570.617221,5
20,40,0.15,90,0.020297469,70419.75398,3520.987699,5
20,40,0.15,90,0.02558742,62425.04393,3121.252197,5
20,40,0.15,90,0.030493306,63229.94982,3161.497491,5
20,40,0.15,90,0.037598507,65437.05502,3271.852751,5
20,40,0.15,90,0.044080509,63243.53702,3162.176851,5
20,40,0.15,90,0.049942934,56849.39945,2842.469972,5
20,40,0.16,140,0.003673608,1721.518987,86.07594937,9
20,40,0.16,140,0.006872193,2227.848101,111.3924051,9
20,40,0.16,140,0.020100721,6177.21519,308.8607595,9
20,40,0.16,140,0.024893154,7037.974684,351.8987342,9
20,40,0.16,140,0.029644753,8658.227848,432.9113924,9
20,40,0.16,140,0.03548251,10075.94937,503.7974684,9
20,40,0.16,140,0.03974003,10886.07595,544.3037975,9
20,40,0.16,140,0.045051041,12101.26582,605.0632911,9
20,40,0.16,140,0.050351164,13518.98734,675.9493671,9
20,40,0.16,140,0.061079352,13974.68354,698.7341772,9
20,40,0.16,140,0.072445896,12556.96203,627.8481013,9
20,40,0.16,140,0.078979175,11037.97468,551.8987342,9
20,40,0.16,140,0.083896829,9569.620253,478.4810127,9
20,40,0.16,140,0.08881176,8151.898734,407.5949367,9
20,40,0.189,140,0.0037234,299.051396,14.9525698,13
20,40,0.189,140,0.00478723,1003.2692,50.16346,13
20,40,0.189,140,0.00904255,998.981725,49.94908625,13
20,40,0.189,140,0.01329787,1901.49526,95.074763,13
20,40,0.189,140,0.01808511,3458.38469,172.9192345,13
20,40,0.189,140,0.0287234,4959.00102,247.950051,13
20,40,0.189,140,0.03882979,7266.19862,363.309931,13
20,40,0.189,140,0.04946809,9220.21545,461.0107725,13
20,40,0.189,140,0.06117021,10215.9816,510.79908,13
20,40,0.189,140,0.0712766,11213.3555,560.667775,13
20,40,0.189,140,0.08191489,10900.3698,545.01849,13
20,40,0.189,140,0.09255319,9730.96093,486.5480465,13
20,40,0.189,140,0.10319149,7503.61756,375.180878,13
20,40,0.189,140,0.11382979,5981.56386,299.078193,13
20,40,0.2,90,0.001570681,2129.032258,106.4516129,16
20,40,0.2,90,0.005235602,47225.80645,2361.290323,16
20,40,0.2,90,0.010994764,16451.6129,822.5806452,16
20,40,0.2,90,0.014659686,20516.12903,1025.806452,16
20,40,0.2,90,0.027225131,26516.12903,1325.806452,16
20,40,0.2,90,0.037696335,31741.93548,1587.096774,16
20,40,0.2,90,0.048691099,35806.45161,1790.322581,16
20,40,0.2,90,0.058638743,36387.09677,1819.354839,16
20,40,0.2,90,0.070157068,34645.16129,1732.258065,16
20,40,0.2,90,0.080628272,27483.87097,1374.193548,16
20,40,0.2,90,0.091099476,23225.80645,1161.290323,16
20,40,0.219,140,0.0045977,132.587215,6.62936075,18
20,40,0.219,140,0.01264368,989.614842,49.4807421,18
20,40,0.219,140,0.02298851,2263.81327,113.1906635,18
20,40,0.219,140,0.03333333,3384.50292,169.225146,18
20,40,0.219,140,0.04367816,4592.91188,229.645594,18
20,40,0.219,140,0.05344828,6086.28252,304.314126,18
20,40,0.219,140,0.06551724,7360.85904,368.042952,18
20,40,0.219,140,0.07471264,8152.34926,407.617463,18
20,40,0.219,140,0.08390805,8549.10264,427.455132,18
20,40,0.219,140,0.0954023,8529.69349,426.4846745,18
20,40,0.219,140,0.10574713,7588.97963,379.4489815,18
20,40,0.219,140,0.11494253,6669.94354,333.497177,18
20,40,0.219,140,0.12586207,5400.40835,270.0204175,18
20,40,0.219,140,0.13563218,4240.27022,212.013511,18
20,40,0.219,140,0.14655172,3825.99819,191.2999095,18
20,40,0.248,90,0.003693931,1366.720351,68.33601754,22
20,40,0.248,90,0.007387863,4682.006648,234.1003324,22
20,40,0.248,90,0.013192612,6440.907378,322.0453689,22
20,40,0.248,90,0.019525066,9174.348079,458.717404,22
20,40,0.248,90,0.029023747,12495.28835,624.7644176,22
20,40,0.248,90,0.04116095,16208.40901,810.4204503,22
20,40,0.248,90,0.050131926,19723.64048,986.1820238,22
20,40,0.248,90,0.06121372,21487.68118,1074.384059,22
20,40,0.248,90,0.073878628,22668.8483,1133.442415,22
20,40,0.248,90,0.084960422,22290.03187,1114.501593,22
20,40,0.248,90,0.094986807,20351.74588,1017.587294,22
20,40,0.248,90,0.105540897,17050.33753,852.5168763,22
20,40,0.248,90,0.119788918,13168.11157,658.4055786,22
20,40,0.248,90,0.130343008,9866.703218,493.3351609,22
20,40,0.248,90,0.140369393,7928.417229,396.4208615,22
20,40,0.249,140,0.00381123,63.1807786,3.15903893,23
20,40,0.249,140,0.01033538,85.3733101,4.268665505,23
20,40,0.249,140,0.01581558,503.181684,25.1590842,23
20,40,0.249,140,0.03989447,2029.03145,101.4515725,23
20,40,0.249,140,0.05415204,3198.66845,159.9334225,23
20,40,0.249,140,0.06953282,4701.87278,235.093639,23
20,40,0.249,140,0.08541407,5809.34804,290.467402,23
20,40,0.249,140,0.09365248,6602.73104,330.136552,23
