Z,A,E0,ThetaDeg,nu,cross,error,dataSet
26,56,0.1546,180,0.0058,4.59E+02,1.50E+01,Hotta:1984
26,56,0.1546,180,0.0158,4.12E+03,5.40E+01,Hotta:1984
26,56,0.1546,180,0.0258,7.08E+03,8.10E+01,Hotta:1984
26,56,0.1546,180,0.0357,1.00E+04,9.40E+01,Hotta:1984
26,56,0.1546,180,0.0457,1.25E+04,1.17E+02,Hotta:1984
26,56,0.1546,180,0.0556,1.43E+04,1.66E+02,Hotta:1984
26,56,0.1546,180,0.0656,1.42E+04,1.81E+02,Hotta:1984
26,56,0.1546,180,0.0756,1.26E+04,3.81E+02,Hotta:1984
26,56,0.1546,180,0.0855,1.07E+04,4.18E+02,Hotta:1984
26,56,0.1546,180,0.0955,7.54E+03,4.12E+02,Hotta:1984
26,56,0.1546,180,0.1055,6.81E+03,4.69E+02,Hotta:1984
26,56,0.1546,180,0.1154,6.17E+03,8.21E+02,Hotta:1984
26,56,0.1737,180,0.0061,5.14E+02,2.90E+01,Hotta:1984
26,56,0.1737,180,0.0161,3.85E+03,8.50E+01,Hotta:1984
26,56,0.1737,180,0.026,5.94E+03,1.21E+02,Hotta:1984
26,56,0.1737,180,0.036,8.66E+03,1.31E+02,Hotta:1984
26,56,0.1737,180,0.0459,1.05E+04,1.65E+02,Hotta:1984
26,56,0.1737,180,0.0558,1.23E+04,1.62E+02,Hotta:1984
26,56,0.1737,180,0.0658,1.32E+04,1.77E+02,Hotta:1984
26,56,0.1737,180,0.0757,1.33E+04,1.88E+02,Hotta:1984
26,56,0.1737,180,0.0857,1.25E+04,1.93E+02,Hotta:1984
26,56,0.1737,180,0.0956,9.82E+03,1.86E+02,Hotta:1984
26,56,0.1737,180,0.1055,8.01E+03,1.85E+02,Hotta:1984
26,56,0.1737,180,0.1155,6.91E+03,1.93E+02,Hotta:1984
26,56,0.1737,180,0.1254,6.65E+03,2.79E+02,Hotta:1984
26,56,0.1737,180,0.1353,8.58E+03,2.58E+02,Hotta:1984
26,56,0.1922,180,0.0064,3.31E+02,2.70E+01,Hotta:1984
26,56,0.1922,180,0.0163,3.01E+03,7.50E+01,Hotta:1984
26,56,0.1922,180,0.0262,4.58E+03,9.80E+01,Hotta:1984
