Z,A,E0,ThetaDeg,nu,cross,error,dataSet,normalization,normError,normCross,system_err,normCrossError,ThetaRad,sin2(T/2),cos2(T/2),tan2(T/2),nuel,Ex,Ep,R,Veff,Eeff,Ep_eff,F2foc,Q2,Q2eff,qv,W2,RT,RTerr,qvbin,qvcenter,Q2bin,Q2center
26,56,0.1546,180,0.0058,459,27.41719351,Hotta:1984,1,0,459,0.05,27.41719351,3.141592654,1,3.75E-33,2.67E+32,0.000910991,0.004889009,0.1488,4.433234524,0.0089,0.1635,0.1577,1.1184499,0.09201792,0.1031358,0.3212,0.788104389,2.115242695,0.126348624,"[0.270,0.340]",0.3,"[0.100,0.145]",0.12
26,56,0.1546,180,0.0158,4120,212.9600902,Hotta:1984,1,0,4120,0.05,212.9600902,3.141592654,1,3.75E-33,2.67E+32,0.000910991,0.014889009,0.1388,4.433234524,0.0089,0.1635,0.1477,1.1184499,0.08583392,0.0965958,0.3112,0.813409849,18.98649217,0.981399292,"[0.270,0.340]",0.3,"[0.070,0.100]",0.093
26,56,0.1546,180,0.0258,7080,363.1487299,Hotta:1984,1,0,7080,0.05,363.1487299,3.141592654,1,3.75E-33,2.67E+32,0.000910991,0.024889009,0.1288,4.433234524,0.0089,0.1635,0.1377,1.1184499,0.07964992,0.0900558,0.3012,0.838715309,32.62727295,1.673524397,"[0.270,0.340]",0.3,"[0.070,0.100]",0.093
26,56,0.1546,180,0.0357,10000,508.7592751,Hotta:1984,1,0,10000,0.05,508.7592751,3.141592654,1,3.75E-33,2.67E+32,0.000910991,0.034789009,0.1189,4.433234524,0.0089,0.1635,0.1278,1.1184499,0.07352776,0.0835812,0.2913,0.863767715,46.08371885,2.34455194,"[0.270,0.340]",0.3,"[0.070,0.100]",0.093
26,56,0.1546,180,0.0457,12500,635.8569021,Hotta:1984,1,0,12500,0.05,635.8569021,3.141592654,1,3.75E-33,2.67E+32,0.000910991,0.044789009,0.1089,4.433234524,0.0089,0.1635,0.1178,1.1184499,0.06734376,0.0770412,0.2813,0.889073175,57.60464857,2.930265071,"[0.270,0.340]",0.3,"[0.070,0.100]",0.093
26,56,0.1546,180,0.0556,14300,734.0170298,Hotta:1984,1,0,14300,0.05,734.0170298,3.141592654,1,3.75E-33,2.67E+32,0.000910991,0.054689009,0.099,4.433234524,0.0089,0.1635,0.1079,1.1184499,0.0612216,0.0705666,0.2714,0.91412558,65.89971796,3.382623443,"[0.270,0.340]",0.3,"[0.070,0.100]",0.093
26,56,0.1546,180,0.0656,14200,732.7079909,Hotta:1984,1,0,14200,0.05,732.7079909,3.141592654,1,3.75E-33,2.67E+32,0.000910991,0.064689009,0.089,4.433234524,0.0089,0.1635,0.0979,1.1184499,0.0550376,0.0640266,0.2614,0.93943104,65.43888077,3.376590906,"[0.223,0.270]",0.24,"[0.045,0.070]",0.056
26,56,0.1546,180,0.0756,12600,736.2479202,Hotta:1984,1,0,12600,0.05,736.2479202,3.141592654,1,3.75E-33,2.67E+32,0.000910991,0.074689009,0.079,4.433234524,0.0089,0.1635,0.0879,1.1184499,0.0488536,0.0574866,0.2514,0.9647365,58.06548576,3.392904216,"[0.223,0.270]",0.24,"[0.045,0.070]",0.056
26,56,0.1546,180,0.0855,10700,678.9322499,Hotta:1984,1,0,10700,0.05,678.9322499,3.141592654,1,3.75E-33,2.67E+32,0.000910991,0.084589009,0.0691,4.433234524,0.0089,0.1635,0.078,1.1184499,0.04273144,0.051012,0.2415,0.989788906,49.30957917,3.128772293,"[0.223,0.270]",0.24,"[0.045,0.070]",0.056
26,56,0.1546,180,0.0955,7540,558.4559069,Hotta:1984,1,0,7540,0.05,558.4559069,3.141592654,1,3.75E-33,2.67E+32,0.000910991,0.094589009,0.0591,4.433234524,0.0089,0.1635,0.068,1.1184499,0.03654744,0.044472,0.2315,1.015094366,34.74712402,2.573572501,"[0.223,0.270]",0.24,"[0.035,0.045]",0.04
