Z,A,E0,ThetaDeg,Q2,Q2center,qv,qvcenter
26,56,0.1546,180,0.037932,0.04,,
26,56,0.1546,180,0.0574866,0.056,,
26,56,0.1546,180,0.0965958,0.093,,
26,56,0.1546,180,,,0.2116,0.205
26,56,0.1546,180,,,0.2415,0.24
26,56,0.1546,180,,,0.3012,0.3
26,56,0.1737,180,0.04177888,0.04,,
26,56,0.1737,180,0.05631384,0.056,,
26,56,0.1737,180,0.09261472,0.093,,
26,56,0.1737,180,0.1216116,0.12,,
26,56,0.1737,180,,,0.2398,0.24
26,56,0.1737,180,,,0.3094,0.3
26,56,0.1922,180,0.0526882,0.056,,
26,56,0.1922,180,0.09266688,0.093,,
26,56,0.1922,180,0.124682,0.12,,
26,56,0.1922,180,,,0.2567,0.24
26,56,0.1922,180,,,0.3064,0.3
26,56,0.1922,180,,,0.3859,0.38
26,56,0.2065,180,0.09425904,0.093,,
26,56,0.2065,180,0.11993472,0.12,,
26,56,0.2065,180,0.16275624,0.16,,
26,56,0.2065,180,,,0.3049,0.3
26,56,0.2211,180,0.095588,0.093,,
26,56,0.2211,180,0.123004,0.12,,
26,56,0.2211,180,0.15962,0.16,,
26,56,0.2211,180,,,0.3041,0.3
26,56,0.2356,180,0.096333,0.093,,
26,56,0.2356,180,0.1254774,0.12,,
26,56,0.2356,180,0.164304,0.16,,
26,56,0.2356,180,,,0.3133,0.3
26,56,0.2356,180,,,0.3827,0.38
26,56,0.2356,180,,,0.472,0.475
26,56,0.2519,180,0.2644512,0.265,,
26,56,0.2519,180,0.09879104,0.093,,
26,56,0.2519,180,0.16096576,0.16,,
26,56,0.2519,180,,,0.3853,0.38
26,56,0.2519,180,,,0.4647,0.475
26,56,0.2712,180,0.09400156,0.093,,
26,56,0.2712,180,0.12727744,0.12,,
26,56,0.2712,180,0.16066536,0.16,,
26,56,0.2712,180,0.26071708,0.265,,
26,56,0.2712,180,,,0.3838,0.38
26,56,0.2712,180,,,0.4731,0.475
26,56,0.2928,180,0.126714,0.12,,
26,56,0.2928,180,0.16267664,0.16,,
26,56,0.2928,180,0.2703232,0.265,,
26,56,0.2928,180,,,0.3769,0.38
26,56,0.2928,180,,,0.4761,0.475
26,56,0.2928,180,,,0.5753,0.57
26,56,0.3122,180,0.12150424,0.12,,
26,56,0.3122,180,0.15965092,0.16,,
26,56,0.3122,180,0.2613754,0.265,,
26,56,0.3122,180,0.37581544,0.38,,
26,56,0.3122,180,,,0.4751,0.475
26,56,0.3122,180,,,0.5741,0.57
26,56,0.3331,180,0.15732,0.16,,
26,56,0.3331,180,0.2656656,0.265,,
26,56,0.3331,180,0.3875544,0.38,,
26,56,0.3331,180,,,0.4768,0.475
26,56,0.3331,180,,,0.5758,0.57
26,56,0.3331,180,,,0.6451,0.649
26,56,0.5553,180,0.38094784,0.38,,
26,56,0.5553,180,0.50281504,0.5,,
26,56,0.5553,180,,,0.7532,0.756
