Z,A,E0,ThetaDeg,nu,cross,error,dataSet
79,197,2.015,35.51,0.5504,2629,33.16,Arrington:1995hs
79,197,2.015,35.51,0.5601,2808,28.69,Arrington:1995hs
79,197,2.015,35.51,0.5712,3106,29.39,Arrington:1995hs
79,197,2.015,35.51,0.5823,3408,30.69,Arrington:1995hs
79,197,2.015,35.51,0.5934,3487,30.61,Arrington:1995hs
79,197,2.015,35.51,0.6045,3753,31.71,Arrington:1995hs
79,197,2.015,35.51,0.6155,3809,31.76,Arrington:1995hs
79,197,2.015,35.51,0.6266,3804,30.95,Arrington:1995hs
79,197,2.015,35.51,0.6377,4016,31.97,Arrington:1995hs
79,197,2.015,35.51,0.6488,4200,32.42,Arrington:1995hs
79,197,2.015,35.51,0.6599,4366,33.14,Arrington:1995hs
79,197,2.015,35.51,0.671,4643,35.06,Arrington:1995hs
79,197,2.015,35.51,0.6821,4857,37.76,Arrington:1995hs
79,197,2.015,35.51,0.6931,5071,40.96,Arrington:1995hs
79,197,2.02,15.022,0.06,305800,6913,Day:1993md
79,197,2.02,15.022,0.075,406400,7806,Day:1993md
79,197,2.02,15.022,0.09,514500,8891,Day:1993md
79,197,2.02,15.022,0.105,632700,20910,Day:1993md
79,197,2.02,15.022,0.12,734400,22210,Day:1993md
79,197,2.02,15.022,0.135,757200,17190,Day:1993md
79,197,2.02,15.022,0.15,795400,17390,Day:1993md
79,197,2.02,15.022,0.165,812900,25750,Day:1993md
79,197,2.02,15.022,0.18,811900,24820,Day:1993md
79,197,2.02,15.022,0.195,762200,23200,Day:1993md
79,197,2.02,15.022,0.21,738400,14500,Day:1993md
79,197,2.02,15.022,0.225,695800,13920,Day:1993md
79,197,2.02,15.022,0.24,633600,15870,Day:1993md
79,197,2.02,15.022,0.255,595900,15180,Day:1993md
79,197,2.02,15.022,0.27,573400,14730,Day:1993md
79,197,2.02,15.022,0.285,523700,11650,Day:1993md
79,197,2.02,15.022,0.3,517300,19150,Day:1993md
79,197,2.02,15.022,0.315,468400,17920,Day:1993md
79,197,2.02,15.022,0.33,482500,18090,Day:1993md
79,197,2.02,15.022,0.345,498500,19040,Day:1993md
79,197,2.02,15.022,0.36,497900,19600,Day:1993md
79,197,2.02,20.016,0.06,5100,264.7,Day:1993md
79,197,2.02,20.016,0.075,9508,353.9,Day:1993md
79,197,2.02,20.016,0.09,16270,457.2,Day:1993md
79,197,2.02,20.016,0.105,26040,556.9,Day:1993md
79,197,2.02,20.016,0.12,39370,2254,Day:1993md
79,197,2.02,20.016,0.135,55480,2597,Day:1993md
79,197,2.02,20.016,0.15,69800,2221,Day:1993md
79,197,2.02,20.016,0.165,87780,2418,Day:1993md
79,197,2.02,20.016,0.18,102600,2271,Day:1993md
79,197,2.02,20.016,0.195,115900,2401,Day:1993md
79,197,2.02,20.016,0.21,130800,3304,Day:1993md
79,197,2.02,20.016,0.225,139700,2873,Day:1993md
79,197,2.02,20.016,0.24,146400,3594,Day:1993md
79,197,2.02,20.016,0.255,149600,3046,Day:1993md
79,197,2.02,20.016,0.27,148600,3715,Day:1993md
79,197,2.02,20.016,0.285,142800,3587,Day:1993md
79,197,2.02,20.016,0.3,144600,3630,Day:1993md
79,197,2.02,20.016,0.315,146400,5103,Day:1993md
79,197,2.02,20.016,0.33,142700,3417,Day:1993md
79,197,2.02,20.016,0.345,141100,4458,Day:1993md
79,197,2.02,20.016,0.36,131700,4170,Day:1993md
79,197,2.02,20.016,0.375,140500,4188,Day:1993md
79,197,2.02,20.016,0.39,129000,2831,Day:1993md
79,197,2.02,20.016,0.405,125100,2794,Day:1993md
79,197,2.02,20.016,0.42,127500,3831,Day:1993md
79,197,2.02,20.016,0.435,125800,3828,Day:1993md
79,197,2.02,20.016,0.45,126600,3951,Day:1993md
79,197,3.188,47.68,1.6358,16.6,0.5314,Arrington:1995hs
79,197,3.188,47.68,1.6461,19.57,0.4913,Arrington:1995hs
79,197,3.188,47.68,1.6578,21.24,0.5018,Arrington:1995hs
79,197,3.188,47.68,1.6696,23.92,0.5296,Arrington:1995hs
79,197,3.188,47.68,1.6813,27.55,0.5674,Arrington:1995hs
79,197,3.188,47.68,1.6931,28.72,0.5749,Arrington:1995hs
79,197,3.188,47.68,1.7048,30.94,0.5974,Arrington:1995hs
79,197,3.188,47.68,1.7166,34.9,0.6334,Arrington:1995hs
79,197,3.188,47.68,1.7283,39.11,0.6707,Arrington:1995hs
79,197,3.188,47.68,1.7401,41.99,0.6946,Arrington:1995hs
79,197,3.188,47.68,1.7518,44.91,0.7159,Arrington:1995hs
79,197,3.188,47.68,1.7636,51.78,0.7829,Arrington:1995hs
79,197,3.188,47.68,1.7753,55.58,0.8435,Arrington:1995hs
79,197,3.188,47.68,1.7871,60.87,0.9134,Arrington:1995hs
79,197,3.595,16.02,0.21,1508,65.41,Day:1993md
79,197,3.595,16.02,0.225,1946,73.03,Day:1993md
79,197,3.595,16.02,0.24,2558,84.29,Day:1993md
79,197,3.595,16.02,0.255,3513,101.4,Day:1993md
79,197,3.595,16.02,0.27,4550,120.5,Day:1993md
79,197,3.595,16.02,0.285,6005,130.6,Day:1993md
79,197,3.595,16.02,0.3,7680,144.4,Day:1993md
79,197,3.595,16.02,0.315,9481,158.5,Day:1993md
79,197,3.595,16.02,0.33,12180,528.6,Day:1993md
79,197,3.595,16.02,0.345,15180,589.2,Day:1993md
79,197,3.595,16.02,0.36,17880,633.3,Day:1993md
79,197,3.595,16.02,0.375,19920,659.1,Day:1993md
79,197,3.595,16.02,0.39,22140,699.3,Day:1993md
79,197,3.595,16.02,0.405,24610,520.6,Day:1993md
79,197,3.595,16.02,0.42,27850,545.9,Day:1993md
79,197,3.595,16.02,0.435,29490,552.5,Day:1993md
79,197,3.595,16.02,0.45,31290,728.1,Day:1993md
79,197,3.595,16.02,0.465,33360,727.9,Day:1993md
79,197,3.595,16.02,0.48,34310,719.2,Day:1993md
79,197,3.595,16.02,0.495,35440,718.2,Day:1993md
79,197,3.595,16.02,0.51,36180,720.5,Day:1993md
79,197,3.595,16.02,0.525,36530,675.9,Day:1993md
79,197,3.595,16.02,0.54,34880,658,Day:1993md
79,197,3.595,16.02,0.555,35990,680.4,Day:1993md
79,197,3.595,16.02,0.57,36560,1583,Day:1993md
79,197,3.595,16.02,0.585,37360,1593,Day:1993md
79,197,3.595,16.02,0.6,38020,1543,Day:1993md
79,197,3.595,16.02,0.615,37730,1505,Day:1993md
79,197,3.595,16.02,0.63,38040,1536,Day:1993md
79,197,3.595,16.02,0.645,36560,1127,Day:1993md
79,197,3.595,16.02,0.66,38850,1151,Day:1993md
79,197,3.595,16.02,0.675,39920,1137,Day:1993md
79,197,3.595,16.02,0.69,43390,1579,Day:1993md
79,197,3.595,16.02,0.705,40950,1572,Day:1993md
79,197,3.595,16.02,0.72,43080,1587,Day:1993md
79,197,3.595,16.02,0.735,41420,1507,Day:1993md
79,197,3.595,16.02,0.75,38950,1508,Day:1993md
79,197,3.595,16.02,0.765,42870,1145,Day:1993md
79,197,3.595,16.02,0.78,40100,1082,Day:1993md
79,197,3.595,16.02,0.795,41990,1119,Day:1993md
79,197,3.595,16.02,0.81,43800,1549,Day:1993md
79,197,3.595,16.02,0.825,42890,1506,Day:1993md
79,197,3.595,16.02,0.84,42160,1487,Day:1993md
79,197,3.595,16.02,0.855,42180,1494,Day:1993md
79,197,3.595,16.02,0.87,39760,1134,Day:1993md
79,197,3.595,16.02,0.885,43120,1186,Day:1993md
79,197,3.595,16.02,0.9,42050,1162,Day:1993md
79,197,3.595,16.02,0.915,43910,1790,Day:1993md
79,197,3.595,16.02,0.93,41440,1699,Day:1993md
79,197,3.595,16.02,0.945,43860,1797,Day:1993md
79,197,3.595,16.02,0.96,41450,1760,Day:1993md
79,197,3.595,16.02,0.975,43350,1237,Day:1993md
79,197,3.595,16.02,0.99,45040,1243,Day:1993md
79,197,3.595,16.02,1.005,41390,1577,Day:1993md
79,197,3.595,16.02,1.02,44980,1667,Day:1993md
79,197,3.595,16.02,1.035,44480,1634,Day:1993md
79,197,3.595,16.02,1.05,43890,1578,Day:1993md
79,197,3.595,16.02,1.065,44910,1645,Day:1993md
79,197,3.595,16.02,1.08,41950,1191,Day:1993md
79,197,3.595,16.02,1.095,44120,1217,Day:1993md
79,197,3.595,16.02,1.11,45310,1767,Day:1993md
79,197,3.595,16.02,1.125,42650,1714,Day:1993md
79,197,3.595,16.02,1.14,43040,1760,Day:1993md
79,197,3.595,16.02,1.155,42480,1775,Day:1993md
79,197,3.595,16.02,1.17,47440,1329,Day:1993md
79,197,3.595,16.02,1.185,45560,1240,Day:1993md
79,197,3.595,16.02,1.2,46040,1627,Day:1993md
79,197,3.595,16.02,1.215,43500,1549,Day:1993md
79,197,3.595,16.02,1.23,45440,1563,Day:1993md
79,197,3.595,16.02,1.245,48850,1615,Day:1993md
79,197,3.595,16.02,1.26,46330,1571,Day:1993md
79,197,3.595,16.02,1.275,46450,1238,Day:1993md
79,197,3.595,16.02,1.29,46120,1257,Day:1993md
79,197,3.595,16.02,1.305,42750,1838,Day:1993md
79,197,3.595,16.02,1.32,45820,1830,Day:1993md
79,197,3.595,16.02,1.335,43760,1780,Day:1993md
79,197,3.595,16.02,1.35,41880,1777,Day:1993md
79,197,3.595,16.02,1.365,44260,1353,Day:1993md
79,197,3.595,16.02,1.38,43330,1318,Day:1993md
79,197,3.595,16.02,1.395,45010,1898,Day:1993md
79,197,3.595,16.02,1.41,46510,1898,Day:1993md
79,197,3.595,16.02,1.425,41440,1770,Day:1993md
79,197,3.595,16.02,1.44,41400,1286,Day:1993md
79,197,3.595,16.02,1.455,42500,1270,Day:1993md
79,197,3.595,16.02,1.47,45840,1796,Day:1993md
79,197,3.595,16.02,1.485,42460,1715,Day:1993md
79,197,3.595,16.02,1.5,43950,1732,Day:1993md
79,197,3.595,16.02,1.515,41790,1697,Day:1993md
79,197,3.595,16.02,1.53,40220,1692,Day:1993md
79,197,3.595,16.02,1.545,40560,1731,Day:1993md
79,197,3.595,20.016,0.165,1.868,0.652,Day:1993md
79,197,3.595,20.016,0.18,2.75,0.663,Day:1993md
79,197,3.595,20.016,0.195,5.812,0.9507,Day:1993md
79,197,3.595,20.016,0.21,8.07,1.094,Day:1993md
79,197,3.595,20.016,0.225,14.66,1.456,Day:1993md
79,197,3.595,20.016,0.24,21.19,1.794,Day:1993md
79,197,3.595,20.016,0.255,31.87,2.305,Day:1993md
79,197,3.595,20.016,0.27,38.43,1.999,Day:1993md
79,197,3.595,20.016,0.285,53.55,2.3,Day:1993md
79,197,3.595,20.016,0.3,69.1,2.555,Day:1993md
79,197,3.595,20.016,0.315,99.66,4.888,Day:1993md
79,197,3.595,20.016,0.33,123.5,5.378,Day:1993md
79,197,3.595,20.016,0.345,163.8,6.135,Day:1993md
79,197,3.595,20.016,0.36,204.3,6.817,Day:1993md
79,197,3.595,20.016,0.375,250.7,7.55,Day:1993md
79,197,3.595,20.016,0.39,317,8.668,Day:1993md
79,197,3.595,20.016,0.405,408.7,9.451,Day:1993md
79,197,3.595,20.016,0.42,496.3,10.55,Day:1993md
79,197,3.595,20.016,0.435,612.9,11.91,Day:1993md
79,197,3.595,20.016,0.45,850,35.73,Day:1993md
79,197,3.595,20.016,0.465,1052,38.6,Day:1993md
79,197,3.595,20.016,0.48,1239,41.06,Day:1993md
79,197,3.595,20.016,0.495,1487,44.77,Day:1993md
