qv,q2,ex,nu,RTTOT,RLTOT,RTQE,RLQE,RTIE,RLIE,RTE,RLE,RTNS,RLNS
0.16125,0.026,3e-05,0.0001,4.618934e-10,2.41453e-08,0.0,0.0,-0.0,-0.0,0.0,0.0,4.618934e-10,2.41453e-08
0.16125,0.026,0.00013,0.0002,5.00387e-10,2.605832e-08,0.0,0.0,-0.0,-0.0,0.0,0.0,5.00387e-10,2.605832e-08
0.16125,0.026,0.00023,0.0003,5.419538e-10,2.811833e-08,0.0,0.0,-0.0,-0.0,0.0,0.0,5.419538e-10,2.811833e-08
0.16125,0.026,0.00033,0.0004,5.868276e-10,3.033618e-08,0.0,0.0,-0.0,-0.0,0.0,0.0,5.868276e-10,3.033618e-08
0.16125,0.026,0.00043,0.0005,6.35259e-10,3.272353e-08,0.0,0.0,-0.0,-0.0,0.0,0.0,6.35259e-10,3.272353e-08
0.16125,0.026,0.00053,0.0006,6.875164e-10,3.529281e-08,0.0,0.0,-0.0,-0.0,0.0,0.0,6.875164e-10,3.529281e-08
0.16125,0.026,0.00063,0.0007,7.438877e-10,3.805735e-08,0.0,0.0,-0.0,-0.0,0.0,0.0,7.438877e-10,3.805735e-08
0.16125,0.026,0.00073,0.0008,8.046808e-10,4.10314e-08,0.0,0.0,-0.0,-0.0,0.0,0.0,8.046808e-10,4.10314e-08
0.16125,0.026,0.00083,0.0009,8.702258e-10,4.423022e-08,0.0,0.0,0.0,0.0,0.0,0.0,8.702258e-10,4.423022e-08
0.16125,0.026,0.00093,0.001,9.408757e-10,4.76701e-08,0.0,0.0,0.0,0.0,0.0,0.0,9.408757e-10,4.76701e-08
0.16125,0.026,0.00103,0.0011,1.017008e-09,5.136847e-08,0.0,0.0,0.0,0.0,0.0,0.0,1.017008e-09,5.136847e-08
0.16125,0.026,0.00113,0.0012,1.099028e-09,5.534394e-08,0.0,0.0,0.0,0.0,0.0,0.0,1.099028e-09,5.534394e-08
0.16125,0.026,0.00123,0.0013,1.187368e-09,5.961641e-08,0.0,0.0,0.0,0.0,0.0,0.0,1.187368e-09,5.961641e-08
0.16125,0.026,0.00133,0.0014,1.282489e-09,6.420714e-08,0.0,0.0,0.0,0.0,0.0,0.0,1.282489e-09,6.420714e-08
0.16125,0.026,0.00143,0.0015,1.384885e-09,6.913883e-08,0.0,0.0,0.0,0.0,0.0,0.0,1.384885e-09,6.913883e-08
0.16125,0.026,0.00153,0.0016,1.495086e-09,7.44357e-08,0.0,0.0,0.0,0.0,0.0,0.0,1.495086e-09,7.44357e-08
0.16125,0.026,0.00163,0.0017,1.613654e-09,8.012363e-08,0.0,0.0,0.0,0.0,0.0,0.0,1.613654e-09,8.012363e-08
0.16126,0.026,0.00173,0.0018,1.741193e-09,8.623021e-08,0.0,0.0,0.0,0.0,0.0,0.0,1.741193e-09,8.623021e-08
0.16126,0.026,0.00183,0.0019,1.878344e-09,9.278491e-08,0.0,0.0,0.0,0.0,0.0,0.0,1.878344e-09,9.278491e-08
0.16126,0.026,0.00193,0.002,2.025795e-09,9.981914e-08,0.0,0.0,0.0,0.0,0.0,0.0,2.025795e-09,9.981914e-08
