nu_RL,RL,RLerr,nu_RT,RT,RTerr
0.21325,0.884756931,3.525543738,0.21325,13.95468714,4.286510275
0.233,0.353465131,2.325948872,0.233,1.54E+01,2.701053253
0.25275,-1.596880137,2.946069012,0.25275,19.72814816,3.294840788
0.27225,-0.535300007,2.673101305,0.27225,20.87801815,2.740532675
0.292,2.026412099,3.433861747,0.292,22.15258153,3.587824444
0.3115,-0.929752085,3.247329232,0.3115,26.92237335,2.716176518
0.3315,0.307131251,3.071312514,0.3315,28.29835816,2.371010552
0.351,1.32986852,4.990709257,0.351,30.64009882,2.906098589
0.371,-1.436987155,5.010945839,0.371,34.27321902,2.94272164
0.39075,-0.467498857,5.340129217,0.39075,33.26006079,3.212892993
0.41025,3.765214107,5.515483703,0.41025,30.06824425,3.306265825
0.43025,0.838351441,6.864900656,0.43025,31.83021631,4.153520625
0.45025,0.149977379,6.920384777,0.45025,31.66115719,3.42904452
0.47025,-5.401361866,9.221109483,0.47025,31.82527669,5.218720915
