qvcenter,nu_RL,RL,RLerr,nu_RT,RT,RTerr
0.3,0.01334763,0.02876,0.00089,0.01334763,0.001905,0.000495
0.3,0.018268852,0.01999,0.00083,0.018268852,0.0115,0.00083
0.3,0.02336937,0.021185,0.000765,0.02336937,0.01036,0.00052
0.3,0.02886151,0.024805,0.000835,0.02886151,0.010405,0.000485
0.3,0.033372237,0.0246,0.0009,0.033372237,0.012815,0.000465
0.3,0.037925428,0.02583,0.00087,0.037925428,0.015575,0.000885
0.3,0.043115595,0.02582,0.00085,0.043115595,0.018375,0.000875
0.3,0.048541678,0.026215,0.000765,0.048541678,0.0205,0.00096
0.3,0.052717403,0.02676,0.0008,0.052717403,0.0217,0.00091
0.3,0.05807743,0.026985,0.000715,0.05807743,0.02244,0.00082
0.3,0.063196822,0.02665,0.00112,0.063196822,0.02252,0.00095
0.3,0.06826903,0.025855,0.001105,0.06826903,0.022345,0.001235
0.3,0.073077012,0.02427,0.00119,0.073077012,0.021995,0.001195
0.3,0.078399292,0.022745,0.001295,0.078399292,0.020845,0.001265
0.3,0.083344105,0.021585,0.001225,0.083344105,0.019625,0.000925
0.3,0.087963353,0.019545,0.001225,0.087963353,0.0185,0.00096
0.3,0.092766617,0.017895,0.001175,0.092766617,0.0168,0.00082
0.3,0.09836256,0.01632,0.00116,0.09836256,0.01537,0.00079
0.3,0.102986527,0.015075,0.000765,0.102986527,0.014195,0.001015
0.3,0.1081012,0.01353,0.00082,0.1081012,0.01254,0.00095
0.3,0.113064887,0.01273,0.00114,0.113064887,0.01079,0.00125
0.3,0.118104067,0.011115,0.001225,0.118104067,0.01007,0.00135
0.3,0.123407473,0.009895,0.001265,0.123407473,0.009265,0.001275
0.3,0.128125807,0.00925,0.00119,0.128125807,0.00841,0.0013
0.3,0.133372593,0.00803,0.00119,0.133372593,0.007895,0.001145
0.3,0.138185293,0.007045,0.001225,0.138185293,0.007495,0.001185
0.3,0.14303574,0.00587,0.00114,0.14303574,0.00763,0.00129
0.3,0.148438232,0.00547,0.00121,0.148438232,0.007135,0.001235
0.3,0.153250932,0.004705,0.001195,0.153250932,0.006815,0.001225
0.3,0.158148562,0.003925,0.001565,0.158148562,0.007065,0.001235
0.3,0.163433095,0.00386,0.0015,0.163433095,0.006875,0.001195
0.3,0.16789192,0.004625,0.001925,0.16789192,0.00597,0.00169
0.3,0.172671592,0.00683,0.00194,0.172671592,0.00484,0.00157
0.3,0.178078802,0.00566,0.00203,0.178078802,0.0059,0.00161
0.38,0.016110803,0.006775,0.000515,0.016542228,0.00403,0.00058
0.38,0.021312473,0.00477,0.0005,0.021959312,0.009655,0.000485
0.38,0.026561821,0.007145,0.000505,0.027010184,0.007655,0.000495
0.38,0.031715813,0.007175,0.000475,0.03208008,0.009205,0.000435
0.38,0.036559897,0.008365,0.000475,0.036874128,0.010455,0.000505
0.38,0.041418286,0.008845,0.000315,0.041872684,0.01204,0.00053
0.38,0.046839274,0.00998,0.0005,0.046581124,0.013615,0.000855
0.38,0.051468808,0.010835,0.000835,0.051641508,0.0154,0.00093
0.38,0.057047134,0.011555,0.000755,0.056911156,0.017215,0.000825
0.38,0.06210577,0.012745,0.000755,0.06163862,0.018365,0.000845
0.38,0.066568431,0.014375,0.000755,0.066737052,0.019205,0.000945
0.38,0.071927438,0.01516,0.00086,0.072116088,0.01991,0.00086
0.38,0.07673338,0.014795,0.000895,0.076948184,0.022045,0.000895
0.38,0.081954121,0.015095,0.000875,0.081528212,0.023265,0.000895
0.38,0.086721921,0.016325,0.000895,0.086712252,0.02369,0.00087
0.38,0.091370526,0.016335,0.000905,0.092319576,0.024075,0.000795
0.38,0.09680105,0.016995,0.000865,0.097227768,0.024115,0.000895
0.38,0.101759562,0.01629,0.00123,0.102407052,0.024445,0.000945
0.38,0.106703771,0.015915,0.000895,0.10703464,0.024365,0.000655
0.38,0.111771942,0.01667,0.00121,0.11198088,0.023395,0.000755
0.38,0.116797204,0.016155,0.001175,0.116979436,0.022885,0.000645
0.38,0.121812929,0.015915,0.001215,0.122220548,0.0216,0.00072
0.38,0.126571194,0.01434,0.0013,0.126862404,0.02116,0.00063
0.38,0.131682275,0.01306,0.00129,0.132579116,0.02044,0.00062
0.38,0.137208155,0.01272,0.00131,0.13725902,0.018855,0.001095
0.38,0.142028401,0.01153,0.00125,0.142195748,0.018095,0.000995
0.38,0.147420783,0.0108,0.00121,0.147218084,0.01694,0.00077
0.38,0.152159976,0.009955,0.000845,0.152387856,0.01569,0.00064
0.38,0.157056507,0.008665,0.000845,0.157196172,0.014515,0.000615
0.38,0.161938734,0.007945,0.000875,0.161476572,0.01416,0.00053
0.38,0.167173778,0.007555,0.000885,0.167140968,0.01295,0.00073
0.38,0.172413591,0.00708,0.00088,0.172291716,0.012245,0.000615
0.38,0.179565291,0.005625,0.001035,0.177057228,0.01216,0.00056
0.38,0.184223431,0.005255,0.001045,0.182065296,0.01151,0.00072
0.38,0.189529993,0.00494,0.00106,0.186987756,0.01106,0.00064
0.38,0.194917607,0.00432,0.00135,0.193037388,0.01112,0.0003
0.38,0.199566212,0.004525,0.000225,0.197294008,0.01142,0.00058
0.38,0.204643919,0.004725,0.001185,0.202444756,0.010685,0.000585
0.38,0.209974319,0.003505,0.001685,0.207771476,0.010965,0.000605
0.38,0.215071097,0.00307,0.00129,0.212793812,0.011905,0.000535
0.38,0.219934253,0.00293,0.00143,0.218053948,0.011915,0.000525
0.38,0.225245582,0.002575,0.001545,0.222648244,0.01273,0.00097
0.38,0.230113506,0.002665,0.000965,0.227889356,0.013455,0.000485
0.38,0.234971894,0.003065,0.001265,0.232588284,0.01345,0.00091
0.38,0.23983505,0.003075,0.002125,0.237548792,0.01394,0.0009
0.38,0.244784027,0.00269,0.0017,0.242347596,0.015075,0.000955
0.38,0.249938019,0.0029,0.00226,0.247797972,0.01596,0.00085
0.38,0.25509201,0.00296,0.00169,0.252744212,0.016935,0.000985
0.38,0.259936095,0.004025,0.001435,0.258056664,0.01744,0.00082
0.38,0.265094855,0.00385,0.00279,0.262955344,0.017795,0.000925
0.38,0.270115348,0.00355,0.00309,0.2679539,0.01938,0.00116
0.38,0.275216894,0.00274,0.00265,0.272862092,0.021445,0.001275
0.38,0.280070515,0.003175,0.003025,0.278307712,0.022255,0.001485
0.38,0.285076705,0.003355,0.003205,0.28324444,0.023565,0.001675
0.57,0.033253586,0.00038,0.00036,0.0367365,0.001707,0.00055
0.57,0.03850944,0.000595,0.000505,0.04199,0.0020245,0.0005505
0.57,0.043435946,0.00061,0.00049,0.0467095,0.0028265,0.0005895
0.57,0.049153803,0.00073,0.0003,0.052131,0.0032885,0.0005505
0.57,0.053188323,0.001095,0.000305,0.0563345,0.004025,0.000498
0.57,0.058384711,0.001325,0.000475,0.0615845,0.0044475,0.0004455
0.57,0.06377322,0.001245,0.000515,0.066466,0.0055505,0.0004455
0.57,0.068333783,0.0015,0.00033,0.0717875,0.0063925,0.0004455
0.57,0.073196249,0.00173,0.00043,0.0769515,0.0068145,0.0004975
0.57,0.078360617,0.0027,0.0004,0.0815715,0.0079965,0.0005235
0.57,0.083227657,0.003085,0.000265,0.086648,0.008445,0.000498
0.57,0.088250223,0.00331,0.0005,0.092132,0.009588,0.000511
0.57,0.093387146,0.00337,0.0005,0.096923,0.010809,0.00055
0.57,0.098254186,0.004065,0.000425,0.1021615,0.0115725,0.0004715
0.57,0.103006869,0.00456,0.00082,0.106534,0.0124135,0.0004975
