Z,A,E0,ThetaDeg,nu,cross,error
6,12,1.108,37.5,0.00554,0,0
6,12,1.108,37.5,0.01662,0.141794,0.141794
6,12,1.108,37.5,0.0277,1.98512,0.530546
6,12,1.108,37.5,0.03878,11.3435,1.26825
6,12,1.108,37.5,0.04986,27.5081,1.97497
6,12,1.108,37.5,0.06094,50.7624,2.68288
6,12,1.108,37.5,0.07202,79.8302,3.36444
6,12,1.108,37.5,0.0831,145.056,4.5352
6,12,1.108,37.5,0.09418,237.506,5.80318
6,12,1.108,37.5,0.10526,381.285,7.35283
6,12,1.108,37.5,0.11634,589.723,9.14436
6,12,1.108,37.5,0.12742,859.841,11.0418
6,12,1.108,37.5,0.1385,1194.9,13.0165
6,12,1.108,37.5,0.14958,1574.77,14.943
6,12,1.108,37.5,0.16066,2019.86,16.9235
6,12,1.108,37.5,0.17174,2420.15,18.5247
6,12,1.108,37.5,0.18282,2847.94,20.0953
6,12,1.108,37.5,0.1939,3231.78,21.4067
6,12,1.108,37.5,0.20498,3537.49,22.3963
6,12,1.108,37.5,0.21606,3777.83,23.1446
6,12,1.108,37.5,0.22714,3897.93,23.5097
6,12,1.108,37.5,0.23822,3970.95,23.7289
6,12,1.108,37.5,0.2493,3988.25,23.7805
6,12,1.108,37.5,0.26038,3884.17,23.4681
6,12,1.108,37.5,0.27146,3765.77,23.1077
6,12,1.108,37.5,0.28254,3568.54,22.4944
6,12,1.108,37.5,0.29362,3349.47,21.793
6,12,1.108,37.5,0.3047,3130.11,21.0673
6,12,1.108,37.5,0.31578,2961.94,20.4936
6,12,1.108,37.5,0.32686,2773.21,19.8299
6,12,1.108,37.5,0.33794,2581.22,19.1312
6,12,1.108,37.5,0.34902,2359.17,18.2898
6,12,1.108,37.5,0.3601,2283.88,17.9956
6,12,1.108,37.5,0.37118,2167.89,17.5327
6,12,1.108,37.5,0.38226,2132.59,17.3893
6,12,1.108,37.5,0.39334,2138.54,17.4136
6,12,1.108,37.5,0.40442,2178.1,17.5739
6,12,1.108,37.5,0.4155,2237.8,17.8131
6,12,1.108,37.5,0.42658,2353.64,18.2684
6,12,1.108,37.5,0.43766,2453.75,18.6528
6,12,1.108,37.5,0.44874,2593.14,19.1753
6,12,1.108,37.5,0.45982,2682.32,19.5023
6,12,1.108,37.5,0.4709,2784.84,19.8715
6,12,1.108,37.5,0.48198,2884.38,20.2235
6,12,1.108,37.5,0.49306,2942.09,20.4248
6,12,1.108,37.5,0.50414,2957.12,20.4769
6,12,1.108,37.5,0.51522,2988.88,20.5866
6,12,1.108,37.5,0.5263,2913.87,20.3266
6,12,1.108,37.5,0.53738,2844.11,20.0818
6,12,1.108,37.5,0.54846,2830.78,20.0347
6,12,1.108,37.5,0.55954,2717.63,19.6302
6,12,1.108,37.5,0.57062,2677.08,19.4832
6,12,1.108,37.5,0.5817,2571.3,19.0944
6,12,1.108,37.5,0.59278,2514.86,18.8837
6,12,1.108,37.5,0.60386,2486.65,18.7774
6,12,1.108,37.5,0.61494,2341.02,18.2193
6,12,1.108,37.5,0.62602,2257.79,17.8925
6,12,1.108,37.5,0.6371,2217.24,17.7311
6,12,1.108,37.5,0.64818,2154,17.4764
6,12,1.108,37.5,0.65926,2066.94,17.1196
6,12,1.108,37.5,0.67034,2037.87,16.9988
6,12,1.108,37.5,0.68142,2057.58,17.0808
6,12,1.108,37.5,0.6925,2016.74,16.9104
6,12,1.108,37.5,0.70358,2020.14,16.9247
6,12,1.108,37.5,0.71466,2031.91,16.9739
6,12,1.108,37.5,0.72574,2034.61,16.9852
6,12,1.108,37.5,0.73682,2099.69,17.2547
6,12,1.108,37.5,0.7479,2118.83,17.3332
6,12,1.108,37.5,0.75898,2188.45,17.6156
6,12,1.108,37.5,0.77006,2223.62,17.7566
