qv,Q2,nu,Ex,RT,RTerr
0.1,0.01,0.013916544,0.0134779,0.000620653,0.000568136
0.1,0.01,0.014420455,0.01398245,0.001743456,0.000665965
0.1,0.01,0.014876907,0.0144395,0.004814868,0.000783752
0.1,0.01,0.015419222,0.01498255,0.010035585,0.000744396
0.1,0.01,0.015859556,0.0154235,0.008957593,0.000744396
0.1,0.01,0.016381354,0.01594605,0.006165846,0.000861903
0.1,0.01,0.016866932,0.01643235,0.004390838,0.000685643
0.1,0.01,0.017342354,0.0169085,0.004965912,0.000607211
0.1,0.01,0.017899875,0.0174669,0.005798129,0.000724999
0.1,0.01,0.018373507,0.0179413,0.006246266,0.000685643
0.1,0.01,0.018908714,0.0184774,0.007676263,0.000685643
0.1,0.01,0.019377362,0.01894685,0.008124244,0.000646568
0.1,0.01,0.019838353,0.01940865,0.008058189,0.000803149
0.1,0.01,0.020366054,0.0199373,0.006920466,0.000666246
0.1,0.01,0.020890237,0.02046245,0.005541419,0.000724999
0.1,0.01,0.021403865,0.02097705,0.007680709,0.000744396
0.1,0.01,0.021815419,0.0213894,0.008071467,0.000764074
0.1,0.01,0.022469773,0.02204505,0.01126762,0.000529061
0.1,0.01,0.022887875,0.022464,0.011764087,0.000666246
0.1,0.01,0.02333021,0.02290725,0.011400105,0.000626889
0.1,0.01,0.023830804,0.0234089,0.011112908,0.000724718
0.1,0.01,0.024375031,0.0239543,0.009666898,0.000744677
0.1,0.01,0.024936642,0.02451715,0.009151367,0.000744396
0.1,0.01,0.025317336,0.0248987,0.009201886,0.000666246
0.1,0.01,0.025828168,0.0254107,0.007202708,0.000685643
0.1,0.01,0.026307899,0.02589155,0.006957795,0.000626889
0.1,0.01,0.026801277,0.0263861,0.007724242,0.000744396
0.1,0.01,0.027340521,0.02692665,0.009016674,0.000705321
0.1,0.01,0.027818492,0.0274058,0.006853805,0.000587533
0.1,0.01,0.028321329,0.0279099,0.007274496,0.000724999
0.1,0.01,0.028931965,0.0285221,0.006713415,0.000665965
0.1,0.01,0.029272429,0.02886345,0.006403928,0.000803149
0.1,0.01,0.030270421,0.0298641,0.005990321,0.000822827
0.1,0.01,0.031319231,0.0309158,0.005363488,0.000822827
0.1,0.01,0.032344811,0.0319443,0.00527565,0.000705321
