qvcenter,nu,RL,RLerr,RT,RTerr
0.3,0.03,0.02235,0.00125,0.00931,0.00073
0.3,0.04,0.0254,0.0011,0.013045,0.000945
0.3,0.05,0.0263,0.0012,0.017485,0.001245
0.3,0.06,0.0273,0.0014,0.01976,0.00134
0.3,0.07,0.0263,0.0014,0.02034,0.00137
0.3,0.08,0.0256,0.0024,0.01769,0.00286
0.3,0.09,0.0236,0.002,0.0144,0.00237
0.3,0.1,0.01865,0.00115,0.013785,0.001095
0.3,0.11,0.01755,0.00165,0.008825,0.001855
0.3,0.12,0.01415,0.00135,0.00758,0.00146
0.3,0.13,0.0114,0.0012,0.00636,0.00128
0.3,0.14,0.00945,0.00115,0.005445,0.001215
0.38,0.03,0.0069,0.0007,0.010055,0.000575
0.38,0.04,0.01095,0.00075,0.01015,0.00061
0.38,0.05,0.01275,0.00075,0.01329,0.00074
0.38,0.06,0.0142,0.0009,0.016555,0.000865
0.38,0.07,0.016,0.001,0.019275,0.001025
0.38,0.08,0.0172,0.0012,0.021645,0.001215
0.38,0.09,0.01815,0.00115,0.022735,0.001215
0.38,0.1,0.01765,0.00135,0.023375,0.001345
0.38,0.11,0.01755,0.00125,0.02199,0.00125
0.38,0.12,0.0166,0.0012,0.020325,0.001185
0.38,0.13,0.01445,0.00115,0.0183,0.00109
0.38,0.14,0.0127,0.0011,0.01583,0.00099
0.38,0.15,0.01055,0.00135,0.013645,0.001505
0.38,0.16,0.0085,0.0012,0.012365,0.001445
0.38,0.17,0.0074,0.0011,0.01082,0.00125
0.38,0.18,0.0068,0.001,0.00909,0.00106
0.38,0.19,0.00495,0.00095,0.00966,0.00112
0.38,0.2,0.0036,0.001,0.010525,0.001025
0.38,0.21,0.0026,0.001,0.0111,0.00109
0.57,0.045,0.0004815,0.0001485,0.0014,0.00015
0.57,0.065,0.000972,0.00025,0.00313,0.00018
0.57,0.085,0.001685,0.000241,0.00574,0.0003
0.57,0.105,0.002787,0.000361,0.008745,0.000395
0.57,0.125,0.0043145,0.0005925,0.012415,0.000435
0.57,0.145,0.005361,0.000639,0.015385,0.000615
0.57,0.165,0.0061665,0.0007595,0.01754,0.00077
0.57,0.185,0.007046,0.000824,0.018,0.0008
0.57,0.205,0.005898,0.000861,0.018915,0.000865
0.57,0.225,0.0062965,0.0008335,0.01667,0.0008
0.57,0.245,0.005343,0.000787,0.01431,0.00074
0.57,0.265,0.0034815,0.0007965,0.013525,0.000795
0.57,0.285,0.003074,0.000741,0.01262,0.0008
0.57,0.305,0.003,0.000833,0.01329,0.0008
0.57,0.325,0.0033145,0.0009815,0.01457,0.00086
0.57,0.345,0.003074,0.001352,0.017265,0.001075
