nu,RT,error,Q2,Ex
0.0104,0.0,4.259e-05,0,0.0104
0.0114,2.956e-05,1.733e-05,0,0.0114
0.0134,0.0001416,1.547e-05,0,0.0134
0.0153,0.00021,3.273e-05,0,0.0153
0.0173,0.0005654,2.927e-05,0,0.0173
0.0192,0.001324,5.65e-05,0,0.0192
0.0222,0.006071,6.723e-05,0,0.0222
0.0243,0.006734,8.217e-05,0,0.0243
0.0261,0.005138,8.843e-05,0,0.0261
0.0282,0.004064,8.808e-05,0,0.0282
0.0302,0.004033,7.792e-05,0,0.0302
0.0319,0.00327,8.824e-05,0,0.0319
0.0341,0.003533,7.905e-05,0,0.0341
0.0363,0.00333,8.406e-05,0,0.0363
0.0381,0.003033,8.82e-05,0,0.0381
0.0399,0.002602,0.0001032,0,0.0399
0.0419,0.002936,0.0001604,0,0.0419
0.0442,0.002535,0.0001732,0,0.0442
0.0462,0.00223,0.0002716,0,0.0462
0.0483,0.002495,0.0001979,0,0.0483
0.0504,0.002219,0.0001797,0,0.0504
0.0522,0.002225,0.0002141,0,0.0522
0.0544,0.001865,0.0002665,0,0.0544
0.0562,0.001658,0.0002855,0,0.0562
0.0581,0.002013,0.0002639,0,0.0581
0.0601,0.0016,0.0003051,0,0.0601
0.062,0.001812,0.0002873,0,0.062
0.0639,0.001515,0.0002961,0,0.0639
0.0661,0.001572,0.000371,0,0.0661
0.0683,0.001509,0.0003286,0,0.0683
0.0702,0.001451,0.0003752,0,0.0702
0.0723,0.00194,0.0003545,0,0.0723
0.0741,0.002013,0.0003762,0,0.0741
0.076,0.001978,0.0004065,0,0.076
0.0782,0.002292,0.0004807,0,0.0782
0.0799,0.002208,0.0005556,0,0.0799
0.082,0.001564,0.0005262,0,0.082
0.0838,0.0009189,0.0005304,0,0.0838
0.0862,0.00212,0.0006145,0,0.0862
0.088,0.001859,0.0005882,0,0.088
0.0901,0.002529,0.00057,0,0.0901
0.0921,0.002543,0.0004922,0,0.0921
0.0941,0.002423,0.0003606,0,0.0941
0.0961,0.002698,0.0004883,0,0.0961
0.0981,0.001906,0.0003498,0,0.0981
0.1001,0.001614,0.0003835,0,0.1001
0.1024,0.001798,0.0004654,0,0.1024
0.1042,0.001468,0.0006316,0,0.1042
0.1062,0.003889,0.0006529,0,0.1062
0.1083,0.003099,0.00111,0,0.1083
0.1105,0.002205,0.0009648,0,0.1105
0.1126,0.002548,0.0008025,0,0.1126
0.1145,0.001479,0.001112,0,0.1145
0.1167,0.0009878,0.0008423,0,0.1167
0.1195,0.0028,0.0006708,0,0.1195
0.1217,0.002916,0.0008782,0,0.1217
0.1241,0.003019,0.0008514,0,0.1241
0.1264,0.002501,0.0008112,0,0.1264
0.1289,0.003055,0.0009879,0,0.1289
0.1318,0.002538,0.001081,0,0.1318
0.1339,0.00142,0.000438,0,0.1339
0.1346,0.001092,0.0006838,0,0.1346
0.137,0.002051,0.00105,0,0.137
0.1397,0.002104,0.0009337,0,0.1397
0.1425,0.00127,0.001092,0,0.1425
