RLc/RTc,W2,Q2,RL/RT,RLerr/RTerr,err_th,err_rad,nu
RLc,1.41,0.5,0.198143,0.0594253,0.00597769,0.0462392,0.548690934
RLc,1.49,0.5,0.18772,0.0504435,0.00552668,0.0276334,0.59132245
RLc,1.57,0.5,0.170625,0.0505438,0.00583198,0.0203547,0.633953965
RLc,1.65,0.5,0.16303,0.0657085,0.00570251,0.0136083,0.676585481
RLc,1.73,0.5,0.217954,0.058385,0.00585313,0.00307289,0.719216996
RLc,1.81,0.5,0.306355,0.0628858,0.00757263,0.00411556,0.761848512
RLc,1.89,0.5,0.246467,0.0749388,0.0142125,0.0108901,0.804480027
RLc,1.97,0.5,0.389885,0.0742639,0.0222792,0.00701381,0.847111543
RLc,2.05,0.5,0.385787,0.0827447,0.023904,0.00758493,0.889743059
RLc,2.13,0.5,0.510991,0.0932008,0.0278326,0.0227257,0.932374574
RLc,2.93,0.5,1.36714,0.426493,0.079051,0.00701259,1.35868973
RLc,3.01,0.5,1.7193,0.435008,0.0814776,0.00828586,1.401321245
RLc,3.09,0.5,1.63341,0.454633,0.0813712,0.0126909,1.443952761
RLc,3.17,0.5,1.95575,0.45442,0.0854052,0.0177256,1.486584276
RLc,3.25,0.5,2.25037,0.464453,0.0850775,0.0199672,1.529215792
RLc,3.33,0.5,2.01836,0.107398,0.0681747,0.0046695,1.571847307
RLc,3.41,0.5,2.14661,0.154476,0.0621916,0.00200618,1.614478823
RLc,3.49,0.5,2.47073,0.325968,0.0774578,0.0236677,1.657110339
RLc,3.57,0.5,2.4591,0.495415,0.0921703,0.0529979,1.699741854
RLc,3.65,0.5,2.94144,0.629634,0.115823,0.0726975,1.74237337
RLc,3.73,0.5,2.91203,0.517186,0.103964,0.0763276,1.785004885
RLc,3.81,0.5,3.2477,0.59237,0.113701,0.0561488,1.827636401
RLc,3.89,0.5,3.0616,0.406757,0.0807533,0.0538355,1.870267916
RLc,3.97,0.5,3.60218,0.630124,0.119342,0.0922909,1.912899432
RLc,4.05,0.5,4.13292,0.652797,0.133604,0.109927,1.955530948
RLc,0.61,0.8,0.032897,0.00756477,0.00806909,0.000349143,0.282243962
RLc,0.69,0.8,0.048977,0.0109861,0.0100438,0.000574589,0.324875477
RLc,0.77,0.8,0.0603334,0.0152223,0.0100408,0.00249677,0.367506993
RLc,0.85,0.8,0.0718296,0.0186142,0.00936913,0.00257496,0.410138508
RLc,0.93,0.8,0.095049,0.0208676,0.00725212,0.00113759,0.452770024
RLc,1.01,0.8,0.0954078,0.0161845,0.0050172,0.00258952,0.49540154
RLc,1.09,0.8,0.113472,0.0156161,0.0046253,0.00201498,0.538033055
RLc,1.17,0.8,0.115197,0.0147023,0.00479761,0.000670633,0.580664571
RLc,1.25,0.8,0.121758,0.0145842,0.00572953,0.00272008,0.623296086
RLc,1.33,0.8,0.0773714,0.0160436,0.00672795,0.00815117,0.665927602
RLc,1.41,0.8,0.0831963,0.0195329,0.00814469,0.0107395,0.708559117
RLc,1.49,0.8,0.0953583,0.0164935,0.010969,0.00832684,0.751190633
RLc,1.57,0.8,0.115922,0.0228832,0.0106433,0.00878075,0.793822148
RLc,2.45,0.8,0.451682,0.0387426,0.0137016,0,1.26276882
RLc,2.53,0.8,0.522515,0.0375403,0.0143011,0,1.305400335
RLc,2.61,0.8,0.532682,0.0344537,0.0137815,0.00027563,1.348031851
RLc,2.69,0.8,0.633324,0.0320794,0.0139605,0.000297031,1.390663366
RLc,2.77,0.8,0.663392,0.0389934,0.0147024,0,1.433294882
RLc,2.85,0.8,0.67215,0.0494532,0.0168278,0.000343425,1.475926397
RLc,2.93,0.8,0.80734,0.0479037,0.0162136,0.00036849,1.518557913
RLc,3.01,0.8,0.86723,0.0461973,0.0153991,0.000789698,1.561189429
RLc,3.09,0.8,0.886044,0.05662,0.0169015,0.000422537,1.603820944
RLc,3.17,0.8,0.950475,0.0709,0.0198701,0,1.64645246
RLc,3.25,0.8,1.0311,0.077128,0.0212102,0.00048205,1.689083975
RLc,3.33,0.8,1.23257,0.129001,0.0339205,0.000513947,1.731715491
RLc,3.41,0.8,1.2779,0.129167,0.0355757,0.00164196,1.774347006
RLc,3.49,0.8,1.34588,0.122845,0.0337677,0.00232881,1.816978522
RLc,3.57,0.8,1.50525,0.131769,0.0408298,0.0055677,1.859610038
RLc,3.65,0.8,1.39003,0.155626,0.0361157,0.00459654,1.902241553
RLc,3.73,0.8,1.5184,0.171982,0.0369031,0.00696285,1.944873069
RLc,3.81,0.8,1.50298,0.180707,0.0383541,0.00885094,1.987504584
RLc,3.89,0.8,1.70998,0.228706,0.0460533,0.00156113,2.0301361
RLc,3.97,0.8,1.60185,0.247584,0.0462157,0.00165056,2.072767615
RLc,4.05,0.8,1.76921,0.214454,0.0453317,0.00174353,2.115399131
RLc,4.13,0.8,1.90956,0.178489,0.0423221,0.00184009,2.158030646
RLc,4.21,0.8,2.07055,0.184332,0.0455979,0,2.200662162
RLc,4.29,0.8,2.18846,0.192167,0.0439531,0.00102217,2.243293678
RLc,4.37,0.8,2.34102,0.23566,0.0408908,0,2.285925193
RLc,4.45,0.8,2.56821,0.267136,0.0418814,0,2.328556709
RLc,4.53,0.8,2.44855,0.330756,0.0428317,0,2.371188224
RLc,0.61,1.25,0.0183638,0.00376433,0.0019839,0.000610432,0.522046237
RLc,0.69,1.25,0.0242252,0.00413893,0.00198442,2.83E-05,0.564677752
RLc,0.77,1.25,0.0330481,0.00522238,0.00169885,0.000346061,0.607309268
RLc,0.85,1.25,0.0329455,0.0078958,0.0014609,0.000730449,0.649940783
RLc,0.93,1.25,0.0298159,0.0101966,0.001265,0.000421666,0.692572299
RLc,1.73,1.25,0.104091,0.0424607,0.00358318,0.000716636,1.118887455
RLc,1.81,1.25,0.12337,0.0415406,0.00454048,0.00376763,1.16151897
RLc,1.89,1.25,0.146957,0.0487938,0.00405748,0.000936341,1.204150486
RLc,1.97,1.25,0.103433,0.0359167,0.00436371,0.00067134,1.246782001
RLc,2.05,1.25,0.139457,0.0198292,0.00516761,0.000360531,1.289413517
RLc,2.13,1.25,0.120938,0.0207552,0.00528548,0.000515657,1.332045032
RLc,2.21,1.25,0.182383,0.0225129,0.00649145,0.00069058,1.374676548
RLc,2.29,1.25,0.193171,0.0239432,0.00679869,0.000886786,1.417308064
RLc,2.37,1.25,0.230161,0.0257497,0.00726679,0.000631895,1.459939579
RLc,2.45,1.25,0.281021,0.0263109,0.00758967,0.000843297,1.502571095
RLc,2.53,1.25,0.300233,0.026081,0.00809412,0.000719477,1.54520261
RLc,2.61,1.25,0.344217,0.0293176,0.00843121,0.000958092,1.587834126
RLc,2.69,1.25,0.392635,0.0342588,0.00999216,0.000611765,1.630465641
RLc,2.77,1.25,0.459295,0.0299175,0.0106229,0.000650381,1.673097157
RLc,2.85,1.25,0.471505,0.0448987,0.00990074,0.00023025,1.715728673
RLc,2.93,1.25,0.458696,0.0627862,0.0117266,0.000977217,1.758360188
RLc,3.01,1.25,0.470162,0.0696636,0.0157973,0.00336664,1.800991704
RLc,3.09,1.25,0.519303,0.0729556,0.0159076,0.000548539,1.843623219
RLc,3.17,1.25,0.563981,0.0751642,0.0182832,0.000580419,1.886254735
RLc,3.25,1.25,0.631637,0.0843721,0.0202493,0.00122723,1.92888625
RLc,3.33,1.25,0.619606,0.0910662,0.0213892,0.000324079,1.971517766
RLc,3.41,1.25,0.585195,0.102611,0.0215484,0.000342038,2.014149281
RLc,3.49,1.25,0.784285,0.0923393,0.0209206,0.0010821,2.056780797
RLc,3.57,1.25,0.875553,0.104142,0.023565,0.0019004,2.099412313
RLc,3.65,1.25,0.820331,0.12486,0.0248119,0.00200096,2.142043828
RLc,3.73,1.25,1.06835,0.112,0.0248421,0.00126316,2.184675344
RLc,3.81,1.25,1.101,0.0973885,0.0247898,0.0119522,2.227306859
RLc,3.89,1.25,1.0425,0.120919,0.0260442,0.00232537,2.269938375
RLc,3.97,1.25,1.04567,0.115719,0.0253898,0.00244133,2.31256989
RLc,4.05,1.25,1.11676,0.116284,0.0261255,0.00204906,2.355201406
RLc,4.13,1.25,1.08035,0.125141,0.0263172,0.00322251,2.397832921
RLc,4.21,1.25,1.17986,0.13337,0.0286998,0.00393919,2.440464437
RLc,4.29,1.25,1.41206,0.143777,0.0300518,0.0035355,2.483095953
RLc,4.37,1.25,1.21515,0.169572,0.0283648,0.0024665,2.525727468
RLc,0.85,1.75,0.0149562,0.0117015,0.00123989,0.000387467,0.916387756
RLc,0.93,1.75,0.0195039,0.0128329,0.00117043,0.000501612,0.959019271
RLc,1.01,1.75,0.0226745,0.00954555,0.00144084,0.000360209,1.001650787
RLc,1.09,1.75,0.026619,0.00503668,0.00154975,0.000193718,1.044282302
RLc,1.17,1.75,0.026886,0.00483777,0.00161259,0.000156057,1.086913818
RLc,1.25,1.75,0.0308997,0.00513377,0.00167406,0.000111604,1.129545334
RLc,1.33,1.75,0.0276361,0.00520137,0.00179358,0.000119572,1.172176849
RLc,1.41,1.75,0.0205162,0.011836,0.00191936,0.00044785,1.214808365
RLc,1.49,1.75,0.0281379,0.0166182,0.00307744,0.00027355,1.25743988
RLc,1.57,1.75,0.0252244,0.0171598,0.00321289,0.000438122,1.300071396
RLc,1.65,1.75,0.0557851,0.00615288,0.002025,7.79E-05,1.342702911
RLc,1.73,1.75,0.0598719,0.00622409,0.00215768,0,1.385334427
RLc,1.81,1.75,0.0699636,0.0058303,0.00247346,8.83E-05,1.427965942
RLc,1.89,1.75,0.0722414,0.00620017,0.00263038,0.000187884,1.470597458
RLc,1.97,1.75,0.088787,0.00658733,0.00279463,0.000199616,1.513228974
RLc,2.05,1.75,0.0948472,0.0080517,0.00296642,0.000105943,1.555860489
RLc,2.13,1.75,0.118966,0.00910083,0.00337068,0.000337068,1.598492005
RLc,2.21,1.75,0.123209,0.0110719,0.00321443,0,1.64112352
RLc,2.29,1.75,0.140003,0.0128563,0.00352918,0.000126042,1.683755036
RLc,2.37,1.75,0.138545,0.0154664,0.00413326,0,1.726386551
RLc,2.45,1.75,0.15753,0.0260716,0.0062008,0.000563709,1.769018067
RLc,2.53,1.75,0.182774,0.0279817,0.00684658,0.000595354,1.811649583
RLc,2.61,1.75,0.125972,0.0361267,0.00691119,0.000314145,1.854281098
RLc,2.69,1.75,0.167782,0.0319678,0.00612854,0.000165636,1.896912614
RLc,2.77,1.75,0.150551,0.0336858,0.00610883,0.000174538,1.939544129
RLc,2.85,1.75,0.195908,0.0347354,0.00643247,0.000183785,1.982175645
RLc,2.93,1.75,0.220265,0.0340357,0.00715524,0.000193385,2.02480716
RLc,3.01,1.75,0.214142,0.0372122,0.00691374,0.000203345,2.067438676
RLc,3.09,1.75,0.230767,0.0414527,0.0072649,0.000213674,2.110070191
RLc,3.17,1.75,0.24704,0.043978,0.00740446,0.000224378,2.152701707
RLc,3.25,1.75,0.305464,0.0461511,0.00847674,0.000235465,2.195333223
RLc,3.33,1.75,0.351894,0.043462,0.0101247,0.000493886,2.237964738
RLc,3.41,1.75,0.343103,0.0463287,0.0119057,0.00103528,2.280596254
RLc,3.49,1.75,0.399352,0.0696733,0.0162661,0.00298213,2.323227769
RLc,3.57,1.75,0.432354,0.0624357,0.0136223,0.00283799,2.365859285
RLc,3.65,1.75,0.521532,0.0647277,0.0145489,0.00207841,2.4084908
RLc,3.73,1.75,0.617635,0.0707855,0.0152127,0.00186278,2.451122316
RLc,3.81,1.75,0.638301,0.0736491,0.0133023,0.00162223,2.493753831
RLc,3.89,1.75,0.711482,0.076585,0.0169436,0.0101662,2.536385347
RLc,3.97,1.75,0.587248,0.0969275,0.0123813,0.00106125,2.579016863
RLc,4.05,1.75,0.627407,0.106297,0.0114417,0.000738175,2.621648378
RLc,4.13,1.75,0.460162,0.116237,0.0119316,0.000769783,2.664279894
RLc,4.21,1.75,0.533168,0.139607,0.0112328,0.00080234,2.706911409
RLc,4.29,1.75,0.794904,0.172605,0.0125379,0.000835861,2.749542925
RLc,0.37,2.25,0.00318862,0.00187901,0.000854095,5.69E-05,0.927045635
RLc,0.45,2.25,0.00469586,0.00244428,0.000916604,6.11E-05,0.96967715
RLc,0.53,2.25,0.00491657,0.00320867,0.000982246,6.55E-05,1.012308666
RLc,0.77,2.25,0.011114,0.00231874,0.00119935,8.00E-05,1.140203212
RLc,0.85,2.25,0.0108941,0.00157731,0.0012789,8.53E-05,1.182834728
RLc,0.93,2.25,0.0119426,0.00181636,0.00136227,9.08E-05,1.225466244
RLc,1.01,2.25,0.0122429,0.00183617,0.00144961,9.66E-05,1.268097759
RLc,1.09,2.25,0.0164372,0.00251702,0.00154104,0.000102736,1.310729275
RLc,1.17,2.25,0.0143227,0.00300062,0.0016367,0.000109113,1.35336079
RLc,1.25,2.25,0.0242045,0.00341558,0.00173674,0.000115783,1.395992306
RLc,1.33,2.25,0.0216317,0.0038667,0.00184129,0.000122752,1.438623821
RLc,1.41,2.25,0.0312055,0.00429106,0.00195048,0.000130032,1.481255337
RLc,1.49,2.25,0.0359905,0.00646866,0.00206447,0.000137631,1.523886852
RLc,1.57,2.25,0.0392138,0.0072779,0.00218337,0.000145558,1.566518368
RLc,1.65,2.25,0.0437871,0.014767,0.00230734,0.000153823,1.609149884
RLc,1.73,2.25,0.0269534,0.0130759,0.00243651,0.000162434,1.651781399
RLc,1.81,2.25,0.0523629,0.0137121,0.00257101,0.000171401,1.694412915
RLc,1.89,2.25,0.0539183,0.0134646,0.00271099,0.000180733,1.73704443
RLc,1.97,2.25,0.0493986,0.0138068,0.00285658,0.000190439,1.779675946
RLc,2.05,2.25,0.0569499,0.0146385,0.00300792,0.000200528,1.822307461
RLc,2.13,2.25,0.0694223,0.0162478,0.00316515,0.00021101,1.864938977
RLc,2.21,2.25,0.0837304,0.0157544,0.0033284,0.000221894,1.907570493
RLc,2.29,2.25,0.0539457,0.0171393,0.00349782,0.000233188,1.950202008
RLc,2.37,2.25,0.0559593,0.0150615,0.00367354,0.000244903,1.992833524
RLc,2.45,2.25,0.0718784,0.0169651,0.0038557,0.000257047,2.035465039
RLc,2.53,2.25,0.108749,0.0191436,0.00404443,0.000269629,2.078096555
RLc,2.61,2.25,0.0856456,0.0192208,0.00423988,0.000282659,2.12072807
