bin_index,qvcenter,EX_RL,RL,EX_RT,RT,nu_RL,nu_RT
1,0.148,0.01401656,0.012052476,0.014023,0.00207,0.014986296,0.014992727
1,0.148,0.01402284,0.012803112,0.01416,0.0023148,0.014992567,0.015129543
1,0.148,0.01419604,0.01356714,0.014329,0.002448,0.015165534,0.015298313
1,0.148,0.01439011,0.014283612,0.01448,0.0035064,0.015359339,0.015449106
1,0.148,0.01440823,0.015152724,0.01461,0.0055692,0.015377434,0.015578925
1,0.148,0.01457638,0.014879916,0.014731,0.0075204,0.015545352,0.015699756
1,0.148,0.01464195,0.01570032,0.01483,0.0094788,0.015610831,0.015798617
1,0.148,0.01480989,0.016232796,0.014914,0.0114192,0.015778535,0.015882498
1,0.148,0.01482592,0.017406576,0.015006,0.013518,0.015794543,0.015974367
1,0.148,0.01491595,0.018840024,0.015112,0.015264,0.015884445,0.016080216
1,0.148,0.01498053,0.020152728,0.015234,0.0172476,0.015948934,0.01620204
1,0.148,0.01502206,0.021293388,0.015371,0.019242,0.015990404,0.016338841
1,0.148,0.01511504,0.022583736,0.015524,0.0175896,0.016083251,0.016491616
1,0.148,0.01520571,0.023898924,0.015569,0.0148968,0.016173791,0.01653655
1,0.148,0.01522634,0.025126416,0.015628,0.0118512,0.016194391,0.016595462
1,0.148,0.01540376,0.025335036,0.015769,0.010098,0.016371553,0.016736253
1,0.148,0.01541389,0.026158392,0.015931,0.0102852,0.016381668,0.016898009
1,0.148,0.015587,0.024769296,0.016062,0.0110124,0.016554523,0.017028811
1,0.148,0.01559093,0.025700724,0.016232,0.0118044,0.016558447,0.017198551
1,0.148,0.01565585,0.027180864,0.016399,0.0112788,0.016623271,0.017365293
1,0.148,0.01569173,0.028676556,0.016569,0.0100764,0.016659098,0.017535028
1,0.148,0.01574718,0.0305055,0.016641,0.0088812,0.016714465,0.017606915
1,0.148,0.01577883,0.031959216,0.016795,0.0078516,0.016746068,0.017760672
1,0.148,0.01583073,0.033430248,0.016963,0.0074304,0.01679789,0.017928404
1,0.148,0.01585775,0.034957296,0.017131,0.0079308,0.01682487,0.018096134
1,0.148,0.01588128,0.036306864,0.017298,0.0093924,0.016848364,0.018262863
1,0.148,0.01591942,0.037620612,0.017466,0.0108468,0.016886447,0.018430587
1,0.148,0.01595879,0.038937168,0.017633,0.0122328,0.016925757,0.018597311
1,0.148,0.01599114,0.040224204,0.017807,0.0127332,0.016958058,0.018771021
