Z,A,E0,ThetaDeg,nu,cross,error,dataSet,normalization,normError,system_err,normCross,normCrossError,Veff,ThetaRad,sin2(T/2),cos2(T/2),tan2(T/2),Ex,W2original,Ffoc2,Ep,E0original,R,Q2,qv2,qv,W2,epsilon,gamma,Sig_R,D_sig_R,Sig_mott,Hcc,Hcc_Sig(nb),Hcc_error(nb),Hcc_Sig(GeV),Hcc_error(GeV),RT_QD_data,qvbin,qvcenter,Q2bin,Q2center,Exbin_qv,Excenter_qv,nucenter_ex_qv,epcenter_ex_qv,W2bin_qv,W2center_qv,nucenter_w2_qv,epcenter_w2_qv,Exbin_q2,Excenter_q2,nucenter_ex_q2,epcenter_ex_q2,W2bin_q2,W2center_q2,nucenter_w2_q2,epcenter_w2_q2,RL_qvc_ex,RT_qvc_ex,RL_qvd_ex,RT_qvd_ex,bc_qv_ex,RL_qvc_w2,RT_qvc_w2,RL_qvd_w2,RT_qvd_w2,bc_qv_w2,RL_q2c_ex,RT_q2c_ex,RL_q2d_ex,RT_q2d_ex,bc_q2_ex,RL_q2c_w2,RT_q2c_w2,RL_q2d_w2,RT_q2d_w2,bc_q2_w2
6,12,0.1227,90.0,0.0071,86760.0,9860.0,1,0.9919,0.0024,0.0,86057.244,9782.350346012558,0.0031,1.5707963267948966,0.5000000000000001,0.5000000000000001,0.9999999999999998,0.005833868152395802,0.866769699129,1.0525112974127808,0.11560000000000001,0.1196,2.894010933453939,0.02836824000000001,0.02841865000000001,0.1685783200770491,0.865311459129,0.33293891453536945,-0.00014756284034729336,-583190482.085204,-66818990.31486659,0.0018613939514284254,179.50161597366477,15447414.364239968,1755947.6951297927,39.67191912435192,4.5096100425094505,1.0480818702012643e-08,"[0.158,0.186]",0.167,"[0.025,0.035]",0.026,0.0,0.008555095292215972,0.009798303928027607,0.33256746345317745,0.0,0.0,0.0,0.0,0.0,0.00856633222601388,0.009729338464737194,0.3325262322535769,0.0,0.0,0.0,0.0,0.04780362,0.00010830328024945897,0.07096861,3.0406598187020125e-06,0.6750929428011722,0.0,0.0,0.07098359,3.0262658187020125e-06,1.0,0.04464193,0.0001099419233396447,0.07097037,3.039043818702013e-06,0.6305366906581545,0.0,0.0,0.07098359,3.0262648187020127e-06,1.0
6,12,0.1227,90.0,0.0121,26350.0,5890.0,1,0.9919,0.0024,0.0,26136.565,5842.633261319847,0.0031,1.5707963267948966,0.5000000000000001,0.5000000000000001,0.9999999999999998,0.0108338681523958,0.877348429129,1.0525112974127808,0.1106,0.1196,2.894010933453939,0.027141240000000007,0.027287650000000007,0.16518973939079876,0.8759211891290001,0.3321388791057478,-4.344781919433007e-05,-601562183.8946248,-135564916.93301475,0.0018613939514284254,180.36585244630794,4714143.826243336,1053811.5287091066,12.106824365909999,2.7063898691057275,3.4686312787971095e-06,"[0.158,0.186]",0.167,"[0.025,0.035]",0.026,0.0,0.008555095292215972,0.009798303928027607,0.33256746345317745,0.0,0.0,0.0,0.0,0.0,0.00856633222601388,0.009729338464737194,0.3325262322535769,0.0,0.0,0.0,0.0,0.04780362,0.00010830328024945897,0.02960822,0.0009141548312787971,1.5497291560452993,0.0,0.0,0.02928551,0.0009507652312787971,1.0,0.04464193,0.0001099419233396447,0.02960884,0.0009139163312787971,1.447470507575646,0.0,0.0,0.02928551,0.0009507651312787971,1.0
6,12,0.1227,90.0,0.0171,25810.0,4670.0,1,0.9919,0.0024,0.0,25600.939,4632.587156337698,0.0031,1.5707963267948966,0.5000000000000001,0.5000000000000001,0.9999999999999998,0.015833868152395802,0.887927159129,1.0525112974127808,0.1056,0.1196,2.894010933453939,0.02591424000000001,0.02620665000000001,0.16188468117768282,0.8865309191290001,0.3308445535248522,6.0373430738767834e-05,424043137.63075197,77351907.0037084,0.0018613939514284254,181.77399624211532,4653584.989580623,842083.8803474003,11.951297672982692,2.1626327105200414,2.7054309634609475e-05,"[0.158,0.186]",0.167,"[0.025,0.035]",0.026,6.0,0.015748392604746794,0.016982994308404997,0.33102720864336577,0.0,0.0,0.0,0.0,6.0,0.015755170534143333,0.016918176772866646,0.33090479162891573,0.0,0.0,0.0,0.0,0.02034151,0.00811866479222464,0.02001148,0.00804917930963461,1.0135308181495952,0.0,0.0,0.02009675,0.00819104030963461,1.0,0.01996727,0.00795113987792937,0.02001036,0.00804823830963461,0.9940837239571475,0.0,0.0,0.02009675,0.00819104030963461,1.0
6,12,0.1227,90.0,0.0221,40060.0,4770.0,1,0.9919,0.0024,0.0,39735.514,4732.33974969095,0.0031,1.5707963267948966,0.5000000000000001,0.5000000000000001,0.9999999999999998,0.020833868152395803,0.8985058891290001,1.0525112974127808,0.10060000000000001,0.1196,2.894010933453939,0.02468724000000001,0.02517565000000001,0.15866836483685087,0.897140649129,0.3289941408774745,0.000163658077998924,242795922.36358324,29146132.340814617,0.0018613939514284254,183.8087457180211,7303734.988800868,869845.4337022274,18.75739052175439,2.233929697413114,7.226487670860691e-05,"[0.158,0.186]",0.167,"[0.015,0.025]",0.02,20.0,0.020673615252043018,0.021899665582987282,0.3294898400009812,0.0,0.0,0.0,0.0,26.0,0.020713376371175554,0.02160799655480887,0.3282249979421001,0.0,0.0,0.0,0.0,0.03244247,0.013801022357009002,0.03321419,0.013426904876708607,0.9964651001782666,0.0,0.0,0.03386056,0.013526294876708608,1.0,0.03358045,0.012056978504848836,0.03321361,0.013425234876708608,0.9672903021847002,0.0,0.0,0.03386056,0.013526294876708608,1.0
6,12,0.1227,145.0,0.0021,17100.0,700.0,1,0.9919,0.0024,0.0,16961.49,695.5418251262824,0.0031,2.5307274153917776,0.9095760221444957,0.0904239778555042,10.059013590377335,-0.00018348428222682766,0.8331678817722137,1.0525112974127808,0.1206,0.1196,2.894010933453939,0.053838241347223335,0.05384265134722334,0.2320401933873167,0.8304587277817767,0.047349213270093275,-0.00018837933591041767,-90039015.78709199,-3715906.506501751,0.00010172176910038984,465.5539413794314,7896488.521167813,323812.23808178405,20.279695138064355,0.8316118554050309,0.0,"[0.223,0.270]",0.24,"[0.045,0.070]",0.056,0.0,0.002588649260617998,0.0051639625696040525,0.04733202320728242,0.0,0.0,0.0,0.0,0.0,0.0025836878669376158,0.005088624381110904,0.047332058365062116,0.0,0.0,0.0,0.0,0.06012977,2.2553892360277446e-09,0.01366403,2.993397e-11,4.3989922747286245,0.0,0.0,0.01240717,2.623948e-11,1.0,0.06042433,2.3894492232611076e-09,0.01365702,2.990983e-11,4.422814182617681,0.0,0.0,0.01240717,2.623948e-11,1.0
6,12,0.1227,145.0,0.0071,4800.0,340.0,1,0.9919,0.0024,0.0,4761.12,337.44269871490775,0.0031,2.5307274153917776,0.9095760221444957,0.0904239778555042,10.059013590377335,0.004816515717773173,0.8447263176171833,1.0525112974127808,0.11560000000000001,0.1196,2.894010933453939,0.05160614178888075,0.05165655178888075,0.22728077742933023,0.8420735573401192,0.04730888402737229,-0.00014452344347470284,-32943582.6156009,-2352559.5005595963,0.00010172176910038984,465.99026224572515,2218635.557383367,157245.0116670651,5.6978811031754795,0.40383531110583426,5.186923348749584e-10,"[0.223,0.270]",0.24,"[0.045,0.070]",0.056,0.0,0.002588649260617998,0.0051639625696040525,0.04733202320728242,0.0,0.0,0.0,0.0,0.0,0.0025836878669376158,0.005088624381110904,0.047332058365062116,0.0,0.0,0.0,0.0,0.06012977,2.2553892360277446e-09,0.08927543,1.9644119233487497e-07,0.6738450149077724,0.0,0.0,0.08920887,1.8783179233487495e-07,1.0,0.06042433,2.3894492232611076e-09,0.08927377,1.9621619233487495e-07,0.6771591317095705,0.0,0.0,0.08920887,1.8783169233487496e-07,1.0
6,12,0.1227,145.0,0.0121,2390.0,210.0,1,0.9919,0.0024,0.0,2370.641,208.37796211931817,0.0031,2.5307274153917776,0.9095760221444957,0.0904239778555042,10.059013590377335,0.009816515717773172,0.8562847534621529,1.0525112974127808,0.1106,0.1196,2.894010933453939,0.04937404223053815,0.04952045223053815,0.22253191283620008,0.8536883868984619,0.04721951735467406,-0.00010066608257049035,-23549550.548368502,-2086104.819395845,0.00010172176910038984,466.95977917887404,1106993.9978723852,97304.12717698059,2.842972637310815,0.24989563772996884,1.267030205050393e-06,"[0.186,0.223]",0.205,"[0.045,0.070]",0.056,0.0,0.010022573132446566,0.011896063625059128,0.047200976944912786,0.0,0.0,0.0,0.0,1.0,0.007850860016102058,0.010355796530275347,0.047266676551365676,0.0,0.0,0.0,0.0,0.04845367,0.000324800185358758,0.05231929,0.0002170872302050504,0.9498527242853247,0.0,0.0,0.05166985,0.0002338087302050504,1.0,0.06865626,1.9268420008480566e-05,0.05232449,0.0002169606302050504,1.2617780523217808,0.0,0.0,0.05166985,0.0002338087302050504,1.0
6,12,0.1227,145.0,0.0171,3280.0,260.0,1,0.9919,0.0024,0.0,3253.432,258.0141151565162,0.0031,2.5307274153917776,0.9095760221444957,0.0904239778555042,10.059013590377335,0.014816515717773173,0.8678431893071226,1.0525112974127808,0.1056,0.1196,2.894010933453939,0.047141942672195555,0.047434352672195555,0.21779428980621957,0.8653032164568045,0.04707474164103794,-5.681364446164877e-05,-57264976.23640712,-4576365.456989989,0.00010172176910038984,468.5382446827854,1524357.3184748036,120889.48061881615,3.9148415928520204,0.3104673432724706,1.4396253478370925e-05,"[0.186,0.223]",0.205,"[0.045,0.070]",0.056,2.0,0.014818521657961787,0.016685888361772427,0.04705395302039117,0.0,0.0,0.0,0.0,5.0,0.014877707059614954,0.017382643573788242,0.04711075182154889,0.0,0.0,0.0,0.0,0.02198678,0.006150203838792082,0.02176234,0.005910325253478371,1.0330735001498712,0.0,0.0,0.02158781,0.006259356253478371,1.0,0.02053345,0.0058536765395699,0.02176348,0.005909338253478371,0.9781039270177265,0.0,0.0,0.02158781,0.006259356253478371,1.0
6,12,0.1227,145.0,0.0221,7220.0,410.0,1,0.9919,0.0024,0.0,7161.518,407.04799302416416,0.0031,2.5307274153917776,0.9095760221444957,0.0904239778555042,10.059013590377335,0.019816515717773174,0.8794016251520922,1.0525112974127808,0.10060000000000001,0.1196,2.894010933453939,0.04490984311385297,0.04539825311385297,0.2130686582157333,0.8769180460151471,0.04686734528065708,-1.2973676701882408e-05,-552003735.298946,-31602452.36730088,0.00010172176910038984,470.8164817662164,3371760.7088654307,191644.90398563637,8.659327379631552,0.49218082406805613,4.6610697723530234e-05,"[0.186,0.223]",0.205,"[0.035,0.045]",0.04,19.0,0.01987945713024815,0.02173814029838006,0.046845395215524395,0.0,0.0,0.0,0.0,18.0,0.01986852165796179,0.021657762025228424,0.04682976416626004,0.0,0.0,0.0,0.0,0.02823989,0.01418774032467498,0.02721698,0.014174530697723531,1.0068155966336896,0.0,0.0,0.0279572,0.01424499069772353,1.0,0.02853467,0.014169358629831435,0.02721882,0.01417432069772353,1.0075972311943888,0.0,0.0,0.0279572,0.01424499069772353,1.0
6,12,0.1628,90.0,0.0022,122300.0,5450.0,1,0.9919,0.0024,0.0,121309.37,5413.817716863488,0.0031,1.5707963267948966,0.5000000000000001,0.5000000000000001,0.9999999999999998,-4.9508450974046925e-05,0.834179123729,1.0391995950453436,0.1606,0.1597,2.894010933453939,0.05229136000000001,0.05229620000000001,0.22868362424974817,0.832193263729,0.3333127660887271,-0.0002684902962370846,-451820314.17954993,-20298685.190423027,0.0010439767466419866,319.3313182026025,38737881.032427244,1728801.5480346216,99.48629894494532,4.43989353677562,0.0,"[0.223,0.270]",0.24,"[0.045,0.070]",0.056,0.0,0.002588649260617998,0.0051639625696040525,0.3332304374026496,0.0,0.0,0.0,0.0,0.0,0.0025836878669376158,0.005088624381110904,0.33323061064143794,0.0,0.0,0.0,0.0,0.06012977,2.2553892360277446e-09,0.01514706,4.398613e-11,3.9687517572180493,0.0,0.0,0.01416264,4.003209e-11,1.0,0.06042433,2.3894492232611076e-09,0.01513974,4.395284e-11,3.990123994230899,0.0,0.0,0.01416264,4.003209e-11,1.0
