qv,q2,ex,nu,RTTOT,RLTOT,RTQE,RLQE,RTIE,RLIE,RTE,RLE,RTNS,RLNS
0.23667,0.056,0.001,0.0035,1.178854e-10,0.02979354,0.0,0.0,0.0,0.0,0.0,0.0,1.178854e-10,0.02979354
0.23669,0.056,0.002,0.0045,7.538974e-10,0.0487096,0.0,0.0,0.0,0.0,0.0,0.0,7.538974e-10,0.0487096
0.23671,0.056,0.003,0.0055,5.44986e-09,0.06829647,0.0,0.0,0.0,0.0,0.0,0.0,5.44986e-09,0.06829647
0.23673,0.056,0.004,0.0065,3.76526e-08,0.08282432,0.0,0.0,0.0,0.0,0.0,0.0,3.76526e-08,0.08282432
0.23676,0.056,0.005,0.0075,2.325325e-07,0.08824594,0.0,0.0,0.0,0.0,0.0,0.0,2.325325e-07,0.08824594
0.2368,0.056,0.006,0.0085,1.251917e-06,0.08484596,0.0,0.0,0.0,0.0,0.0,0.0,1.251917e-06,0.08484596
0.23683,0.056,0.007,0.0095,5.817354e-06,0.07651078,0.0,0.0,0.0,0.0,0.0,0.0,5.817354e-06,0.07651078
0.23688,0.056,0.008,0.0105,2.323545e-05,0.0673297,0.0,0.0,0.0,0.0,0.0,0.0,2.323545e-05,0.0673297
0.23692,0.056,0.009,0.0115,7.966532e-05,0.0589259,0.0,0.0,0.0,0.0,0.0,0.0,7.966532e-05,0.0589259
0.23697,0.056,0.01,0.0125,0.0002345564,0.05073286,0.0,0.0,0.0,0.0,0.0,0.0,0.0002345564,0.05073286
0.23703,0.056,0.011,0.0135,0.0005941887,0.04210313,0.0,0.0,0.0,0.0,0.0,0.0,0.0005941887,0.04210313
0.23709,0.056,0.012,0.0145,0.001299958,0.03366415,0.0,0.0,0.0,0.0,0.0,0.0,0.001299958,0.03366415
0.23715,0.056,0.013,0.0155,0.002471211,0.02682775,0.0,0.0,0.0,0.0,0.0,0.0,0.002471211,0.02682775
0.23722,0.056,0.014,0.0165,0.004118757,0.02248243,0.0,0.0,0.0,0.0,0.0,0.0,0.004118757,0.02248243
0.23729,0.056,0.015,0.0175,0.006090854,0.02036291,0.0,0.0,0.0,0.0,0.0,0.0,0.006090854,0.02036291
0.23737,0.056,0.016,0.0185,0.008102032,0.01949783,0.0,0.0,0.0,0.0,0.0,0.0,0.008102032,0.01949783
0.23745,0.056,0.017,0.0195,0.01057013,0.01997254,0.0005883796,0.0009291145,0.0,0.0,0.0001647527,0.0,0.009816997,0.01904343
0.23753,0.056,0.018,0.0205,0.01261158,0.02086912,0.001366049,0.002158792,0.0,0.0,0.0003251125,0.0,0.01092042,0.01871033
0.23762,0.056,0.019,0.0215,0.01385036,0.02209969,0.002207013,0.003490759,0.0,0.0,0.0004752678,0.0,0.01116808,0.01860893
0.23771,0.056,0.02,0.0225,0.01423162,0.0238228,0.003128588,0.004953031,0.0,0.0,0.0006314908,0.0,0.01047154,0.01886977
0.23781,0.056,0.021,0.0235,0.01391263,0.02595507,0.004123593,0.006534966,0.0,0.0,0.0007970832,0.0,0.008991957,0.01942011
0.23791,0.056,0.022,0.0245,0.01327685,0.0282292,0.00518229,0.008221881,0.0,0.0,0.0009726242,0.0,0.007121935,0.02000732
0.23801,0.056,0.023,0.0255,0.01276113,0.03033913,0.00629489,0.009998998,0.0,0.0,0.001157737,0.0,0.005308499,0.02034013
0.23812,0.056,0.024,0.0265,0.01264809,0.03206405,0.007451983,0.01185211,0.0,0.0,0.001351633,0.0,0.003844471,0.02021193
0.23824,0.056,0.025,0.0275,0.01298879,0.03332494,0.008644068,0.01376684,0.0,0.0,0.001553236,0.0,0.002791486,0.0195581
0.23835,0.056,0.026,0.0285,0.0130532,0.0333349,0.009330092,0.01488096,0.0,0.0,0.001666366,0.0,0.002056747,0.01845394
0.23848,0.056,0.027,0.0295,0.01328372,0.03302774,0.009989,0.0159563,0.0,0.0,0.001777622,0.0,0.001517101,0.01707144
0.2386,0.056,0.028,0.0305,0.01359789,0.03260524,0.01061924,0.01699045,0.0,0.0,0.00188649,0.0,0.001092161,0.01561479
0.23873,0.056,0.029,0.0315,0.01396267,0.03224025,0.01121947,0.01798131,0.0,0.0,0.001992528,0.0,0.0007506662,0.01425894
0.23887,0.056,0.03,0.0325,0.01437,0.03203806,0.0117886,0.0189271,0.0,0.0,0.002095353,0.0,0.0004860517,0.01311095
0.239,0.056,0.031,0.0335,0.01481493,0.03202786,0.01232573,0.01982639,0.0,0.0,0.002194639,0.0,0.0002945566,0.01220147
