Z,A,E0,ThetaDeg,nu,cross,error,dataSet
6,12,0.16,36,0.0125,85811.388,1716.22776,1
6,12,0.16,36,0.0155,761653.164,15233.06328,1
6,12,0.16,36,0.0185,599640.36,11992.8072,1
6,12,0.16,36,0.0215,546353.628,10927.07256,1
6,12,0.16,36,0.0245,363221.124,7264.42248,1
6,12,0.16,36,0.0275,268186.704,5363.73408,1
6,12,0.2,36,0.0175,464044.212,9280.88424,1
6,12,0.2,36,0.0205,600342.072,12006.84144,1
6,12,0.2,36,0.0235,435048.984,8700.97968,1
6,12,0.2,36,0.0265,326832.348,6536.64696,1
6,12,0.2,36,0.0295,303878.076,6077.56152,1
6,12,0.2,36,0.0325,293448.444,5868.96888,1
6,12,0.2,36,0.0355,264719.568,5294.39136,1
6,12,0.2,36,0.0385,226712.724,4534.25448,1
6,12,0.2,36,0.0415,189243.852,3784.87704,1
6,12,0.2,36,0.0445,156182.52,3123.6504,1
6,12,0.2,36,0.0475,127987.68,2559.7536,1
6,12,0.24,36,0.0125,49834.644,996.69288,1
6,12,0.24,36,0.0155,252321.384,5046.42768,1
6,12,0.24,36,0.0185,337440.036,6748.80072,1
6,12,0.24,36,0.0215,397901.772,7958.03544,1
6,12,0.24,36,0.0245,316615.368,6332.30736,1
6,12,0.24,36,0.0275,278163.192,5563.26384,1
6,12,0.24,36,0.0305,283265.304,5665.30608,1
6,12,0.24,36,0.0335,283102.98,5662.0596,1
6,12,0.24,36,0.0365,266709.384,5334.18768,1
6,12,0.24,36,0.0395,241882.272,4837.64544,1
6,12,0.24,36,0.0425,214923.96,4298.4792,1
6,12,0.24,36,0.0455,188477.964,3769.55928,1
6,12,0.24,36,0.0485,163503.42,3270.0684,1
6,12,0.24,36,0.0515,140605.248,2812.10496,1
6,12,0.24,36,0.0545,120208.728,2404.17456,1
6,12,0.24,36,0.0575,102435.312,2048.70624,1
6,12,0.24,36,0.0605,87134.58,1742.6916,1
6,12,0.32,36,0.0125,164863.788,3297.27576,1
6,12,0.32,36,0.0155,107019.228,2140.38456,1
6,12,0.32,36,0.0185,213770.868,4275.41736,1
6,12,0.32,36,0.0215,268591.164,5371.82328,1
6,12,0.32,36,0.0245,193865.868,3877.31736,1
6,12,0.32,36,0.0275,183080.52,3661.6104,1
6,12,0.32,36,0.0305,192302.268,3846.04536,1
6,12,0.32,36,0.0335,202021.908,4040.43816,1
6,12,0.32,36,0.0365,202537.908,4050.75816,1
6,12,0.32,36,0.0395,197486.484,3949.72968,1
6,12,0.32,36,0.0425,189985.272,3799.70544,1
6,12,0.32,36,0.0455,180756.216,3615.12432,1
6,12,0.32,36,0.0485,169793.736,3395.87472,1
6,12,0.32,36,0.0515,157486.296,3149.72592,1
6,12,0.32,36,0.0545,144564.456,2891.28912,1
6,12,0.32,36,0.0575,131698.116,2633.96232,1
6,12,0.32,36,0.0605,119310.948,2386.21896,1
6,12,0.32,36,0.0635,107617.284,2152.34568,1
6,12,0.32,36,0.0665,96715.644,1934.31288,1
6,12,0.32,36,0.0695,86652.816,1733.05632,1
