qv,q2,ex,nu,RTTOT,RLTOT,RTQE,RLQE,RTIE,RLIE,RTE,RLE,RTNS,RLNS
0.756,0.57083,0.00103,0.02657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.756,0.57078,0.00203,0.02757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.756,0.57072,0.00304,0.02857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.756,0.57066,0.00404,0.02957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.756,0.5706,0.00504,0.03057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.756,0.57054,0.00604,0.03157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.756,0.57048,0.00705,0.03257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.756,0.57041,0.00805,0.03357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.756,0.57034,0.00905,0.03457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.756,0.57027,0.01006,0.03557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.756,0.5702,0.01106,0.03657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.756,0.57012,0.01206,0.03757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.756,0.57005,0.01307,0.03857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.756,0.56997,0.01407,0.03957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.756,0.56989,0.01507,0.04057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.756,0.56981,0.01608,0.04157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.756,0.56972,0.01708,0.04257,1.25e-05,9.11e-07,3.48e-06,9.11e-07,0.0,0.0,9e-06,0.0,0.0,0.0
0.756,0.56964,0.01808,0.04357,2.19e-05,1.58e-06,6.04e-06,1.58e-06,0.0,0.0,1.59e-05,0.0,0.0,0.0
0.756,0.56955,0.01909,0.04457,2.97e-05,2.13e-06,8.1e-06,2.13e-06,0.0,0.0,2.16e-05,0.0,0.0,0.0
0.756,0.56946,0.02009,0.04557,3.71e-05,2.63e-06,1e-05,2.63e-06,0.0,0.0,2.7e-05,0.0,0.0,0.0
0.756,0.56937,0.0211,0.04657,4.44e-05,3.12e-06,1.19e-05,3.12e-06,0.0,0.0,3.25e-05,0.0,0.0,0.0
0.756,0.56927,0.0221,0.04757,5.17e-05,3.61e-06,1.37e-05,3.61e-06,0.0,0.0,3.8e-05,0.0,0.0,0.0
0.756,0.56918,0.02311,0.04857,5.93e-05,4.11e-06,1.56e-05,4.11e-06,0.0,0.0,4.37e-05,0.0,0.0,0.0
0.756,0.56908,0.02411,0.04957,6.71e-05,4.62e-06,1.75e-05,4.62e-06,0.0,0.0,4.96e-05,0.0,0.0,0.0
0.756,0.56898,0.02511,0.05057,7.47e-05,5.11e-06,1.93e-05,5.11e-06,0.0,0.0,5.53e-05,0.0,0.0,0.0
0.756,0.56888,0.02612,0.05157,7.85e-05,5.35e-06,2.02e-05,5.35e-06,0.0,0.0,5.83e-05,0.0,0.0,0.0
0.756,0.56877,0.02712,0.05257,8.25e-05,5.59e-06,2.11e-05,5.59e-06,0.0,0.0,6.14e-05,0.0,0.0,0.0
0.756,0.56867,0.02813,0.05357,8.66e-05,5.84e-06,2.2e-05,5.84e-06,0.0,0.0,6.46e-05,0.0,0.0,0.0
0.756,0.56856,0.02913,0.05457,9.09e-05,6.11e-06,2.3e-05,6.11e-06,0.0,0.0,6.79e-05,0.0,0.0,0.0
0.756,0.56845,0.03014,0.05557,9.52e-05,6.38e-06,2.4e-05,6.38e-06,0.0,0.0,7.13e-05,0.0,0.0,0.0
0.756,0.56834,0.03114,0.05657,9.97e-05,6.66e-06,2.5e-05,6.66e-06,0.0,0.0,7.47e-05,0.0,0.0,0.0
0.756,0.56822,0.03215,0.05757,0.000104,6.95e-06,2.61e-05,6.95e-06,0.0,0.0,7.83e-05,0.0,0.0,0.0
0.756,0.56811,0.03315,0.05857,0.000109,7.25e-06,2.72e-05,7.25e-06,0.0,0.0,8.2e-05,0.0,0.0,0.0
0.756,0.56799,0.03416,0.05957,0.000114,7.56e-06,2.83e-05,7.56e-06,0.0,0.0,8.57e-05,0.0,0.0,0.0
0.756,0.56787,0.03516,0.06057,0.000119,7.88e-06,2.95e-05,7.88e-06,0.0,0.0,8.96e-05,0.0,0.0,0.0
0.756,0.56775,0.03617,0.06157,0.000124,8.22e-06,3.07e-05,8.22e-06,0.0,0.0,9.36e-05,0.0,0.0,0.0
0.756,0.56762,0.03718,0.06257,0.00013,8.57e-06,3.19e-05,8.57e-06,0.0,0.0,9.76e-05,0.0,0.0,0.0
