Z,A,E0,ThetaDeg,nu,cross,error,dataSet
20,40,0.12,90,0.0075,216000,18000,1
20,40,0.12,90,0.0125,92100,9395.8568,1
20,40,0.12,90,0.0175,138000,12480.78523,1
20,40,0.12,90,0.0225,124000,12107.84869,1
20,40,0.12,90,0.0275,92300,10543.6533,1
20,40,0.12,90,0.0325,82100,10809.76526,1
20,40,0.12,90,0.0375,63300,10775.30626,1
20,40,0.12,90,0.0425,37000,21479.81611,1
20,40,0.12,140,0.0075,13800,965.9585912,2
20,40,0.12,140,0.0125,10400,743.9247274,2
20,40,0.12,140,0.0175,14900,1069.976168,2
20,40,0.12,140,0.0225,17500,1288.619804,2
20,40,0.12,140,0.0275,17700,1342.879369,2
20,40,0.12,140,0.0325,19300,1516.6163,2
20,40,0.12,140,0.0375,19900,1621.241808,2
20,40,0.12,140,0.0425,18200,2764.091171,2
20,40,0.12,140,0.0475,16500,1556.606887,2
20,40,0.12,140,0.0525,14300,1518.823558,2
20,40,0.15,35,0.010267977,1867026.03,93351.30152,4
20,40,0.15,35,0.010540583,1715137.695,85756.88477,4
20,40,0.15,35,0.010846434,1831289.646,91564.48228,4
20,40,0.15,35,0.011085796,1568364.5,78418.22499,4
20,40,0.15,35,0.011358402,2535125.924,126756.2962,4
20,40,0.15,35,0.011631008,3181338.587,159066.9293,4
20,40,0.15,35,0.011990051,2996288.835,149814.4417,4
20,40,0.15,35,0.012096434,2099503.915,104975.1958,4
20,40,0.15,35,0.012442179,1482764.201,74138.21006,4
20,40,0.15,35,0.012641647,2574202.809,128710.1404,4
20,40,0.15,35,0.013007338,2585372.603,129268.6302,4
20,40,0.15,35,0.013333136,3388310.366,169415.5183,4
20,40,0.15,35,0.013572498,2778669.213,138933.4607,4
20,40,0.15,35,0.013891647,3274176.634,163708.8317,4
20,40,0.15,35,0.014177551,3678272.679,183913.634,4
20,40,0.15,35,0.014569838,3466881.697,173344.0849,4
20,40,0.15,35,0.014849094,2758904.591,137945.2296,4
20,40,0.15,35,0.015081806,3261406.183,163070.3092,4
20,40,0.15,35,0.015354413,3155310.528,157765.5264,4
20,40,0.15,35,0.015627019,3284720.086,164236.0043,4
20,40,0.15,35,0.015892977,2982404.884,149120.2442,4
20,40,0.15,35,0.016158934,3393147.131,169657.3565,4
20,40,0.15,35,0.016444838,3417818.111,170890.9056,4
20,40,0.15,35,0.016717445,3900485.488,195024.2744,4
20,40,0.15,35,0.017009998,4016707.032,200835.3516,4
20,40,0.15,35,0.017216115,3852083.042,192604.1521,4
20,40,0.15,35,0.017515317,4321527.608,216076.3804,4
20,40,0.15,35,0.017767977,4411790.688,220589.5344,4
20,40,0.15,35,0.018027285,4802942.297,240147.1149,4
20,40,0.15,35,0.018339785,5036812.057,251840.6028,4
20,40,0.15,35,0.018632338,5689462.14,284473.107,4
20,40,0.15,35,0.0188717,5851754.739,292587.737,4
20,40,0.15,35,0.019217445,6477959.202,323897.9601,4
20,40,0.15,35,0.019676221,6174634.891,308731.7445,4
20,40,0.15,35,0.019536594,5488475.422,274423.7711,4
20,40,0.15,35,0.01999537,5525325.307,276266.2654,4
20,40,0.15,35,0.020287923,5399499.827,269974.9913,4
20,40,0.15,35,0.020600423,4514719.827,225735.9914,4
20,40,0.15,35,0.020892977,4931864.698,246593.2349,4
20,40,0.15,35,0.021172232,4380891.068,219044.5534,4
20,40,0.15,35,0.02155787,4267662.054,213383.1027,4
20,40,0.15,35,0.02187037,3912768.783,195638.4391,4
20,40,0.15,35,0.021783934,3311374.488,165568.7244,4
20,40,0.15,35,0.022256008,3694870.786,184743.5393,4
20,40,0.15,35,0.022515317,3765473.634,188273.6817,4
20,40,0.15,35,0.022761328,3129630.439,156481.5219,4
20,40,0.15,35,0.02312037,3376340.243,168817.0122,4
20,40,0.15,35,0.023273296,2943780.359,147189.018,4
20,40,0.15,35,0.023592445,2843982.937,142199.1469,4
20,40,0.15,35,0.023858402,2705213.022,135260.6511,4
20,40,0.15,35,0.024064519,3024683.081,151234.154,4
20,40,0.15,35,0.024403615,3121035.612,156051.7806,4
20,40,0.15,35,0.024543242,2525000.035,126250.0017,4
20,40,0.15,35,0.024835796,2314131.006,115706.5503,4
20,40,0.15,35,0.025101753,2430491.737,121524.5869,4
20,40,0.15,35,0.025387657,2363577.358,118178.8679,4
20,40,0.15,35,0.025660264,2525695.973,126284.7986,4
20,40,0.15,35,0.025926221,2040210.05,102010.5025,4
20,40,0.15,35,0.026145636,2392319.572,119615.9786,4
20,40,0.15,35,0.026418242,2384351.089,119217.5545,4
20,40,0.15,35,0.026631008,2167357.811,108367.8905,4
20,40,0.15,35,0.026896966,2329511.222,116475.5611,4
20,40,0.15,35,0.027129679,2145122.611,107256.1306,4
20,40,0.15,35,0.02736904,2274706.153,113735.3077,4
20,40,0.15,35,0.027588455,2077303.513,103865.1756,4
20,40,0.15,35,0.027827817,2141468.94,107073.447,4
20,40,0.15,35,0.028047232,2042193.471,102109.6736,4
20,40,0.15,35,0.028339785,2217291.318,110864.5659,4
20,40,0.15,35,0.028585796,2202920.211,110146.0106,4
20,40,0.15,35,0.028818508,1724150.084,86207.50422,4
20,40,0.15,35,0.029064519,1873324.264,93666.21318,4
20,40,0.15,35,0.029317179,1976670.966,98833.54829,4
20,40,0.15,35,0.029603083,2040592.815,102029.6408,4
20,40,0.15,35,0.02986904,2026117.318,101305.8659,4
20,40,0.15,35,0.030148296,2299411.931,114970.5965,4
20,40,0.15,35,0.030440849,1990415.73,99520.78648,4
20,40,0.15,35,0.0307467,1661724.501,83086.22505,4
20,40,0.15,35,0.031019306,1745341.378,87267.0689,4
20,40,0.15,35,0.031271966,2038400.613,101920.0306,4
20,40,0.15,35,0.031517977,1716564.367,85828.21835,4
20,40,0.15,35,0.031724094,1702402.041,85120.10205,4
20,40,0.15,35,0.032036594,1995148.104,99757.4052,4
20,40,0.16,60,0.0075,929000,72143.20827,6
20,40,0.16,60,0.0125,461000,39275.21483,6
20,40,0.16,60,0.0175,583000,45472.32675,6
20,40,0.16,60,0.0225,487000,39972.6469,6
20,40,0.16,60,0.0275,352000,32481.53322,6
20,40,0.16,60,0.0325,335000,32456.16274,6
20,40,0.16,60,0.0375,312000,32139.85065,6
20,40,0.16,60,0.0425,231000,29091.10689,6
20,40,0.16,60,0.0475,179000,27875.84079,6
20,40,0.16,60,0.0525,143000,27930.6731,6
20,40,0.16,60,0.0575,103000,28174.67835,6
20,40,0.16,60,0.0625,69100,26922.61178,6
20,40,0.16,90,0.0075,113000,7106.236697,7
20,40,0.16,90,0.0125,52500,3349.182736,7
20,40,0.16,90,0.0175,67000,4378.915391,7
20,40,0.16,90,0.0225,66900,4486.549342,7
20,40,0.16,90,0.0275,59300,4098.795555,7
20,40,0.16,90,0.0325,61600,4355.777772,7
20,40,0.16,90,0.0375,65500,4713.568181,7
20,40,0.16,90,0.0425,62100,4502.068969,7
20,40,0.16,90,0.0475,58600,4428.013098,7
20,40,0.16,90,0.0525,52000,4185.498776,7
20,40,0.16,90,0.0575,45500,3991.744606,7
20,40,0.16,90,0.0625,38400,3809.265021,7
20,40,0.16,90,0.0675,27900,3463.369025,7
20,40,0.16,90,0.0725,19100,3493.08245,7
20,40,0.16,90,0.0775,12600,3763.110416,7
20,40,0.16,140,0.0075,2280,150.7247823,8
20,40,0.16,140,0.0125,3940,252.5331661,8
20,40,0.16,140,0.0175,6480,426.2686946,8
20,40,0.16,140,0.0225,7850,519.2843633,8
20,40,0.16,140,0.0275,9400,626.9968102,8
20,40,0.16,140,0.0325,11000,741.2887427,8
20,40,0.16,140,0.0375,13200,898.042872,8
20,40,0.16,140,0.0425,12900,891.2070467,8
20,40,0.16,140,0.0475,14100,991.3798465,8
20,40,0.16,140,0.0525,14700,1053.684013,8
20,40,0.16,140,0.0575,15700,1145.330083,8
20,40,0.16,140,0.0625,15200,1138.729116,8
20,40,0.16,140,0.0675,13500,1055.152122,8
20,40,0.16,140,0.0725,12200,993.3559282,8
20,40,0.16,140,0.0775,10500,899.9922222,8
20,40,0.183,35,0.010716952,1553352.307,77667.61535,10
20,40,0.183,35,0.011195778,1401667.64,70083.38202,10
20,40,0.183,35,0.011591977,1771976.4,88598.82002,10
20,40,0.183,35,0.011922918,2324254.609,116212.7304,10
20,40,0.183,35,0.012282145,2224460.105,111223.0052,10
20,40,0.183,35,0.012620293,1985087.397,99254.36982,10
20,40,0.183,35,0.012957828,2528015.691,126400.7846,10
20,40,0.183,35,0.013295579,2237423.333,111871.1666,10
20,40,0.183,35,0.013663851,2444909.48,122245.474,10
20,40,0.183,35,0.013973712,2857609.485,142880.4743,10
20,40,0.183,35,0.014331823,3474927.337,173746.3669,10
20,40,0.183,35,0.014649971,3235666.381,161783.3191,10
20,40,0.183,35,0.014972335,2679737.608,133986.8804,10
20,40,0.183,35,0.015282412,3120375.605,156018.7802,10
20,40,0.183,35,0.01562301,3197633.463,159881.6731,10
20,40,0.183,35,0.016035605,3102197.285,155109.8642,10
20,40,0.183,35,0.016240389,2858913.258,142945.6629,10
20,40,0.183,35,0.016624552,3396924.466,169846.2233,10
20,40,0.183,35,0.016986699,3674292.842,183714.6421,10
20,40,0.183,35,0.017294325,3798300.272,189915.0136,10
20,40,0.183,35,0.017628473,3903533.372,195176.6686,10
20,40,0.183,35,0.018012204,4385668.598,219283.4299,10
20,40,0.183,35,0.018356081,4886652.655,244332.6327,10
20,40,0.183,35,0.018675995,4875551.96,243777.5979,10
20,40,0.183,35,0.019002684,4878383.009,243919.1505,10
20,40,0.183,35,0.019369479,4894959.551,244747.9775,10
20,40,0.183,35,0.019621828,4767823.066,238391.1533,10
20,40,0.183,35,0.019958066,4281664.769,214083.2385,10
20,40,0.183,35,0.020296105,4028323.066,201416.1533,10
20,40,0.183,35,0.020620524,3737805.208,186890.2604,10
20,40,0.183,35,0.020927898,3829218.315,191460.9158,10
20,40,0.183,35,0.021252893,3613201.768,180660.0884,10
20,40,0.183,35,0.021601634,3019873.338,150993.6669,10
20,40,0.183,35,0.02194252,3134381.851,156719.0925,10
20,40,0.183,35,0.022279695,2769288.183,138464.4091,10
20,40,0.183,35,0.022613518,2832614.296,141630.7148,10
20,40,0.183,35,0.022898335,2593539.593,129676.9797,10
20,40,0.183,35,0.023217925,2540531.911,127026.5955,10
20,40,0.183,35,0.023511714,2599425.197,129971.2598,10
20,40,0.183,35,0.023856276,2327420.915,116371.0457,10
20,40,0.183,35,0.024191648,2590969.298,129548.4649,10
20,40,0.183,35,0.02447733,2463646.559,123182.328,10
20,40,0.183,35,0.024836918,2410415.374,120520.7687,10
20,40,0.183,35,0.02515103,2511103.894,125555.1947,10
20,40,0.183,35,0.025464638,2546603.768,127330.1884,10
20,40,0.183,35,0.025755833,2270241.159,113512.058,10
20,40,0.183,35,0.02606418,2487375.227,124368.7613,10
20,40,0.183,35,0.026383265,2369178.899,118458.945,10
20,40,0.183,35,0.02669536,2209112.835,110455.6417,10
20,40,0.183,35,0.027015887,2277169.781,113858.4891,10
20,40,0.183,35,0.027396339,2335578.808,116778.9404,10
20,40,0.183,35,0.027702271,2240738.641,112036.9321,10
20,40,0.183,35,0.028016456,2350739.825,117536.9912,10
20,40,0.183,35,0.028322028,2209336.339,110466.8169,10
20,40,0.183,35,0.028596863,2403375,120168.75,10
20,40,0.183,35,0.028936164,2313004.911,115650.2456,10
20,40,0.183,35,0.029229845,2357929.201,117896.4601,10
20,40,0.183,35,0.029551561,2579645.099,128982.2549,10
20,40,0.183,35,0.029849854,2359121.222,117956.0611,10
20,40,0.183,35,0.030117374,2469383.16,123469.158,10
20,40,0.183,35,0.030484638,2546492.016,127324.6008,10
20,40,0.183,35,0.030687043,1995890.087,99794.50433,10
20,40,0.183,35,0.03104973,2343103.44,117155.172,10
20,40,0.183,45,0.015756,1022093.467,51104.67334,11
20,40,0.183,45,0.010692273,572392.1677,28619.60839,11
20,40,0.183,45,0.011173303,637897.1591,31894.85796,11
20,40,0.183,45,0.012013411,663041.1922,33152.05961,11
20,40,0.183,45,0.012568967,847284.3122,42364.21561,11
20,40,0.183,45,0.013063546,660761.6986,33038.08493,11
20,40,0.183,45,0.013422625,813026.6546,40651.33273,11
20,40,0.183,45,0.013754603,833681.3033,41684.06516,11
20,40,0.183,45,0.014106907,1074237.487,53711.87435,11
20,40,0.183,45,0.014574387,1272984.103,63649.20514,11
20,40,0.183,45,0.014933465,1430064.707,71503.23534,11
20,40,0.183,45,0.015428045,1063757.906,53187.89532,11
20,40,0.183,45,0.015793899,1145389.01,57269.45052,11
20,40,0.183,45,0.016254603,1130646.255,56532.31273,11
20,40,0.183,45,0.016600132,1189817.385,59490.86929,11
20,40,0.183,45,0.016938885,1231335.492,61566.77458,11
20,40,0.183,45,0.017284414,1312979.646,65648.98231,11
20,40,0.183,45,0.017602842,1216462.231,60823.11153,11
20,40,0.183,45,0.01790772,1319000.293,65950.01467,11
20,40,0.183,45,0.018246473,1350887.104,67544.35518,11
20,40,0.183,45,0.018558126,1438973.873,71948.69364,11
20,40,0.183,45,0.01889688,1496544.138,74827.20691,11
20,40,0.183,45,0.019269509,1505936.174,75296.8087,11
20,40,0.183,45,0.019574387,1600448.157,80022.40786,11
20,40,0.183,45,0.019784414,1571419.415,78570.97073,11
20,40,0.183,45,0.020116392,1564785.392,78239.26959,11
20,40,0.183,45,0.020495796,1455387.097,72769.35486,11
20,40,0.183,45,0.020861649,1293025.376,64651.26881,11
20,40,0.183,45,0.021254603,1263879.179,63193.95894,11
20,40,0.183,45,0.021518831,1175422.645,58771.13222,11
20,40,0.183,45,0.021783059,1094992.19,54749.60948,11
20,40,0.183,45,0.022243763,953437.3737,47671.86869,11
20,40,0.183,45,0.022541866,938799.0222,46939.95111,11
20,40,0.183,45,0.022887395,853500.7176,42675.03588,11
20,40,0.183,45,0.023192273,813174.5607,40658.72804,11
20,40,0.183,45,0.023517476,768019.7054,38400.98527,11
20,40,0.183,45,0.023863004,767797.8463,38389.89232,11
20,40,0.183,45,0.024181433,774014.2517,38700.71259,11
20,40,0.183,45,0.024587937,762516.7294,38125.83647,11
20,40,0.183,45,0.024960565,773513.9812,38675.69906,11
20,40,0.183,45,0.025346744,824632.9315,41231.64658,11
20,40,0.183,45,0.025638072,773078.9633,38653.94817,11
20,40,0.183,45,0.025983601,751989.2968,37599.46484,11
20,40,0.183,45,0.026349454,764596.1148,38229.80574,11
20,40,0.183,45,0.026715308,817333.3316,40866.66658,11
20,40,0.183,45,0.02695921,762599.3827,38129.96914,11
20,40,0.183,45,0.027304739,757561.8757,37878.09379,11
20,40,0.183,45,0.027596067,789479.1371,39473.95686,11
20,40,0.183,45,0.027914495,805326.8383,40266.34191,11
20,40,0.183,45,0.028232923,750545.0375,37527.25188,11
20,40,0.183,45,0.028544576,776028.3845,38801.41923,11
20,40,0.183,45,0.028815579,726092.6828,36304.63414,11
20,40,0.183,45,0.029154332,807741.1875,40387.05937,11
20,40,0.183,45,0.029554061,786616.7195,39330.83598,11
20,40,0.183,45,0.029980891,792763.5221,39638.17611,11
20,40,0.183,45,0.030299319,774901.6882,38745.08441,11
20,40,0.183,45,0.030590647,811634.5974,40581.72988,11
20,40,0.183,45,0.0309023,819460.569,40973.02845,11
20,40,0.183,45,0.031213953,738999.6631,36949.98316,11
20,40,0.183,45,0.031505281,786969.084,39348.4542,11
20,40,0.183,45,0.031823709,807632.433,40381.62165,11
20,40,0.183,45,0.032121812,759284.5465,37964.22733,11
20,40,0.183,55,0.011044548,381583.7849,0.00037924,12
20,40,0.183,55,0.01124837,267861.8759,0.000266217,12
20,40,0.183,55,0.011821618,266518.707,0.000264882,12
20,40,0.183,55,0.012197415,371909.7318,0.000369625,12
20,40,0.183,55,0.012496778,516691.2094,0.000513518,12
20,40,0.183,55,0.012840727,447413.6288,0.000444665,12
20,40,0.183,55,0.013184676,404813.3258,0.000402327,12
20,40,0.183,55,0.013605058,411111.6555,0.000408586,12
20,40,0.183,55,0.013980854,475216.4173,0.000472297,12
20,40,0.183,55,0.014318434,600302.6686,0.000596615,12
20,40,0.183,55,0.014624166,628846.6274,0.000624984,12
20,40,0.183,55,0.014942637,689147.6318,0.000684915,12
20,40,0.183,55,0.015305695,616056.5841,0.000612273,12
20,40,0.183,55,0.015662383,478178.6713,0.000475242,12
20,40,0.183,55,0.015961746,567700.0739,0.000564213,12
20,40,0.183,55,0.016267478,513671.5067,0.000510516,12
20,40,0.183,55,0.016624166,533316.5665,0.000530041,12
20,40,0.183,55,0.016949007,575196.7368,0.000571664,12
20,40,0.183,55,0.017305695,679319.8425,0.000675147,12
20,40,0.183,55,0.017681491,577644.379,0.000574096,12
20,40,0.183,55,0.018012701,578872.6504,0.000575317,12
20,40,0.183,55,0.018369389,600423.2301,0.000596735,12
20,40,0.183,55,0.018751555,655634.7569,0.000651608,12
20,40,0.183,55,0.019070026,645431.5276,0.000641467,12
20,40,0.183,55,0.019458561,646017.3434,0.000642049,12
20,40,0.183,55,0.019834357,659943.4164,0.00065589,12
20,40,0.183,55,0.020165567,668158.5938,0.000664055,12
20,40,0.183,55,0.020547733,653501.0602,0.000649487,12
20,40,0.183,55,0.020961746,567064.9006,0.000563582,12
20,40,0.183,55,0.02136302,545418.0335,0.000542068,12
20,40,0.183,55,0.021827988,502167.1836,0.000499083,12
20,40,0.183,55,0.02213372,477356.5871,0.000474425,12
20,40,0.183,55,0.022407606,469064.5415,0.000466183,12
