q_0.3_RL_x,q_0.3_RL_y,q_0.3_RL_yerr,,q_0.38_RL_x,q_0.38_RL_y,q_0.38_RL_yerr,,q_0.57_RL_x,q_0.57_RL_y,q_0.57_RL_yerr,,q_0.3_RT_x,q_0.3_RT_y,q_0.3_RT_yerr,,q_0.38_RT_x,q_0.38_RT_y,q_0.38_RT_yerr,,q_0.57_RT_x,q_0.57_RT_y,q_0.57_RT_yerr
0.019896273,0.059408602,0.002688172,,0.019911504,0.027081967,0.001770492,,0.045362345,0.003522788,0.003526601,,0.02027972,0.016601894,0.001061947,,0.020632282,0.014302671,0.001246291,,0.044619639,0.005535714,0.000019375
0.029742771,0.066129032,0.002956989,,0.029646018,0.029442623,0.001770492,,0.06500089,0.006691492,0.003670471,,0.03041958,0.024017575,0.001415929,,0.030357998,0.020890208,0.001068249,,0.065121581,0.011071429,3.88E-05
0.039613967,0.069354839,0.003225806,,0.039823009,0.032983607,0.001770492,,0.085343535,0.006118045,0.000573448,,0.04020979,0.03355777,0.001415929,,0.04009546,0.029080119,0.001424332,,0.084886863,0.018928571,6.63E-05
0.049490862,0.071774194,0.003763441,,0.049557522,0.037508197,0.001967213,,0.105721766,0.00935843,0.00078849,,0.05,0.039027168,0.00159292,,0.05026889,0.036735905,0.001068249,,0.105344478,0.028214286,9.88E-05
0.059736312,0.072043011,0.003763441,,0.059734513,0.041442623,0.002163934,,0.125360311,0.012454945,0.001290257,,0.06013986,0.044672938,0.00159292,,0.060433182,0.043145401,0.001424332,,0.125101317,0.036785714,0.00012875
0.069275048,0.072311828,0.003225806,,0.070353982,0.047147541,0.002163934,,0.14488193,0.017200122,0.0015053,,0.07027972,0.046955876,0.001769912,,0.070592254,0.04884273,0.001602374,,0.144891928,0.0425,0.00014875
0.079526198,0.071774194,0.003494624,,0.079646018,0.050885246,0.002754098,,0.165341501,0.018720165,0.001935385,,0.08006993,0.045522619,0.001769912,,0.079853285,0.052047478,0.001602374,,0.164667764,0.049464286,0.001978571
0.089458186,0.066397849,0.003225806,,0.089823009,0.052655738,0.002754098,,0.18510714,0.020024656,0.002365471,,0.08986014,0.041788477,0.001769912,,0.089550284,0.054718101,0.001958457,,0.185199257,0.0525,0.0021
0.099046316,0.059677419,0.003225806,,0.099557522,0.053836066,0.00295082,,0.204979538,0.020554892,0.002809791,,0.1,0.036283805,0.00159292,,0.100108774,0.054896142,0.004094955,,0.205061635,0.052142857,0.002085714
0.109354459,0.051075269,0.002688172,,0.109734513,0.055606557,0.004131148,,0.224785847,0.019135507,0.000946087,,0.10979021,0.030248778,0.001769912,,0.10977053,0.052759644,0.005163205,,0.224962006,0.048571429,0.001942857
0.119655002,0.043548387,0.002688172,,0.119911504,0.05442623,0.003540984,,0.244744668,0.01757327,0.000516509,,0.11993007,0.024744105,0.001415929,,0.119864337,0.049554896,0.003026706,,0.244870821,0.044285714,0.001771429
0.129235533,0.037903226,0.002419355,,0.129646018,0.050885246,0.002754098,,0.265422841,0.014935309,0.00034417,,0.13006993,0.019239433,0.001415929,,0.129959449,0.04652819,0.001958457,,0.265461415,0.042321429,0.002116071
0.139530377,0.031182796,0.002419355,,0.139823009,0.046557377,0.002754098,,0.285468087,0.014017691,0.001591215,,0.14020979,0.016389628,0.001415929,,0.139595099,0.040830861,0.001780415,,0.286043566,0.041071429,0.002053571
,,,,0.15,0.040852459,0.002557377,,0.305391322,0.011293816,0.002723876,,,,,,0.150123567,0.036913947,0.001602374,,0.305884836,0.0425,0.002125
,,,,0.159734513,0.035737705,0.002163934,,0.325324725,0.012956712,0.003369004,,,,,,0.159765744,0.032106825,0.001246291,,0.326397332,0.047142857,0.002357143
,,,,0.169469027,0.031606557,0.001770492,,0.345303881,0.011250604,0.004659261,,,,,,0.169866077,0.029792285,0.001602374,,0.346869723,0.055178571,0.002758929
,,,,0.180088496,0.026885246,0.001967213,,,,,,,,,,0.179970326,0.028011869,0.001602374,,,,
,,,,0.190265487,0.023147541,0.000393443,,,,,,,,,,0.189642525,0.027299703,0.001602374,,,,
,,,,0.2,0.020393443,0.000786885,,,,,,,,,,0.200207541,0.027299703,0.001068249,,,,
,,,,0.209734513,0.018032787,0.000393443,,,,,,,,,,0.210345728,0.031216617,0.001602374,,,,
