Z,A,E0,ThetaDeg,dataSet,dataSetName,norm_factor,norm_err,nu_min,nu_max
20,40,0.16,60,1,Meziani,0.9042,0.03,0.0353,1000
20,40,0.2,60,2,Meziani,0.8759,0.03,0.0355,0.0505
20,40,0.24,60,3,Meziani,0.8752,0.03,0.0358,1000
20,40,0.28,60,4,Meziani,0.8926,0.03,0.036,0.051
20,40,0.34,60,5,Meziani,0.9321,0.03,0.0365,1000
20,40,0.4,60,6,Meziani,0.9377,0.03,0.0371,1000
20,40,0.48,60,7,Meziani,0.9557,0.03,0.0381,0.2992
20,40,0.56,60,8,Meziani,0.9737,0.03,0.0392,1000
20,40,0.12,90,9,Meziani,0.9695,0.03,0.0354,1000
20,40,0.16,90,10,Meziani,0.9383,0.0483,0.0357,0.0507
20,40,0.2,90,11,Meziani,0.9578,0.0485,0.0511,0.0898
20,40,0.24,90,12,Meziani,0.9143,0.0341,0.0515,0.1147
20,40,0.32,90,13,Meziani,0.9222,0.0228,0.0527,0.1715
20,40,0.36,90,14,Meziani,0.9074,0.0296,0.0534,0.1837
20,40,0.4,90,15,Meziani,0.9377,0.03,0.0392,1000
20,40,0.12,140,16,Meziani,1.0015,0.0611,0.0357,0.0507
20,40,0.16,140,17,Meziani,0.8597,0.0367,0.0362,0.0512
20,40,0.2,140,18,Meziani,0.8893,0.0342,0.0519,0.1041
20,40,0.24,140,19,Meziani,0.8712,0.0327,0.0527,0.1257
20,40,0.28,140,20,Meziani,0.8853,0.03,0.0537,0.163
20,40,0.32,140,21,Meziani,0.9087,0.0213,0.0548,0.1808
20,40,0.36,140,22,Meziani,0.9729,0.0242,0.056,0.2351
20,40,0.4,140,23,Meziani,0.9377,0.03,0.0424,1000
20,40,0.44,140,24,Meziani,0.9467,0.03,0.044,1000
20,40,0.48,140,25,Meziani,0.9557,0.03,0.0457,1000
20,40,0.15,35,26,Torizuka,0.8488,0.0314,0.0351,1000
20,40,0.183,35,27,Torizuka,0.8488,0.0314,0.0352,1000
20,40,0.183,45,28,Torizuka,0.8488,0.0314,0.0353,1000
20,40,0.25,50,29,Torizuka,0.8488,0.0314,0.0356,1000
20,40,0.183,55,30,Torizuka,0.8292,0.044,0.0354,0.0504
20,40,0.25,60,31,Torizuka,0.8692,0.0448,0.0358,0.0508
20,40,0.25,70,32,Torizuka,0.8488,0.0314,0.0361,1000
20,40,0.5,60,33,Whitney,0.9556,0.0366,0.0533,0.305
20,40,0.35,45.5,34,Williamson,1,0,0.036,1000
20,40,0.408,45.5,35,Williamson,1,0,0.0363,1000
20,40,0.471,45.5,36,Williamson,1,0,0.0368,1000
20,40,0.545,45.5,37,Williamson,1,0,0.0374,1000
20,40,0.628,45.5,38,Williamson,1,0,0.0381,1000
20,40,0.681,45.5,39,Williamson,1,0,0.0387,1000
20,40,0.739,45.5,40,Williamson,1,0,0.0394,1000
20,40,0.782,45.5,41,Williamson,1,0,0.0399,1000
20,40,0.841,45.5,42,Williamson,1,0,0.0406,1000
20,40,0.15,90,43,Williamson,1,0,0.0356,1000
20,40,0.2,90,44,Williamson,1,0,0.0511,0.0898
20,40,0.248,90,45,Williamson,1,0,0.0516,0.1173
20,40,0.28,90,46,Williamson,1,0,0.0521,0.1407
20,40,0.298,90,47,Williamson,1,0,0.0524,0.1633
20,40,0.348,90,48,Williamson,1,0,0.0382,1000
20,40,0.372,90,49,Williamson,1,0,0.0537,0.1888
20,40,0.13,140,50,Williamson,1,0,0.0358,0.0508
20,40,0.16,140,51,Williamson,1,0,0.0362,0.0512
20,40,0.189,140,52,Williamson,1,0,0.0367,1000
20,40,0.219,140,53,Williamson,1,0,0.0522,0.1124
20,40,0.249,140,54,Williamson,1,0,0.0529,0.1301
20,40,0.287,140,55,Williamson,1,0,0.0539,0.1666
20,40,0.327,140,56,Williamson,1,0,0.055,0.1847
20,40,0.367,140,57,Williamson,1,0,0.0563,0.2391
