qvcenter,nu,RT,RTerr
0.148,0.007589939,2.132,0.9636
0.148,0.007649952,3.862,0.8548
0.148,0.007708964,2.598,1.178
0.148,0.007768976,3.367,0.9636
0.148,0.007827988,5.527,1.178
0.148,0.007882,7.15,1.82
0.148,0.007947013,5.565,1.606
0.148,0.008007026,4.514,1.285
0.148,0.00807104,9.888,2.141
0.148,0.008131053,3.376,1.713
0.148,0.008190066,5.001,1.071
0.148,0.008244077,3.733,1.071
0.148,0.008304091,5.037,1.178
0.148,0.008379107,3.991,1.285
0.148,0.008428118,6.148,1.606
0.148,0.008493133,7.239,1.606
0.148,0.008552146,15.72,2.57
0.148,0.008617161,23.87,2.891
0.148,0.008671174,24.96,3.963
0.148,0.008736189,27.45,4.069
0.148,0.008796203,14.19,3.531
0.148,0.008850216,11.96,3.212
0.148,0.008915231,6.947,2.784
0.148,0.008974245,8.679,2.463
0.148,0.009028258,5.912,1.713
0.148,0.009098275,1.652,0.8565
0.148,0.009163291,7.562,2.248
0.148,0.009217304,8.543,7.816
0.148,0.009271317,17.98,3.747
0.148,0.009342335,13.08,7.279
0.167,0.007838823,7.3722,2.3247
0.167,0.007938844,7.7237,1.9692
0.167,0.008035864,6.0787,2.6255
0.167,0.008132885,9.0011,0.8752
0.167,0.008234908,6.6175,0.9846
0.167,0.00833593,5.7382,0.8752
0.167,0.008438953,4.8862,0.8479
0.167,0.008539976,7.152,1.2034
0.167,0.008639999,12.1802,0.9025
0.167,0.008744023,16.1963,1.1213
0.167,0.008844046,16.411,1.0119
0.167,0.00894407,12.8788,0.9299
0.167,0.009044094,11.2338,1.1487
0.167,0.009144118,2.6146,0.9025
0.167,0.009241142,3.8961,0.7111
0.167,0.009349169,4.1104,0.7384
0.167,0.009445193,5.1184,0.7932
0.167,0.009545218,4.6767,0.9025
0.167,0.009647244,5.1648,0.7658
0.167,0.009749271,5.5435,0.7931
0.167,0.009848297,6.1958,0.7932
0.167,0.009951324,5.9455,0.9299
0.167,0.01004935,5.9961,0.7931
0.167,0.010150377,8.0706,1.094
0.167,0.010251405,8.6134,1.094
0.167,0.010351432,9.1289,1.3401
0.167,0.010453461,8.0035,1.3675
0.167,0.010553489,11.336,3.4734
0.167,0.010653517,4.3032,3.6376
0.205,0.007615332,5.522,1.14
0.205,0.007712352,3.661,1.08
0.205,0.007820375,1.14,0.9003
0.205,0.007912394,3.661,0.9003
0.205,0.008015416,4.862,0.7803
0.205,0.008118438,14.77,2.041
0.205,0.008215459,13.5,1.501
0.205,0.008312481,11.22,1.501
0.205,0.008420505,7.743,1.621
0.205,0.008523528,3.061,0.9003
0.205,0.00862055,3.061,1.02
0.205,0.008718573,3.001,1.381
0.205,0.008820597,3.721,1.02
0.205,0.008912618,7.143,1.32
0.205,0.009020644,7.203,0.8403
0.205,0.009118668,3.181,1.02
0.205,0.009220693,3.121,0.9604
0.205,0.009318717,0.7803,0.6002
0.205,0.009420743,2.581,0.7203
0.205,0.009518767,3.721,0.9003
0.205,0.009626795,3.061,0.8403
0.205,0.00972382,4.262,0.8403
0.205,0.009826847,1.381,1.08
0.205,0.009918871,6.602,1.08
0.205,0.0100269,7.263,1.08
0.205,0.010123926,8.403,1.14
0.205,0.010226954,9.483,1.02
0.205,0.010323981,11.82,1.26
0.205,0.010432011,10.5,1.02
0.205,0.010530038,11.28,1.32
0.24,0.008090182,4.387,1.678
0.24,0.008147195,7.08,4.551
0.24,0.008207208,8.476,2.17
0.24,0.008269221,13.42,1.808
0.24,0.008325234,16.59,2.402
0.24,0.008385247,18.02,2.443
0.24,0.008445261,16.93,2.265
0.24,0.008504274,17.03,2.122
0.24,0.008565288,12.79,1.931
0.24,0.008626302,7.162,1.665
0.24,0.008686316,5.658,1.692
0.24,0.008745329,2.653,1.255
0.24,0.008811345,3.162,1.235
0.24,0.008871359,3.876,3.302
0.24,0.008931373,0.8716,2.538
0.24,0.008995388,6.464,1.856
0.24,0.009050402,8.884,1.89
0.24,0.009114417,8.164,1.46
0.24,0.009175432,10.62,1.829
0.24,0.009233446,11.4,1.822
0.24,0.009292461,11.23,2.033
0.24,0.009352476,8.086,1.979
0.24,0.00940749,7.333,1.337
0.24,0.009469505,5.215,1.283
0.24,0.00952952,3.951,1.112
0.24,0.009591536,2.344,1.365
0.24,0.009654552,2.751,1.119
0.24,0.009712567,3.158,1.16
0.24,0.009774584,2.746,1.201
0.24,0.0098356,4.347,1.317
0.3,0.008316677,2.793,0.6364
0.3,0.008386692,5.052,0.9143
0.3,0.008456708,3.215,1.193
0.3,0.008516722,7.461,1.511
0.3,0.00859674,11.35,1.432
0.3,0.008656754,18.54,2.068
0.3,0.00872677,17.34,2.426
0.3,0.008806789,13.23,2.227
0.3,0.008876805,9.885,1.909
0.3,0.008936819,6.576,1.869
0.3,0.009006836,5.096,1.591
0.3,0.009086856,3.894,1.074
0.3,0.009156873,5.237,3.659
0.3,0.00922689,3.082,4.374
0.3,0.009296907,4.227,2.744
0.3,0.009366924,13.52,2.505
0.3,0.00942694,22.5,2.267
0.3,0.009496957,28.74,2.863
0.3,0.009576978,28.41,3.181
0.3,0.009636993,18.7,3.38
0.3,0.009707011,15.67,2.704
0.3,0.009777029,8.98,2.227
0.3,0.00985705,4.915,1.511
0.3,0.009927069,1.685,1.074
0.3,0.009997087,3.148,1.193
0.3,0.010067106,4.452,1.312
0.3,0.010137125,4.126,1.312
0.3,0.010207144,2.367,1.312
0.3,0.010277163,8.125,1.273
0.3,0.010347182,12.13,2.028
0.38,0.009204034,2.871,2.008
0.38,0.009304058,3.043,1.177
0.38,0.009514111,2.373,0.8306
0.38,0.009604134,2.384,0.8538
0.38,0.00970416,1.703,0.8999
0.38,0.009804186,2.73,1.177
0.38,0.009904212,2.417,0.9463
0.38,0.010004239,1.898,0.8079
0.38,0.010104265,2.278,0.7616
0.38,0.010204292,2.358,0.6232
0.38,0.010314323,6.799,1.385
0.38,0.010404347,14.59,1.846
0.38,0.010504375,22.65,2.169
0.38,0.010604404,22.57,2.377
0.38,0.010704432,16.65,2.008
0.38,0.010804461,11.49,1.708
