nu,RT,RTerr
0.01313,0.002017553,0.000564914
0.0133,0.003302579,0.000523181
0.013435,0.001981842,0.000561523
0.01358,0.002570815,0.00046742
0.013715,0.00188827,0.000708101
0.01386,0.002214913,0.000545209
0.014045,0.003487573,0.000552486
0.014215,0.003285149,0.000664019
0.014365,0.003584692,0.000547416
0.014475,0.002491133,0.000533814
0.014625,0.002660773,0.000611258
0.014785,0.00298068,0.000617945
0.01493,0.0035238,0.000624007
0.01508,0.004671454,0.000630276
0.01525,0.005436484,0.000599889
0.01538,0.005142515,0.000567189
0.01554,0.005196013,0.000573089
0.015665,0.004448285,0.000596957
0.015815,0.004821376,0.000583231
0.015955,0.005217095,0.000706073
0.0161,0.005660334,0.000633324
0.01627,0.005840105,0.000760014
0.016415,0.005811438,0.000686073
0.01658,0.007581893,0.000774495
0.0167,0.007636768,0.0007801
0.01688,0.007760582,0.000664007
0.01701,0.00899131,0.000836401
0.017145,0.009484191,0.001011647
0.017285,0.011898923,0.000892419
0.01745,0.010768356,0.000943839
0.017595,0.013842657,0.001167975
0.01774,0.013040824,0.000872296
0.01792,0.014935437,0.000793032
0.018095,0.018195421,0.001334627
0.018265,0.019938059,0.00112264
0.01835,0.020030845,0.001669238
0.018475,0.023301403,0.001090124
0.01868,0.02383551,0.001194071
0.01884,0.028532632,0.00115798
0.018975,0.029320225,0.001282906
0.01913,0.02986544,0.001222836
0.01928,0.030075919,0.001350928
0.01941,0.031447867,0.001145294
0.0196,0.033683211,0.00106013
0.019735,0.033721134,0.001067431
0.01991,0.033824356,0.001076898
0.02001,0.032616762,0.001279088
0.02018,0.033985368,0.001289957
0.02033,0.031688878,0.001249561
0.020415,0.028282875,0.001681413
0.020615,0.031474233,0.001013663
0.02076,0.029296752,0.001378069
0.020935,0.032040002,0.000952193
0.021075,0.028653187,0.001139909
0.021225,0.028648393,0.001252389
0.02135,0.029814425,0.001207275
0.021515,0.026183446,0.0012695
0.02168,0.027610184,0.001545744
0.02177,0.02483457,0.001231022
0.02193,0.024100518,0.001509653
0.02207,0.024281506,0.001329378
0.02226,0.022000444,0.001258732
0.02241,0.021818118,0.001597791
0.022555,0.019685724,0.001441771
0.02272,0.020444178,0.001508178
0.022845,0.018478525,0.002021967
0.02302,0.017431561,0.001075324
0.02318,0.019775303,0.001595702
0.02329,0.017406975,0.001316976
0.023485,0.016802108,0.001039306
0.0237,0.014217341,0.001223623
0.02397,0.015734738,0.001060767
0.02423,0.013403435,0.001072276
0.02446,0.014883735,0.001172658
0.02476,0.013635745,0.001217477
0.02501,0.011744305,0.000737861
0.02525,0.013346889,0.000496629
0.0255,0.013384997,0.001159825
0.02576,0.011843163,0.000886654
0.02602,0.011898725,0.001343404
0.02624,0.010902617,0.001290253
0.02654,0.012397517,0.00110925
0.02678,0.008822578,0.001514324
0.02706,0.012207988,0.00116425
0.0273,0.009128129,0.001141017
0.02758,0.010577893,0.001017105
0.027845,0.012117158,0.001506088
0.02811,0.012992686,0.001451312
0.0284,0.006423717,0.001466285
0.028655,0.010391365,0.001514673
0.02895,0.010320406,0.001565853
0.02923,0.00639586,0.001580998
0.02956,0.008866342,0.001816873
0.02988,0.007970593,0.001799811
0.03011,0.011474207,0.001924707
0.030395,0.010162985,0.002017653
0.030765,0.009303411,0.0018153
0.03102,0.004499601,0.001982877
0.031335,0.005854952,0.001925971
0.031695,0.006584573,0.00175329
0.032025,0.009290762,0.002125854
0.03233,0.00635881,0.002305069
0.0327,0.007476716,0.000964739
0.033055,0.007557885,0.000975213
