qvcenter,nu_RL,RL,RLerr,nu_RT,RT,RTerr
0.3,0.009451941,111.9525547,6.843065693,0.019664954,18.98496241,3.195488722
0.3,0.02031804,44.61678832,6.02189781,0.029686745,22.93233083,2.255639098
0.3,0.030506042,75.54744526,3.284671533,0.040838502,33.27067669,2.067669173
0.3,0.040598356,78.01094891,3.832116788,0.050360386,39.84962406,1.879699248
0.3,0.050696191,82.11678832,3.832116788,0.059864522,45.11278195,2.443609023
0.3,0.060281543,83.75912409,4.379562044,0.07040101,48.12030075,2.819548872
0.3,0.069862295,84.03284672,5.200729927,0.080313354,47.36842105,2.631578947
0.3,0.08044593,82.66423358,4.379562044,0.090734478,43.60902256,3.007518797
0.3,0.090505122,75.27372263,4.379562044,0.100611325,38.90977444,2.255639098
0.3,0.100056431,66.78832117,4.379562044,0.10941441,32.70676692,1.879699248
0.3,0.110615224,58.02919708,3.284671533,0.120314734,26.12781955,2.443609023
0.3,0.120165614,49.27007299,3.284671533,0.129431369,7.518796992,5.639097744
0.3,0.130271729,55.83941606,6.295620438,0.139870241,4.511278195,4.887218045
0.375,0.009315826,26.08581477,1.838218054,0.008995022,4.998217028,1.789456002
0.375,0.020541149,26.24900352,1.656271981,0.01908812,15.54074166,1.609390518
0.375,0.031279719,31.00867526,1.474325909,0.030130761,24.11433421,2.506181462
0.375,0.039489801,40.18475967,1.652520516,0.040633206,30.36298962,1.252206613
0.375,0.050230246,45.31207503,2.941148886,0.049681275,38.04450653,2.146639907
0.375,0.059447597,51.91277843,3.491676436,0.059212958,45.18877405,2.14722932
0.375,0.069685346,58.5116061,4.045955451,0.069658819,48.57524291,3.219959861
0.375,0.079910903,62.72075029,3.677373974,0.080605975,52.31889568,2.862775956
0.375,0.090123329,64.35638921,4.044079719,0.08954795,54.63381282,3.041073202
0.375,0.099308792,64.70715123,4.595545135,0.099428859,54.44313791,2.861597131
0.375,0.109508089,63.76928488,4.411723329,0.109775699,52.82078032,2.504413225
0.375,0.119698945,61.17702227,4.044079719,0.120083638,49.23066948,2.683889297
0.375,0.130390621,56.74560375,4.229777257,0.130875189,45.10330926,3.220549273
0.375,0.139030246,50.11207503,4.411723329,0.138701407,40.9794855,2.324937154
0.375,0.15021993,43.29003517,3.494490035,0.149994253,37.20930918,1.789456002
0.375,0.158346542,36.1059789,3.674560375,0.160295119,33.26142502,1.968342661
0.375,0.169533411,28.73247362,3.124970692,0.169649977,31.4613596,2.326115979
0.375,0.179703634,22.0961313,2.941148886,0.179043737,31.62904742,1.609979931
0.375,0.189883236,17.29800703,2.573505275,0.190414386,31.7943776,1.609979931
0.375,0.200064713,12.86752638,3.308792497,0.200344806,34.10811591,1.967753248
0.375,0.209747245,10.64384525,8.271043376,0.20978454,36.6013303,7.334353017
0.375,,,,0.219693741,37.84174867,8.944332947
0.38,0.020541149,24.78442225,1.510176785,0.030130761,23.73991571,2.031522145
0.38,0.031279719,29.21739449,1.236660757,0.040633206,30.0151544,1.03341062
0.38,0.039489801,37.56442182,1.39201092,0.049681275,37.30124091,1.764293677
0.38,0.050230246,43.21926546,2.39984872,0.059212958,44.08571258,1.778306194
0.38,0.059447597,49.48224002,2.838679498,0.069658819,47.92876984,2.624369433
0.38,0.069685346,56.18164201,3.287392827,0.080605975,51.57080612,2.376988439
0.38,0.079910903,60.86641001,3.0123306,0.08954795,54.50406434,2.493854434
0.38,0.090123329,62.6338306,3.323207475,0.099428859,54.894933,2.366708152
0.38,0.099308792,62.92148515,3.777829794,0.109775699,53.49345911,2.040796612
0.38,0.109508089,62.30653643,3.611920239,0.120083638,50.29680094,2.21321596
0.38,0.119698945,60.05145841,3.332474423,0.130875189,46.32687344,2.630437263
0.38,0.130390621,55.94223117,3.493253077,0.138701407,42.5478653,1.928070283
0.38,0.139030246,49.88037694,3.606579994,0.149994253,38.63094356,1.542746526
0.38,0.15021993,43.14962392,2.87993696,0.160295119,34.78178917,1.597893394
0.38,0.158346542,36.27326739,3.026929428,0.169649977,32.60044772,1.919375996
0.38,0.169533411,29.13486635,2.566493187,0.179043737,32.34153857,1.382645663
0.38,0.179703634,22.74698339,2.423556634,0.190414386,32.22084112,1.341069669
0.38,0.189883236,17.72289448,2.139211393,0.200344806,33.96713011,1.633639739
0.38,0.200064713,13.21576417,2.710199608,0.20978454,36.15868933,5.883582738
0.38,0.209747245,10.86202041,6.648988608,0.219693741,37.63048967,7.166685358
0.4,0.019536195,18.67025771,3.81115927,0.020006431,14.72138086,2.348968922
0.4,0.030179074,21.37970371,1.815447777,0.02931258,21.7475416,1.677834945
0.4,0.039367948,26.99472019,2.177195267,0.039542187,27.93271026,1.175521763
0.4,0.050113313,34.78571189,2.359289072,0.04930812,34.11891623,2.011327331
0.4,0.060306906,40.21802454,2.541992905,0.060930304,40.63653998,2.350006224
0.4,0.0705371,47.46517494,2.903740396,0.070227117,45.64929878,2.51882702
0.4,0.080752654,53.98639024,3.267928004,0.080441164,48.47879756,3.189960997
0.4,0.090368854,55.78963743,3.81115927,0.090670771,54.66396623,2.685573213
0.4,0.099444263,55.7786569,4.355000564,0.099954359,56.82440563,3.021140202
0.4,0.110046881,56.49178138,3.81115927,0.110615742,56.12941372,1.848730343
0.4,0.119608178,55.57277194,3.992033015,0.119419319,54.76743704,2.684535911
0.4,0.130141252,52.8377047,4.355610594,0.128679567,51.8943716,2.682461309
0.4,0.140137196,48.46989352,3.630895554,0.140255072,48.34498569,2.517789718
