Z,A,E0,ThetaDeg,nu,cross,error,dataSet
26,56,0.1003,140,0.0019,19200,6070,Altemus:1973
26,56,0.1003,140,0.0045,20900,6620,Altemus:1973
26,56,0.1003,140,0.0091,16000,5080,Altemus:1973
26,56,0.1003,140,0.0146,20600,6540,Altemus:1973
26,56,0.1003,140,0.0199,21800,6910,Altemus:1973
26,56,0.1003,140,0.0252,25000,7930,Altemus:1973
26,56,0.1003,140,0.0305,26900,8520,Altemus:1973
26,56,0.1003,140,0.0358,28700,9110,Altemus:1973
26,56,0.1003,140,0.0411,28800,9130,Altemus:1973
26,56,0.1009,160,0.0022,3250,233,Altemus:1973
26,56,0.1009,160,0.0051,5860,260,Altemus:1973
26,56,0.1009,160,0.0102,8820,328,Altemus:1973
26,56,0.1009,160,0.0154,12900,409,Altemus:1973
26,56,0.1009,160,0.0206,15200,468,Altemus:1973
26,56,0.1009,160,0.0262,19100,553,Altemus:1973
26,56,0.1009,160,0.0314,21400,617,Altemus:1973
26,56,0.1009,160,0.0366,22800,681,Altemus:1973
26,56,0.1009,160,0.0416,23600,744,Altemus:1973
26,56,0.1009,160,0.0416,23600,744,Altemus:1973
26,56,0.1009,160,0.0009,1510,246,Altemus:1973
26,56,0.1305,140,0.0031,3220,223,Altemus:1973
26,56,0.1305,140,0.0062,934,120,Altemus:1973
26,56,0.1305,140,0.0089,8890,549,Altemus:1973
26,56,0.1305,140,0.0124,10200,617,Altemus:1973
26,56,0.1305,140,0.0235,16800,1010,Altemus:1973
26,56,0.1305,140,0.0288,18700,1130,Altemus:1973
26,56,0.1305,140,0.0341,20500,1240,Altemus:1973
26,56,0.1305,140,0.0417,22900,1390,Altemus:1973
26,56,0.1305,140,0.0417,22900,1390,Altemus:1973
26,56,0.1305,140,0.0446,24300,1470,Altemus:1973
26,56,0.1305,140,0.0446,24300,1470,Altemus:1973
26,56,0.1305,140,0.0499,24700,1500,Altemus:1973
26,56,0.1305,140,0.0552,24500,1490,Altemus:1973
26,56,0.1305,140,0.0605,20700,1280,Altemus:1973
26,56,0.1305,140,0.0658,18700,1170,Altemus:1973
26,56,0.1305,140,0.0711,15200,990,Altemus:1973
