qvcenter,nu,RL,RLerr,RT,RTerr
0.65,0.051989164,0.269516729,0.422440014,0.886075949,0.886075949
0.65,0.062365347,0.745860088,0.369635012,3.417721519,1.012658228
0.65,0.072720408,1.644643461,0.422524502,6.582278481,0.886075949
0.65,0.083880745,2.437901318,0.369635012,10.37974684,0.886075949
0.65,0.093383005,4.392700237,0.31683001,14.6835443,1.139240506
0.65,0.103732786,5.397093613,0.26394052,19.74683544,0.759493671
0.65,0.114082566,6.401486989,0.31683001,24.55696203,0.886075949
0.65,0.125245543,7.141939845,0.316745522,30.75949367,0.886075949
0.65,0.134787407,8.304663738,0.369635012,36.07594937,0.886075949
0.65,0.145923982,9.57316661,0.264025008,41.01265823,0.759493671
0.65,0.155465846,10.7358905,0.316745522,45.94936709,0.759493671
0.65,0.165789224,12.2683339,0.422440014,49.62025316,1.012658228
0.65,0.176154845,12.95589726,0.475245015,54.05063291,0.886075949
0.65,0.187307262,13.90757013,0.422355526,57.46835443,0.886075949
0.65,0.196875528,14.542244,0.475245015,60.25316456,1.012658228
0.65,0.207254351,14.96578236,0.580770531,62.65822785,0.886075949
0.65,0.217638455,15.28371071,0.528134505,64.55696203,0.632911392
0.65,0.228022558,15.60163907,0.528050017,65.44303797,0.886075949
0.65,0.237617227,15.70826293,0.475245015,65.69620253,0.886075949
0.65,0.248817168,15.70944576,0.528050017,65.69620253,0.759493671
0.65,0.259230314,15.44651909,0.580855019,65.44303797,0.759493671
0.65,0.270454017,14.97245691,0.580855019,64.93670886,0.632911392
0.65,0.28009093,14.23420074,0.63366002,64.05063291,0.886075949
0.65,0.291311993,13.81294356,0.686465022,62.78481013,0.886075949
0.65,0.300943625,13.1802974,0.422440014,61.89873418,0.632911392
0.65,0.310580538,12.44204123,0.528050017,61.39240506,0.759493671
0.65,0.321817443,11.70395404,0.580855019,61.39240506,0.886075949
0.65,0.333049066,11.07147685,0.63366002,62.40506329,0.759493671
0.65,0.342675418,10.54444069,0.63366002,63.67088608,1.012658228
