W2,Q2,x,FL,FLerr,F1,F1err,F2,F2err,R,Rerr,nu,q2,RL,RLerr,RT,RTerr
0.75,2.2,1.063,0.0045,0.0025,0.0201,0.0009,0.0168,0.0004,0.1046,0.063,1.102884927,3.416355163,0.003503163,0.001946202,0.042844673,0.001918418
0.91,2.2,0.9867,0.0025,0.0026,0.0265,0.0009,0.0214,0.0004,0.0472,0.0508,1.18816933,3.611746357,0.002216615,0.002305279,0.056486758,0.001918418
1.03,1.75,0.9212,-0.0069,0.0115,0.0587,0.0052,0.0374,0.0008,-0.0638,0.1003,1.012336521,2.774825231,-0.006328977,0.010548295,0.125123498,0.011084194
1.07,1.75,0.9022,0.0104,0.0114,0.0538,0.0053,0.0408,0.0008,0.1072,0.1282,1.033655955,2.818444634,0.009893336,0.010844618,0.114678777,0.011297352
1.11,1.75,0.884,0.0101,0.0113,0.0566,0.0054,0.0428,0.0008,0.1004,0.1223,1.054937107,2.8628923,0.009960402,0.011143816,0.120647189,0.011510509
1.11,2.2,0.9055,0.0131,0.0033,0.0305,0.0014,0.0295,0.0004,0.2365,0.071,1.29471748,3.876293352,0.013583684,0.003421844,0.065013061,0.002984206
1.15,1.75,0.8665,0.0238,0.0105,0.0511,0.0051,0.0447,0.0008,0.2686,0.1445,1.076242819,2.908298606,0.024324847,0.01073155,0.108923522,0.010871036
1.15,2.2,0.8908,0.0042,0.0033,0.0357,0.0014,0.0299,0.0004,0.0659,0.054,1.316082934,3.93207429,0.004490647,0.003528365,0.076097255,0.002984206
1.19,1.75,0.8497,0.0194,0.0102,0.0566,0.0051,0.0471,0.0008,0.202,0.1243,1.097521952,2.954554436,0.020541438,0.010800138,0.120647189,0.010871036
1.23,1.75,0.8335,0.0152,0.0105,0.0613,0.0053,0.0489,0.0009,0.1483,0.1151,1.118853513,3.001833183,0.01666968,0.01151524,0.130665595,0.011297352
1.23,2.2,0.8629,0.0112,0.0033,0.0362,0.0015,0.0337,0.0004,0.1797,0.0591,1.358635622,4.045890752,0.012720079,0.00374788,0.077163043,0.003197364
1.27,1.75,0.8179,0.0149,0.0102,0.0634,0.0052,0.0506,0.0009,0.1436,0.1097,1.14019367,3.050041606,0.016919774,0.011582664,0.135141904,0.011084194
1.31,1.75,0.8029,-0.0024,0.0105,0.0743,0.0053,0.0508,0.001,-0.0205,0.0862,1.161495084,3.09907083,-0.002820876,0.012341333,0.15837608,0.011297352
1.31,2.2,0.8366,0.0125,0.0032,0.0384,0.0015,0.0362,0.0005,0.1947,0.0569,1.401346734,4.16377267,0.015069445,0.003857778,0.08185251,0.003197364
1.35,2.2,0.8241,0.0128,0.0032,0.0406,0.0015,0.0382,0.0005,0.191,0.055,1.422602449,4.223797727,0.015891002,0.00397275,0.086541977,0.003197364
1.39,1.75,0.7745,0.0076,0.01,0.0742,0.0052,0.0555,0.001,0.0662,0.0914,1.204085736,3.199822461,0.009561385,0.012580769,0.158162923,0.011084194
1.39,2.2,0.8119,0.0134,0.0033,0.0417,0.0015,0.0395,0.0005,0.1984,0.0551,1.443979157,4.285075807,0.017130848,0.004218791,0.08888671,0.003197364
1.47,1.75,0.748,0.0159,0.0046,0.0767,0.0026,0.0615,0.0006,0.1382,0.0448,1.246743854,3.304370238,0.021388827,0.006187962,0.163491862,0.005542097
1.51,0.5,0.4426,0.0296,0.0153,0.5405,0.0152,0.2135,0.0018,0.0619,0.0337,0.602004004,0.862408821,0.06147015,0.031773422,1.152116708,0.032399952
1.51,1.75,0.7354,0.0166,0.009,0.079,0.0047,0.0636,0.0012,0.1428,0.0858,1.268104981,3.358090242,0.023082326,0.012514514,0.168394486,0.010018406
1.51,2.2,0.7775,0.0147,0.0029,0.048,0.0013,0.0454,0.0006,0.1969,0.0439,1.50786711,4.473663221,0.020487942,0.004041839,0.102315637,0.002771049
1.55,0.5,0.4275,0.0576,0.0147,0.5116,0.0153,0.2165,0.002,0.1318,0.0374,0.623267771,0.888462715,0.127584041,0.03256051,1.090514168,0.032613109
1.55,1.75,0.7232,0.0057,0.0093,0.0879,0.0051,0.0648,0.0011,0.0451,0.0757,1.289497239,3.412803128,0.008190877,0.013364063,0.187365511,0.010871036
1.55,2.2,0.7666,0.0132,0.003,0.0508,0.0014,0.0469,0.0006,0.1689,0.0431,1.529306911,4.538779628,0.01893051,0.004302389,0.10828405,0.002984206
1.59,2.2,0.7561,0.0149,0.0041,0.0523,0.0017,0.0491,0.0009,0.1883,0.0574,1.550544476,4.604188171,0.021977495,0.006047499,0.111481413,0.003623679
1.63,0.5,0.4001,0.0311,0.0138,0.545,0.0156,0.2196,0.0021,0.0712,0.0337,0.665950943,0.943490658,0.078162821,0.034683181,1.161708799,0.033252582
1.67,0.5,0.3877,0.0452,0.013,0.5195,0.0148,0.2176,0.0021,0.1121,0.0354,0.68725038,0.972313085,0.120814635,0.034747572,1.107353617,0.031547322
1.71,0.5,0.376,0.0431,0.0125,0.5138,0.0146,0.2152,0.0021,0.1116,0.0354,0.708635565,1.002164363,0.122433189,0.035508465,1.095203635,0.031121006
1.71,1.75,0.6784,0.0244,0.0046,0.0922,0.0026,0.0776,0.0008,0.1949,0.0421,1.374652717,3.639670091,0.039862887,0.007515134,0.196531287,0.005542097
1.75,0.5,0.3651,0.0609,0.0122,0.4974,0.0144,0.2187,0.0022,0.1676,0.0383,0.729791762,1.032596016,0.183572104,0.036774707,1.060245792,0.030694691
1.75,1.75,0.668,0.0221,0.0047,0.0961,0.0026,0.0793,0.0009,0.1721,0.0411,1.396054495,3.698968154,0.03726483,0.0079251,0.204844432,0.005542097
1.75,2.2,0.7167,0.0189,0.0082,0.0604,0.004,0.0579,0.0013,0.2186,0.1086,1.635784398,4.875790596,0.031144944,0.013512621,0.128747177,0.008526303
1.79,0.5,0.3547,0.0676,0.012,0.4944,0.0143,0.2218,0.0022,0.1928,0.0395,0.75118966,1.064285905,0.216179545,0.038375067,1.053851065,0.030481534
1.79,1.75,0.658,0.0216,0.0047,0.1014,0.0027,0.0828,0.0009,0.1617,0.0391,1.417271129,3.758657453,0.037571916,0.008175371,0.216141784,0.005755255
1.83,1.75,0.6482,0.0189,0.0049,0.1051,0.0027,0.0841,0.001,0.1387,0.0391,1.438698554,3.81985353,0.033915812,0.008792988,0.224028614,0.005755255
1.83,1.75,0.6482,0.0197,0.0046,0.1053,0.0027,0.0846,0.0008,0.1442,0.0374,1.438698554,3.81985353,0.035351402,0.008254642,0.224454929,0.005755255
1.87,1.25,0.5581,0.0497,0.0077,0.1806,0.0057,0.1338,0.0012,0.2464,0.0458,1.193544939,2.674549522,0.10153734,0.015731137,0.384962586,0.012149982
1.87,1.75,0.6388,0.0288,0.0047,0.104,0.0027,0.0888,0.0009,0.2172,0.0406,1.459869134,3.881217889,0.053284187,0.008695683,0.221683881,0.005755255
1.91,1.75,0.6296,0.0236,0.0049,0.1127,0.0029,0.0921,0.001,0.1665,0.0385,1.481201402,3.943957594,0.045017592,0.009346873,0.24022859,0.00618157
1.91,2.2,0.6812,0.0163,0.0083,0.073,0.0042,0.0664,0.0014,0.1637,0.0923,1.72103153,5.161949526,0.029918845,0.015234749,0.155605032,0.008952618
1.95,1.25,0.5389,0.0465,0.0096,0.1974,0.0064,0.1426,0.002,0.2186,0.0521,1.236068715,2.777865869,0.102184921,0.021096242,0.420773059,0.013642085
1.95,1.75,0.6206,0.0249,0.0045,0.1146,0.0026,0.0942,0.001,0.1752,0.0356,1.502681925,4.008052969,0.048969285,0.008849871,0.244278584,0.005542097
1.99,1.25,0.5297,0.0354,0.0095,0.2033,0.0064,0.14,0.002,0.1645,0.0489,1.257537154,2.831399694,0.080668734,0.021648389,0.433349356,0.013642085
1.99,1.75,0.612,0.0275,0.0047,0.1179,0.0028,0.098,0.001,0.1904,0.0371,1.523798044,4.071960479,0.055716979,0.009522538,0.251312784,0.005968412
2.03,1.75,0.6035,0.0303,0.0053,0.1223,0.0033,0.1027,0.0011,0.2054,0.041,1.545259988,4.137828431,0.063261658,0.011065571,0.260691718,0.0070342
2.07,1.25,0.5124,0.0564,0.0098,0.2053,0.0064,0.1534,0.0024,0.2681,0.0545,1.299994986,2.939986963,0.137957768,0.023971385,0.437612507,0.013642085
2.11,1.25,0.5041,0.0551,0.0094,0.2073,0.0064,0.1539,0.0022,0.2634,0.0525,1.321399386,2.996096338,0.139611582,0.023817584,0.441875659,0.013642085
2.15,1.25,0.4961,0.0503,0.0096,0.2216,0.0065,0.1595,0.0024,0.2287,0.05,1.342707984,3.052864729,0.131958415,0.025184906,0.472357192,0.013855243
2.19,2.2,0.6268,0.0266,0.0083,0.0907,0.0046,0.0862,0.0015,0.2342,0.0845,1.870399933,5.698395909,0.058576494,0.018277628,0.193333923,0.009805249
2.23,1.25,0.4808,0.0551,0.0097,0.2288,0.0068,0.1666,0.0025,0.2503,0.0513,1.385435588,3.169431768,0.15484576,0.027259598,0.487704538,0.014494715
2.27,1.25,0.4735,0.0341,0.0096,0.2449,0.0068,0.163,0.0025,0.1471,0.0451,1.406794996,3.229072161,0.099138631,0.027909996,0.522022908,0.014494715
2.27,1.75,0.5574,0.0383,0.007,0.1414,0.0039,0.1206,0.0021,0.2432,0.0502,1.673061361,4.549134319,0.095183859,0.017396528,0.301404815,0.008313146
2.27,2.2,0.6129,0.0279,0.0093,0.0975,0.0051,0.0921,0.002,0.2339,0.0899,1.912818858,5.858875983,0.064602153,0.021534051,0.207828638,0.010871036
2.31,2.2,0.6061,0.0234,0.0092,0.1032,0.0051,0.0935,0.0022,0.1868,0.0829,1.93427929,5.941436373,0.055562417,0.021845053,0.21997862,0.010871036
2.35,1.75,0.5435,0.0424,0.0062,0.1486,0.0037,0.1279,0.0019,0.2625,0.0444,1.715849867,4.694140767,0.111512911,0.016306133,0.316752161,0.00788683
2.39,1.25,0.453,0.0719,0.0096,0.2414,0.0069,0.1841,0.0028,0.3287,0.0531,1.470457904,3.412246448,0.23088826,0.030827918,0.514562393,0.014707873
2.39,1.75,0.5369,0.0387,0.007,0.1575,0.0043,0.1315,0.002,0.2286,0.0474,1.736942453,4.766969084,0.104631544,0.018925602,0.335723185,0.009165776
2.39,2.2,0.593,0.004,0.0095,0.1202,0.0053,0.0938,0.002,0.0284,0.0679,1.977009575,6.108566859,0.00998074,0.023704257,0.256215409,0.011297352
2.43,1.25,0.4465,0.0215,0.012,0.2919,0.0105,0.1807,0.0021,0.0824,0.0488,1.491864346,3.475659228,0.071348518,0.039822429,0.62220697,0.022381546
2.43,1.25,0.4465,0.061,0.0089,0.2607,0.0066,0.1881,0.0023,0.2619,0.0445,1.491864346,3.475659228,0.20243068,0.029534968,0.555701805,0.0140684
