qvcenter,nu,RL,RLerr,RT,RTerr
0.21,0.005070423,867.9715302,12.8113879,60.85409253,9.608540925
0.21,0.010140845,688.6120996,12.8113879,64.0569395,12.8113879
0.21,0.02028169,653.3807829,16.01423488,150.5338078,12.8113879
0.21,0.030422535,579.7153025,12.8113879,172.9537367,12.8113879
0.21,0.04056338,579.7153025,12.8113879,204.9822064,12.8113879
0.21,0.050704225,512.455516,16.01423488,243.4163701,16.01423488
0.21,0.060211268,458.0071174,19.21708185,256.227758,9.608540925
0.21,0.070352113,400.3558719,19.21708185,224.1992883,9.608540925
0.21,0.080492958,329.8932384,19.21708185,188.9679715,12.8113879
0.21,0.090633803,237.0106762,25.6227758,169.7508897,12.8113879
0.25,0.005101354,645.9992664,12.72706974,3.271080206,3.181767436
0.25,0.010219933,572.9079281,6.363534872,35.17806734,9.545302308
0.25,0.01978246,474.440599,9.545302308,111.7191113,9.545302308
0.25,0.029916269,442.8015502,12.72706974,165.9877833,9.545302308
0.25,0.040044337,417.5260363,9.545302308,210.7111529,15.90883718
0.25,0.05015231,414.5228944,15.89767308,249.0598236,12.73823384
0.25,0.060245929,427.4285897,19.07944052,271.5108212,15.92000128
0.25,0.069745299,398.9601442,19.09060462,287.5982839,9.534138212
0.25,0.079904946,338.6851884,19.09060462,278.2204431,12.73823384
0.25,0.090073205,268.8649304,19.09060462,252.9560932,15.89767308
0.25,0.099578316,234.03295,19.09060462,218.1241129,12.72706974
0.25,0.110346565,199.2232979,22.26120796,189.6668315,9.545302308
0.25,0.119888997,123.0283409,25.46530358,180.3001547,9.545302308
0.25,0.130051514,59.57161768,28.62474283,177.2858487,9.556466404
0.29,0.005724382,294.5017668,9.58869258,9.690459364,6.4
0.29,0.010812721,345.7922261,15.98869258,35.38091873,12.8
0.29,0.020353357,336.3618375,16,109.1618375,12.8
0.29,0.030530035,330.1427562,9.6,170.1427562,9.6
0.29,0.040706714,339.9236749,16,221.5236749,9.58869258
0.29,0.050883392,343.3045936,15.98869258,266.5045936,12.78869258
0.29,0.060424028,337.0742049,19.18869258,311.4855124,9.58869258
0.29,0.070600707,337.2551237,22.38869258,346.8438163,9.6
0.29,0.080777385,356.6360424,22.4,343.8360424,9.6
0.29,0.090954064,369.6169611,25.58869258,331.2056537,9.61130742
0.29,0.1004947,296.1865724,25.6,312.1865724,9.6
0.29,0.110035336,203.5561837,22.41130742,286.7674912,12.8
0.29,0.120212014,149.3371025,25.6,261.3371025,19.21130742
0.29,0.130388693,107.9180212,28.8,235.9180212,12.8
0.29,0.140565371,95.29893993,28.8,207.2989399,12.8
0.29,0.150106007,111.4685512,32,185.0685512,6.4
0.29,0.160282686,114.84947,35.2,172.44947,3.2
0.29,0.170459364,108.6303887,38.38869258,166.2303887,9.6
0.33,0.011274351,187.500396,7.792454623,48.94675156,7.817795939
0.33,0.021431151,201.3240838,7.805125281,123.2728309,5.828502645
0.33,0.030827711,224.8915075,11.70768792,166.3530679,7.805125281
0.33,0.041752352,232.874022,11.69501726,223.1049447,7.792454623
0.33,0.051152713,258.392727,17.56153188,270.100415,5.853843961
0.33,0.061324717,280.0215401,13.65896924,301.4856346,9.756406601
0.33,0.071439704,272.3811334,15.5975799,330.919573,9.756406601
0.33,0.080809655,282.2895879,19.5128132,354.4869967,7.805125281
0.33,0.090924641,274.6491812,19.5128132,370.2619659,7.817795939
0.33,0.101028224,261.1549305,21.46409452,370.4266844,9.756406601
0.33,0.110405778,274.9659476,17.57420254,337.4069499,7.805125281
0.33,0.120486553,249.764009,17.56153188,312.2050112,9.756406601
0.33,0.130525516,203.0979759,21.47676518,283.10051,7.805125281
0.33,0.140598689,173.9934746,19.50014254,253.9833381,7.817795939
0.33,0.149900219,148.7788653,21.46409452,230.7453515,7.805125281
0.33,0.16003041,148.9435839,23.41537584,203.5794609,9.756406601
0.33,0.170152998,145.2057398,25.36665716,186.1826475,7.817795939
0.33,0.180214768,110.2473946,27.31793848,192.1885394,7.817795939
0.33,0.189482087,67.47125344,35.12306377,202.1096645,7.805125281
0.33,0.199559061,40.31803351,42.92818905,217.8846337,9.756406601
0.33,0.209674047,32.67762679,52.68459565,235.6108841,11.70768792
0.37,0.011573098,98.03921569,13.7254902,47.05882353,7.843137255
0.37,0.021689979,127.4509804,11.76470588,101.9607843,5.882352941
0.37,0.031052692,139.2156863,11.76470588,149.0196078,7.843137255
0.37,0.041209427,143.1372549,11.76470588,200,7.843137255
0.37,0.051363096,149.0196078,15.68627451,249.0196078,5.882352941
0.37,0.060710481,170.5882353,15.68627451,284.3137255,7.843137255
0.37,0.070858019,180.3921569,17.64705882,321.5686275,7.843137255
0.37,0.081033148,172.5490196,15.68627451,350.9803922,5.882352941
0.37,0.09117762,184.3137255,17.64705882,364.7058824,5.882352941
0.37,0.100521939,207.8431373,19.60784314,368.627451,9.803921569
0.37,0.109890784,215.6862745,17.64705882,364.7058824,5.882352941
0.37,0.120847672,207.8431373,21.56862745,354.9019608,5.882352941
0.37,0.131041196,188.2352941,25.49019608,345.0980392,7.843137255
0.37,0.140416172,192.1568627,27.45098039,323.5294118,5.882352941
0.37,0.150621958,164.7058824,31.37254902,300,7.843137255
0.37,0.160821613,141.1764706,29.41176471,272.5490196,7.843137255
0.37,0.1710274,113.7254902,27.45098039,249.0196078,5.882352941
0.37,0.180414639,109.8039216,29.41176471,235.2941176,9.803921569
0.37,0.190580571,107.8431373,27.45098039,225.4901961,5.882352941
0.37,0.200795555,74.50980392,29.41176471,229.4117647,7.843137255
0.37,0.21103813,23.52941176,37.25490196,245.0980392,7.843137255
0.37,0.220468289,-7.843137255,52.94117647,264.7058824,11.76470588
0.41,0.0197851,57.42574257,5.940594059,83.16831683,7.920792079
0.41,0.030049667,75.24752475,7.920792079,122.7722772,7.920792079
0.41,0.039523454,91.08910891,11.88118812,158.4158416,7.920792079
0.41,0.049768544,99.00990099,11.88118812,201.980198,5.940594059
0.41,0.060037007,118.8118812,13.86138614,237.6237624,5.940594059
0.41,0.06947963,118.8118812,15.84158416,277.2277228,7.920792079
0.41,0.080503814,122.7722772,13.86138614,304.950495,11.88118812
0.41,0.0907528,132.6732673,15.84158416,334.6534653,9.900990099
0.41,0.100195423,132.6732673,17.82178218,356.4356436,7.920792079
0.41,0.110448304,144.5544554,21.78217822,364.3564356,7.920792079
0.41,0.120720662,166.3366337,21.78217822,360.3960396,7.920792079
0.41,0.130954066,168.3168317,23.76237624,360.3960396,5.940594059
0.41,0.140392793,166.3366337,25.74257426,350.4950495,7.920792079
0.41,0.15060672,158.4158416,23.76237624,344.5544554,7.920792079
0.41,0.160781691,130.6930693,27.72277228,336.6336634,5.940594059
0.41,0.170216523,126.7326733,27.72277228,312.8712871,3.96039604
0.41,0.179557864,75.24752475,27.72277228,291.0891089,9.900990099
0.41,0.189658822,9.900990099,25.74257426,283.1683168,5.940594059
