Data:Z,A,E0,ThetaDeg,nu,cross,error,dataSet
26,56,0.1503,90,0.00623,0,0.0001,Altemus:1973
26,56,0.1503,90,0.01123,0,0.0001,Altemus:1973
26,56,0.1503,90,0.01623,0,0.0001,Altemus:1973
26,56,0.1503,90,0.02123,10801.648,216.03306,Altemus:1973
26,56,0.1503,90,0.02623,36212.072,724.24154,Altemus:1973
26,56,0.1503,90,0.03123,54275.572,1085.51154,Altemus:1973
26,56,0.1503,90,0.03623,66734.408,1334.68826,Altemus:1973
26,56,0.1503,90,0.04123,73518.172,1470.36354,Altemus:1973
26,56,0.1503,90,0.04623,74190.792,1483.81594,Altemus:1973
26,56,0.1503,90,0.05123,69708.34,1394.1669,Altemus:1973
26,56,0.1503,90,0.05623,61863.36,1237.2673,Altemus:1973
26,56,0.1503,90,0.06123,52491.66,1049.8333,Altemus:1973
26,56,0.1503,90,0.06623,42986.632,859.73274,Altemus:1973
26,56,0.1503,90,0.07123,34188.024,683.76058,Altemus:1973
26,56,0.1503,90,0.07623,26491.608,529.83226,Altemus:1973
26,56,0.1503,90,0.08123,20011.108,400.22226,Altemus:1973
26,56,0.1503,90,0.08623,14707.628,294.15266,Altemus:1973
26,56,0.2004,90,0.00666,0,0.0001,Altemus:1973
26,56,0.2004,90,0.01166,0,0.0001,Altemus:1973
26,56,0.2004,90,0.01666,0,0.0001,Altemus:1973
26,56,0.2004,90,0.02166,4488.016,89.76042,Altemus:1973
26,56,0.2004,90,0.02666,17480.32,349.6065,Altemus:1973
26,56,0.2004,90,0.03166,28595.528,571.91066,Altemus:1973
26,56,0.2004,90,0.03666,36541.492,730.82994,Altemus:1973
26,56,0.2004,90,0.04166,43020.224,860.40458,Altemus:1973
26,56,0.2004,90,0.04666,47701.888,954.03786,Altemus:1973
26,56,0.2004,90,0.05166,50398.972,1007.97954,Altemus:1973
26,56,0.2004,90,0.05666,51084.748,1021.69506,Altemus:1973
26,56,0.2004,90,0.06166,49908.716,998.17442,Altemus:1973
26,56,0.2004,90,0.06666,47186.828,943.73666,Altemus:1973
26,56,0.2004,90,0.07166,43346.94,866.9389,Altemus:1973
26,56,0.2004,90,0.07666,38848.316,776.96642,Altemus:1973
26,56,0.2004,90,0.08166,34105.292,682.10594,Altemus:1973
26,56,0.2004,90,0.08666,29453.944,589.07898,Altemus:1973
26,56,0.2004,90,0.09166,25083.812,501.67634,Altemus:1973
26,56,0.2004,90,0.09666,21129.212,422.58434,Altemus:1973
26,56,0.2004,90,0.10166,17669.808,353.39626,Altemus:1973
26,56,0.2004,90,0.10666,14657.968,293.15946,Altemus:1973
26,56,0.2004,90,0.11166,12137.632,242.75274,Altemus:1973
