qvcenter,nu,RT,RTerr
0.25,0.040403571,212.1000528,9.612555869
0.25,0.05043774,257.916358,11.83138329
0.25,0.05991472,278.5954043,4.436945958
0.25,0.07054542,294.8353779,7.395146226
0.25,0.080051111,275.5882905,7.393728445
0.25,0.089841244,260.7767314,11.09059267
0.25,0.100503312,233.3937072,8.13381018
0.25,0.110307269,199.3584541,8.13310129
0.25,0.120098997,182.3287763,13.30942009
0.25,0.130177294,166.7771354,24.40213943
0.25,0.13995573,168.2317789,9.61326476
0.25,0.149743204,157.1170839,9.613973651
0.29,0.021143812,98.23061525,4.958693555
0.29,0.031272411,160.1582814,4.955493365
0.29,0.040819216,223.7420455,4.129044439
0.29,0.0506694,265.0100886,4.958693555
0.29,0.06081,306.2765316,4.960293649
0.29,0.070384647,321.926258,5.783542386
0.29,0.080252111,333.4421398,4.133844724
0.29,0.089543541,336.6967324,4.129044439
0.29,0.099721584,313.5001592,4.130644534
0.29,0.109898666,291.9564838,4.132244629
0.29,0.119499714,262.1515194,4.132244629
0.29,0.129682077,231.5169058,7.441240521
0.29,0.139570663,206.6690348,9.917387109
0.29,0.14915923,198.3517424,9.915787015
0.29,0.158746358,192.5137968,9.090938184
0.29,0.168906639,199.8958338,11.56868487
0.29,0.178183668,227.9438943,13.22158272
0.33,0.010389511,28.32167832,7.867132867
0.33,0.020122777,102.2727273,6.293706294
0.33,0.030166457,166.7832168,3.933566434
0.33,0.040224721,220.2797203,7.08041958
0.33,0.050302776,258.8286713,3.933566434
0.33,0.05977771,302.8846154,5.506993007
0.33,0.06955785,341.4335664,6.293706294
0.33,0.079371324,354.8076923,7.08041958
0.33,0.089482712,368.1818182,6.293706294
0.33,0.099618058,363.4615385,10.22727273
0.33,0.1103534,355.5944056,7.867132867
0.33,0.11932313,331.2062937,9.440559441
0.33,0.12918452,308.3916084,5.506993007
0.33,0.13875112,283.2167832,7.867132867
0.33,0.14922188,250.1748252,10.22727273
0.33,0.159081187,228.9335664,11.8006993
0.33,0.169219658,221.8531469,12.58741259
0.33,0.179630003,234.4405594,13.37412587
0.33,0.188850772,245.4545455,15.73426573
0.33,0.199550698,264.3356643,14.16083916
0.37,0.01011653,35.21818628,8.084763802
0.37,0.020964441,100.0259258,10.75239473
0.37,0.030561089,147.326911,12.10326665
0.37,0.040923232,190.6162159,13.44049341
0.37,0.050267445,236.5663292,8.064296046
0.37,0.060115165,286.5622356,9.428813143
0.37,0.070495047,312.3788991,10.75239473
0.37,0.081371613,348.9616025,10.73874956
0.37,0.09176241,364.0258712,9.428813143
0.37,0.100638594,370.9849084,6.706601534
0.37,0.110789237,372.6018612,9.408345387
0.37,0.120945337,368.8426166,10.75921731
0.37,0.13060066,358.3494801,8.071118631
0.37,0.14126982,349.2276833,9.401522801
0.37,0.151210327,307.8282346,5.376197364
0.37,0.161624321,300.0436645,12.09644407
0.37,0.17154436,278.8049559,22.84201621
0.37,0.181461671,260.254346,18.81669077
0.37,0.191612313,261.8712987,22.85566138
0.37,0.201247169,271.5389024,18.81669077
0.37,0.211370521,300.036842,21.51161204
0.37,0.22251999,317.8096772,17.45899626
0.41,0.011006585,26.44642157,9.132841328
0.41,0.020037629,79.48297827,5.811808118
0.41,0.031044214,120.043791,4.978425607
0.41,0.039510818,159.8024633,4.975301399
0.41,0.051081844,197.8662527,8.305707234
0.41,0.060112888,235.9581599,6.645190629
0.41,0.070837253,274.0313219,4.987798232
0.41,0.079868297,306.3114211,4.151291513
0.41,0.091157103,336.0757516,4.984674024
0.41,0.100470367,362.5409184,4.984674024
0.41,0.109783631,377.382469,6.635818004
0.41,0.120507996,381.4150406,9.132841328
0.41,0.130103481,381.3088176,6.642066421
0.41,0.139698965,370.4092365,5.80868391
0.41,0.15014111,367.8028659,9.959975423
0.41,0.160018815,343.6160279,13.29038126
0.41,0.17130762,317.7530522,9.969348047
0.41,0.179774224,299.3936433,13.28100863
0.41,0.190498589,289.3118237,13.28725705
0.41,0.200376294,290.8629931,8.302583026
0.41,0.210536218,289.090005,12.45699875
0.41,0.220131703,299.7771398,12.46012295
0.41,0.230573848,326.2298098,14.11439114
0.41,0.239887112,363.4883346,14.94152524
0.41,0.250329257,381.6384215,13.28413284
0.45,0.010296222,18.28153565,4.570383912
0.45,0.020306254,50.27422303,6.398537477
0.45,0.03087288,83.1809872,3.65630713
0.45,0.039764632,122.4862888,5.484460695
0.45,0.050052197,156.3071298,5.484460695
0.45,0.060896865,190.1279707,6.398537477
0.45,0.070347247,226.691042,5.484460695
0.45,0.080351168,269.6526508,5.484460695
0.45,0.09064077,299.8171846,5.484460695
0.45,0.100377852,321.7550274,5.484460695
0.45,0.110112388,348.2632541,8.226691042
0.45,0.120130059,366.5447898,10.96892139
0.45,0.130432391,373.857404,10.05484461
0.45,0.139897542,383.9122486,13.71115174
0.45,0.150485556,378.4277879,10.96892139
0.45,0.160235878,376.5996344,8.226691042
0.45,0.170550432,361.9744059,10.96892139
0.45,0.180588472,343.6928702,9.140767824
0.45,0.190627021,324.4972578,12.79707495
0.45,0.200100319,319.9268739,10.96892139
0.45,0.210695462,301.6453382,10.05484461
0.45,0.22015603,319.9268739,18.28153565
0.45,0.230179811,327.2394881,21.023766
0.45,0.239906708,367.4588665,23.76599634
