qvcenter,nu,RL,RLerr,RT,RTerr
0.6,0.030278884,1.976232999,0.517069652,3.563636364,2.8
0.6,0.041434263,2.620380547,0.388102761,5.090909091,3.054545455
0.6,0.050996016,3.264871548,0.387759308,7.890909091,2.545454545
0.6,0.061354582,3.822983926,0.474137931,12.98181818,2.290909091
0.6,0.071713147,4.337992856,0.560344828,17.81818182,2.290909091
0.6,0.082071713,5.7581742,0.732930348,22.14545455,2.8
0.6,0.091633466,7.566458305,0.862068966,26.47272727,2.290909091
0.6,0.101992032,9.20215689,0.948447589,32.07272727,3.054545455
0.6,0.111553785,10.62250996,1.077586207,38.18181818,2.8
0.6,0.121912351,11.39613958,1.25,46.32727273,2.8
0.6,0.132270916,11.86804506,0.99137931,53.70909091,2.545454545
0.6,0.142629482,13.11581261,1.16396483,59.05454545,3.054545455
0.6,0.152191235,14.36375189,1.207068279,65.41818182,2.290909091
0.6,0.162549801,16.6460022,1.293275175,69.74545455,2.545454545
0.6,0.172908367,18.62652837,1.293103448,71.78181818,3.563636364
0.6,0.183266932,19.2277442,1.508792417,74.83636364,3.054545455
0.6,0.192828685,19.61361451,1.465345514,77.38181818,3.563636364
0.6,0.203984064,20.3008655,1.551895865,78.65454545,3.054545455
0.6,0.213545817,20.94535651,1.551895865,78.4,3.054545455
0.6,0.22310757,21.07260613,1.767241379,77.89090909,3.054545455
0.6,0.233466135,19.69106333,1.680862756,78.4,3.309090909
0.6,0.243824701,19.43021019,1.594827586,77.63636364,3.309090909
0.6,0.253386454,19.08332188,1.551724138,76.36363636,2.545454545
0.6,0.26374502,18.56384806,1.551724138,74.07272727,3.309090909
0.6,0.274103586,15.80299492,1.50862069,74.58181818,2.545454545
0.6,0.284462151,12.86972798,1.508792417,74.58181818,3.563636364
0.6,0.294023904,12.47973623,1.465345514,73.81818182,3.309090909
0.6,0.30438247,11.57233136,1.551724138,73.81818182,3.054545455
0.6,0.314741036,9.93216788,1.551552411,74.83636364,3.309090909
0.6,0.325099602,8.033383707,1.637931034,78.14545455,2.8
0.6,0.334661355,6.953736777,1.724137931,81.45454545,3.563636364
0.6,0.34501992,5.572193983,2.026033796,85.01818182,2.545454545
0.6,0.354581673,6.906340157,2.06879379,88.58181818,2.290909091
0.6,0.36437247,,,98.76363636,3.563636364
0.6,0.374089069,,,104.3636364,3.563636364
0.6,0.383805668,,,109.4545455,4.072727273
0.6,0.3951417,,,115.0545455,4.072727273
0.6,0.4048583,,,119.6363636,4.327272727
0.6,0.414574899,,,130.8363636,5.090909091
0.7,0.03202488,0.258726899,0.443531828,0.866425993,2.166064982
0.7,0.042698511,0.369609856,0.369609856,1.732851986,1.516245487
0.7,0.054341022,0.517453799,0.443531828,2.815884477,1.732851986
0.7,0.064045773,0.59137577,0.443531828,3.465703971,2.599277978
0.7,0.074713423,0.813141684,0.332648871,5.415162455,2.38267148
0.7,0.085373099,1.18275154,0.369609856,7.797833935,2.166064982
0.7,0.095057914,1.626283368,0.443531828,10.61371841,1.949458484
0.7,0.105699647,2.328542094,0.406570842,13.86281588,1.949458484
0.7,0.117292319,3.400410678,0.517453799,16.46209386,2.38267148
