qvcenter,nu,RL,RLerr,RT,RTerr
0.41,0.019899436,18.14456944,0.998199596,17.19038817,1.109057301
0.41,0.029899138,22.4397561,1.141276994,28.83548983,1.109057301
0.41,0.03991376,25.30894333,1.283399481,39.74121996,1.478743068
0.41,0.050187998,30.03240727,1.56812191,48.98336414,1.478743068
0.41,0.059919131,33.32891687,1.996399192,58.04066543,1.663585952
0.41,0.069924801,37.05370376,2.851998846,67.09796673,1.663585952
0.41,0.079969264,37.07089214,2.423721564,77.81885397,1.848428835
0.41,0.090265883,39.65535695,2.851521391,85.58225508,2.218114603
0.41,0.099961207,46.37426517,3.279798673,87.98521257,3.14232902
0.41,0.109402883,50.66849691,3.850198442,90.94269871,2.58780037
0.41,0.119426457,52.68208449,4.135875782,92.60628466,2.957486137
0.41,0.129517173,48.27867466,4.564153064,92.23659889,3.14232902
0.41,0.140152487,45.15961923,5.132643013,90.01848429,3.327171904
0.41,0.150219331,43.03780848,4.990520526,86.32162662,3.327171904
0.41,0.160010146,40.63032039,4.563675609,79.85212569,2.58780037
0.41,0.169811405,37.22463271,4.420598212,74.49168207,2.218114603
0.41,0.179870789,35.81582167,4.563198154,68.94639556,2.402957486
0.41,0.189968965,30.69941213,4.848398038,65.06469501,3.14232902
0.41,0.199761272,28.1493241,4.563675609,58.96487985,2.58780037
0.41,0.2095685,24.17323665,4.421075667,59.14972274,2.218114603
0.41,0.219912864,22.1945033,5.133120468,58.59519409,3.14232902
0.41,0.229758885,14.51081734,9.126396308,63.40110906,4.805914972
0.41,0.240028647,19.66208111,10.26624094,65.98890943,4.990757856
0.55,0.018292683,0.939597315,0.67114094,0.757575758,1.136363636
0.55,0.028902439,2.214765101,0.738255034,2.840909091,1.325757576
0.55,0.038414634,3.22147651,0.604026846,6.818181818,1.704545455
0.55,0.048292683,4.563758389,0.604026846,11.74242424,1.136363636
0.55,0.057804878,6.241610738,0.738255034,16.85606061,1.136363636
0.55,0.067317073,7.248322148,1.006711409,22.72727273,1.893939394
0.55,0.076829268,8.389261745,1.140939597,29.73484848,1.325757576
0.55,0.086707317,10.60402685,1.140939597,36.36363636,1.136363636
0.55,0.096219512,13.22147651,1.275167785,42.04545455,1.515151515
0.55,0.106829268,18.38926174,1.476510067,46.96969697,1.136363636
0.55,0.116341463,18.45637584,1.812080537,54.16666667,1.325757576
0.55,0.125853659,19.86577181,2.013422819,59.65909091,1.515151515
0.55,0.135365854,20.93959732,2.080536913,64.77272727,1.893939394
0.55,0.144878049,21.0738255,2.617449664,70.45454545,1.704545455
0.55,0.155121951,24.96644295,2.684563758,72.72727273,2.651515152
0.55,0.164634146,24.83221477,2.953020134,77.27272727,2.083333333
0.55,0.174146341,24.83221477,3.154362416,78.03030303,1.893939394
0.55,0.183292683,24.4295302,3.355704698,78.03030303,1.893939394
0.55,0.193170732,23.3557047,3.422818792,78.21969697,2.462121212
0.55,0.20304878,21.47651007,3.758389262,76.70454545,2.840909091
0.55,0.212926829,25.23489933,4.563758389,72.72727273,2.840909091
0.55,0.222439024,19.86577181,3.825503356,74.62121212,2.462121212
0.55,0.23195122,15.43624161,3.489932886,73.86363636,2.272727273
0.55,0.241829268,13.2885906,3.959731544,69.6969697,2.462121212
0.55,0.25097561,22.68456376,4.429530201,66.66666667,1.704545455
0.55,0.260487805,11.81208054,3.825503356,68.37121212,2.462121212
0.55,0.270365854,6.979865772,4.429530201,69.12878788,2.083333333
0.55,0.280609756,10.73825503,4.966442953,67.8030303,2.840909091
0.55,0.289756098,9.66442953,5.167785235,71.02272727,2.462121212
0.55,0.299268293,4.496644295,5.369127517,75,2.651515152
0.55,0.308780488,1.006711409,6.10738255,78.03030303,3.03030303
