Z,A,E0,ThetaDeg,dataSet,norm_factor,norm_err,system_err,nu_min,nu_max
26,56,0.1503,90,Altemus:1973,0.8628,0.049317889,0.037-0.053,0,0.0504
26,56,0.2004,90,Altemus:1973,1.0131,0.049317889,0.037-0.053,0,1000
26,56,0.2497,90,Altemus:1973,1.002771217,0.03,0.037-0.053,0.0512,0.1894
26,56,0.2988,90,Altemus:1973,1.012915334,0.03,0.037-0.053,0.0517,0.2123
26,56,0.3208,90,Altemus:1973,0.9941,0.049317889,0.037-0.053,0.052,0.2197
26,56,0.3488,90,Altemus:1973,1.004751799,0.03,0.037-0.053,0.06,0.2298
26,56,0.3726,90,Altemus:1973,1.0054,0.049317889,0.037-0.053,0.0526,0.2617
26,56,0.1003,140,Altemus:1973,1.0573,0.019638366,0.037-0.053,0,0.0503
26,56,0.1305,140,Altemus:1973,0.9839,0.019638366,0.037-0.053,0,0.0506
26,56,0.1603,140,Altemus:1973,0.9999,0.019638366,0.037-0.053,0.0509,0.0771
26,56,0.19,140,Altemus:1973,1.0186,0.019638366,0.037-0.053,0.0512,0.1161
26,56,0.2203,140,Altemus:1973,1.0024,0.019638366,0.037-0.053,0.0516,0.1285
26,56,0.2498,140,Altemus:1973,0.9997,0.019638366,0.037-0.053,0.0521,0.1634
26,56,0.291,140,Altemus:1973,1.0089,0.019638366,0.037-0.053,0.0528,0.2035
26,56,0.3299,140,Altemus:1973,1.0103,0.019638366,0.037-0.053,0.0536,0.2457
26,56,0.3686,140,Altemus:1973,0.9947,0.019638366,0.037-0.053,0.057,0.2844
26,56,0.1009,160,Altemus:1973,1.113877471,0.03,0.037-0.053,0,0.0504
26,56,0.1507,160,Altemus:1973,1.0689,0.028,0.037-0.053,0.0508,0.0755
26,56,0.1754,160,Altemus:1973,1.0889,0.0225,0.037-0.053,0.0511,0.0854
26,56,0.2008,160,Altemus:1973,1.1551,0.0211,0.037-0.053,0.0515,0.1228
26,56,0.2251,160,Altemus:1973,1.0675,0.0159,0.037-0.053,0.0519,0.1336
26,56,0.2503,160,Altemus:1973,1.1061,0.0166,0.037-0.053,0.0523,0.1666
26,56,0.2994,160,Altemus:1973,1.2026,0.0187,0.037-0.053,0.0613,0.211
26,56,0.3686,160,Altemus:1973,1.2922,0.0216,0.037-0.053,0.1055,0.2881
26,56,2.015,35.51,Arrington:1995hs,0.9614,0.0132,0.035,0.5109,0.7429
26,56,3.188,47.68,Arrington:1995hs,0.9614,0.0132,0.035,1.6386,1.7924
26,56,4.212,53.39,Arrington:1995hs,0.9614,0.0132,0.035,2.6878,2.8032
26,56,5.12,56.64,Arrington:1995hs,0.9614,0.0132,0.035,3.619,3.7129
26,56,4.045,15,Arrington:1998ps,0.9772,0.0089,0.035,0.6083,1.1007
26,56,4.045,23,Arrington:1998ps,0.9772,0.0089,0.035,1.1116,1.5321
26,56,4.045,30,Arrington:1998ps,0.9772,0.0089,0.035,1.5503,1.9081
26,56,4.045,37,Arrington:1998ps,0.9772,0.0089,0.035,1.9401,2.2422
26,56,4.045,45,Arrington:1998ps,0.9772,0.0089,0.035,2.3091,2.5584
26,56,4.045,55,Arrington:1998ps,0.9772,0.0089,0.035,2.6632,2.862
26,56,4.045,74,Arrington:1998ps,0.9772,0.0089,0.035,3.0967,3.2335
26,56,1.5,11.939,Baran:1988tw,0.975093311,0.0105,0.035,0.0509,0.411
26,56,1.65,11.939,Baran:1988tw,0.975093311,0.0105,0.035,0.0511,0.4202
26,56,1.5,13.539,Baran:1988tw,0.975093311,0.0105,0.035,0.0512,0.4214
26,56,1.65,13.539,Baran:1988tw,0.975093311,0.0105,0.035,0.0514,0.4331
26,56,3.3,15,Chen:1990kq,1.001,0.029,0.05,0.4119,0.7401
26,56,3.6,15,Chen:1990kq,1.001,0.029,0.05,0.4745,0.8279
26,56,4.3,15,Chen:1990kq,1.001,0.029,0.05,0.6382,1.0114
26,56,2.02,15.022,Day:1993md,1.01436413,0.008,0.035,0.0527,1.2857
26,56,3.595,16.02,Day:1993md,1.01436413,0.008,0.035,0.3285,1.5388
26,56,3.605,16.02,Day:1993md,1.01436413,0.008,0.035,0.331,1.5409
26,56,2.02,20.016,Day:1993md,1.01436413,0.008,0.035,0.0928,1.323
26,56,3.595,20.016,Day:1993md,1.01436413,0.008,0.035,0.5488,1.6777
26,56,3.595,25.012,Day:1993md,1.01436413,0.008,0.035,0.8367,1.8592
26,56,3.595,30.01,Day:1993md,1.01436413,0.008,0.035,1.1193,2.0374
26,56,3.995,30.05,Day:1993md,1.01436413,0.008,0.035,1.3577,2.2416
26,56,3.595,39.007,Day:1993md,1.01436413,0.008,0.035,1.5762,2.3255
26,56,,,E04001,1,0,0.03,0,1000
26,56,,,E139,1,0.026,0.03,0,1000
26,56,,,E140_1,1,0.026,0.03,0,1000
26,56,,,E140_2,0.982318271,0.026,0.03,0,1000
26,56,,,Hotta:1984,1,0,0.05,0,1000
26,56,,,Meziani:1984is,1,0,0.037-0.053,0,1000
26,56,0.961,37.5,Sealock:1989nx,0.995801266,0.0098,0.035,0.1003,0.3682
26,56,1.108,37.5,Sealock:1989nx,0.9902,0.0098,0.035,0.1263,0.7379
26,56,1.299,37.5,Sealock:1989nx,0.9826,0.0098,0.035,0.1558,0.7805
