qvcenter,Q2center,bin,nu,Ex,W2,RL,RLerr,RT,RTerr,Chi2,num_points
0.148,,W2bin,0.03973570012091654,0.03954087988996132,0.9345970175122048,0.16980127531612868,0.016699013818116438,0.04000790133679267,0.003091839202554469,8.81494862553519,5
0.167,,W2bin,0.03634162379464667,0.03608696102421735,0.9219846649143806,0.1489934930527153,0.009869156518350073,0.04382156760126726,0.0023058342254950247,10.381897140442508,5
0.167,,W2bin,0.046548641168785765,0.046302088089180966,0.9419846649143806,0.14495133488771544,0.012077235647472767,0.03338876037065971,0.005469083596603599,3.3119497781868823,3
0.205,,Exbin,0.005935325271686054,0.0055328442274665,0.8495043615123621,0.0038018204204167236,0.00019632711532823749,-3.996198680782338e-05,7.981028820021004e-06,764.4254502611366,10
0.205,,Exbin,0.025929218565977408,0.0255328442274665,0.8876609182875529,0.13939847873562697,0.010397214840335215,0.04241710606745348,0.004018120937726321,19.833423062130603,4
0.205,,Exbin,0.015933229562705264,0.0155328442274665,0.8684845285362742,-0.5967944020193829,0.045897698593228904,0.7765869138452931,0.05447888263938416,171.96500872744326,3
0.205,,W2bin,0.03735170098822482,0.03696225508548603,0.9098185571783632,0.15374307474431304,0.009893688024237627,0.03957336908212711,0.003922120845544352,2.9492906518487123,5
0.205,,W2bin,0.047548260258858055,0.04716711215788919,0.9298185571783631,0.1630726764068947,0.012924576197473132,0.04913605221155638,0.003783469364246242,0.2385989996973169,4
0.205,,W2bin,0.0970257767685051,0.09671319329428377,1.0298185571783631,0.0482002295994077,0.0064537709393568685,0.030611717776350477,0.0022155154709121764,1.420628367527105,4
0.24,,Exbin,0.015064381843615138,0.0145144486142362,0.8512521636204389,0.06517851785225137,0.012222887125042764,0.10999353034354134,0.010375174653701325,0.020006041824630692,4
0.24,,Exbin,0.025060537261992977,0.0245144486142362,0.8704115040137037,0.1490333668720425,0.006885109020673525,0.02840129983769612,0.0040086821411421045,2.5077433151007416,5
0.24,,W2bin,0.03280555233458893,0.03226375952900665,0.885393554804241,0.11122751170402698,0.008062877565310074,0.047444021137962256,0.004412641775241289,2.131149893621724,4
0.24,,W2bin,0.04304935009921229,0.04251500541192158,0.905393554804241,0.1248462976627473,0.006071112051337439,0.05396124196517921,0.002405909994447116,6.627402473694563,5
0.24,,W2bin,0.05318731428607415,0.052662321356138915,0.925393554804241,0.1140934685615869,0.0071464939849174205,0.06286689452916504,0.002157686125077419,2.0354064417377087,7
0.24,,W2bin,0.06322265890434131,0.06270886356012369,0.945393554804241,0.11456554031912725,0.0074567595689557075,0.0657101765438772,0.0019954485631243886,2.7646039268657905,8
0.24,,W2bin,0.07315843850892889,0.07265763163620868,0.965393554804241,0.1081738019826151,0.0075830576887512486,0.06511466433383883,0.0020484041549169944,4.8586018831786735,8
0.24,,W2bin,0.08299755906074224,0.08251147927549213,0.9853935548042412,0.08827991046882495,0.0078447677659386,0.06307691817983294,0.003224949018512528,0.032302784675770475,4
0.24,,W2bin,0.0927427878540178,0.09227312399661444,1.0053935548042412,0.07358843399939906,0.00705473113797243,0.052578457136006465,0.0021247478015689117,1.178920374926947,4
0.24,,W2bin,0.10239676260687103,0.10194515607279367,1.0253935548042412,0.051746999499914674,0.006748935731077324,0.047994265191145254,0.0021559442103125156,0.476718594014476,4
0.24,,W2bin,0.11196199979968358,0.11153004672022912,1.0453935548042412,0.03724628585986363,0.007011055020202679,0.04613561786040469,0.0025151025723673267,0.020006041824630966,4
0.24,,W2bin,0.12144090233602267,0.12103015562122314,1.0653935548042412,0.037036783656898206,0.0069089334441895306,0.03678220976463107,0.0015158627598368156,1.571271037681462,3
0.3,,Exbin,0.006755290814822956,0.0058930587633534,0.8030784704403856,0.03891691551608456,0.0032341156405927924,0.004859971957690113,0.0002902980533662335,139.29291562621012,3
0.3,,Exbin,0.016753037998306297,0.0158930587633534,0.8220747332547425,0.003505671475659803,0.00021546015962012503,0.0018308151210760667,0.0001396218325980382,1055.6606762276567,7
0.3,,Exbin,0.02674886998430992,0.0258930587633534,0.8412672095480144,0.08887657362787597,0.005538957090879488,0.03592248778903764,0.0012366949705191052,4.000436529662344,4
0.3,,W2bin,0.036563492887034865,0.03571363779453312,0.8603061878642941,0.07254882974123282,0.003944436527890711,0.04858259881838058,0.0012008960574717356,15.826954903413528,7
0.3,,W2bin,0.051665120823618405,0.05082803703201319,0.8899774830597971,0.08605241376995917,0.004154598627009953,0.07086168929083,0.0023168841794287106,3.1260678414998484,6
0.3,,W2bin,0.059501390180978886,0.05867265636574563,0.9055537337010244,0.08218575197920797,0.00657333754425305,0.07541344783052514,0.0021498925229097863,2.9600895187538745,6
