Z,A,E0,ThetaDeg,nu,cross,ratio,ratio_error,dataSet
26,56,0.1003,140,0.0045,22173,1.49109,0.025606368,Altemus:1973
26,56,0.1003,140,0.0091,22173,1.14432,0.020129437,Altemus:1973
26,56,0.1003,140,0.0146,28834,1.13203,0.019788791,Altemus:1973
26,56,0.1003,140,0.0199,31451,1.09596,0.019946584,Altemus:1973
26,56,0.1003,140,0.0252,31688,1.24934,0.022693764,Altemus:1973
26,56,0.1003,140,0.0305,29976,1.41924,0.027033961,Altemus:1973
26,56,0.1003,140,0.0358,26903,1.68951,0.034804297,Altemus:1973
26,56,0.1003,140,0.0411,23100,1.97121,0.046614719,Altemus:1973
26,56,0.1009,160,0.0102,15350,0.63667,0.021387622,Altemus:1973
26,56,0.1009,160,0.0154,20539,0.69682,0.019934758,Altemus:1973
26,56,0.1009,160,0.0206,22652,0.74466,0.020678527,Altemus:1973
26,56,0.1009,160,0.0262,23040,0.91688,0.023988281,Altemus:1973
26,56,0.1009,160,0.0314,22009,1.07788,0.028040347,Altemus:1973
26,56,0.1009,160,0.0366,20005,1.26428,0.03403949,Altemus:1973
26,56,0.1009,160,0.0416,20005,1.30912,0.037207198,Altemus:1973
26,56,0.1009,160,0.0416,17529,1.49404,0.042462776,Altemus:1973
26,56,0.12,140,0.01,15201,0.98678,0.049996711,Meziani:1984is
26,56,0.12,140,0.02,23682,0.86986,0.046026518,Meziani:1984is
26,56,0.12,140,0.03,26546,0.91163,0.052738642,Meziani:1984is
26,56,0.12,140,0.04,24705,1.08075,0.070431087,Meziani:1984is
26,56,0.12,140,0.05,20201,1.16331,0.092569675,Meziani:1984is
26,56,0.12,90,0.01,103190,2.04477,0.122104855,Meziani:1984is
26,56,0.12,90,0.02,120910,1.67893,0.109172111,Meziani:1984is
26,56,0.12,90,0.03,109560,1.3326,0.117743702,Meziani:1984is
26,56,0.12,90,0.04,83685,1.26665,0.17565872,Meziani:1984is
26,56,0.12,90,0.05,57207,0.79361,0.302410544,Meziani:1984is
