Z,A,E0,ThetaDeg,nu,cross,error,dataSet,ratio,ratio_error
26,56,0.1503,90,0.00362,7822.884165,156.4576833,Altemus:1973,15.26802615,0.145700738
26,56,0.1503,90,0.00742,36746.99551,734.9399103,Altemus:1973,2.591994221,0.04830599
26,56,0.1503,90,0.00961,53536.90908,1070.738182,Altemus:1973,1.645089369,0.02228556
26,56,0.1503,90,0.01869,111708.1714,2234.163428,Altemus:1973,0.85591769,0.013120795
26,56,0.1503,90,0.02479,133527.7029,2670.554058,Altemus:1973,0.681162021,0.011109305
26,56,0.1503,90,0.03092,138744.0039,2774.880078,Altemus:1973,0.701788887,0.011414547
26,56,0.1503,90,0.03703,130272.0555,2605.44111,Altemus:1973,0.731192884,0.01258213
26,56,0.1503,90,0.04315,118042.4638,2360.849275,Altemus:1973,0.789097389,0.014503255
26,56,0.1503,90,0.04927,100799.2927,2015.985854,Altemus:1973,0.88445065,0.017867189
26,56,0.1503,90,0.05542,81621.32732,1632.426546,Altemus:1973,0.916953969,0.022837168
26,56,0.1503,90,0.06156,64799.91037,1295.998207,Altemus:1973,0.955232803,0.031131216
26,56,0.1503,90,0.06772,47323.48627,946.4697255,Altemus:1973,1.057487602,0.048982021
26,56,0.1503,90,0.078,24380.34773,487.6069547,Altemus:1973,1.581560707,0.137840528
26,56,0.1503,90,0.08825,11434.00521,228.6801042,Altemus:1973,2.571102554,0.468112433
26,56,0.2004,90,0.00166,0,0,Altemus:1973,#DIV/0!,#DIV/0!
26,56,0.2004,90,0.00662,1124.964167,22.49928335,Altemus:1973,19.45661972,0.241936595
26,56,0.2004,90,0.01907,33071.74569,661.4349138,Altemus:1973,1.014672776,0.012296902
26,56,0.2004,90,0.02962,54763.05914,1095.261183,Altemus:1973,0.70308344,0.008247896
26,56,0.2004,90,0.04019,66790.27642,1335.805528,Altemus:1973,0.654706079,0.005283703
26,56,0.2004,90,0.05111,70381.66278,1407.633256,Altemus:1973,0.676070984,0.007684388
26,56,0.2004,90,0.06146,64046.35554,1280.927111,Altemus:1973,0.772003334,0.008967411
26,56,0.2004,90,0.07202,51495.31852,1029.90637,Altemus:1973,0.878409947,0.011253062
26,56,0.2004,90,0.08262,38870.63099,777.4126198,Altemus:1973,0.922598864,0.014335759
26,56,0.2004,90,0.09322,25669.78092,513.3956185,Altemus:1973,1.090348222,0.021571668
26,56,0.2004,90,0.10382,15669.86192,313.3972384,Altemus:1973,1.217560186,0.038330906
26,56,0.2004,90,0.11443,9409.824287,188.1964857,Altemus:1973,1.449442581,0.089521332
26,56,0.2004,90,0.12503,6251.612942,125.0322588,Altemus:1973,2.107936004,0.229972651
26,56,0.2004,90,0.13513,5069.665458,101.3933092,Altemus:1973,2.430929635,0.503189021
26,56,0.2497,90,0.00204,0,0,Altemus:1973,#DIV/0!,#DIV/0!
26,56,0.2497,90,0.00557,0,0,Altemus:1973,#DIV/0!,#DIV/0!
26,56,0.2497,90,0.00846,0,0,Altemus:1973,#DIV/0!,#DIV/0!
26,56,0.2497,90,0.01298,2536.410542,50.72821084,Altemus:1973,4.049029063,0.049376865
26,56,0.2497,90,0.0232,12205.48486,244.1096972,Altemus:1973,1.248864766,0.01302775
26,56,0.2497,90,0.03343,21672.12868,433.4425737,Altemus:1973,0.923028849,0.008689502
26,56,0.2497,90,0.04366,31414.79024,628.2958048,Altemus:1973,0.778454983,0.006840409
26,56,0.2497,90,0.05391,38950.82931,779.0165862,Altemus:1973,0.751280538,0.00621861
26,56,0.2497,90,0.06417,42146.87422,842.9374844,Altemus:1973,0.734384235,0.006128094
26,56,0.2497,90,0.07442,41245.29213,824.9058426,Altemus:1973,0.802418853,0.006693128
26,56,0.2497,90,0.08469,37196.96851,743.9393703,Altemus:1973,0.887868053,0.007699821
26,56,0.2497,90,0.09492,29762.5887,595.2517739,Altemus:1973,1.05568774,0.015956273
26,56,0.2497,90,0.10521,24603.92132,492.0784265,Altemus:1973,0.987241004,0.013883559
26,56,0.2497,90,0.12109,15159.23915,303.1847829,Altemus:1973,1.13495142,0.027005973
26,56,0.2497,90,0.13085,10750.99367,215.0198733,Altemus:1973,1.316250427,0.02899732
26,56,0.2497,90,0.14158,7396.916276,147.9383255,Altemus:1973,1.620675367,0.052355601
26,56,0.2497,90,0.15142,5540.386732,110.8077346,Altemus:1973,1.823338422,0.06882913
26,56,0.2497,90,0.15759,4837.897222,96.75794445,Altemus:1973,1.906096714,0.095241792
26,56,0.2497,90,0.16376,4415.207348,88.30414695,Altemus:1973,1.83517995,0.135119362
26,56,0.2497,90,0.1699,4216.204628,84.32409256,Altemus:1973,2.032396612,0.194333547
26,56,0.2497,90,0.17617,4189.004873,83.78009746,Altemus:1973,2.290687237,0.277488338
26,56,0.2497,90,0.18233,4296.892504,85.93785007,Altemus:1973,2.29396011,0.387722057
26,56,0.2497,90,0.1885,4507.109739,90.14219478,Altemus:1973,2.912953258,0.539303487
26,56,0.2988,90,0.01174,0.710067935,0.014201359,Altemus:1973,4250.015878,130.6029965
26,56,0.2988,90,0.02222,2471.670143,49.43340287,Altemus:1973,2.280401378,0.053947328
26,56,0.2988,90,0.03271,6073.768643,121.4753729,Altemus:1973,1.393105417,0.019653366
26,56,0.2988,90,0.04324,11036.25476,220.7250952,Altemus:1973,0.993906016,0.011587264
26,56,0.2988,90,0.05377,16625.7676,332.5153519,Altemus:1973,0.819811772,0.008812826
26,56,0.2988,90,0.06431,21417.12153,428.3424306,Altemus:1973,0.765555725,0.00799127
26,56,0.2988,90,0.07486,24630.30062,492.6060125,Altemus:1973,0.748427731,0.007549238
26,56,0.2988,90,0.08544,25961.59291,519.2318582,Altemus:1973,0.748759911,0.007679806
26,56,0.2988,90,0.0945,25646.72845,512.9345689,Altemus:1973,0.805014957,0.008101618
26,56,0.2988,90,0.10661,23499.3148,469.9862959,Altemus:1973,0.876408533,0.009350485
26,56,0.2988,90,0.11531,21083.88354,421.6776708,Altemus:1973,0.933272087,0.009924642
26,56,0.2988,90,0.12778,16979.7508,339.595016,Altemus:1973,1.011793412,0.012868269
26,56,0.2988,90,0.13382,14935.08012,298.7016024,Altemus:1973,1.038360683,0.020028684
26,56,0.2988,90,0.13838,13437.97194,268.7594389,Altemus:1973,1.08312475,0.015654892
26,56,0.2988,90,0.14901,10275.42402,205.5084803,Altemus:1973,1.179124091,0.019561237
26,56,0.2988,90,0.15962,7766.604327,155.3320865,Altemus:1973,1.346534413,0.02531222
26,56,0.2988,90,0.17024,6012.988757,120.2597751,Altemus:1973,1.480295467,0.032378241
26,56,0.2988,90,0.18085,4979.959001,99.59918001,Altemus:1973,1.686078138,0.040913991
26,56,0.2988,90,0.19146,4545.718126,90.91436251,Altemus:1973,1.732157556,0.051336223
26,56,0.2988,90,0.20415,4627.715898,92.55431796,Altemus:1973,1.793498171,0.072919342
26,56,0.2988,90,0.213,4983.31603,99.6663206,Altemus:1973,1.773638265,0.094388957
26,56,0.2988,90,0.22184,5536.007112,110.7201422,Altemus:1973,1.754170434,0.149022569
26,56,0.2988,90,0.22745,5975.73142,119.5146284,Altemus:1973,1.844962436,0.171928744
26,56,0.2988,90,0.23414,6580.826001,131.61652,Altemus:1973,1.803572986,0.243783987
26,56,0.3208,90,0.00521,2.1917275,0.04383455,Altemus:1973,146.1130546,16.35194156
26,56,0.3208,90,0.02332,1333.906767,26.67813533,Altemus:1973,2.702887556,0.077973965
26,56,0.3208,90,0.03415,3567.769135,71.3553827,Altemus:1973,1.645229772,0.038121861
26,56,0.3208,90,0.04428,6844.945336,136.8989067,Altemus:1973,1.131053591,0.023459647
26,56,0.3208,90,0.05501,10970.75744,219.4151487,Altemus:1973,0.935851518,0.017264988
26,56,0.3208,90,0.06528,14873.09762,297.4619524,Altemus:1973,0.822895157,0.014690954
26,56,0.3208,90,0.07599,18227.36184,364.5472367,Altemus:1973,0.756390317,0.013220783
26,56,0.3208,90,0.0865,20374.72893,407.4945787,Altemus:1973,0.757703332,0.014986212
26,56,0.3208,90,0.09706,21201.32894,424.0265788,Altemus:1973,0.772262911,0.014368911
26,56,0.3208,90,0.1075,20755.83266,415.1166533,Altemus:1973,0.803677707,0.015862529
26,56,0.3208,90,0.11817,19222.61511,384.4523022,Altemus:1973,0.87407462,0.018399162
26,56,0.3208,90,0.12874,16946.12612,338.9225224,Altemus:1973,0.932897577,0.020815967
26,56,0.3208,90,0.13935,14265.52836,285.3105673,Altemus:1973,1.035783577,0.025539187
26,56,0.3208,90,0.14992,11556.35265,231.127053,Altemus:1973,1.095934019,0.030352137
26,56,0.3208,90,0.16053,9100.116088,182.0023218,Altemus:1973,1.186688158,0.035680864
26,56,0.3208,90,0.17112,7130.034537,142.6006907,Altemus:1973,1.313149319,0.04364495
26,56,0.3208,90,0.18174,5737.612766,114.7522553,Altemus:1973,1.469374171,0.05188569
26,56,0.3208,90,0.19233,4925.017992,98.50035983,Altemus:1973,1.594897727,0.062734796
26,56,0.3208,90,0.20297,4615.899476,92.31798953,Altemus:1973,1.635997499,0.063060299
26,56,0.3208,90,0.21356,4722.384709,94.44769418,Altemus:1973,1.712694009,0.070970499
26,56,0.3208,90,0.23479,5893.439559,117.8687912,Altemus:1973,1.481681438,0.096524278
26,56,0.3208,90,0.25569,8003.158759,160.0631752,Altemus:1973,1.520899481,0.19665985
26,56,0.3488,90,0.00971,4.154314578,0.083086292,Altemus:1973,192.842883,2.18551095
26,56,0.3488,90,0.0153,5.837527399,0.116750548,Altemus:1973,161.0030987,3.47852757
26,56,0.3488,90,0.02537,650.5081626,13.01016325,Altemus:1973,3.265139658,0.048580482
26,56,0.3488,90,0.05631,6090.909989,121.8181998,Altemus:1973,1.112937149,0.014143043
26,56,0.3488,90,0.0856,13621.99089,272.4398178,Altemus:1973,0.913522854,0.001883499
26,56,0.3488,90,0.09665,15531.80889,310.6361778,Altemus:1973,0.84111259,0.001401962
26,56,0.3488,90,0.10218,16136.06251,322.7212502,Altemus:1973,0.831739465,0.01346611
26,56,0.3488,90,0.11232,16592.45576,331.8491152,Altemus:1973,0.834415363,0.013835203
26,56,0.3488,90,0.12245,16245.51261,324.9102522,Altemus:1973,0.837523587,0.015665249
26,56,0.3488,90,0.13259,15217.53448,304.3506896,Altemus:1973,0.861046184,0.018351199
26,56,0.3488,90,0.14279,13678.73186,273.5746371,Altemus:1973,0.906809208,0.02221551
26,56,0.3488,90,0.15306,11834.67948,236.6935896,Altemus:1973,0.967326578,0.021341516
26,56,0.3488,90,0.16326,9932.261699,198.645234,Altemus:1973,0.929304954,0.02028843
26,56,0.3488,90,0.17346,8164.896613,163.2979323,Altemus:1973,0.985781006,0.024609007
26,56,0.3488,90,0.18373,6680.836156,133.6167231,Altemus:1973,1.152550342,0.02997978
26,56,0.3488,90,0.19406,5582.632446,111.6526489,Altemus:1973,1.288818504,0.035757325
26,56,0.3488,90,0.2044,4908.998299,98.17996597,Altemus:1973,1.418598984,0.050649844
26,56,0.3488,90,0.2146,4640.750862,92.81501725,Altemus:1973,1.596358051,0.080058165
26,56,0.3488,90,0.225,4725.195369,94.50390738,Altemus:1973,1.731251168,0.525036492
26,56,0.3488,90,0.23526,5110.962005,102.2192401,Altemus:1973,1.731493991,0.058740409
26,56,0.3488,90,0.24553,5764.741202,115.294824,Altemus:1973,1.702227326,0.065763577
26,56,0.3488,90,0.2558,6644.192645,132.8838529,Altemus:1973,1.664912592,0.095126682
26,56,0.3488,90,0.26613,7715.791124,154.3158225,Altemus:1973,1.445865994,0.107256662
26,56,0.3488,90,0.27337,8542.726569,170.8545314,Altemus:1973,1.439470162,0.141067374
26,56,0.3488,90,0.28048,9368.045393,187.3609079,Altemus:1973,1.414809541,0.195259515
26,56,0.3726,90,0.01074,0,0,Altemus:1973,#DIV/0!,#DIV/0!
26,56,0.3726,90,0.04391,1630.633122,32.61266244,Altemus:1973,1.733191827,0.03230647
26,56,0.3726,90,0.07438,6770.889476,135.4177895,Altemus:1973,1.015376196,0.012828595
26,56,0.3726,90,0.10499,12321.93689,246.4387377,Altemus:1973,0.888090899,0.001047319
26,56,0.3726,90,0.13572,13333.9849,266.679698,Altemus:1973,0.91000553,0.011541936
