Z,A,E0,ThetaDeg,nu,cross,error,dataSet,normalization,normError,system_err,Veff,Ep,normCross,normCrossError,ThetaRad,sin2(T/2),cos2(T/2),tan2(T/2),Ex,W2original,Ffoc2,E0original,R,Q2,qv2,qv,W2,epsilon,gamma,Sig_R,D_sig_R,Sig_mott,Hcc,Hcc_Sig(nb),Hcc_error(nb),Hcc_Sig(GeV),Hcc_error(GeV),RT_QD_data,qvbin,qvcenter,Q2bin,Q2center,Exbin_qv,Excenter_qv,nucenter_ex_qv,epcenter_ex_qv,W2bin_qv,W2center_qv,nucenter_w2_qv,epcenter_w2_qv,Exbin_q2,Excenter_q2,nucenter_ex_q2,epcenter_ex_q2,W2bin_q2,W2center_q2,nucenter_w2_q2,epcenter_w2_q2,RL_qvc_ex,RT_qvc_ex,RL_qvd_ex,RT_qvd_ex,bc_qv_ex,RL_qvc_w2,RT_qvc_w2,RL_qvd_w2,RT_qvd_w2,bc_qv_w2,RL_q2c_ex,RT_q2c_ex,RL_q2d_ex,RT_q2d_ex,bc_q2_ex,RL_q2c_w2,RT_q2c_w2,RL_q2d_w2,RT_q2d_w2,bc_q2_w2
26,56,0.2999,140.0,0.01381,102.2811284,7.692727729715057,Altemus:1973,1.0089,0.019638366,0.037,0.0089,0.28609,103.19143044276,8.016902666987106,2.443460952792061,0.8830222215594888,0.11697777844051105,7.548632170413027,0.010971023700003146,0.6213649447414971,1.0621037777069238,0.291,4.433234524286382,0.3030475433081986,0.3032382594081986,0.5506707359286478,0.6032237794808014,0.0620857118935804,-0.00018323820697067623,-563154.5524742763,-41982.116376777965,2.3585483710093934e-05,2635.6839536119223,271979.99736824335,21130.02171704654,0.6984967325025386,0.05426594334097892,2.929869244311533e-07,"[0.550,0.650]",0.6,"[0.206,0.322]",0.265,0.0,0.009909071047308714,0.01335803853937989,0.06209347732314239,0.0,0.0,0.0,0.0,0.0,0.009909071047308714,0.012449153354410455,0.062088301176441006,0.0,0.0,0.0,0.0,4.33944e-05,9.625292936565457e-06,0.0001102585,7.638316692443115e-05,0.1666524552681838,0.0,0.0,6.884193e-06,2.9298765631365333e-07,1.0,0.0004070404,4.8130306055640434e-05,0.0001091255,7.562080692443115e-05,1.1063082741489547,0.0,0.0,6.884192e-06,2.929876563132533e-07,1.0
26,56,0.3083,160.0,0.02199,76.6058301,13.5761791914393,Altemus:1973,1.11885,0.046264449,0.037,0.0089,0.28631,85.71043300738499,15.5976942077069,2.792526803190927,0.9698463103929541,0.03015368960704583,32.16343747752632,0.018693446839079076,0.5994130992655875,1.0603358799540745,0.2994,4.433234524286382,0.3424309028989978,0.3429144629989978,0.5855889881128211,0.5791905661700022,0.015286379592955101,-0.0001634037098335569,-524531.7446873739,-83083.6656356701,4.761038507865653e-06,3219.7981684774954,275970.2952165913,50221.42724244671,0.7087445817405443,0.12897824534856372,2.3852646677008415e-06,"[0.550,0.650]",0.6,"[0.322,0.438]",0.38,1.0,0.019909071047308716,0.023354520799060197,0.015284797644682694,0.0,0.0,0.0,0.0,1.0,0.019949458343153374,0.023591840519374737,0.015285590004621393,0.0,0.0,0.0,0.0,6.648023e-05,0.00036089646954369514,6.351254e-05,0.00045331106466770085,0.7972844493370952,0.0,0.0,6.366193e-05,2.5977218677008414e-06,1.0,4.957024e-05,0.0002748314733855466,6.280618e-05,0.0004486551646677008,0.6133510223303178,0.0,0.0,6.366193e-05,2.5977217677008414e-06,1.0
26,56,0.3083,160.0,0.03722,363.661722,32.68418329984274,Altemus:1973,1.11885,0.046264449,0.037,0.0089,0.27108,406.88291765969996,40.25341207040051,2.792526803190927,0.9698463103929541,0.03015368960704583,32.16343747752632,0.03392344683907908,0.6456823561919915,1.0603358799540745,0.2994,4.433234524286382,0.3242156025212543,0.3256009309212543,0.5706145204262281,0.6259856621277458,0.015243499325319956,-0.00013800804458510632,-2948255.0737017714,-236828.10228998773,4.761038507865653e-06,3229.1367380826173,1313880.5775131816,129983.77174970855,3.374297004087927,0.3338232249579701,1.1458046089940019e-05,"[0.550,0.650]",0.6,"[0.322,0.438]",0.38,0.0,0.0,0.0,0.0,1.0,0.6243267032082631,0.05385940205542272,0.01518616179569174,0.0,0.0,0.0,0.0,1.0,0.6230243059092161,0.06536907881832689,0.015139991908406257,3.564019e-06,1.352427e-13,0.0004133773,0.00148080104608994,1.0,0.0002862475,0.0012129077441360005,0.0001782874,0.00070062214608994,1.7367638648821042,3.257747e-06,8.728022e-14,0.0004067516,0.00146440504608994,1.0,0.0002924792,0.0014331527781161662,0.0001782874,0.00070062204608994,2.0564452912400597
26,56,0.3083,160.0,0.05246,825.528177,55.74004804023469,Altemus:1973,1.11885,0.046264449,0.037,0.0089,0.25584,923.64220083645,73.13027797820402,2.792526803190927,0.9698463103929541,0.03015368960704583,32.16343747752632,0.04916344683907908,0.691981993457809,1.0603358799540745,0.2994,4.433234524286382,0.30598834199881103,0.30874039359881106,0.5556441249566229,0.6728114836901891,0.015173256754415242,-0.00011259479312696692,-8203240.799909013,-495049.96183420066,4.761038507865653e-06,3244.54841348637,2996801.837352963,237274.72739199907,7.696361172158243,0.6093669512186466,2.8145465644596336e-05,"[0.550,0.650]",0.6,"[0.206,0.322]",0.265,0.0,0.0,0.0,0.0,3.0,0.6912104451145336,0.08701254320956531,0.014990525788621444,0.0,0.0,0.0,0.0,0.0,0.6876877268932857,0.038545020673239935,0.015223591328312644,3.564019e-06,1.352427e-13,0.0009926924,0.0034783364656445965,1.0,0.0009364185,0.004126779146439498,0.0006988493,0.0022719004656445965,1.834204823900156,2.443999e-05,6.408553e-13,0.0009734619,0.0034309784656445966,1.0,0.0007021598,0.0019998770421536514,0.0006988493,0.0022719004656445965,0.8785094590942106
26,56,0.33880000000000005,140.0,0.01174,6.57069936,1.9199335520283278,Altemus:1973,1.0103,0.019638366,0.037,0.0089,0.32706,6.638377563408,1.9439962048955153,2.443460952792061,0.8830222215594888,0.11697777844051105,7.548632170413027,0.008096033239315042,0.5316553474940002,1.0546835497469953,0.3299,4.433234524286382,0.3913834509958556,0.39152127859585556,0.6257166120504198,0.5110034215731445,0.06210184598290958,-0.00019135669390490262,-34691.11755613334,-10033.270918562512,1.8351270398421076e-05,3386.4463480635236,22480.509456669854,6583.238848717767,0.05773425454966844,0.01690701841903189,1.1194582100813163e-08,"[0.550,0.650]",0.6,"[0.322,0.438]",0.38,0.0,0.009909071047308714,0.01335803853937989,0.06209347732314239,0.0,0.0,0.0,0.0,0.0,0.009949458343153372,0.013591840519374735,0.0620940449651725,0.0,0.0,0.0,0.0,4.33944e-05,9.625292936565457e-06,3.016428e-05,5.920393821008132e-07,3.46160534598359,0.0,0.0,3.017185e-09,1.1194582100814711e-08,1.0,2.922399e-05,6.376069051066473e-06,2.988591e-05,5.815896821008131e-07,2.3309404610035016,0.0,0.0,3.017184e-09,1.1194582100814711e-08,1.0
26,56,0.33880000000000005,140.0,0.02181,20.184464,4.9999702535474215,Altemus:1973,1.0103,0.019638366,0.037,0.0089,0.31699000000000005,20.3923639792,5.066998477715368,2.443460952792061,0.8830222215594888,0.11697777844051105,7.548632170413027,0.01816603323931504,0.5622860934783491,1.0546835497469953,0.3299,4.433234524286382,0.37933296682925544,0.3798086429292554,0.6162861696722193,0.5419507239597446,0.06204938182185337,-0.0001753135081406872,-116319.41083989572,-28520.165425786807,1.8351270398421076e-05,3389.68885844983,69123.76897774788,17175.548285694033,0.17752307977209644,0.044110098068181135,1.4269866865673167e-06,"[0.550,0.650]",0.6,"[0.322,0.438]",0.38,1.0,0.019909071047308716,0.023354520799060197,0.06203407441336822,0.0,0.0,0.0,0.0,1.0,0.019949458343153374,0.023591840519374737,0.062037137564839265,0.0,0.0,0.0,0.0,6.648023e-05,0.00036089646954369514,3.168157e-05,0.00025033218668656733,1.452177897703407,0.0,0.0,2.784206e-05,1.4314279055673167e-06,1.0,4.957024e-05,0.0002748314733855466,3.129735e-05,0.00024728028668656734,1.1189388532739581,0.0,0.0,2.784206e-05,1.4314279035673167e-06,1.0
26,56,0.33880000000000005,140.0,0.03195,95.414872,11.669989546566567,Altemus:1973,1.0103,0.019638366,0.037,0.0089,0.30685000000000007,96.3976451816,11.938160985363064,2.443460952792061,0.8830222215594888,0.11697777844051105,7.548632170413027,0.02830603323931504,0.5931297642113478,1.0546835497469953,0.3299,4.433234524286382,0.36719871564262924,0.3682195181426292,0.6068109410208662,0.5731131515863708,0.06196080803532555,-0.00015915454915459937,-605685.7670336608,-73324.88834629908,1.8351270398421076e-05,3395.1756076227334,327286.93355283944,40532.15297737805,0.8405355389716849,0.10409433300221548,4.717536974796647e-06,"[0.550,0.650]",0.6,"[0.322,0.438]",0.38,2.0,0.029909071047308715,0.03334908858796837,0.06194232768984387,0.0,0.0,0.0,0.0,2.0,0.029949458343153372,0.033591840519374735,0.061949824626595554,0.0,0.0,0.0,0.0,0.0001902216,0.0008174633165360484,0.0001532768,0.0006852481369747967,1.194597728698527,0.0,0.0,2.449568e-06,0.00019000493697479662,1.0,0.0001359824,0.0006413991084156346,0.000150991,0.0006778009369747967,0.9452397745843575,0.0,0.0,2.449568e-06,0.00019000493697479662,1.0
26,56,0.33880000000000005,140.0,0.04208,244.83888,20.58447691039038,Altemus:1973,1.0103,0.019638366,0.037,0.0089,0.29672000000000004,247.360720464,21.345102889979906,2.443460952792061,0.8830222215594888,0.11697777844051105,7.548632170413027,0.03843603323931504,0.6239430171231108,1.0546835497469953,0.3299,4.433234524286382,0.3550764311731495,0.3568471575731495,0.597366853426895,0.6042448470358506,0.061833157578038346,-0.00014300860264437686,-1729691.1926278884,-143938.73186481182,1.8351270398421076e-05,3403.1107394439114,841795.9243276217,72639.74887942588,2.1618931843016944,0.1865527896648484,1.0251130853311828e-05,"[0.550,0.650]",0.6,"[0.322,0.438]",0.38,0.0,0.0,0.0,0.0,0.0,0.572533422908263,0.027404701362241712,0.0620007948120093,0.0,0.0,0.0,0.0,1.0,0.6230243059092161,0.06536907881832689,0.06147402264258669,3.564019e-06,1.352427e-13,0.0003087651,0.001282303130853312,1.0,2.868711e-05,3.7936031374527356e-05,0.0001609041,0.0006960246308533119,0.057788335883774224,3.257747e-06,8.728022e-14,0.0003028695,0.0012651681308533118,1.0,0.0002924792,0.0014331527781161662,0.0001609041,0.0006960246308533119,2.06455474533182
26,56,0.33880000000000005,140.0,0.05222,492.265024,32.88796839620457,Altemus:1973,1.0103,0.019638366,0.037,0.0089,0.28658000000000006,497.3353537472,34.60449206170214,2.443460952792061,0.8830222215594888,0.11697777844051105,7.548632170413027,0.048576033239315045,0.6547866878561097,1.0546835497469953,0.3299,4.433234524286382,0.3429421799865233,0.3456691083865233,0.5879363132062208,0.6354072746624767,0.06166250266505114,-0.0001268453204428541,-3920801.74507705,-259276.16628964362,1.8351270398421076e-05,3413.770673878029,1697788.8457049467,118131.80018468382,4.360246976539712,0.30338509166879984,1.775943064580613e-05,"[0.550,0.650]",0.6,"[0.322,0.438]",0.38,0.0,0.0,0.0,0.0,1.0,0.6243267032082631,0.05385940205542272,0.06165264437449297,0.0,0.0,0.0,0.0,1.0,0.6230243059092161,0.06536907881832689,0.06147402264258669,3.564019e-06,1.352427e-13,0.0005380782,0.0022281714306458065,1.0,0.0002862475,0.0012129077441360005,0.0003448482,0.001362580430645806,0.8884933877730536,3.257747e-06,8.728022e-14,0.0005265076,0.0021938414306458065,1.0,0.0002924792,0.0014331527781161662,0.0003448482,0.001362580430645806,1.0489319670140045
26,56,0.33880000000000005,140.0,0.06242,834.934824,48.555214014127245,Altemus:1973,1.0103,0.019638366,0.037,0.0089,0.27638000000000007,843.5346526872,51.7231018432686,2.443460952792061,0.8830222215594888,0.11697777844051105,7.548632170413027,0.058776033239315045,0.6858128655165228,1.0546835497469953,0.3299,4.433234524286382,0.33073612849701767,0.3346323848970177,0.5784741868891107,0.6667540953519824,0.06144348484374149,-0.00011058674820334786,-7627809.537686209,-439069.00965062744,1.8351270398421076e-05,3427.5386864189977,2891247.655420391,177282.9325493929,7.425277813472657,0.45529653030534806,2.6987231895604418e-05,"[0.550,0.650]",0.6,"[0.322,0.438]",0.38,0.0,0.0,0.0,0.0,2.0,0.656122039109595,0.06975578882976097,0.06133419225947323,0.0,0.0,0.0,0.0,2.0,0.661382325662492,0.08580983526835578,0.06101353217097875,3.564019e-06,1.352427e-13,0.0008896675,0.003665018231895604,1.0,0.0005122234,0.0023197582556344263,0.0006230606,0.0024423422318956044,0.9476761774165358,3.257747e-06,8.728022e-14,0.0008694137,0.0036035212318956044,1.0,0.000580449,0.002843069538230739,0.0006230606,0.0024423412318956045,1.1653706056361712
