q_0.1_x,q_0.1_RL_1b,q_0.1_RT_1b,q_0.1_RL_1b2b,q_0.1_RT_1b2b,,q_0.148_x,q_0.148_RL_1b,q_0.148_RT_1b,q_0.148_RL_1b2b,q_0.148_RT_1b2b,,q_0.167_x,q_0.167_RL_1b,q_0.167_RT_1b,q_0.167_RL_1b2b,q_0.167_RT_1b2b,,q_0.205_x,q_0.205_RL_1b,q_0.205_RT_1b,q_0.205_RL_1b2b,q_0.205_RT_1b2b,,q_0.24_x,q_0.24_RL_1b,q_0.24_RT_1b,q_0.24_RL_1b2b,q_0.24_RT_1b2b,,q_0.3_x,q_0.3_RL_1b,q_0.3_RT_1b,q_0.3_RL_1b2b,q_0.3_RT_1b2b,,q_0.38_x,q_0.38_RL_1b,q_0.38_RT_1b,q_0.38_RL_1b2b,q_0.38_RT_1b2b,,q_0.475_x,q_0.475_RL_1b,q_0.475_RT_1b,q_0.475_RL_1b2b,q_0.475_RT_1b2b,,q_0.57_x,q_0.57_RL_1b,q_0.57_RT_1b,q_0.57_RL_1b2b,q_0.57_RT_1b2b,,q_0.649_x,q_0.649_RL_1b,q_0.649_RT_1b,q_0.649_RL_1b2b,q_0.649_RT_1b2b
10,0.0703346,0.00602566,0.0700972,0.00807933,,10,0.0395077,0.00326105,0.0395695,0.00425473,,10,0.026855,0.00267757,0.0269479,0.00346519,,10,0.0115953,0.00231679,0.0116403,0.0029462,,10,0.00569857,0.00214039,0.00569853,0.00267759,,10,0.00147417,0.00130233,0.0014698,0.00159386,,10,0.0001551,0.0003902,0.000151784,0.000467202,,10,4.96E-06,1.92E-05,4.72E-06,2.25E-05,,10,0,0,-7.11E-10,0,,10,0,0,-7.11E-10,0
11,0.147451,0.0126573,0.146964,0.01701,,11,0.0862277,0.00705649,0.0863602,0.009234,,11,0.059476,0.00584521,0.0596821,0.00759058,,11,0.0261004,0.0051171,0.0262116,0.00652806,,11,0.0130803,0.00490136,0.0130855,0.00614455,,11,0.00372588,0.00326651,0.00371427,0.00400515,,11,0.000415525,0.00106454,0.000407734,0.00127784,,11,1.50E-05,6.34E-05,1.43E-05,7.42E-05,,11,0,0,-7.11E-10,0,,11,0,0,-7.11E-10,0
12,0.24538,0.0212836,0.244568,0.0286431,,12,0.149728,0.0124087,0.149935,0.0162601,,12,0.105256,0.0104367,0.1056,0.0135747,,12,0.0478849,0.00934844,0.0480844,0.0119456,,12,0.0246587,0.00918475,0.0246729,0.0115274,,12,0.00750942,0.00656867,0.00749027,0.00806236,,12,0.000850235,0.00230879,0.000836925,0.00277612,,12,3.51E-05,0.000159966,3.34E-05,0.000187335,,12,0,0,-7.11E-10,0,,12,0,0,-7.11E-10,0
13,0.324837,0.0287913,0.323731,0.0387809,,13,0.208066,0.0179508,0.208282,0.0235306,,13,0.150024,0.015486,0.150439,0.0201473,,13,0.0720298,0.0142501,0.0722814,0.0182128,,13,0.0385819,0.014258,0.0385899,0.0178973,,13,0.0125235,0.0108202,0.0124927,0.0132886,,13,0.00148886,0.00413101,0.00146818,0.00497429,,13,6.77E-05,0.000330453,6.42E-05,0.000387249,,13,0,0,-7.11E-10,0,,13,0,0,-7.11E-10,0
14,0.344245,0.0318,0.342997,0.0428524,,14,0.234072,0.0218986,0.234155,0.028685,,14,0.174761,0.0196119,0.17507,0.0254861,,14,0.0907855,0.0186178,0.0909677,0.0237642,,14,0.0511976,0.0186681,0.0511541,0.0234108,,14,0.0175747,0.0147194,0.017522,0.0180801,,14,0.00234361,0.00617772,0.00230886,0.00744879,,14,0.000119425,0.000569784,0.000113329,0.000668167,,14,2.08E-12,8.61E-11,-7.09E-10,9.65E-11,,14,0,0,-7.11E-10,0
15,0.295998,0.0295734,0.294799,0.0398571,,15,0.217458,0.0234205,0.217272,0.0306192,,15,0.170261,0.0219938,0.170271,0.0285098,,15,0.098507,0.0215504,0.0984666,0.027437,,15,0.0593105,0.0212877,0.0591504,0.0266444,,15,0.0214028,0.0169025,0.0213099,0.0207561,,15,0.00339176,0.00785475,0.00332989,0.00948488,,15,0.000201213,0.000840954,0.000191282,0.00098693,,15,1.04E-08,2.67E-08,9.20E-09,3.04E-08,,15,0,0,-7.11E-10,0
16,0.213065,0.0246361,0.212038,0.0331933,,16,0.173188,0.0232286,0.172702,0.0302607,,16,0.144145,0.0228907,0.143783,0.0295567,,16,0.0952302,0.0230014,0.0948845,0.0291913,,16,0.0620321,0.0221395,0.0617036,0.0276486,,16,0.0237266,0.0171429,0.0235654,0.0210428,,16,0.00465435,0.00878723,0.0045486,0.0106305,,16,0.000325478,0.00109782,0.000310274,0.00128976,,16,8.04E-08,2.21E-07,7.59E-08,2.52E-07,,16,0,0,-7.11E-10,0
17,0.137569,0.020283,0.136734,0.0273023,,17,0.12622,0.0226961,0.125525,0.0294141,,17,0.112326,0.0231559,0.11168,0.0297499,,17,0.0852949,0.023577,0.0846797,0.0298362,,17,0.0607238,0.0222372,0.060212,0.0277376,,17,0.0254624,0.0166281,0.0251955,0.0204171,,17,0.00621847,0.0091447,0.00605498,0.0110888,,17,0.000503554,0.00132352,0.000481717,0.00155733,,17,3.52E-07,9.74E-07,3.35E-07,1.11E-06,,17,0,0,-7.11E-10,0
18,0.0904813,0.0181281,0.0897919,0.0243639,,18,0.0927658,0.0227452,0.09199,0.0293087,,18,0.0869302,0.0235103,0.0861558,0.03005,,18,0.0738683,0.0239314,0.0730949,0.0302323,,18,0.057612,0.0225765,0.0569396,0.0281897,,18,0.0277365,0.0168581,0.0273291,0.0207417,,18,0.00814039,0.00946165,0.00791405,0.0115042,,18,0.000740138,0.00154192,0.000710813,0.00181841,,18,1.13E-06,3.09E-06,1.08E-06,3.53E-06,,18,0,0,-7.11E-10,0
19,0.0693592,0.0178715,0.0687571,0.0239803,,19,0.0760209,0.0235614,0.0752458,0.0302194,,19,0.0725835,0.0243223,0.0717916,0.0309596,,19,0.0653931,0.024618,0.0645566,0.0310851,,19,0.0551725,0.0236735,0.0543739,0.0296437,,19,0.0310015,0.0184805,0.0304366,0.022818,,19,0.0102993,0.010146,0.0100152,0.0123707,,19,0.00102909,0.00179109,0.000992198,0.00211871,,19,2.91E-06,7.89E-06,2.78E-06,9.02E-06,,19,0,0,-7.11E-10,0
