qv,q2,ex,nu,RTTOT,RLTOT,RTQE,RLQE,RTIE,RLIE,RTE,RLE,RTNS,RLNS
0.03164,0.001,0.001,0.00101,5.768173e-08,5.780571e-06,0.0,0.0,0.0,0.0,0.0,0.0,5.768173e-08,5.780571e-06
0.03169,0.001,0.002,0.00201,1.101298e-07,1.213822e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.101298e-07,1.213822e-05
0.03177,0.001,0.003,0.00301,2.06864e-07,2.334266e-05,0.0,0.0,0.0,0.0,0.0,0.0,2.06864e-07,2.334266e-05
0.03188,0.001,0.004,0.00401,3.861369e-07,4.102449e-05,0.0,0.0,0.0,0.0,0.0,0.0,3.861369e-07,4.102449e-05
0.03202,0.001,0.005,0.00501,7.339446e-07,6.584586e-05,0.0,0.0,0.0,0.0,0.0,0.0,7.339446e-07,6.584586e-05
0.03219,0.001,0.006,0.00601,1.480785e-06,9.775644e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.480785e-06,9.775644e-05
0.03239,0.001,0.007,0.00701,3.28564e-06,0.0001398611,0.0,0.0,0.0,0.0,0.0,0.0,3.28564e-06,0.0001398611
0.03262,0.001,0.008,0.00801,7.903582e-06,0.0002069376,0.0,0.0,0.0,0.0,0.0,0.0,7.903582e-06,0.0002069376
0.03288,0.001,0.009,0.00901,1.931541e-05,0.0003345238,0.0,0.0,0.0,0.0,0.0,0.0,1.931541e-05,0.0003345238
0.03317,0.001,0.01,0.01001,4.473745e-05,0.0005788214,0.0,0.0,0.0,0.0,0.0,0.0,4.473745e-05,0.0005788214
0.03348,0.001,0.011,0.01101,9.37847e-05,0.0009973452,-0.0,0.0,0.0,0.0,0.0,0.0,9.37847e-05,0.0009973452
0.03383,0.001,0.012,0.01201,0.0001738101,0.001610145,-0.0,0.0,0.0,0.0,0.0,0.0,0.0001738101,0.001610145
0.03419,0.001,0.013,0.01301,0.0002822186,0.002361084,-0.0,0.0,0.0,0.0,0.0,0.0,0.0002822186,0.002361084
0.03459,0.001,0.014,0.01401,0.0004016654,0.003115351,-0.0,0.0,0.0,0.0,0.0,0.0,0.0004016654,0.003115351
0.035,0.001,0.015,0.01501,0.0005055008,0.003717978,-0.0,0.0,0.0,0.0,0.0,0.0,0.0005055008,0.003717978
0.03544,0.001,0.016,0.01601,0.0005732871,0.004088777,-0.0,0.0,0.0,0.0,0.0,0.0,0.0005732871,0.004088777
0.03591,0.001,0.017,0.01701,0.0006051562,0.004281121,0.0,0.0,0.0,0.0,4.045908e-09,0.0,0.0006051522,0.004281121
0.03639,0.001,0.018,0.01801,0.0006224964,0.004447297,0.0,0.0,0.0,0.0,2.931986e-08,0.0,0.0006224671,0.004447297
0.0369,0.001,0.019,0.01901,0.0006543443,0.004731911,0.0,0.0,0.0,0.0,7.590322e-08,0.0,0.0006542684,0.004731911
0.03742,0.001,0.02,0.02001,0.0007210425,0.005176996,0.0,0.0,0.0,0.0,1.408417e-07,0.0,0.0007209016,0.005176996
0.03797,0.001,0.021,0.02101,0.0008262867,0.005703452,0.0,0.0,0.0,0.0,2.213021e-07,0.0,0.0008260654,0.005703452
0.03853,0.001,0.022,0.02201,0.0009594617,0.006163579,0.0,0.0,0.0,0.0,3.146355e-07,0.0,0.0009591471,0.006163579
0.03911,0.001,0.023,0.02301,0.001103197,0.006414572,0.0,0.0,0.0,0.0,4.183838e-07,0.0,0.001102778,0.006414572
0.0397,0.001,0.024,0.02401,0.001240753,0.006370384,0.0,0.0,0.0,0.0,5.302779e-07,0.0,0.001240222,0.006370384
0.04032,0.001,0.025,0.02501,0.001360615,0.006019462,0.0,0.0,0.0,0.0,6.482339e-07,0.0,0.001359967,0.006019462
0.04095,0.001,0.026,0.02601,0.001457815,0.00541569,0.0,0.0,0.0,0.0,7.29987e-07,0.0,0.001457085,0.00541569
0.04159,0.001,0.027,0.02701,0.001532789,0.00465428,0.0,0.0,0.0,0.0,8.064719e-07,0.0,0.001531983,0.00465428
0.04224,0.001,0.028,0.02801,0.001588563,0.003842787,0.0,0.0,0.0,0.0,8.784719e-07,0.0,0.001587685,0.003842787
0.04291,0.001,0.029,0.02901,0.001627959,0.003075466,0.0,0.0,0.0,0.0,9.456009e-07,0.0,0.001627014,0.003075466
0.0436,0.001,0.03,0.03001,0.001651767,0.002416782,0.0,0.0,0.0,0.0,1.007584e-06,0.0,0.001650759,0.002416782
0.04429,0.001,0.031,0.03101,0.001658375,0.00189631,0.0,0.0,0.0,0.0,1.06424e-06,0.0,0.001657311,0.00189631
0.045,0.001,0.032,0.03201,0.001644666,0.001513373,0.0,0.0,0.0,0.0,1.115465e-06,0.0,0.001643551,0.001513373
0.04571,0.001,0.033,0.03301,0.0016075,0.001247265,0.0,0.0,0.0,0.0,1.161224e-06,0.0,0.001606338,0.001247265
0.04644,0.001,0.034,0.03401,0.001545108,0.001068472,0.0,0.0,0.0,0.0,1.201535e-06,0.0,0.001543906,0.001068472
0.04718,0.001,0.035,0.03501,0.001457925,0.0009476111,0.0,0.0,0.0,0.0,1.236465e-06,0.0,0.001456688,0.0009476111
0.04792,0.001,0.036,0.03601,0.001348741,0.0008606937,0.0,0.0,0.0,0.0,1.26612e-06,0.0,0.001347474,0.0008606937
0.04868,0.001,0.037,0.03701,0.0012223,0.0007909676,0.0,0.0,0.0,0.0,1.29064e-06,0.0,0.001221009,0.0007909676
0.04944,0.001,0.038,0.03801,0.00108459,0.0007284301,0.0,0.0,0.0,0.0,1.310193e-06,0.0,0.00108328,0.0007284301
0.05022,0.001,0.039,0.03901,0.0009420422,0.0006682226,0.0,0.0,0.0,0.0,1.324968e-06,0.0,0.0009407172,0.0006682226
0.051,0.001,0.04,0.04001,0.0008008114,0.000608817,0.0,0.0,0.0,0.0,1.335174e-06,0.0,0.0007994762,0.000608817
0.05179,0.001,0.041,0.04101,0.0006662209,0.0005504906,0.0,0.0,0.0,0.0,1.341033e-06,0.0,0.0006648799,0.0005504906
0.05258,0.001,0.042,0.04201,0.0005424112,0.0004942504,0.0,0.0,0.0,0.0,1.342779e-06,0.0,0.0005410684,0.0004942504
0.05338,0.001,0.043,0.04301,0.0004321854,0.0004411803,0.0,0.0,0.0,0.0,1.340652e-06,0.0,0.0004308447,0.0004411803
0.05419,0.001,0.044,0.04401,0.0003370271,0.00039211,0.0,0.0,0.0,0.0,1.334898e-06,0.0,0.0003356922,0.00039211
0.05501,0.001,0.045,0.04501,0.0002572479,0.000347497,0.0,0.0,0.0,0.0,1.325766e-06,0.0,0.0002559221,0.000347497
0.05583,0.001,0.046,0.04601,0.0001922176,0.000307435,0.0,0.0,0.0,0.0,1.313506e-06,0.0,0.0001909041,0.000307435
0.05666,0.001,0.047,0.04701,0.000140633,0.0002717286,0.0,0.0,0.0,0.0,1.298365e-06,0.0,0.0001393346,0.0002717286
0.05749,0.001,0.048,0.04801,0.0001007833,0.0002399917,0.0,0.0,0.0,0.0,1.280588e-06,0.0,9.950266e-05,0.0002399917
0.05833,0.001,0.049,0.04901,7.078501e-05,0.0002117446,0.0,0.0,0.0,0.0,1.260417e-06,0.0,6.952459e-05,0.0002117446
0.05917,0.001,0.05,0.05001,4.876793e-05,0.0001864948,0.0,0.0,0.0,0.0,1.238085e-06,0.0,4.752984e-05,0.0001864948
0.06002,0.001,0.051,0.05101,3.30056e-05,0.000163794,0.0,0.0,0.0,0.0,1.213821e-06,0.0,3.179178e-05,0.000163794
0.06087,0.001,0.052,0.05201,2.199345e-05,0.0001432715,0.0,0.0,0.0,0.0,1.187847e-06,0.0,2.08056e-05,0.0001432715
0.06173,0.001,0.053,0.05301,1.448207e-05,0.0001246451,0.0,0.0,0.0,0.0,1.160375e-06,0.0,1.33217e-05,0.0001246451
0.06259,0.001,0.054,0.05401,9.477056e-06,0.0001077167,0.0,0.0,0.0,0.0,1.131608e-06,0.0,8.345448e-06,0.0001077167
0.06345,0.001,0.055,0.05501,6.216763e-06,9.235655e-05,0.0,0.0,0.0,0.0,1.101743e-06,0.0,5.11502e-06,9.235655e-05
0.06432,0.001,0.056,0.05601,4.138219e-06,7.848351e-05,0.0,0.0,0.0,0.0,1.070963e-06,0.0,3.067256e-06,7.848351e-05
