qv,q2,ex,nu,RTTOT,RLTOT,RTQE,RLQE,RTIE,RLIE,RTE,RLE,RTNS,RLNS
0.55,0.3025,-0.0028,0.0001,4.91801e-18,8.039908e-14,0.0,0.0,-0.0,-0.0,0.0,0.0,4.91801e-18,8.039908e-14
0.55,0.3025,-0.0027,0.0002,5.492638e-18,8.681672e-14,0.0,0.0,-0.0,-0.0,0.0,0.0,5.492638e-18,8.681672e-14
0.55,0.3025,-0.0026,0.0003,6.132903e-18,9.373369e-14,0.0,0.0,-0.0,-0.0,0.0,0.0,6.132903e-18,9.373369e-14
0.55,0.3025,-0.0025,0.0004,6.8461230000000004e-18,1.011878e-13,0.0,0.0,-0.0,-0.0,0.0,0.0,6.8461230000000004e-18,1.011878e-13
0.55,0.3025,-0.0024,0.0005,7.640412e-18,1.092196e-13,0.0,0.0,-0.0,-0.0,0.0,0.0,7.640412e-18,1.092196e-13
0.55,0.3025,-0.0023,0.0006,8.524764e-18,1.178727e-13,0.0,0.0,-0.0,-0.0,0.0,0.0,8.524764e-18,1.178727e-13
0.55,0.3025,-0.0022,0.0007,9.509144e-18,1.271938e-13,0.0,0.0,-0.0,-0.0,0.0,0.0,9.509144e-18,1.271938e-13
0.55,0.3025,-0.0021,0.0008,1.0604590000000002e-17,1.37233e-13,0.0,0.0,-0.0,-0.0,0.0,0.0,1.0604590000000002e-17,1.37233e-13
0.55,0.3025,-0.002,0.0009,1.1823340000000001e-17,1.480442e-13,0.0,0.0,-0.0,-0.0,0.0,0.0,1.1823340000000001e-17,1.480442e-13
0.55,0.3025,-0.0019,0.001,1.3178910000000001e-17,1.59685e-13,0.0,0.0,-0.0,-0.0,0.0,0.0,1.3178910000000001e-17,1.59685e-13
0.55,0.3025,-0.0018,0.0011,1.4686300000000002e-17,1.722174e-13,0.0,0.0,-0.0,-0.0,0.0,0.0,1.4686300000000002e-17,1.722174e-13
0.55,0.3025,-0.0017,0.0012,1.63621e-17,1.857077e-13,0.0,0.0,-0.0,-0.0,0.0,0.0,1.63621e-17,1.857077e-13
0.55,0.3025,-0.0016,0.0013,1.8224640000000003e-17,2.002272e-13,0.0,0.0,-0.0,-0.0,0.0,0.0,1.8224640000000003e-17,2.002272e-13
0.55,0.3025,-0.0015,0.0014,2.0294210000000002e-17,2.15852e-13,0.0,0.0,-0.0,-0.0,0.0,0.0,2.0294210000000002e-17,2.15852e-13
0.55,0.3025,-0.0014,0.0015,2.259327e-17,2.32664e-13,0.0,0.0,-0.0,-0.0,0.0,0.0,2.259327e-17,2.32664e-13
