Z,A,E0,ThetaDeg,nu,cross,error,dataSet
26,56,0.1503,90,0.02873,46387.276,927.74552,Altemus:1973
26,56,0.1503,90,0.02923,48035.624,960.71248,Altemus:1973
26,56,0.1503,90,0.02973,49650.588,993.01176,Altemus:1973
26,56,0.1503,90,0.03023,51230.244,1024.60488,Altemus:1973
26,56,0.1503,90,0.03073,52772.564,1055.45128,Altemus:1973
26,56,0.1503,90,0.03123,54275.572,1085.51144,Altemus:1973
26,56,0.1503,90,0.03173,55737.292,1114.74584,Altemus:1973
26,56,0.1503,90,0.03223,57155.904,1143.11808,Altemus:1973
26,56,0.1503,90,0.03273,58529.38,1170.5876,Altemus:1973
26,56,0.1503,90,0.03323,59855.952,1197.11904,Altemus:1973
26,56,0.1503,90,0.03373,61133.8,1222.676,Altemus:1973
26,56,0.1503,90,0.03423,62361.208,1247.22416,Altemus:1973
26,56,0.1503,90,0.03473,63536.46,1270.7292,Altemus:1973
26,56,0.1503,90,0.03523,64658.048,1293.16096,Altemus:1973
26,56,0.1503,90,0.03573,65724.464,1314.48928,Altemus:1973
26,56,0.1503,90,0.03623,66734.408,1334.68816,Altemus:1973
26,56,0.1503,90,0.03673,67686.528,1353.73056,Altemus:1973
26,56,0.1503,90,0.03723,68579.836,1371.59672,Altemus:1973
26,56,0.1503,90,0.03773,69413.188,1388.26376,Altemus:1973
26,56,0.1503,90,0.07323,30965.324,619.30648,Altemus:1973
26,56,0.1503,90,0.07373,30188.08,603.7616,Altemus:1973
26,56,0.1503,90,0.07423,29426.904,588.53808,Altemus:1973
26,56,0.1503,90,0.07473,28673.684,573.47368,Altemus:1973
26,56,0.1503,90,0.07523,27932.58,558.6516,Altemus:1973
26,56,0.1503,90,0.07573,27208.376,544.16752,Altemus:1973
26,56,0.1503,90,0.07623,26491.608,529.83216,Altemus:1973
26,56,0.1503,90,0.07673,25787.06,515.7412,Altemus:1973
26,56,0.1503,90,0.07723,25094.732,501.89464,Altemus:1973
26,56,0.1503,90,0.07773,24420.136,488.40272,Altemus:1973
26,56,0.1503,90,0.07823,23752.196,475.04392,Altemus:1973
26,56,0.1503,90,0.07873,23096.32,461.9264,Altemus:1973
26,56,0.1503,90,0.07923,22459.06,449.1812,Altemus:1973
26,56,0.2004,90,0.06716,46844.46,936.8892,Altemus:1973
26,56,0.2004,90,0.06766,46491.328,929.82656,Altemus:1973
