Z,A,E0,ThetaDeg,dataSet,N points,fit,SuSAV2,normalization,system_err
26,56,0.1503,90,Altemus:1973,15,0.9599,1.0198,1.0198,0.037-0.053
26,56,0.2004,90,Altemus:1973,14,1.0304,1.0785,1.0785,0.037-0.053
26,56,0.2497,90,Altemus:1973,23,0.9217,1.0063,1.0063,0.037-0.053
26,56,0.2988,90,Altemus:1973,24,1.0221,1.0482,1.0482,0.037-0.053
26,56,0.3208,90,Altemus:1973,22,1.0078,1.057,1.057,0.037-0.053
26,56,0.3488,90,Altemus:1973,25,1.0009,,1.0009,0.037-0.053
26,56,0.3726,90,Altemus:1973,15,1.0139,,1.0139,0.037-0.053
26,56,0.1003,140,Altemus:1973,9,0.9718,0.6833,0.9718,0.037-0.053
26,56,0.1305,140,Altemus:1973,14,0.9718,0.6833,0.9718,0.037-0.053
26,56,0.1603,140,Altemus:1973,10,1.012,1.0294,1.0294,0.037-0.053
26,56,0.19,140,Altemus:1973,12,1.034,,1.034,0.037-0.053
26,56,0.2203,140,Altemus:1973,16,1.0074,0.9944,0.9944,0.037-0.053
26,56,0.2498,140,Altemus:1973,16,1.0093,1.0066,1.0066,0.037-0.053
26,56,0.291,140,Altemus:1973,16,1.0076,1.0251,1.0251,0.037-0.053
26,56,0.3299,140,Altemus:1973,26,1.0019,0.9578,0.9578,0.037-0.053
26,56,0.3686,140,Altemus:1973,23,1.0027,,1.0027,0.037-0.053
26,56,0.1009,160,Altemus:1973,10,1.0722,1.2549,1.0722,0.037-0.053
26,56,0.1507,160,Altemus:1973,17,1.1389,1.0843,1.0843,0.037-0.053
26,56,0.1754,160,Altemus:1973,12,1.106,0.9292,0.9292,0.037-0.053
26,56,0.2008,160,Altemus:1973,15,1.1674,1.0119,1.0119,0.037-0.053
26,56,0.2251,160,Altemus:1973,16,1.1507,1.0806,1.0806,0.037-0.053
26,56,0.2503,160,Altemus:1973,23,1.0971,1.0462,1.0462,0.037-0.053
26,56,0.2994,160,Altemus:1973,26,1.1104,,1.1104,0.037-0.053
26,56,0.3686,160,Altemus:1973,27,1.1205,,1.1205,0.037-0.053
26,56,0.1546,180,Hotta:1984,12,1.0622,0.9197,0.9197,0.05
