Q2_0.01_x,Q2_0.01_RL_1b,Q2_0.01_RT_1b,Q2_0.01_RL_1b2b,Q2_0.01_RT_1b2b,,Q2_0.02_x,Q2_0.02_RL_1b,Q2_0.02_RT_1b,Q2_0.02_RL_1b2b,Q2_0.02_RT_1b2b,,Q2_0.026_x,Q2_0.026_RL_1b,Q2_0.026_RT_1b,Q2_0.026_RL_1b2b,Q2_0.026_RT_1b2b,,Q2_0.04_x,Q2_0.04_RL_1b,Q2_0.04_RT_1b,Q2_0.04_RL_1b2b,Q2_0.04_RT_1b2b,,Q2_0.056_x,Q2_0.056_RL_1b,Q2_0.056_RT_1b,Q2_0.056_RL_1b2b,Q2_0.056_RT_1b2b,,Q2_0.093_x,Q2_0.093_RL_1b,Q2_0.093_RT_1b,Q2_0.093_RL_1b2b,Q2_0.093_RT_1b2b,,Q2_0.12_x,Q2_0.12_RL_1b,Q2_0.12_RT_1b,Q2_0.12_RL_1b2b,Q2_0.12_RT_1b2b,,Q2_0.16_x,Q2_0.16_RL_1b,Q2_0.16_RT_1b,Q2_0.16_RL_1b2b,Q2_0.16_RT_1b2b,,Q2_0.265_x,Q2_0.265_RL_1b,Q2_0.265_RT_1b,Q2_0.265_RL_1b2b,Q2_0.265_RT_1b2b,,Q2_0.38_x,Q2_0.38_RL_1b,Q2_0.38_RT_1b,Q2_0.38_RL_1b2b,Q2_0.38_RT_1b2b
10,0.0701983,0.00599265,0.0699643,0.0080324,,10,0.044201,0.00352997,0.0442396,0.00461892,,10,0.0301679,0.00280974,0.0302573,0.0036445,,10,0.0128488,0.00233082,0.0129025,0.00297078,,10,0.00606406,0.00216777,0.00606619,0.00271559,,10,0.00128415,0.00122475,0.00128025,0.00149657,,10,0.000396366,0.000700757,0.00039312,0.000846414,,10,8.54E-05,2.50E-04,8.29E-05,2.97E-04,,10,1.06E-07,1.06E-06,9.81E-08,1.22E-06,,10,0,0,-6.33E-11,0
11,0.147174,0.0125782,0.146695,0.0168968,,11,0.0958497,0.00760413,0.0959321,0.00997736,,11,0.0664629,0.00611679,0.0666595,0.00796021,,11,0.0288505,0.00513584,0.0289804,0.00656747,,11,0.0138689,0.00494255,0.0138797,0.00620513,,11,0.00327999,0.0030982,0.00326948,0.00379305,,11,0.00107154,0.0018721,0.00106404,0.00226685,,11,2.35E-04,7.00E-04,2.29E-04,8.35E-04,,11,4.95E-07,4.87E-06,4.59E-07,5.63E-06,,11,0,0,-6.33E-11,0
12,0.244959,0.0211381,0.244162,0.0284333,,12,0.165217,0.0132826,0.165339,0.0174503,,12,0.116828,0.0108728,0.117153,0.0141708,,12,0.052665,0.00935849,0.0528953,0.0119869,,12,0.0260504,0.00923381,0.0260748,0.0116059,,12,0.00664279,0.00626783,0.0066259,0.00768183,,12,0.00224662,0.00398571,0.0022352,0.00483405,,12,4.79E-04,0.00154505,4.68E-04,0.00184801,,12,1.88E-06,1.52E-05,1.75E-06,1.76E-05,,12,0,0,-6.33E-11,0
13,0.324391,0.0285884,0.323307,0.0384847,,13,0.227601,0.0190239,0.227702,0.0250016,,13,0.165058,0.016021,0.165442,0.0208858,,13,0.0786299,0.0142356,0.0789202,0.0182371,,13,0.0406012,0.0143049,0.0406227,0.017982,,13,0.0111383,0.0103893,0.0111114,0.0127416,,13,0.00392558,0.00696309,0.00390931,0.00845603,,13,8.45E-04,0.00282011,8.26E-04,0.00337767,,13,4.54E-06,3.63E-05,4.22E-06,4.21E-05,,13,0,0,-6.33E-11,0
14,0.343993,0.0315924,0.342769,0.042542,,14,0.253286,0.0228826,0.253248,0.0300539,,14,0.190054,0.0200943,0.190325,0.0261683,,14,0.0981022,0.0185813,0.0983194,0.0237719,,14,0.0536578,0.0187215,0.0536261,0.0235102,,14,0.0157213,0.0142188,0.0156745,0.0174429,,14,0.00590611,0.0101012,0.00587589,0.0122812,,14,0.00136992,0.00431619,0.00133832,0.00517622,,14,9.65E-06,7.08E-05,9.00E-06,8.20E-05,,14,0,0,-6.33E-11,0
15,0.296111,0.029435,0.294932,0.0396353,,15,0.232077,0.0240382,0.231796,0.0315155,,15,0.182391,0.0222792,0.182366,0.0289437,,15,0.105072,0.0215143,0.105052,0.0274512,,15,0.0618866,0.0213774,0.0617307,0.0267914,,15,0.0192583,0.0164075,0.019173,0.0201263,,15,0.00785341,0.0123569,0.00779002,0.0150416,,15,0.00208269,0.00564206,0.00202942,0.00677599,,15,1.92E-05,1.17E-04,1.80E-05,1.35E-04,,15,0,0,-6.33E-11,0
16,0.213551,0.0246178,0.212534,0.0331308,,16,0.18169,0.0233952,0.18115,0.0305685,,16,0.151608,0.0229413,0.151224,0.0296878,,16,0.100068,0.022991,0.099726,0.0292372,,16,0.0643971,0.0222871,0.064063,0.0278664,,16,0.0214932,0.0166841,0.0213412,0.0204623,,16,0.00966979,0.0132031,0.0095468,0.0160952,,16,0.00301817,0.00651698,0.00293171,0.00784099,,16,3.62E-05,1.70E-04,3.42E-05,1.96E-04,,16,0,0,-6.33E-11,0
17,0.138308,0.0203919,0.137472,0.0274068,,17,0.12998,0.0225305,0.129264,0.029288,,17,0.115913,0.0230487,0.115257,0.0296729,,17,0.0882792,0.0235941,0.087659,0.0299092,,17,0.0626511,0.0224256,0.0621275,0.028003,,17,0.0232814,0.0161764,0.0230263,0.0198494,,17,0.0116411,0.0131182,0.0114324,0.0160226,,17,0.00421011,0.0069983,0.00408147,0.00843959,,17,6.45E-05,2.28E-04,6.12E-05,2.65E-04,,17,0,0,-6.33E-11,0
18,0.0913557,0.0183433,0.0906575,0.0246032,,18,0.0941746,0.0224307,0.0933983,0.0289905,,18,0.0884403,0.0233595,0.0876661,0.0299097,,18,0.075478,0.0239608,0.0747008,0.030308,,18,0.059016,0.022757,0.0583319,0.0284408,,18,0.0256733,0.016373,0.0252813,0.0201317,,18,0.0141758,0.0131908,0.0138643,0.0161501,,18,0.00565375,0.00740443,0.00548056,0.00895396,,18,1.08E-04,2.98E-04,1.03E-04,3.46E-04,,18,0,0,-6.33E-11,0
19,0.0703615,0.0181725,0.069746,0.0243235,,19,0.0767611,0.0232157,0.0759916,0.0298648,,19,0.0734527,0.0241934,0.0726653,0.0308413,,19,0.0662581,0.0246382,0.0654245,0.0311349,,19,0.0561228,0.0238039,0.055317,0.029828,,19,0.0290404,0.0179412,0.0284952,0.0221338,,19,0.0172631,0.0141046,0.0168467,0.0173137,,19,0.00724317,0.00800704,0.00703042,0.00971141,,19,1.71E-04,3.87E-04,1.64E-04,4.50E-04,,19,0,0,-6.33E-11,0
