Z,A,E0,ThetaDeg,nu,cross,error,dataSet
26,56,0.1503,90,0.01923,3769.168,75.38336,Altemus:1973
26,56,0.1503,90,0.02123,11245.624,224.91248,Altemus:1973
26,56,0.1503,90,0.02323,20447.336,408.94672,Altemus:1973
26,56,0.1503,90,0.02523,30982.692,619.65384,Altemus:1973
26,56,0.1503,90,0.02723,41086.864,821.73728,Altemus:1973
26,56,0.1503,90,0.02923,47664.448,953.28896,Altemus:1973
26,56,0.1503,90,0.03123,53616.836,1072.33672,Altemus:1973
26,56,0.1503,90,0.03323,58805.552,1176.11104,Altemus:1973
26,56,0.1503,90,0.03523,63103.196,1262.06392,Altemus:1973
26,56,0.1503,90,0.03723,66407.484,1328.14968,Altemus:1973
26,56,0.1503,90,0.03923,68654.3,1373.086,Altemus:1973
26,56,0.1503,90,0.04123,69826.484,1396.52968,Altemus:1973
26,56,0.1503,90,0.04323,69956.692,1399.13384,Altemus:1973
26,56,0.1503,90,0.04523,69123.08,1382.4616,Altemus:1973
26,56,0.1503,90,0.04723,67439.632,1348.79264,Altemus:1973
26,56,0.1503,90,0.04923,65043.576,1300.87152,Altemus:1973
26,56,0.1503,90,0.05123,62081.968,1241.63936,Altemus:1973
26,56,0.1503,90,0.05323,58700.668,1174.01336,Altemus:1973
26,56,0.1503,90,0.05523,55035.396,1100.70792,Altemus:1973
26,56,0.1503,90,0.05723,51206.064,1024.12128,Altemus:1973
26,56,0.1503,90,0.05923,47314.28,946.2856,Altemus:1973
26,56,0.1503,90,0.06123,43442.516,868.85032,Altemus:1973
26,56,0.1503,90,0.06323,39655.252,793.10504,Altemus:1973
26,56,0.1503,90,0.06523,36000.64,720.0128,Altemus:1973
26,56,0.1503,90,0.06723,32514.248,650.28496,Altemus:1973
26,56,0.1503,90,0.06923,29217.916,584.35832,Altemus:1973
26,56,0.1503,90,0.07123,26127.452,522.54904,Altemus:1973
26,56,0.1503,90,0.07323,23245.404,464.90808,Altemus:1973
26,56,0.1503,90,0.07523,20574.788,411.49576,Altemus:1973
26,56,0.1503,90,0.07723,18112.692,362.25384,Altemus:1973
26,56,0.1503,90,0.07923,15858.544,317.17088,Altemus:1973
26,56,0.1503,90,0.08123,13795.6,275.912,Altemus:1973
26,56,0.1503,90,0.08323,11919.44,238.3888,Altemus:1973
26,56,0.1503,90,0.08523,10229.752,204.59504,Altemus:1973
26,56,0.1503,90,0.08723,8700.12,174.0024,Altemus:1973
26,56,0.2004,90,0.02166,5083.832,101.67664,Altemus:1973
26,56,0.2004,90,0.02366,9957.948,199.15896,Altemus:1973
26,56,0.2004,90,0.02566,15524.808,310.49616,Altemus:1973
26,56,0.2004,90,0.02766,21687.692,433.75384,Altemus:1973
26,56,0.2004,90,0.02966,25982.112,519.64224,Altemus:1973
26,56,0.2004,90,0.03166,29542.344,590.84688,Altemus:1973
26,56,0.2004,90,0.03366,32909.5,658.19,Altemus:1973
26,56,0.2004,90,0.03566,36048.22,720.9644,Altemus:1973
26,56,0.2004,90,0.03766,38925.952,778.51904,Altemus:1973
26,56,0.2004,90,0.03966,41513.576,830.27152,Altemus:1973
26,56,0.2004,90,0.04166,43786.132,875.72264,Altemus:1973
26,56,0.2004,90,0.04366,45723.496,914.46992,Altemus:1973
26,56,0.2004,90,0.04566,47310.848,946.21696,Altemus:1973
26,56,0.2004,90,0.04766,48539.036,970.78072,Altemus:1973
26,56,0.2004,90,0.04966,49404.836,988.09672,Altemus:1973
26,56,0.2004,90,0.05166,49911.368,998.22736,Altemus:1973
26,56,0.2004,90,0.05366,50069.344,1001.38688,Altemus:1973
26,56,0.2004,90,0.05566,49892.18,997.8436,Altemus:1973
26,56,0.2004,90,0.05766,49397.868,987.95736,Altemus:1973
26,56,0.2004,90,0.05966,48616.152,972.32304,Altemus:1973
26,56,0.2004,90,0.06166,47574.072,951.48144,Altemus:1973
26,56,0.2004,90,0.06366,46303.608,926.07216,Altemus:1973
26,56,0.2004,90,0.06566,44838.456,896.76912,Altemus:1973
26,56,0.2004,90,0.06766,43213.092,864.26184,Altemus:1973
26,56,0.2004,90,0.06966,41461.472,829.22944,Altemus:1973
26,56,0.2004,90,0.07166,39610.428,792.20856,Altemus:1973
26,56,0.2004,90,0.07366,37700.936,754.01872,Altemus:1973
26,56,0.2004,90,0.07566,35755.824,715.11648,Altemus:1973
26,56,0.2004,90,0.07766,33799.688,675.99376,Altemus:1973
26,56,0.2004,90,0.07966,31853.9,637.078,Altemus:1973
26,56,0.2004,90,0.08166,29936.608,598.73216,Altemus:1973
26,56,0.2004,90,0.08366,28062.632,561.25264,Altemus:1973
26,56,0.2004,90,0.08566,26243.984,524.87968,Altemus:1973
26,56,0.2004,90,0.08766,24489.92,489.7984,Altemus:1973
26,56,0.2004,90,0.08966,22807.356,456.14712,Altemus:1973
26,56,0.2004,90,0.09166,21201.024,424.02048,Altemus:1973
26,56,0.2004,90,0.09366,19674.044,393.48088,Altemus:1973
26,56,0.2004,90,0.09566,18228.028,364.56056,Altemus:1973
26,56,0.2004,90,0.09766,16863.34,337.2668,Altemus:1973
26,56,0.2004,90,0.09966,15579.512,311.59024,Altemus:1973
26,56,0.2004,90,0.10166,14375.244,287.50488,Altemus:1973
26,56,0.2004,90,0.10366,13248.716,264.97432,Altemus:1973
26,56,0.2004,90,0.10566,12197.796,243.95592,Altemus:1973
26,56,0.2004,90,0.10766,11219.988,224.39976,Altemus:1973
26,56,0.2004,90,0.10966,10352.108,207.04216,Altemus:1973
26,56,0.2004,90,0.11166,9515.48,190.3096,Altemus:1973
26,56,0.2004,90,0.11366,8744.06,174.8812,Altemus:1973
26,56,0.2004,90,0.11566,8035.092,160.70184,Altemus:1973
26,56,0.2004,90,0.11766,7385.924,147.71848,Altemus:1973
26,56,0.2004,90,0.11966,6794.06,135.8812,Altemus:1973
26,56,0.2004,90,0.12166,6256.952,125.13904,Altemus:1973
26,56,0.2004,90,0.12366,5772.312,115.44624,Altemus:1973
26,56,0.2004,90,0.12566,5402.488,108.04976,Altemus:1973
26,56,0.2004,90,0.12766,5018.936,100.37872,Altemus:1973
26,56,0.2004,90,0.12966,4681.248,93.62496,Altemus:1973
26,56,0.2004,90,0.13166,4387.396,87.74792,Altemus:1973
26,56,0.2004,90,0.13366,4135.456,82.70912,Altemus:1973
26,56,0.2497,90,0.02204,1229.904,24.59808,Altemus:1973
26,56,0.2497,90,0.02404,3904.68,78.0936,Altemus:1973
26,56,0.2497,90,0.02604,6662.76,133.2552,Altemus:1973
26,56,0.2497,90,0.02804,9713.6,194.272,Altemus:1973
26,56,0.2497,90,0.03004,12944.36,258.8872,Altemus:1973
26,56,0.2497,90,0.03204,14832.688,296.65376,Altemus:1973
26,56,0.2497,90,0.03404,16683.992,333.67984,Altemus:1973
26,56,0.2497,90,0.03604,18486.416,369.72832,Altemus:1973
26,56,0.2497,90,0.03804,20229.248,404.58496,Altemus:1973
26,56,0.2497,90,0.04004,21903.076,438.06152,Altemus:1973
26,56,0.2497,90,0.04204,23499.372,469.98744,Altemus:1973
26,56,0.2497,90,0.04404,25010.544,500.21088,Altemus:1973
26,56,0.2497,90,0.04604,26429.572,528.59144,Altemus:1973
26,56,0.2497,90,0.04804,27751.984,555.03968,Altemus:1973
26,56,0.2497,90,0.05004,28970.084,579.40168,Altemus:1973
26,56,0.2497,90,0.05204,30074.772,601.49544,Altemus:1973
26,56,0.2497,90,0.05404,31066.568,621.33136,Altemus:1973
26,56,0.2497,90,0.05604,31938.036,638.76072,Altemus:1973
26,56,0.2497,90,0.05804,32680.336,653.60672,Altemus:1973
26,56,0.2497,90,0.06004,33297.056,665.94112,Altemus:1973
26,56,0.2497,90,0.06204,33781.748,675.63496,Altemus:1973
26,56,0.2497,90,0.06404,34132.384,682.64768,Altemus:1973
26,56,0.2497,90,0.06604,34340.696,686.81392,Altemus:1973
26,56,0.2497,90,0.06804,34419.424,688.38848,Altemus:1973
26,56,0.2497,90,0.07004,34364.772,687.29544,Altemus:1973
26,56,0.2497,90,0.07204,34171.8,683.436,Altemus:1973
26,56,0.2497,90,0.07404,33860.06,677.2012,Altemus:1973
26,56,0.2497,90,0.07604,33429.396,668.58792,Altemus:1973
26,56,0.2497,90,0.07804,32887.868,657.75736,Altemus:1973
26,56,0.2497,90,0.08004,32233.032,644.66064,Altemus:1973
26,56,0.2497,90,0.08204,31496.244,629.92488,Altemus:1973
26,56,0.2497,90,0.08404,30679.064,613.58128,Altemus:1973
26,56,0.2497,90,0.08604,29793.192,595.86384,Altemus:1973
26,56,0.2497,90,0.08804,28850.796,577.01592,Altemus:1973
26,56,0.2497,90,0.09004,27845.116,556.90232,Altemus:1973
26,56,0.2497,90,0.09204,26821.392,536.42784,Altemus:1973
26,56,0.2497,90,0.09404,25775.048,515.50096,Altemus:1973
26,56,0.2497,90,0.09604,24716.536,494.33072,Altemus:1973
26,56,0.2497,90,0.09804,23655.32,473.1064,Altemus:1973
26,56,0.2497,90,0.10004,22574.292,451.48584,Altemus:1973
26,56,0.2497,90,0.10204,21528.468,430.56936,Altemus:1973
26,56,0.2497,90,0.10404,20502.04,410.0408,Altemus:1973
26,56,0.2497,90,0.10604,19500.468,390.00936,Altemus:1973
26,56,0.2497,90,0.10804,18528.328,370.56656,Altemus:1973
26,56,0.2497,90,0.11004,17589.26,351.7852,Altemus:1973
26,56,0.2497,90,0.11204,16650.764,333.01528,Altemus:1973
26,56,0.2497,90,0.11404,15782.052,315.64104,Altemus:1973
26,56,0.2497,90,0.11604,14952.444,299.04888,Altemus:1973
26,56,0.2497,90,0.11804,14162.824,283.25648,Altemus:1973
26,56,0.2497,90,0.12004,13413.556,268.27112,Altemus:1973
26,56,0.2497,90,0.12204,12704.536,254.09072,Altemus:1973
26,56,0.2497,90,0.12404,12035.348,240.70696,Altemus:1973
26,56,0.2497,90,0.12604,11405.42,228.1084,Altemus:1973
26,56,0.2497,90,0.12804,10813.764,216.27528,Altemus:1973
26,56,0.2497,90,0.13004,10259.34,205.1868,Altemus:1973
26,56,0.2497,90,0.13204,9688.38,193.7676,Altemus:1973
26,56,0.2497,90,0.13404,9203.064,184.06128,Altemus:1973
26,56,0.2497,90,0.13604,8751.6,175.032,Altemus:1973
26,56,0.2497,90,0.13804,8332.74,166.6548,Altemus:1973
26,56,0.2497,90,0.14004,7945.236,158.90472,Altemus:1973
26,56,0.2497,90,0.14204,7587.944,151.75888,Altemus:1973
26,56,0.2497,90,0.14404,7259.616,145.19232,Altemus:1973
26,56,0.2497,90,0.14604,6959.16,139.1832,Altemus:1973
