Z,A,E0,ThetaDeg,nu,cross,error,ratio,ratio_error,dataSet
20,40,0.12,90,0.0075,86089,1721.78,2.50903,0.209085946,1
20,40,0.12,90,0.0125,96395,1927.9,0.95544,0.097472483,1
20,40,0.12,90,0.0175,99034,1980.68,1.39346,0.126025405,1
20,40,0.12,90,0.0225,95230,1904.6,1.30211,0.127142707,1
20,40,0.12,90,0.0275,86788,1735.76,1.06351,0.121487994,1
20,40,0.12,90,0.0325,75770,1515.4,1.08354,0.142665963,1
20,40,0.12,90,0.0375,63944,1278.88,0.98993,0.16851151,1
20,40,0.12,90,0.0425,52549,1050.98,0.7041,0.408757541,1
20,40,0.12,140,0.0125,14787,295.74,0.70332,0.050309393,2
20,40,0.12,140,0.0175,17723,354.46,0.84072,0.060372397,2
20,40,0.12,140,0.0225,19082,381.64,0.91709,0.067530657,2
20,40,0.12,140,0.0275,19362,387.24,0.91416,0.069356471,2
20,40,0.12,140,0.0325,18711,374.22,1.03148,0.081054994,2
20,40,0.12,140,0.0375,17359,347.18,1.14638,0.093394781,2
20,40,0.12,140,0.0425,15561,311.22,1.16959,0.17762933,2
20,40,0.12,140,0.0475,13556,271.12,1.21717,0.11482812,2
20,40,0.12,140,0.0525,11530,230.6,1.24024,0.131727667,2
20,40,0.13,140,0.01,11056,221.12,0.57817,0.028908556,3
20,40,0.13,140,0.0126,12101,242.02,0.57226,0.02861309,3
20,40,0.13,140,0.0216,16291,325.82,0.76395,0.038197532,3
20,40,0.13,140,0.0257,17223,344.46,0.7451,0.037255182,3
20,40,0.13,140,0.0282,17509,350.18,0.77718,0.038859272,3
20,40,0.13,140,0.0314,17561,351.22,0.82728,0.041363931,3
20,40,0.13,140,0.0397,16393,327.86,1.07823,0.053911853,3
20,40,0.13,140,0.05,13348,266.96,1.42942,0.071471007,3
20,40,0.13,140,0.0555,11463,229.26,1.55886,0.077943121,3
20,40,0.13,140,0.0605,9802.3,196.046,1.63524,0.081761729,3
20,40,0.13,140,0.0655,8265.6,165.312,1.62287,0.081143777,3
20,40,0.13,140,0.076,5504.5,110.09,1.74192,0.087095831,3
20,40,0.15,35,0.0103,3044400,60888,0.61327,0.030663283,4
20,40,0.15,35,0.0105,3020500,60410,0.56783,0.028391624,4
20,40,0.15,35,0.0108,2992800,59856,0.6119,0.030594928,4
20,40,0.15,35,0.0111,2970400,59408,0.528,0.026399879,4
20,40,0.15,35,0.0114,2944200,58884,0.86106,0.043052782,4
20,40,0.15,35,0.0116,2917300,58346,1.09051,0.054525417,4
20,40,0.15,35,0.012,2880900,57618,1.04005,0.052002499,4
20,40,0.15,35,0.0121,2880900,57618,0.72877,0.036438266,4
20,40,0.15,35,0.0121,2870000,57400,0.73153,0.036576655,4
20,40,0.15,35,0.0124,2833800,56676,0.52324,0.026162114,4
20,40,0.15,35,0.0126,2812400,56248,0.9153,0.045765183,4
20,40,0.15,35,0.013,2772900,55458,0.93237,0.046618702,4
20,40,0.15,35,0.0133,2736900,54738,1.23801,0.061900691,4
20,40,0.15,35,0.0136,2710200,54204,1.02526,0.051263006,4
