Z,A,E0,ThetaDeg,nu,cross,error,dataSet
26,56,0.1503,90,0.00123,85208,1821.5,Altemus:1973
26,56,0.1503,90,0.00362,119440,1139.8,Altemus:1973
26,56,0.1503,90,0.00742,95248,1775.1,Altemus:1973
26,56,0.1503,90,0.00961,88073,1193.1,Altemus:1973
26,56,0.1503,90,0.01869,95613,1465.7,Altemus:1973
26,56,0.1503,90,0.02479,90954,1483.4,Altemus:1973
26,56,0.1503,90,0.03092,97369,1583.7,Altemus:1973
26,56,0.1503,90,0.03703,95254,1639.1,Altemus:1973
26,56,0.1503,90,0.04315,93147,1712,Altemus:1973
26,56,0.1503,90,0.04927,89152,1801,Altemus:1973
26,56,0.1503,90,0.05542,74843,1864,Altemus:1973
26,56,0.1503,90,0.06156,61899,2017.3,Altemus:1973
26,56,0.1503,90,0.06772,50044,2318,Altemus:1973
26,56,0.1503,90,0.078,38559,3360.6,Altemus:1973
26,56,0.1503,90,0.08825,29398,5352.4,Altemus:1973
26,56,0.2004,90,0.00166,11264.634,654.3869899,Altemus:1973
26,56,0.2004,90,0.00662,23245.056,751.6475328,Altemus:1973
26,56,0.2004,90,0.01907,35637.534,1148.090287,Altemus:1973
26,56,0.2004,90,0.02962,40890.186,1311.421837,Altemus:1973
26,56,0.2004,90,0.04019,46439.136,1435.94855,Altemus:1973
26,56,0.2004,90,0.05111,50533.146,1614.037431,Altemus:1973
26,56,0.2004,90,0.06146,52509.528,1681.870592,Altemus:1973
26,56,0.2004,90,0.07202,48038.508,1560.399618,Altemus:1973
26,56,0.2004,90,0.08262,38085.444,1281.63414,Altemus:1973
26,56,0.2004,90,0.09322,29724.318,1064.445116,Altemus:1973
26,56,0.2004,90,0.10382,20261.898,879.0214602,Altemus:1973
26,56,0.2004,90,0.11443,14484.618,993.6068924,Altemus:1973
26,56,0.2004,90,0.12503,13995.036,1582.953356,Altemus:1973
26,56,0.2004,90,0.13513,13088.088,2737.185126,Altemus:1973
26,56,0.2497,90,0.00204,5618.49085,174.182383,Altemus:1973
26,56,0.2497,90,0.00557,5664.50185,175.412735,Altemus:1973
26,56,0.2497,90,0.00846,8305.75235,259.5993176,Altemus:1973
26,56,0.2497,90,0.01298,11250.785,359.9238624,Altemus:1973
26,56,0.2497,90,0.0232,16698.7065,523.6934162,Altemus:1973
26,56,0.2497,90,0.03343,21914.382,680.1717062,Altemus:1973
